,HF_Open,HF_High,HF_Low,HF_Close,HF_Adj Close,HF_Volume,HF_Dividend Amount,HF_Split Coefficient
2024-10-04,23.2661,23.2661,23.2661,23.2661,23.2661,34,0.0,1.0
2024-10-03,23.0801,23.0801,23.0801,23.0801,23.0801,1,0.0,1.0
2024-10-02,23.1345,23.1345,23.1345,23.1345,23.1345,3,0.0,1.0
2024-10-01,23.0837,23.0837,23.0837,23.0837,23.0837,91,0.0,1.0
2024-09-30,23.1801,23.1801,23.1801,23.1801,23.1801,54,0.0,1.0
2024-09-27,23.1627,23.1627,23.1627,23.1627,23.1627,6,0.0,1.0
2024-09-26,23.1797,23.1797,23.1797,23.1797,23.1797,13,0.0,1.0
2024-09-25,23.1336,23.1336,23.1336,23.1336,23.1336,2,0.0,1.0
2024-09-24,23.1276,23.1646,23.1276,23.1646,23.1646,4035,0.0,1.0
2024-09-23,23.135,23.135,23.135,23.135,23.135,0,0.0,1.0
2024-09-20,23.1205,23.1205,23.1205,23.1205,23.1205,2,0.0,1.0
2024-09-19,23.1294,23.1294,23.1294,23.1294,23.1294,2,0.0,1.0
2024-09-18,23.05,23.05,23.05,23.05,23.05,45,0.0,1.0
2024-09-17,23.0596,23.0596,23.0596,23.0596,23.0596,45,0.0,1.0
2024-09-16,23.0589,23.0589,23.0589,23.0589,23.0589,2,0.0,1.0
2024-09-13,23.039,23.039,23.039,23.039,23.039,1,0.0,1.0
2024-09-12,22.9686,23.0304,22.9686,23.0304,23.0304,1024,0.0,1.0
2024-09-11,22.9702,22.9702,22.9702,22.9702,22.9702,199,0.0,1.0
2024-09-10,22.8886,22.8886,22.8886,22.8886,22.8886,2,0.0,1.0
2024-09-09,22.8601,22.8601,22.8601,22.8601,22.8601,4,0.0,1.0
2024-09-06,22.92,22.92,22.7681,22.7681,22.7681,999,0.0,1.0
2024-09-05,22.9008,22.9008,22.9008,22.9008,22.9008,0,0.0,1.0
2024-09-04,22.9423,22.9423,22.9423,22.9423,22.9423,88,0.0,1.0
2024-09-03,22.9105,22.9105,22.9105,22.9105,22.9105,74,0.0,1.0
2024-08-30,23.1415,23.1415,23.1415,23.1415,23.1415,11,0.0,1.0
2024-08-29,23.0511,23.0511,23.0511,23.0511,23.0511,11,0.0,1.0
2024-08-28,23.0455,23.0455,23.0455,23.0455,23.0455,2,0.0,1.0
2024-08-27,23.0904,23.0904,23.0904,23.0904,23.0904,64,0.0,1.0
2024-08-26,23.07,23.07,23.07,23.07,23.07,94,0.0,1.0
2024-08-23,23.1026,23.1026,23.1026,23.1026,23.1026,2,0.0,1.0
2024-08-22,22.9679,22.9679,22.9679,22.9679,22.9679,180,0.0,1.0
2024-08-21,23.0933,23.0933,23.0933,23.0933,23.0933,25,0.0,1.0
2024-08-20,23.09,23.09,23.033,23.033,23.033,236,0.0,1.0
2024-08-19,22.99,23.07,22.98,23.0443,23.0443,939,0.0,1.0
2024-08-16,22.9219,22.9219,22.9219,22.9219,22.9219,13,0.0,1.0
2024-08-15,22.8824,22.8824,22.8824,22.8824,22.8824,13,0.0,1.0
2024-08-14,22.64,22.7266,22.64,22.7266,22.7266,882,0.0,1.0
2024-08-13,22.6801,22.6801,22.6801,22.6801,22.6801,93,0.0,1.0
2024-08-12,22.499,22.499,22.499,22.499,22.499,11,0.0,1.0
2024-08-09,22.5098,22.5098,22.5098,22.5098,22.5098,7,0.0,1.0
2024-08-08,22.4443,22.4443,22.4443,22.4443,22.4443,7,0.0,1.0
2024-08-07,22.2478,22.2478,22.2478,22.2478,22.2478,4,0.0,1.0
2024-08-06,22.44,22.44,22.3367,22.3367,22.3367,2612,0.0,1.0
2024-08-05,22.2568,22.2568,22.2568,22.2568,22.2568,28,0.0,1.0
2024-08-02,22.523,22.523,22.523,22.523,22.523,2,0.0,1.0
2024-08-01,22.6778,22.6778,22.6778,22.6778,22.6778,253,0.0,1.0
2024-07-31,22.9472,22.9472,22.886,22.886,22.886,218,0.0,1.0
2024-07-30,22.7337,22.7337,22.7337,22.7337,22.7337,25,0.0,1.0
2024-07-29,22.69,22.77,22.69,22.7501,22.7501,3024,0.0,1.0
2024-07-26,22.7573,22.7573,22.7573,22.7573,22.7573,2,0.0,1.0
2024-07-25,22.6487,22.6487,22.6487,22.6487,22.6487,12,0.0,1.0
2024-07-24,22.6374,22.6374,22.6374,22.6374,22.6374,8,0.0,1.0
2024-07-23,22.8815,22.8815,22.8815,22.8815,22.8815,2,0.0,1.0
2024-07-22,22.9072,22.9072,22.9072,22.9072,22.9072,10,0.0,1.0
2024-07-19,22.7802,22.7802,22.7802,22.7802,22.7802,69,0.0,1.0
2024-07-18,22.881,22.881,22.881,22.881,22.881,30,0.0,1.0
2024-07-17,22.9976,22.9976,22.9976,22.9976,22.9976,61,0.0,1.0
2024-07-16,23.1487,23.1487,23.1487,23.1487,23.1487,134,0.0,1.0
2024-07-15,23.0105,23.0105,23.0105,23.0105,23.0105,46,0.0,1.0
2024-07-12,23.0039,23.0039,23.0039,23.0039,23.0039,104,0.0,1.0
2024-07-11,23.0022,23.0022,22.9373,22.9373,22.9373,201,0.0,1.0
2024-07-10,22.9999,22.9999,22.9683,22.9683,22.9683,158,0.0,1.0
2024-07-09,22.8534,22.8534,22.8534,22.8534,22.8534,4,0.0,1.0
2024-07-08,22.8592,22.8592,22.8592,22.8592,22.8592,14,0.0,1.0
2024-07-05,22.8516,22.8516,22.8516,22.8516,22.8516,29,0.0,1.0
2024-07-03,22.76,22.785,22.76,22.785,22.785,250,0.0,1.0
2024-07-02,22.75,22.75,22.75,22.75,22.75,100,0.0,1.0
2024-07-01,22.67,22.67,22.67,22.67,22.67,102,0.0,1.0
2024-06-28,22.655,22.655,22.655,22.655,22.655,0,0.0,1.0
2024-06-27,22.693,22.693,22.693,22.693,22.693,37,0.0,1.0
2024-06-26,22.6613,22.6613,22.6613,22.6613,22.6613,37,0.0,1.0
2024-06-25,22.6963,22.6963,22.6963,22.6963,22.6963,9,0.0,1.0
2024-06-24,22.6749,22.6749,22.6749,22.6749,22.6749,3,0.0,1.0
2024-06-21,22.6743,22.6743,22.6743,22.6743,22.6743,194,0.0,1.0
2024-06-20,22.6913,22.6913,22.6913,22.6913,22.6913,6,0.0,1.0
2024-06-18,22.7175,22.7175,22.7175,22.7175,22.7175,61,0.0,1.0
2024-06-17,22.6762,22.6762,22.6762,22.6762,22.6762,10,0.0,1.0
2024-06-14,22.6105,22.6105,22.6105,22.6105,22.6105,79,0.0,1.0
2024-06-13,22.6346,22.6346,22.6226,22.6226,22.6226,4019,0.0,1.0
2024-06-12,22.6016,22.6016,22.6016,22.6016,22.6016,14,0.0,1.0
2024-06-11,22.5382,22.5382,22.5382,22.5382,22.5382,9,0.0,1.0
2024-06-10,22.4997,22.4997,22.4997,22.4997,22.4997,51,0.0,1.0
2024-06-07,22.4727,22.4727,22.4727,22.4727,22.4727,76,0.0,1.0
2024-06-06,22.64,22.64,22.5101,22.5101,22.5101,392,0.0,1.0
2024-06-05,22.5144,22.5144,22.5144,22.5144,22.5144,13,0.0,1.0
2024-06-04,22.3162,22.3162,22.3162,22.3162,22.3162,17,0.0,1.0
2024-06-03,22.272,22.272,22.272,22.272,22.272,0,0.0,1.0
2024-05-31,22.2432,22.2432,22.2432,22.2432,22.2432,69,0.0,1.0
2024-05-30,22.115,22.115,22.115,22.115,22.115,2,0.0,1.0
2024-05-29,22.192,22.192,22.192,22.192,22.192,24,0.0,1.0
2024-05-28,22.3337,22.3337,22.3337,22.3337,22.3337,4,0.0,1.0
2024-05-24,22.3537,22.3537,22.3537,22.3537,22.3537,59,0.0,1.0
2024-05-23,22.2439,22.2439,22.2439,22.2439,22.2439,22,0.0,1.0
2024-05-22,22.381,22.381,22.381,22.381,22.381,1,0.0,1.0
2024-05-21,22.4505,22.4505,22.4505,22.4505,22.4505,8,0.0,1.0
2024-05-20,22.44,22.44,22.3993,22.3993,22.3993,328,0.0,1.0
2024-05-17,22.3889,22.3889,22.3889,22.3889,22.3889,4,0.0,1.0
2024-05-16,22.3946,22.3946,22.3946,22.3946,22.3946,4,0.0,1.0
2024-05-15,22.4173,22.4173,22.4173,22.4173,22.4173,12,0.0,1.0
2024-05-14,22.24,22.24,22.211,22.211,22.211,301,0.0,1.0
2024-05-13,22.1254,22.1254,22.1254,22.1254,22.1254,12,0.0,1.0
2024-05-10,22.0905,22.1243,22.06,22.1243,22.1243,4704,0.0,1.0
2024-05-09,22.06,22.0936,22.06,22.0936,22.0936,109,0.0,1.0
2024-05-08,22.01,22.01,22.01,22.01,22.01,1,0.0,1.0
2024-05-07,22.0385,22.0385,22.0385,22.0385,22.0385,6,0.0,1.0
2024-05-06,22.017,22.017,22.017,22.017,22.017,4,0.0,1.0
2024-05-03,21.9077,21.9077,21.9077,21.9077,21.9077,1,0.0,1.0
2024-05-02,21.7648,21.7648,21.7648,21.7648,21.7648,0,0.0,1.0
2024-05-01,21.6542,21.6542,21.6542,21.6542,21.6542,4,0.0,1.0
2024-04-30,21.698,21.698,21.698,21.698,21.698,4,0.0,1.0
2024-04-29,21.8681,21.8681,21.8681,21.8681,21.8681,7,0.0,1.0
2024-04-26,21.8257,21.8257,21.8257,21.8257,21.8257,1,0.0,1.0
2024-04-25,21.7268,21.7268,21.7268,21.7268,21.7268,0,0.0,1.0
2024-04-24,21.7867,21.7867,21.7867,21.7867,21.7867,39,0.0,1.0
2024-04-23,21.7712,21.7712,21.7712,21.7712,21.7712,1,0.0,1.0
2024-04-22,21.6411,21.6411,21.6411,21.6411,21.6411,1,0.0,1.0
2024-04-19,21.548,21.548,21.548,21.548,21.548,1,0.0,1.0
2024-04-18,21.6033,21.6033,21.6033,21.6033,21.6033,40,0.0,1.0
2024-04-17,21.6395,21.6395,21.6395,21.6395,21.6395,18,0.0,1.0
2024-04-16,21.72,21.72,21.6968,21.6968,21.6968,374,0.0,1.0
2024-04-15,21.7235,21.7235,21.7235,21.7235,21.7235,6,0.0,1.0
2024-04-12,21.84,21.84,21.84,21.84,21.84,15,0.0,1.0
2024-04-11,22.0334,22.0334,22.0334,22.0334,22.0334,15,0.0,1.0
2024-04-10,22.0,22.0,21.9647,21.9647,21.9647,205,0.0,1.0
2024-04-09,22.1,22.1,22.0849,22.0849,22.0849,196,0.0,1.0
2024-04-08,22.13,22.13,22.0701,22.0701,22.0701,134,0.0,1.0
2024-04-05,22.0662,22.0662,22.0662,22.0662,22.0662,12,0.0,1.0
2024-04-04,22.0898,22.0898,21.9554,21.9554,21.9554,163,0.0,1.0
2024-04-03,22.0882,22.0882,22.0882,22.0882,22.0882,1,0.0,1.0
2024-04-02,22.0679,22.0679,22.0679,22.0679,22.0679,20,0.0,1.0
2024-04-01,22.1776,22.1776,22.1776,22.1776,22.1776,17,0.0,1.0
2024-03-28,22.2333,22.2333,22.2333,22.2333,22.2333,184,0.0,1.0
2024-03-27,22.1984,22.1984,22.1984,22.1984,22.1984,136,0.0,1.0
2024-03-26,22.1299,22.1299,22.0725,22.0725,22.0725,286,0.0,1.0
2024-03-25,22.0858,22.0858,22.0858,22.0858,22.0858,4,0.0,1.0
2024-03-22,22.1378,22.1378,22.1378,22.1378,22.1378,265,0.0,1.0
2024-03-21,22.1815,22.1815,22.1815,22.1815,22.1815,39,0.0,1.0
2024-03-20,22.1019,22.1019,22.1019,22.1019,22.1019,39,0.0,1.0
2024-03-19,21.9827,21.9827,21.9827,21.9827,21.9827,105,0.0,1.0
2024-03-18,21.97,21.97,21.9077,21.9077,21.9077,1102,0.0,1.0
2024-03-15,21.88,21.9034,21.8583,21.8583,21.8583,1626,0.0,1.0
2024-03-14,21.9999,21.9999,21.9453,21.9453,21.9453,210,0.0,1.0
2024-03-13,22.0421,22.0421,22.0421,22.0421,22.0421,17,0.0,1.0
2024-03-12,22.03,22.0807,22.03,22.0807,22.0807,779,0.0,1.0
2024-03-11,22.08,22.08,21.83,21.917,21.917,1882,0.0,1.0
2024-03-08,21.9489,21.9489,21.9489,21.9489,21.9489,1,0.0,1.0
2024-03-07,22.015,22.045,21.98,22.045,22.045,2189,0.0,1.0
2024-03-06,21.915,21.915,21.8757,21.8757,21.8757,201,0.0,1.0
2024-03-05,21.8444,21.8444,21.7727,21.7727,21.7727,1124,0.0,1.0
2024-03-04,21.9437,21.9437,21.9414,21.9414,21.9414,758,0.0,1.0
2024-03-01,21.89,22.0,21.89,21.9623,21.9623,680,0.0,1.0
2024-02-29,21.8428,21.8428,21.8428,21.8428,21.8428,22,0.0,1.0
2024-02-28,21.7605,21.7605,21.7264,21.7264,21.7264,977,0.0,1.0
2024-02-27,21.745,21.8,21.7301,21.7728,21.7728,3607,0.0,1.0
2024-02-26,21.7352,21.7352,21.7352,21.7352,21.7352,17,0.0,1.0
2024-02-23,21.79,21.8001,21.7,21.7547,21.7547,7532,0.0,1.0
2024-02-22,21.64,21.7439,21.605,21.7439,21.7439,298,0.0,1.0
2024-02-21,21.11,21.2173,21.11,21.2173,21.2173,1568,0.0,1.0
2024-02-20,21.25,21.25,21.1936,21.1936,21.1936,839,0.0,1.0
2024-02-16,21.54,21.54,21.3628,21.3628,21.3628,235,0.0,1.0
2024-02-15,21.37,21.53,21.37,21.4948,21.4948,708,0.0,1.0
2024-02-14,21.19,21.2924,21.1899,21.2924,21.2924,1104,0.0,1.0
2024-02-13,21.0311,21.0311,21.0311,21.0311,21.0311,101,0.0,1.0
2024-02-12,21.65,21.65,21.4308,21.4308,21.4308,400,0.0,1.0
2024-02-09,21.3091,21.4226,21.3083,21.4226,21.4226,833,0.0,1.0
2024-02-08,21.3,21.32,21.2711,21.2711,21.2711,5176,0.0,1.0
2024-02-07,21.2469,21.2469,21.2369,21.2369,21.2369,112,0.0,1.0
2024-02-06,21.05,21.0511,21.05,21.0511,21.0511,528,0.0,1.0
2024-02-05,21.0128,21.0128,21.0128,21.0128,21.0128,102,0.0,1.0
2024-02-02,20.9099,21.1146,20.9099,21.1146,21.1146,464,0.0,1.0
2024-02-01,20.735,20.8201,20.735,20.8201,20.8201,133,0.0,1.0
2024-01-31,20.8054,20.8054,20.692,20.692,20.692,205,0.0,1.0
2024-01-30,20.91,20.91,20.8709,20.8709,20.8709,362,0.0,1.0
2024-01-29,20.8557,20.8557,20.8557,20.8557,20.8557,23,0.0,1.0
2024-01-26,20.7999,20.7999,20.7893,20.7893,20.7893,292,0.0,1.0
2024-01-25,20.81,20.82,20.7909,20.7909,20.7909,406,0.0,1.0
2024-01-24,20.72,20.8021,20.72,20.7485,20.7485,495,0.0,1.0
2024-01-23,20.72,20.72,20.7137,20.7137,20.7137,222,0.0,1.0
2024-01-22,20.715,20.72,20.705,20.705,20.705,585,0.0,1.0
2024-01-19,20.6855,20.7188,20.6855,20.7042,20.7042,294,0.0,1.0
2024-01-18,20.6,20.64,20.5842,20.5998,20.5998,823,0.0,1.0
2024-01-17,20.5355,20.5355,20.5355,20.5355,20.5355,29,0.0,1.0
2024-01-16,20.6288,20.6288,20.586,20.586,20.586,210,0.0,1.0
2024-01-12,20.6552,20.68,20.6423,20.6423,20.6423,2805,0.0,1.0
2024-01-11,20.6604,20.68,20.6451,20.6451,20.6451,4500,0.0,1.0
2024-01-10,20.63,20.7,20.63,20.6552,20.6552,2911,0.0,1.0
2024-01-09,20.62,20.62,20.6009,20.6009,20.6009,3014,0.0,1.0
2024-01-08,20.535,20.67,20.535,20.67,20.67,7347,0.0,1.0
