,HMST_Open,HMST_High,HMST_Low,HMST_Close,HMST_Adj Close,HMST_Volume,HMST_Dividend Amount,HMST_Split Coefficient
2024-10-04,15.45,15.49,15.12,15.16,15.16,34290,0.0,1.0
2024-10-03,15.11,15.26,14.77,15.25,15.25,48085,0.0,1.0
2024-10-02,15.58,15.84,14.92,15.23,15.23,77801,0.0,1.0
2024-10-01,15.61,15.63,15.06,15.5,15.5,69582,0.0,1.0
2024-09-30,15.59,15.98,15.515,15.76,15.76,47408,0.0,1.0
2024-09-27,15.28,15.73,15.11,15.61,15.61,63067,0.0,1.0
2024-09-26,14.82,15.23,14.75,15.07,15.07,42320,0.0,1.0
2024-09-25,14.51,14.82,14.49,14.71,14.71,52971,0.0,1.0
2024-09-24,14.79,14.79,14.49,14.51,14.51,190728,0.0,1.0
2024-09-23,14.99,14.99,14.47,14.75,14.75,83439,0.0,1.0
2024-09-20,14.77,15.36,14.55,14.85,14.85,480501,0.0,1.0
2024-09-19,15.28,15.47,15.22,15.3,15.3,48236,0.0,1.0
2024-09-18,15.14,15.45,15.0,15.0,15.0,105208,0.0,1.0
2024-09-17,15.72,15.785,15.16,15.25,15.25,38522,0.0,1.0
2024-09-16,15.47,15.6,14.96,15.5,15.5,222204,0.0,1.0
2024-09-13,15.13,15.57,15.04,15.41,15.41,41198,0.0,1.0
2024-09-12,15.14,15.14,14.73,14.9,14.9,35866,0.0,1.0
2024-09-11,14.86,15.16,14.63,15.07,15.07,37875,0.0,1.0
2024-09-10,14.78,15.03,14.595,15.03,15.03,243378,0.0,1.0
2024-09-09,14.86,15.37,14.63,14.64,14.64,60095,0.0,1.0
2024-09-06,15.1,15.1,14.63,14.85,14.85,32689,0.0,1.0
2024-09-05,15.51,15.515,14.61,15.0,15.0,75866,0.0,1.0
2024-09-04,15.91,15.91,14.97,15.44,15.44,56386,0.0,1.0
2024-09-03,15.92,16.1,15.54,15.84,15.84,49580,0.0,1.0
2024-08-30,15.51,16.0,15.46,16.0,16.0,94524,0.0,1.0
2024-08-29,15.69,15.69,15.255,15.57,15.57,43105,0.0,1.0
2024-08-28,14.93,15.55,14.93,15.5,15.5,35455,0.0,1.0
2024-08-27,15.02,15.32,14.87,15.0,15.0,60731,0.0,1.0
2024-08-26,15.86,15.93,15.0,15.15,15.15,85036,0.0,1.0
2024-08-23,15.26,15.88,15.14,15.72,15.72,73779,0.0,1.0
2024-08-22,15.2,15.5,15.2,15.26,15.26,33965,0.0,1.0
2024-08-21,14.96,15.25,14.7869,15.22,15.22,65667,0.0,1.0
2024-08-20,15.03,15.06,14.73,14.93,14.93,39540,0.0,1.0
2024-08-19,14.97,15.17,14.71,15.07,15.07,43119,0.0,1.0
2024-08-16,15.0,15.31,14.77,14.92,14.92,71488,0.0,1.0
2024-08-15,15.3,15.325,14.97,15.01,15.01,42550,0.0,1.0
2024-08-14,14.62,15.25,14.51,15.06,15.06,110491,0.0,1.0
2024-08-13,14.5,14.59,14.31,14.55,14.55,52635,0.0,1.0
2024-08-12,14.46,14.565,13.87,14.45,14.45,118601,0.0,1.0
2024-08-09,14.42,14.59,14.22,14.44,14.44,84520,0.0,1.0
2024-08-08,14.55,14.63,14.26,14.47,14.47,50683,0.0,1.0
2024-08-07,14.19,14.4725,13.97,14.36,14.36,111036,0.0,1.0
2024-08-06,13.39,13.96,13.33,13.9,13.9,93858,0.0,1.0
2024-08-05,13.55,13.8,12.99,13.41,13.41,152635,0.0,1.0
2024-08-02,14.07,14.32,13.69,14.11,14.11,184980,0.0,1.0
2024-08-01,14.4,14.41,13.92,14.2,14.2,146057,0.0,1.0
2024-07-31,14.36,14.67,14.205,14.4,14.4,184479,0.0,1.0
2024-07-30,13.9,14.43,13.82,14.4,14.4,225456,0.0,1.0
2024-07-29,13.93,14.01,13.76,13.87,13.87,80743,0.0,1.0
2024-07-26,13.43,13.99,13.43,13.99,13.99,151398,0.0,1.0
2024-07-25,13.53,14.05,13.33,13.33,13.33,211229,0.0,1.0
2024-07-24,13.67,13.87,13.28,13.52,13.52,67501,0.0,1.0
2024-07-23,13.37,13.85,13.16,13.79,13.79,79717,0.0,1.0
2024-07-22,13.26,13.49,12.79,13.49,13.49,105490,0.0,1.0
