,HMSY_Open,HMSY_High,HMSY_Low,HMSY_Close,HMSY_Adj Close,HMSY_Volume,HMSY_Dividend Amount,HMSY_Split Coefficient
2021-04-01,36.975,36.975,36.975,36.975,36.975,0,0.0,1.0
2021-03-31,36.96,36.98,36.96,36.975,36.975,2668455,0.0,1.0
2021-03-30,36.95,36.97,36.9,36.97,36.97,4243288,0.0,1.0
2021-03-29,36.88,36.99,36.85,36.93,36.93,8133496,0.0,1.0
2021-03-26,36.91,36.93,36.71,36.91,36.91,1410328,0.0,1.0
2021-03-25,36.87,36.93,36.87,36.9,36.9,1386582,0.0,1.0
2021-03-24,36.87,36.9,36.85,36.85,36.85,598760,0.0,1.0
2021-03-23,36.84,36.895,36.84,36.88,36.88,1389989,0.0,1.0
2021-03-22,36.76,36.89,36.75,36.85,36.85,675305,0.0,1.0
2021-03-19,36.8,36.98,36.77,36.84,36.84,1745658,0.0,1.0
2021-03-18,36.83,36.88,36.82,36.87,36.87,436320,0.0,1.0
2021-03-17,37.16,37.22,36.77,36.85,36.85,615679,0.0,1.0
2021-03-16,37.05,37.05,36.75,36.77,36.77,1038615,0.0,1.0
2021-03-15,36.75,36.8,36.745,36.77,36.77,566757,0.0,1.0
2021-03-12,36.9,36.9,36.7,36.75,36.75,2790463,0.0,1.0
2021-03-11,36.87,36.87,36.74,36.78,36.78,1044320,0.0,1.0
2021-03-10,36.82,36.85,36.76,36.8,36.8,849391,0.0,1.0
2021-03-09,36.78,36.83,36.71,36.76,36.76,1012419,0.0,1.0
2021-03-08,36.76,36.85,36.7,36.71,36.71,1694120,0.0,1.0
2021-03-05,36.83,36.85,36.72,36.76,36.76,1380153,0.0,1.0
2021-03-04,36.87,36.87,36.72,36.74,36.74,1849486,0.0,1.0
2021-03-03,36.85,36.87,36.8,36.82,36.82,545533,0.0,1.0
2021-03-02,36.8,36.87,36.8,36.81,36.81,1022348,0.0,1.0
2021-03-01,36.87,36.87,36.795,36.82,36.82,698070,0.0,1.0
2021-02-26,36.8,36.87,36.7,36.785,36.785,2102642,0.0,1.0
2021-02-25,36.84,36.9,36.76,36.8,36.8,1060577,0.0,1.0
2021-02-24,36.8,36.9,36.79,36.83,36.83,504080,0.0,1.0
2021-02-23,36.84,37.0,36.78,36.81,36.81,657427,0.0,1.0
2021-02-22,36.78,36.82,36.74,36.8,36.8,942986,0.0,1.0
2021-02-19,36.75,36.8,36.73,36.78,36.78,447630,0.0,1.0
2021-02-18,36.75,36.79,36.7,36.76,36.76,572672,0.0,1.0
2021-02-17,36.7,36.8,36.69,36.76,36.76,1132285,0.0,1.0
2021-02-16,36.77,36.99,36.68,36.72,36.72,583592,0.0,1.0
2021-02-12,36.75,36.75,36.62,36.68,36.68,1443785,0.0,1.0
2021-02-11,36.73,36.8,36.65,36.69,36.69,1147762,0.0,1.0
2021-02-10,36.75,36.82,36.63,36.67,36.67,598835,0.0,1.0
2021-02-09,36.75,36.8,36.69,36.74,36.74,651249,0.0,1.0
2021-02-08,36.85,36.86,36.7,36.8,36.8,474017,0.0,1.0
2021-02-05,36.8,36.85,36.695,36.85,36.85,398834,0.0,1.0
2021-02-04,36.61,36.93,36.61,36.74,36.74,603644,0.0,1.0
2021-02-03,36.69,36.8,36.65,36.74,36.74,447618,0.0,1.0
2021-02-02,36.805,37.04,36.65,36.71,36.71,708748,0.0,1.0
2021-02-01,36.87,36.87,36.64,36.75,36.75,570853,0.0,1.0
2021-01-29,36.6,37.03,36.51,36.82,36.82,2333255,0.0,1.0
2021-01-28,36.57,36.72,36.49,36.6,36.6,2245096,0.0,1.0
2021-01-27,36.53,36.72,36.52,36.57,36.57,1598560,0.0,1.0
2021-01-26,36.77,36.8,36.7,36.75,36.75,856094,0.0,1.0
2021-01-25,36.7,36.8,36.69,36.74,36.74,1143125,0.0,1.0
2021-01-22,36.7,36.97,36.68,36.735,36.735,3148243,0.0,1.0
2021-01-21,36.08,36.81,36.08,36.76,36.76,2719373,0.0,1.0
2021-01-20,36.32,36.38,35.965,36.11,36.11,1228568,0.0,1.0
2021-01-19,36.5,36.5,36.24,36.3,36.3,1372471,0.0,1.0
2021-01-15,36.38,36.47,36.15,36.37,36.37,2747448,0.0,1.0
2021-01-14,36.11,36.59,36.11,36.4,36.4,997063,0.0,1.0
2021-01-13,36.54,36.62,36.41,36.455,36.455,935657,0.0,1.0
2021-01-12,36.54,36.615,36.515,36.58,36.58,660858,0.0,1.0
2021-01-11,36.55,36.6,36.49,36.54,36.54,1005027,0.0,1.0
2021-01-08,36.63,36.67,36.42,36.59,36.59,2402184,0.0,1.0
2021-01-07,36.66,36.75,36.59,36.64,36.64,2312614,0.0,1.0
2021-01-06,36.73,36.81,36.56,36.73,36.73,3400317,0.0,1.0
2021-01-05,36.56,36.825,36.56,36.65,36.65,1932090,0.0,1.0
2021-01-04,36.75,36.835,36.5,36.61,36.61,2189650,0.0,1.0
2020-12-31,36.7,36.79,36.545,36.75,36.75,812625,0.0,1.0
2020-12-30,36.7,36.95,36.56,36.6,36.6,1062901,0.0,1.0
2020-12-29,36.65,36.84,36.53,36.69,36.69,1506237,0.0,1.0
2020-12-28,36.6,36.85,36.5,36.63,36.63,1443980,0.0,1.0
2020-12-24,36.6,36.6,36.47,36.51,36.51,1058874,0.0,1.0
2020-12-23,36.84,36.87,36.45,36.57,36.57,2604527,0.0,1.0
2020-12-22,36.43,36.62,36.42,36.58,36.58,4211983,0.0,1.0
2020-12-21,36.65,36.75,36.4,36.5,36.5,7424055,0.0,1.0
2020-12-18,33.22,33.98,33.16,33.78,33.78,2146910,0.0,1.0
2020-12-17,32.56,33.03,32.03,32.96,32.96,353761,0.0,1.0
2020-12-16,32.71,33.16,32.265,32.65,32.65,361909,0.0,1.0
2020-12-15,31.35,32.76,31.01,32.7,32.7,401460,0.0,1.0
2020-12-14,31.94,32.23,31.08,31.24,31.24,323929,0.0,1.0
2020-12-11,31.92,32.68,31.49,31.83,31.83,271363,0.0,1.0
2020-12-10,31.84,32.43,31.4,31.95,31.95,296821,0.0,1.0
2020-12-09,32.49,33.68,31.18,32.14,32.14,404580,0.0,1.0
2020-12-08,31.2,32.24,30.96,32.17,32.17,426923,0.0,1.0
2020-12-07,31.26,31.68,30.79,31.56,31.56,341862,0.0,1.0
2020-12-04,31.0,31.56,30.655,31.43,31.43,434887,0.0,1.0
2020-12-03,31.25,31.53,30.61,30.71,30.71,331812,0.0,1.0
2020-12-02,31.15,31.6,30.72,31.33,31.33,269280,0.0,1.0
2020-12-01,31.69,31.735,31.03,31.13,31.13,229615,0.0,1.0
2020-11-30,32.0,32.31,31.12,31.42,31.42,473248,0.0,1.0
2020-11-27,32.36,32.36,31.55,32.11,32.11,129463,0.0,1.0
2020-11-25,31.91,32.485,30.93,32.27,32.27,376610,0.0,1.0
2020-11-24,31.59,32.41,31.03,32.05,32.05,491453,0.0,1.0
2020-11-23,30.61,31.37,30.25,31.14,31.14,386070,0.0,1.0
2020-11-20,30.32,31.09,30.03,30.39,30.39,554027,0.0,1.0
2020-11-19,30.2,30.69,29.63,30.66,30.66,374098,0.0,1.0
2020-11-18,30.78,31.125,30.19,30.2,30.2,284177,0.0,1.0
2020-11-17,30.54,31.005,30.04,30.78,30.78,493289,0.0,1.0
2020-11-16,30.84,31.145,30.31,30.85,30.85,491633,0.0,1.0
2020-11-13,29.49,30.5,29.49,30.45,30.45,396820,0.0,1.0
2020-11-12,29.44,30.65,28.73,29.36,29.36,646270,0.0,1.0
2020-11-11,29.9,29.9,29.15,29.69,29.69,306986,0.0,1.0
2020-11-10,30.09,30.99,29.28,29.7,29.7,898808,0.0,1.0
2020-11-09,30.24,31.56,29.34,29.72,29.72,934458,0.0,1.0
2020-11-06,28.01,29.57,27.5,27.65,27.65,1064112,0.0,1.0
2020-11-05,27.34,27.68,24.95,25.21,25.21,1115577,0.0,1.0
2020-11-04,27.85,28.27,26.55,27.32,27.32,582475,0.0,1.0
2020-11-03,27.74,28.63,27.53,28.1,28.1,314904,0.0,1.0
2020-11-02,26.96,27.49,26.72,27.3,27.3,460875,0.0,1.0
2020-10-30,26.59,26.95,26.075,26.62,26.62,402531,0.0,1.0
2020-10-29,26.51,26.79,25.98,26.595,26.595,482230,0.0,1.0
2020-10-28,26.88,27.23,26.6,26.67,26.67,405327,0.0,1.0
2020-10-27,27.37,27.7794,27.27,27.34,27.34,224606,0.0,1.0
2020-10-26,27.88,28.07,27.32,27.54,27.54,239373,0.0,1.0
2020-10-23,27.34,28.2,27.12,28.19,28.19,344169,0.0,1.0
2020-10-22,26.89,27.2,26.69,27.12,27.12,413493,0.0,1.0
2020-10-21,27.46,27.46,26.87,26.9,26.9,233962,0.0,1.0
2020-10-20,27.75,28.045,27.06,27.13,27.13,288913,0.0,1.0
2020-10-19,28.63,28.985,27.42,27.52,27.52,281040,0.0,1.0
2020-10-16,28.42,28.97,28.37,28.48,28.48,387306,0.0,1.0
2020-10-15,28.75,28.875,28.41,28.49,28.49,423134,0.0,1.0
2020-10-14,29.49,29.83,28.755,28.89,28.89,431862,0.0,1.0
2020-10-13,29.66,29.99,29.32,29.56,29.56,412968,0.0,1.0
2020-10-12,28.87,29.97,28.53,29.92,29.92,415088,0.0,1.0
2020-10-09,29.02,29.35,28.53,28.82,28.82,445394,0.0,1.0
2020-10-08,28.38,29.13,28.15,29.0,29.0,447000,0.0,1.0
2020-10-07,28.36,28.63,27.94,28.11,28.11,736085,0.0,1.0
2020-10-06,27.42,28.48,27.11,28.18,28.18,1340868,0.0,1.0
2020-10-05,27.0,27.845,26.62,27.39,27.39,1757967,0.0,1.0
2020-10-02,23.65,24.63,23.363,24.37,24.37,532175,0.0,1.0
2020-10-01,23.85,24.1,23.49,23.91,23.91,424180,0.0,1.0
2020-09-30,23.75,24.2,23.7,23.95,23.95,728912,0.0,1.0
2020-09-29,23.61,23.835,23.33,23.74,23.74,604946,0.0,1.0
2020-09-28,23.78,24.21,23.58,23.66,23.66,410968,0.0,1.0
2020-09-25,23.34,23.7,23.34,23.64,23.64,284847,0.0,1.0
2020-09-24,23.37,23.79,23.12,23.46,23.46,533500,0.0,1.0
2020-09-23,24.08,24.51,23.365,23.46,23.46,516221,0.0,1.0
2020-09-22,24.66,24.7,23.99,24.14,24.14,712861,0.0,1.0
2020-09-21,25.17,25.435,24.34,24.65,24.65,662632,0.0,1.0
2020-09-18,25.89,26.225,25.12,25.4,25.4,1470198,0.0,1.0
2020-09-17,25.2,25.76,25.05,25.7,25.7,548358,0.0,1.0
2020-09-16,25.54,26.48,25.07,25.53,25.53,388004,0.0,1.0
2020-09-15,26.55,26.55,25.46,25.55,25.55,500806,0.0,1.0
2020-09-14,26.07,26.62,25.88,26.37,26.37,597693,0.0,1.0
2020-09-11,25.9,26.17,25.47,25.82,25.82,616041,0.0,1.0
2020-09-10,26.75,27.07,25.815,25.84,25.84,621399,0.0,1.0
2020-09-09,26.7,26.97,26.28,26.73,26.73,695874,0.0,1.0
2020-09-08,26.48,26.87,26.1,26.44,26.44,561164,0.0,1.0
2020-09-04,28.26,28.26,26.72,26.73,26.73,462058,0.0,1.0
2020-09-03,29.13,29.1687,27.84,28.1,28.1,417630,0.0,1.0
2020-09-02,28.42,29.28,28.42,29.22,29.22,352573,0.0,1.0
2020-09-01,28.15,28.66,27.965,28.43,28.43,690961,0.0,1.0
2020-08-31,28.24,28.24,27.84,27.89,27.89,666166,0.0,1.0
2020-08-28,28.82,28.96,27.92,28.21,28.21,344588,0.0,1.0
2020-08-27,28.43,28.86,27.95,28.68,28.68,807440,0.0,1.0
2020-08-26,28.33,28.7,28.1336,28.5,28.5,536260,0.0,1.0
2020-08-25,29.03,29.08,28.48,28.645,28.645,584372,0.0,1.0
2020-08-24,29.56,29.909,28.74,28.91,28.91,644606,0.0,1.0
2020-08-21,29.29,29.515,29.17,29.44,29.44,381917,0.0,1.0
2020-08-20,29.08,29.95,29.08,29.26,29.26,482915,0.0,1.0
2020-08-19,29.64,29.74,29.05,29.33,29.33,895861,0.0,1.0
2020-08-18,29.42,29.72,28.5,29.54,29.54,2047591,0.0,1.0
2020-08-17,29.65,29.89,29.24,29.29,29.29,453836,0.0,1.0
2020-08-14,30.08,30.23,29.51,29.68,29.68,344911,0.0,1.0
2020-08-13,29.96,30.47,29.65,30.12,30.12,495834,0.0,1.0
2020-08-12,31.2,31.25,30.02,30.175,30.175,505241,0.0,1.0
2020-08-11,31.13,31.315,30.84,31.0,31.0,650212,0.0,1.0
2020-08-10,31.68,31.68,30.71,30.88,30.88,495201,0.0,1.0
2020-08-07,31.86,33.25,30.19,31.1,31.1,1223978,0.0,1.0
2020-08-06,32.75,32.94,31.655,32.36,32.36,860882,0.0,1.0
2020-08-05,32.91,32.91,32.07,32.61,32.61,462238,0.0,1.0
2020-08-04,32.1,32.56,31.82,32.56,32.56,412533,0.0,1.0
2020-08-03,32.76,32.76,31.9,32.14,32.14,488989,0.0,1.0
2020-07-31,32.76,32.78,31.82,32.5,32.5,422345,0.0,1.0
2020-07-30,32.37,33.18,31.85,32.72,32.72,611104,0.0,1.0
2020-07-29,32.12,32.74,31.95,32.68,32.68,221561,0.0,1.0
2020-07-28,32.23,32.87,31.99,32.02,32.02,263105,0.0,1.0
2020-07-27,31.95,32.33,31.715,32.29,32.29,259155,0.0,1.0
2020-07-24,32.29,32.6,31.71,32.0,32.0,490387,0.0,1.0
2020-07-23,32.38,32.79,32.1,32.32,32.32,325669,0.0,1.0
2020-07-22,33.18,33.32,32.13,32.37,32.37,483462,0.0,1.0
2020-07-21,33.05,33.41,32.6,33.19,33.19,380587,0.0,1.0
2020-07-20,32.99,33.19,32.5,32.65,32.65,171717,0.0,1.0
2020-07-17,32.8,33.25,32.48,33.03,33.03,447900,0.0,1.0
2020-07-16,32.79,32.88,32.32,32.87,32.87,562500,0.0,1.0
2020-07-15,32.16,33.2,32.02,32.92,32.92,428100,0.0,1.0
2020-07-14,31.73,32.16,31.26,31.77,31.77,406700,0.0,1.0
2020-07-13,32.78,32.98,31.85,31.85,31.85,518700,0.0,1.0
2020-07-10,32.21,32.67,32.12,32.55,32.55,285000,0.0,1.0
2020-07-09,32.45,32.67,31.7,32.25,32.25,418000,0.0,1.0
2020-07-08,32.49,32.69,31.88,32.5,32.5,422900,0.0,1.0
2020-07-07,32.49,32.88,32.39,32.46,32.46,400200,0.0,1.0
2020-07-06,33.27,33.4,32.73,32.78,32.78,349900,0.0,1.0
2020-07-02,32.85,33.42,32.7,32.94,32.94,329200,0.0,1.0
2020-07-01,32.49,33.03,32.31,32.58,32.58,481900,0.0,1.0
2020-06-30,31.39,32.44,31.39,32.39,32.39,590900,0.0,1.0
2020-06-29,31.07,31.77,30.7,31.49,31.49,473700,0.0,1.0
2020-06-26,31.33,31.63,30.72,30.78,30.78,882525,0.0,1.0
2020-06-25,31.06,31.27,30.62,31.25,31.25,385099,0.0,1.0
2020-06-24,31.16,31.48,30.72,31.3,31.3,489309,0.0,1.0
2020-06-23,31.23,31.79,31.11,31.38,31.38,411875,0.0,1.0
2020-06-22,30.92,31.27,30.6,31.05,31.05,289841,0.0,1.0
2020-06-19,30.85,31.49,30.85,31.1,31.1,878204,0.0,1.0
2020-06-18,30.73,31.28,30.49,30.86,30.86,329020,0.0,1.0
2020-06-17,31.53,31.66,30.725,30.84,30.84,355915,0.0,1.0
2020-06-16,31.68,32.12,31.09,31.45,31.45,417231,0.0,1.0
2020-06-15,30.37,31.36,30.06,31.03,31.03,581852,0.0,1.0
2020-06-12,31.25,31.5498,30.22,30.83,30.83,728385,0.0,1.0
2020-06-11,30.96,31.09,30.38,30.54,30.54,699748,0.0,1.0
2020-06-10,31.77,31.86,31.12,31.49,31.49,481391,0.0,1.0
2020-06-09,32.29,32.465,31.75,31.8,31.8,379231,0.0,1.0
2020-06-08,32.72,32.72,31.71,32.31,32.31,586025,0.0,1.0
2020-06-05,31.56,32.92,31.2401,32.6,32.6,494077,0.0,1.0
2020-06-04,31.88,32.03,30.97,31.12,31.12,556430,0.0,1.0
2020-06-03,32.64,32.64,31.75,32.16,32.16,567735,0.0,1.0
2020-06-02,31.78,32.685,31.29,32.38,32.38,608842,0.0,1.0
2020-06-01,31.29,32.14,31.235,31.75,31.75,586487,0.0,1.0
2020-05-29,31.21,31.51,30.17,31.24,31.24,908053,0.0,1.0
2020-05-28,30.7,32.06,30.7,31.55,31.55,966404,0.0,1.0
2020-05-27,29.23,30.72,29.13,30.71,30.71,679222,0.0,1.0
2020-05-26,28.5,29.19,28.28,29.05,29.05,748433,0.0,1.0
2020-05-22,27.41,28.05,26.55,28.045,28.045,457127,0.0,1.0
2020-05-21,27.05,27.24,26.695,26.99,26.99,424675,0.0,1.0
2020-05-20,27.45,27.64,26.87,27.09,27.09,574025,0.0,1.0
2020-05-19,27.91,28.29,27.03,27.105,27.105,596551,0.0,1.0
2020-05-18,27.45,28.25,27.24,28.22,28.22,889503,0.0,1.0
2020-05-15,26.95,27.05,26.45,26.86,26.86,1294443,0.0,1.0
2020-05-14,26.66,26.75,25.87,26.63,26.63,720998,0.0,1.0
2020-05-13,27.3,27.96,26.66,26.98,26.98,562424,0.0,1.0
2020-05-12,28.73,29.12,27.6,27.62,27.62,707921,0.0,1.0
2020-05-11,28.18,28.66,27.9,28.49,28.49,530203,0.0,1.0
2020-05-08,29.9,30.6899,28.045,28.38,28.38,819528,0.0,1.0
2020-05-07,28.81,28.81,27.14,27.39,27.39,1184472,0.0,1.0
2020-05-06,28.73,29.145,28.39,28.46,28.46,708733,0.0,1.0
2020-05-05,28.78,28.9549,28.34,28.56,28.56,528745,0.0,1.0
2020-05-04,28.35,28.725,28.07,28.49,28.49,485726,0.0,1.0
2020-05-01,28.27,28.68,27.9043,28.51,28.51,502642,0.0,1.0
2020-04-30,28.45,29.14,27.97,28.675,28.675,731220,0.0,1.0
2020-04-29,28.59,29.14,28.27,28.8,28.8,465031,0.0,1.0
2020-04-28,29.24,29.26,27.86,28.09,28.09,623778,0.0,1.0
2020-04-27,28.24,29.07,28.08,28.71,28.71,812702,0.0,1.0
2020-04-24,28.12,28.56,27.52,28.16,28.16,614564,0.0,1.0
2020-04-23,27.96,28.24,27.45,27.81,27.81,427630,0.0,1.0
2020-04-22,27.61,28.29,27.32,27.95,27.95,568137,0.0,1.0
2020-04-21,27.4,27.9,26.71,27.26,27.26,585036,0.0,1.0
2020-04-20,27.58,28.37,27.52,28.1,28.1,474251,0.0,1.0
2020-04-17,28.14,28.34,27.355,27.87,27.87,520246,0.0,1.0
2020-04-16,26.98,27.74,26.43,27.59,27.59,815168,0.0,1.0
2020-04-15,26.37,27.225,26.28,26.85,26.85,1279759,0.0,1.0
2020-04-14,27.41,27.54,26.325,26.91,26.91,408508,0.0,1.0
2020-04-13,26.91,27.19,26.47,27.04,27.04,607383,0.0,1.0
2020-04-09,25.75,26.81,25.46,26.73,26.73,481751,0.0,1.0
2020-04-08,24.38,25.83,24.35,25.56,25.56,637842,0.0,1.0
2020-04-07,25.18,25.86,23.965,24.23,24.23,721321,0.0,1.0
2020-04-06,25.22,25.96,24.51,24.94,24.94,802923,0.0,1.0
2020-04-03,24.5,25.29,23.64,24.48,24.48,807061,0.0,1.0
2020-04-02,24.39,25.13,23.94,24.66,24.66,719490,0.0,1.0
2020-04-01,24.67,25.405,24.33,24.61,24.61,947518,0.0,1.0
2020-03-31,24.71,25.29,23.92,25.27,25.27,932446,0.0,1.0
2020-03-30,25.32,25.47,24.34,24.98,24.98,661381,0.0,1.0
2020-03-27,24.57,25.61,23.85,24.87,24.87,798827,0.0,1.0
2020-03-26,23.8,25.75,23.8,25.0,25.0,987750,0.0,1.0
2020-03-25,22.56,24.78,22.465,23.71,23.71,1324857,0.0,1.0
2020-03-24,24.23,24.72,21.94,22.62,22.62,1391694,0.0,1.0
2020-03-23,23.53,24.38,22.46,23.77,23.77,1334177,0.0,1.0
2020-03-20,22.95,23.92,22.56,23.08,23.08,1056654,0.0,1.0
2020-03-19,21.73,23.74,21.04,22.85,22.85,1054493,0.0,1.0
2020-03-18,18.75,22.65,18.75,21.88,21.88,917114,0.0,1.0
2020-03-17,19.47,20.02,18.195,19.93,19.93,1119073,0.0,1.0
2020-03-16,19.76,20.19,18.96,19.26,19.26,956347,0.0,1.0
2020-03-13,21.88,22.465,19.67,21.12,21.12,833959,0.0,1.0
2020-03-12,20.69,21.74,20.0,21.21,21.21,1389043,0.0,1.0
2020-03-11,21.75,21.96,21.25,21.41,21.41,1159197,0.0,1.0
2020-03-10,21.52,22.39,20.51,22.33,22.33,1450133,0.0,1.0
2020-03-09,21.4,22.15,20.88,21.04,21.04,1343702,0.0,1.0
2020-03-06,22.23,23.14,21.9,22.65,22.65,729094,0.0,1.0
2020-03-05,22.87,23.358,22.37,22.72,22.72,1471001,0.0,1.0
2020-03-04,23.17,23.73,22.72,23.38,23.38,1478219,0.0,1.0
2020-03-03,24.04,24.26,22.56,22.76,22.76,1112725,0.0,1.0
2020-03-02,23.15,24.2,22.95,23.98,23.98,988542,0.0,1.0
2020-02-28,23.17,23.7,22.47,22.97,22.97,1308252,0.0,1.0
2020-02-27,23.33,24.15,22.7,23.77,23.77,987724,0.0,1.0
2020-02-26,24.43,24.5,23.6,23.8,23.8,620425,0.0,1.0
2020-02-25,23.96,24.53,23.77,24.26,24.26,901825,0.0,1.0
2020-02-24,23.54,24.43,23.54,23.97,23.97,938193,0.0,1.0
2020-02-21,24.99,25.62,23.26,24.23,24.23,2294266,0.0,1.0
2020-02-20,28.07,28.19,27.3,27.47,27.47,657206,0.0,1.0
2020-02-19,28.34,28.615,28.03,28.15,28.15,492388,0.0,1.0
2020-02-18,28.14,28.44,27.875,28.36,28.36,299458,0.0,1.0
2020-02-14,28.36,28.36,28.07,28.22,28.22,359891,0.0,1.0
2020-02-13,28.06,28.5206,27.91,28.35,28.35,198369,0.0,1.0
2020-02-12,28.59,28.795,27.9,28.18,28.18,340648,0.0,1.0
2020-02-11,28.26,28.67,28.17,28.43,28.43,360187,0.0,1.0
2020-02-10,27.69,28.11,27.675,28.1,28.1,554173,0.0,1.0
2020-02-07,28.21,28.34,27.8,27.85,27.85,324969,0.0,1.0
2020-02-06,28.27,28.57,27.77,28.31,28.31,360213,0.0,1.0
2020-02-05,27.98,28.23,27.01,28.12,28.12,448586,0.0,1.0
2020-02-04,27.3,27.48,26.92,26.97,26.97,467536,0.0,1.0
2020-02-03,27.43,27.73,26.975,27.01,27.01,379706,0.0,1.0
2020-01-31,27.62,27.78,27.18,27.32,27.32,424399,0.0,1.0
2020-01-30,27.4,27.82,27.19,27.68,27.68,807467,0.0,1.0
2020-01-29,27.73,27.99,27.5,27.64,27.64,367044,0.0,1.0
2020-01-28,27.72,28.52,27.6151,27.72,27.72,527308,0.0,1.0
2020-01-27,26.6,27.705,26.38,27.53,27.53,830930,0.0,1.0
2020-01-24,28.1,28.2,26.91,27.0,27.0,625758,0.0,1.0
2020-01-23,28.32,28.355,27.85,28.09,28.09,1481330,0.0,1.0
