,HON_Open,HON_High,HON_Low,HON_Close,HON_Adj Close,HON_Volume,HON_Dividend Amount,HON_Split Coefficient
2024-10-04,204.57,205.08,201.64,203.78,203.78,1643484,0.0,1.0
2024-10-03,202.5,203.57,201.6,202.88,202.88,2047574,0.0,1.0
2024-10-02,205.57,206.05,203.66,203.88,203.88,1841857,0.0,1.0
2024-10-01,206.43,208.0,204.83,206.07,206.07,2300363,0.0,1.0
2024-09-30,208.1,208.795,204.23,206.71,206.71,2624435,0.0,1.0
2024-09-27,207.5,210.8508,207.13,207.63,207.63,2454314,0.0,1.0
2024-09-26,207.72,208.5,206.5589,207.03,207.03,1597994,0.0,1.0
2024-09-25,206.2,207.76,205.26,206.78,206.78,2858263,0.0,1.0
2024-09-24,203.77,206.0,202.69,205.27,205.27,2581852,0.0,1.0
2024-09-23,204.01,204.05,202.6124,203.77,203.77,2263834,0.0,1.0
2024-09-20,203.79,203.79,201.96,203.35,203.35,3829991,0.0,1.0
2024-09-19,204.162,205.5399,202.18,203.7,203.7,2695351,0.0,1.0
2024-09-18,204.24,204.7199,200.59,201.64,201.64,2391512,0.0,1.0
2024-09-17,205.0,205.74,203.55,204.24,204.24,1441683,0.0,1.0
2024-09-16,206.0,206.95,203.73,204.68,204.68,1562228,0.0,1.0
2024-09-13,204.47,205.62,203.56,204.15,204.15,1973329,0.0,1.0
2024-09-12,203.94,204.99,201.87,204.67,204.67,1945783,0.0,1.0
2024-09-11,200.84,204.36,197.3601,204.04,204.04,2737800,0.0,1.0
2024-09-10,200.3,201.18,198.57,200.95,200.95,1395465,0.0,1.0
2024-09-09,199.98,201.7,199.15,201.16,201.16,2300381,0.0,1.0
2024-09-06,203.0,203.1,197.85,198.13,198.13,2540656,0.0,1.0
2024-09-05,205.19,205.43,201.69,202.98,202.98,1512221,0.0,1.0
2024-09-04,205.27,207.13,205.18,205.54,205.54,1579947,0.0,1.0
2024-09-03,207.65,207.91,204.105,204.86,204.86,2056901,0.0,1.0
2024-08-30,207.98,208.75,205.3,207.91,207.91,1923464,0.0,1.0
2024-08-29,206.32,208.405,204.44,207.51,207.51,2369363,0.0,1.0
2024-08-28,206.61,207.1,203.79,204.995,204.995,2338802,0.0,1.0
2024-08-27,203.97,206.3,203.755,206.11,206.11,2362143,0.0,1.0
2024-08-26,203.59,204.82,202.91,203.85,203.85,1834868,0.0,1.0
2024-08-23,201.69,202.78,200.84,202.48,202.48,2948370,0.0,1.0
2024-08-22,200.75,201.37,199.321,200.14,200.14,1947583,0.0,1.0
2024-08-21,200.84,201.78,199.89,201.42,201.42,1784934,0.0,1.0
2024-08-20,199.0,200.51,197.93,200.07,200.07,3060420,0.0,1.0
2024-08-19,198.46,199.425,197.8401,199.04,199.04,2044386,0.0,1.0
2024-08-16,197.59,199.61,196.83,198.5,198.5,2811121,1.08,1.0
2024-08-15,198.952,200.23,198.1,198.46,197.386060727528,2900232,0.0,1.0
2024-08-14,196.0,197.79,195.57,197.6,196.530714500451,3471298,0.0,1.0
2024-08-13,197.26,197.4117,195.61,196.73,195.665422387013,3739387,0.0,1.0
2024-08-12,198.46,198.5,196.53,196.79,195.725097705181,3073966,0.0,1.0
2024-08-09,199.025,199.16,197.52,198.23,197.157305341217,1888151,0.0,1.0
2024-08-08,197.92,200.54,197.92,199.82,198.738701272673,2461136,0.0,1.0
2024-08-07,200.55,203.9538,197.7,197.92,196.848982864014,3292176,0.0,1.0
2024-08-06,199.7,202.18,198.49,198.8,197.724220863814,3629081,0.0,1.0
2024-08-05,202.53,202.53,196.9,199.71,198.629296522698,3915475,0.0,1.0
2024-08-02,208.25,208.96,201.3042,203.69,202.587759294518,3377778,0.0,1.0
2024-08-01,204.33,206.76,201.5,204.58,203.472943180679,3742962,0.0,1.0
2024-07-31,203.76,206.76,202.14,204.75,203.642023248823,3323861,0.0,1.0
2024-07-30,201.95,203.95,201.465,202.64,201.543441226576,2608471,0.0,1.0
2024-07-29,203.53,203.76,199.13,201.4,200.310151317767,2874004,0.0,1.0
2024-07-26,203.03,207.8,198.24,202.74,201.642900090189,7452531,0.0,1.0
2024-07-25,202.79,205.2269,199.0,202.45,201.35446938571,6683690,0.0,1.0
2024-07-24,217.38,217.765,213.13,213.65,212.493862110432,3524717,0.0,1.0
2024-07-23,216.98,218.86,216.205,217.38,216.203677723219,1791248,0.0,1.0
2024-07-22,215.27,217.11,213.63,216.97,215.795896382403,2784618,0.0,1.0
2024-07-19,217.73,218.14,214.241,214.61,213.448667201122,2660590,0.0,1.0
2024-07-18,219.98,220.79,217.52,217.67,216.492108427698,2165441,0.0,1.0
2024-07-17,219.0,220.71,217.845,220.21,219.018363563483,2688142,0.0,1.0
2024-07-16,215.85,219.01,215.65,218.47,217.287779336607,2978471,0.0,1.0
2024-07-15,214.4,216.33,213.41,215.72,214.552660587233,1732209,0.0,1.0
2024-07-12,215.53,216.85,212.3281,215.11,213.94596151919,2089379,0.0,1.0
2024-07-11,215.0,216.67,213.65,214.85,213.687368473795,2701551,0.0,1.0
2024-07-10,211.2,214.94,210.765,214.49,213.329316564786,1791777,0.0,1.0
2024-07-09,211.69,212.1,210.56,210.6,209.460366770217,1375377,0.0,1.0
2024-07-08,211.89,213.23,211.02,211.63,210.484793065437,1838096,0.0,1.0
2024-07-05,212.57,212.91,210.74,212.24,211.09149213348,1355280,0.0,1.0
2024-07-03,213.0,213.27,212.0709,212.46,211.31030163343,1086724,0.0,1.0
2024-07-02,211.77,213.28,210.96,213.23,212.076134883255,1908531,0.0,1.0
2024-07-01,213.14,215.53,210.87,210.95,209.808472792865,2148470,0.0,1.0
2024-06-28,214.14,216.15,211.14,213.54,212.384457360457,4804816,0.0,1.0
2024-06-27,214.3,215.35,213.01,214.38,213.219911814811,1913218,0.0,1.0
2024-06-26,213.55,214.07,211.6,213.43,212.275052610482,2173863,0.0,1.0
2024-06-25,216.83,216.83,213.72,214.45,213.289533019341,2970633,0.0,1.0
2024-06-24,215.21,218.36,214.91,215.89,214.721740655376,2933238,0.0,1.0
2024-06-21,215.785,216.08,213.5201,215.09,213.926069746468,7929048,0.0,1.0
2024-06-20,213.4,215.19,212.87,214.14,212.981210542138,4042227,0.0,1.0
2024-06-18,211.04,213.225,210.43,212.87,211.718082974246,2443359,0.0,1.0
2024-06-17,208.0,212.17,207.54,211.95,210.803061429001,3100728,0.0,1.0
2024-06-14,207.2,208.68,206.01,208.53,207.401568293416,2239211,0.0,1.0
2024-06-13,207.09,208.97,206.25,208.63,207.50102715703,1959739,0.0,1.0
2024-06-12,210.75,211.63,207.74,208.5,207.371730634332,2471388,0.0,1.0
2024-06-11,209.78,209.855,207.15,209.48,208.346427497745,2304900,0.0,1.0
