,HPQ_Open,HPQ_High,HPQ_Low,HPQ_Close,HPQ_Adj Close,HPQ_Volume,HPQ_Dividend Amount,HPQ_Split Coefficient
2024-10-04,36.0,36.11,35.5601,35.99,35.99,5116933,0.0,1.0
2024-10-03,35.065,35.61,34.98,35.6,35.6,7227119,0.0,1.0
2024-10-02,34.79,35.475,34.46,35.18,35.18,8804148,0.0,1.0
2024-10-01,35.04,35.19,34.15,34.76,34.76,10361189,0.0,1.0
2024-09-30,35.5,35.99,35.5,35.87,35.87,8304171,0.0,1.0
2024-09-27,35.76,36.08,35.1054,35.41,35.41,9961863,0.0,1.0
2024-09-26,36.48,36.93,36.07,36.85,36.85,6278208,0.0,1.0
2024-09-25,36.0,36.41,35.93,36.05,36.05,6621992,0.0,1.0
2024-09-24,35.26,35.88,35.25,35.84,35.84,6576949,0.0,1.0
2024-09-23,34.79,35.245,34.63,35.11,35.11,7951741,0.0,1.0
2024-09-20,34.71,34.92,34.385,34.76,34.76,37215904,0.0,1.0
2024-09-19,35.1,35.216,34.8,34.82,34.82,7466653,0.0,1.0
2024-09-18,34.6,34.98,34.3,34.53,34.53,7077894,0.0,1.0
2024-09-17,34.05,34.905,33.99,34.43,34.43,10054403,0.0,1.0
2024-09-16,33.19,33.85,33.14,33.76,33.76,7775915,0.0,1.0
2024-09-13,33.2,33.5475,33.135,33.32,33.32,5924173,0.0,1.0
2024-09-12,33.24,33.4,32.95,33.1,33.1,6508797,0.0,1.0
2024-09-11,33.18,33.43,32.685,33.37,33.37,7186832,0.2756,1.0
2024-09-10,34.02,34.18,33.37,33.47,33.195838386,7862963,0.0,1.0
2024-09-09,34.28,34.83,34.02,34.18,33.9000225883919,9803668,0.0,1.0
2024-09-06,34.27,34.635,33.765,33.82,33.5429714435171,7995956,0.0,1.0
2024-09-05,34.84,35.03,34.34,34.4,34.1182205102599,6862109,0.0,1.0
2024-09-04,35.35,35.64,35.145,35.33,35.0406026345198,6397792,0.0,1.0
2024-09-03,35.99,36.17,35.14,35.38,35.090193071308,9151741,0.0,1.0
2024-08-30,35.65,36.25,35.46,36.18,35.8836400599187,12068586,0.0,1.0
2024-08-29,34.11,36.8699,33.8,35.46,35.1695377701691,18740425,0.0,1.0
2024-08-28,35.52,35.7,34.64,34.76,34.4752716551347,12074196,0.0,1.0
2024-08-27,35.5,35.68,35.34,35.6,35.3083909931759,6473819,0.0,1.0
2024-08-26,35.85,36.16,35.34,35.57,35.278636731103,5415212,0.0,1.0
2024-08-23,35.33,36.17,35.32,35.66,35.3678995173217,6319665,0.0,1.0
2024-08-22,35.31,35.6789,35.0,35.08,34.792650450579,4955466,0.0,1.0
2024-08-21,35.0,35.325,34.815,35.27,34.981094110374,4676966,0.0,1.0
2024-08-20,34.6,35.0499,34.59,34.81,34.5248620919229,6885405,0.0,1.0
2024-08-19,34.62,35.29,34.28,34.6,34.3165822574126,9622314,0.0,1.0
2024-08-16,35.48,36.03,35.405,35.91,35.6158517012626,5580370,0.0,1.0
2024-08-15,35.2,35.559,35.15,35.49,35.199292032242,4847785,0.0,1.0
2024-08-14,34.76,35.015,34.54,34.75,34.4653535677771,5158590,0.0,1.0
2024-08-13,34.01,34.78,33.97,34.76,34.4752716551347,6477398,0.0,1.0
2024-08-12,33.63,34.17,33.58,33.78,33.5032990940866,5609232,0.0,1.0
2024-08-09,32.86,33.89,32.86,33.54,33.2652649975034,6605502,0.0,1.0
2024-08-08,32.29,33.09,32.29,33.02,32.7495244549064,5909040,0.0,1.0
2024-08-07,32.91,33.08,31.951,32.02,31.7577157191431,7603692,0.0,1.0
2024-08-06,32.85,33.1952,32.52,32.72,32.4519818341774,6154408,0.0,1.0
2024-08-05,32.58,32.98,32.16,32.75,32.4817360962503,7339280,0.0,1.0
2024-08-02,34.41,34.56,33.555,33.72,33.4437905699408,6489106,0.0,1.0
2024-08-01,35.975,36.29,34.99,35.17,34.8819132367977,5437490,0.0,1.0
2024-07-31,35.97,36.36,35.74,36.09,35.7943772737,8189940,0.0,1.0
2024-07-30,36.13,36.3,35.14,35.52,35.2290462943149,6915689,0.0,1.0
2024-07-29,36.4,36.425,35.75,36.13,35.8340496231305,4788397,0.0,1.0
2024-07-26,36.54,36.75,36.195,36.34,36.0423294576408,7299563,0.0,1.0
2024-07-25,37.61,37.79,36.2,36.25,35.9530666714221,8589665,0.0,1.0
2024-07-24,37.58,38.12,37.5,37.82,37.5102063865706,6310453,0.0,1.0
2024-07-23,37.78,38.14,37.6501,37.71,37.4011074256366,4472835,0.0,1.0
2024-07-22,37.62,38.04,37.4229,38.02,37.7085681337233,4520058,0.0,1.0
2024-07-19,37.41,37.44,36.875,37.15,36.8456945336092,4773663,0.0,1.0
2024-07-18,38.07,38.185,37.22,37.38,37.0738105428347,5895456,0.0,1.0
2024-07-17,37.6,38.42,37.37,38.11,37.797830919942,8906753,0.0,1.0
2024-07-16,37.6,38.13,37.49,38.0,37.688731959008,8571108,0.0,1.0
2024-07-15,36.43,37.35,36.41,37.34,37.0341381934042,5720720,0.0,1.0
2024-07-12,36.23,36.91,35.93,36.73,36.4291348645885,6599877,0.0,1.0
2024-07-11,36.2,36.55,36.025,36.1,35.8042953610576,6723524,0.0,1.0
2024-07-10,35.72,36.1,35.515,36.07,35.7745410989847,5344689,0.0,1.0
2024-07-09,35.27,35.62,35.15,35.42,35.1298654207385,5153020,0.0,1.0
2024-07-08,34.85,35.5,34.8,35.32,35.0306845471622,6511282,0.0,1.0
2024-07-05,34.89,34.9,34.39,34.63,34.3463365194855,4365509,0.0,1.0
2024-07-03,34.9,35.09,34.715,34.85,34.5645344413534,3985175,0.0,1.0
2024-07-02,34.75,35.13,34.4,34.8,34.5149440045652,5834530,0.0,1.0
2024-07-01,35.2,35.23,34.71,34.97,34.683551489645,4952926,0.0,1.0
2024-06-28,34.9,35.38,34.77,35.02,34.7331419264332,14543019,0.0,1.0
2024-06-27,35.19,35.3,34.645,34.71,34.4256812183465,5716774,0.0,1.0
2024-06-26,36.12,36.15,34.77,35.09,34.8025685379366,9658302,0.0,1.0
2024-06-25,36.14,36.46,36.02,36.27,35.9729028461374,6003042,0.0,1.0
2024-06-24,36.35,36.9,36.15,36.3,36.0026571082103,5496072,0.0,1.0
2024-06-21,36.1,36.64,35.85,36.37,36.0720837197137,17244553,0.0,1.0
2024-06-20,36.86,37.18,36.105,36.24,35.9431485840645,9202372,0.0,1.0
2024-06-18,36.11,36.8,35.925,36.75,36.4489710393038,9607530,0.0,1.0
2024-06-17,35.61,36.09,35.22,35.93,35.6356878759778,7500303,0.0,1.0
2024-06-14,36.22,36.63,35.435,35.51,35.2191282069572,8582423,0.0,1.0
2024-06-13,36.28,36.78,36.095,36.45,36.1514284185748,6847453,0.0,1.0
2024-06-12,36.61,36.975,36.235,36.3,36.0026571082103,7372513,0.2756,1.0
2024-06-11,36.15,36.47,35.88,36.32,35.7510609851977,7708849,0.0,1.0
2024-06-10,36.3,36.35,35.49,36.18,35.613254032061,8796540,0.0,1.0
2024-06-07,36.09,36.79,36.04,36.45,35.879024584539,8718813,0.0,1.0
2024-06-06,35.63,36.4999,35.58,36.18,35.613254032061,9319515,0.0,1.0
2024-06-05,35.76,36.035,35.24,35.63,35.0718695733093,8143815,0.0,1.0
2024-06-04,35.21,35.88,35.16,35.35,34.7962556670358,9633562,0.0,1.0
2024-06-03,36.5,36.75,34.84,35.32,34.7667256056493,12390673,0.0,1.0
2024-05-31,37.59,37.62,34.91,36.5,35.9282413535164,29952123,0.0,1.0
2024-05-30,34.4,39.52,34.4,38.36,37.7591051594764,38267181,0.0,1.0
2024-05-29,32.78,33.33,32.41,32.8,32.2862004491874,12481280,0.0,1.0
2024-05-28,32.89,33.4499,32.85,33.14,32.6208744782338,8019542,0.0,1.0
2024-05-24,32.78,32.92,32.53,32.75,32.23698368021,6503898,0.0,1.0
2024-05-23,33.18,33.38,32.585,32.65,32.1385501422551,6822730,0.0,1.0
2024-05-22,32.76,33.27,32.75,33.01,32.4929108788925,7717629,0.0,1.0
2024-05-21,31.95,32.85,31.89,32.69,32.177923557437,8201359,0.0,1.0
2024-05-20,31.38,31.9295,31.26,31.82,31.3215517772299,5591044,0.0,1.0
2024-05-17,31.23,31.28,31.01,31.19,30.7014204881145,4618189,0.0,1.0
2024-05-16,31.26,31.345,31.0,31.07,30.5833002425686,5737465,0.0,1.0
2024-05-15,31.0,31.395,30.99,31.36,30.8687575026377,6480610,0.0,1.0
2024-05-14,30.14,30.915,30.02,30.76,30.2781562749086,8018168,0.0,1.0
2024-05-13,29.84,30.23,29.81,29.94,29.471001263679,5568284,0.0,1.0
2024-05-10,29.84,29.88,29.62,29.72,29.2544474801783,4973216,0.0,1.0
2024-05-09,29.39,29.68,29.33,29.65,29.1855440036099,6431722,0.0,1.0
2024-05-08,28.38,29.58,28.38,29.44,28.9788335739048,8796653,0.0,1.0
2024-05-07,28.57,28.8,28.245,28.41,27.9649681329699,3953052,0.0,1.0
2024-05-06,28.33,28.44,28.22,28.42,27.9748114867654,4354692,0.0,1.0
2024-05-03,28.28,28.5,28.01,28.18,27.7385709956738,6648423,0.0,1.0
2024-05-02,27.98,28.03,27.52,27.94,27.5023305045822,4828792,0.0,1.0
2024-05-01,28.0,28.075,27.605,27.75,27.315306782468,6137292,0.0,1.0
2024-04-30,28.05,28.435,28.03,28.09,27.6499808115144,5557719,0.0,1.0
2024-04-29,28.12,28.45,28.12,28.27,27.8271611798331,5807143,0.0,1.0
2024-04-26,28.13,28.39,27.96,28.0,27.5613906273551,5356232,0.0,1.0
2024-04-25,27.97,28.3,27.755,28.13,27.6893542266964,5032707,0.0,1.0
