,INDB_Open,INDB_High,INDB_Low,INDB_Close,INDB_Adj Close,INDB_Volume,INDB_Dividend Amount,INDB_Split Coefficient
2024-10-04,58.24,58.74,57.3,57.97,57.97,258445,0.0,1.0
2024-10-03,56.66,57.26,56.23,57.21,57.21,185302,0.0,1.0
2024-10-02,57.14,57.92,56.885,57.04,57.04,204718,0.0,1.0
2024-10-01,58.98,58.98,56.91,57.27,57.27,322841,0.0,1.0
2024-09-30,57.91,59.79,57.87,59.13,59.13,199935,0.57,1.0
2024-09-27,59.92,59.92,58.025,58.44,57.8820301507538,257857,0.0,1.0
2024-09-26,59.56,59.56,58.75,59.08,58.5159195979899,412894,0.0,1.0
2024-09-25,59.41,59.42,58.69,58.86,58.2980201005025,163772,0.0,1.0
2024-09-24,60.65,61.195,59.5,59.52,58.9517185929648,215103,0.0,1.0
2024-09-23,60.88,60.92,60.02,60.6,60.0214070351759,221567,0.0,1.0
2024-09-20,61.85,62.29,60.29,60.59,60.0115025125628,1126390,0.0,1.0
2024-09-19,63.78,63.81,61.31,62.4,61.8042211055276,448268,0.0,1.0
2024-09-18,62.13,64.15,61.05,62.11,61.5169899497487,328420,0.0,1.0
2024-09-17,62.24,63.845,61.43,62.12,61.5268944723618,239123,0.0,1.0
2024-09-16,61.01,62.06,59.86,61.44,60.8533869346734,522922,0.0,1.0
2024-09-13,59.89,60.85,59.12,60.8,60.2194974874372,192743,0.0,1.0
2024-09-12,59.26,59.65,58.141,59.11,58.5456331658291,125977,0.0,1.0
2024-09-11,59.17,59.17,57.01,58.91,58.3475427135678,201456,0.0,1.0
2024-09-10,59.85,59.98,58.22,59.7,59.13,145386,0.0,1.0
2024-09-09,60.03,60.395,59.01,59.81,59.2389497487437,168802,0.0,1.0
2024-09-06,61.29,61.495,59.625,59.97,59.3974221105528,126546,0.0,1.0
2024-09-05,61.9,62.105,60.53,60.99,60.4076834170854,117293,0.0,1.0
2024-09-04,61.68,62.985,60.98,61.45,60.8632914572864,111747,0.0,1.0
2024-09-03,62.45,63.41,61.935,62.38,61.7844120603015,194092,0.0,1.0
2024-08-30,63.18,63.645,62.74,63.31,62.7055326633166,179667,0.0,1.0
2024-08-29,63.36,63.56,62.26,63.15,62.5470603015075,167344,0.0,1.0
2024-08-28,61.86,63.37,61.72,62.96,62.3588743718593,113951,0.0,1.0
2024-08-27,62.43,62.77,62.11,62.28,61.6853668341708,168405,0.0,1.0
2024-08-26,63.58,64.02,62.51,62.9,62.2994472361809,244794,0.0,1.0
2024-08-23,59.71,64.07,59.37,62.99,62.3885879396985,262633,0.0,1.0
2024-08-22,58.8,59.68,58.5,59.17,58.6050603015075,114241,0.0,1.0
2024-08-21,59.37,59.74,58.61,59.18,58.6149648241206,92471,0.0,1.0
2024-08-20,60.31,60.31,58.77,58.85,58.2881155778894,143884,0.0,1.0
2024-08-19,60.0,60.74,59.87,60.65,60.0709296482412,173481,0.0,1.0
2024-08-16,59.23,61.235,59.23,60.03,59.4568492462312,198279,0.0,1.0
2024-08-15,59.14,60.03,58.81,59.31,58.7437236180904,167042,0.0,1.0
2024-08-14,58.15,58.15,57.16,57.59,57.0401457286432,115743,0.0,1.0
2024-08-13,57.47,58.14,56.52,58.02,57.466040201005,156490,0.0,1.0
2024-08-12,58.54,59.21,56.6215,57.17,56.6241557788945,132074,0.0,1.0
2024-08-09,58.18,58.41,57.34,58.08,57.5254673366834,162283,0.0,1.0
2024-08-08,58.29,58.53,57.67,58.46,57.9018391959799,150063,0.0,1.0
2024-08-07,59.19,59.345,57.09,57.54,56.9906231155779,178422,0.0,1.0
2024-08-06,57.86,58.75,57.395,58.24,57.6839396984925,202916,0.0,1.0
