,INN_Open,INN_High,INN_Low,INN_Close,INN_Adj Close,INN_Volume,INN_Dividend Amount,INN_Split Coefficient
2024-10-04,7.0,7.22,6.98,7.14,7.14,1914145,0.0,1.0
2024-10-03,6.95,6.95,6.835,6.91,6.91,798260,0.0,1.0
2024-10-02,6.84,6.98,6.84,6.96,6.96,2274758,0.0,1.0
2024-10-01,6.86,6.955,6.76,6.91,6.91,802998,0.0,1.0
2024-09-30,6.83,6.88,6.79,6.86,6.86,1005835,0.0,1.0
2024-09-27,6.98,7.0,6.86,6.87,6.87,635599,0.0,1.0
2024-09-26,6.91,6.955,6.855,6.93,6.93,685659,0.0,1.0
2024-09-25,6.97,6.97,6.82,6.84,6.84,969705,0.0,1.0
2024-09-24,6.96,7.01,6.925,6.99,6.99,631157,0.0,1.0
2024-09-23,7.06,7.08,6.9,6.96,6.96,1190453,0.0,1.0
2024-09-20,6.86,7.035,6.85,7.0,7.0,2232216,0.0,1.0
2024-09-19,6.68,6.98,6.655,6.97,6.97,1073652,0.0,1.0
2024-09-18,6.55,6.7,6.495,6.55,6.55,1012148,0.0,1.0
2024-09-17,6.44,6.61,6.44,6.54,6.54,682932,0.0,1.0
2024-09-16,6.47,6.505,6.4,6.4,6.4,484788,0.0,1.0
2024-09-13,6.51,6.515,6.425,6.45,6.45,464817,0.0,1.0
2024-09-12,6.42,6.45,6.355,6.44,6.44,407003,0.0,1.0
2024-09-11,6.19,6.38,6.18,6.37,6.37,1155206,0.0,1.0
2024-09-10,6.35,6.35,6.2,6.23,6.23,592229,0.0,1.0
2024-09-09,6.36,6.4,6.31,6.33,6.33,557107,0.0,1.0
2024-09-06,6.49,6.56,6.38,6.39,6.39,596648,0.0,1.0
2024-09-05,6.63,6.64,6.48,6.48,6.48,582592,0.0,1.0
2024-09-04,6.7,6.83,6.57,6.58,6.58,642331,0.0,1.0
2024-09-03,6.73,6.8,6.695,6.73,6.73,560846,0.0,1.0
2024-08-30,6.77,6.83,6.695,6.79,6.79,815540,0.0,1.0
2024-08-29,6.69,6.805,6.64,6.74,6.74,592229,0.0,1.0
2024-08-28,6.65,6.675,6.56,6.64,6.64,664028,0.0,1.0
