,IR_Open,IR_High,IR_Low,IR_Close,IR_Adj Close,IR_Volume,IR_Dividend Amount,IR_Split Coefficient
2024-10-04,100.0,101.16,99.19,101.13,101.13,2268790,0.0,1.0
2024-10-03,99.45,99.77,98.18,98.93,98.93,2118805,0.0,1.0
2024-10-02,97.5,100.74,97.2,99.94,99.94,3412257,0.0,1.0
2024-10-01,98.35,98.68,96.83,98.0,98.0,2761617,0.0,1.0
2024-09-30,97.64,98.28,96.91,98.16,98.16,3253599,0.0,1.0
2024-09-27,96.59,99.15,96.24,98.08,98.08,3873151,0.0,1.0
2024-09-26,96.87,97.54,95.02,96.41,96.41,2765508,0.0,1.0
2024-09-25,98.46,98.46,94.51,95.03,95.03,3078529,0.0,1.0
2024-09-24,98.2,99.57,97.59,98.01,98.01,1775310,0.0,1.0
2024-09-23,97.34,98.26,96.84,97.49,97.49,1479092,0.0,1.0
2024-09-20,97.11,98.0,95.99,96.77,96.77,3738434,0.0,1.0
2024-09-19,96.0,97.72,94.875,97.65,97.65,2253385,0.0,1.0
2024-09-18,94.18,95.925,93.235,93.74,93.74,2213603,0.0,1.0
2024-09-17,91.68,94.035,91.185,93.97,93.97,2156156,0.0,1.0
2024-09-16,91.81,92.17,90.535,90.94,90.94,2293803,0.0,1.0
2024-09-13,90.28,91.819,89.51,91.03,91.03,2523293,0.0,1.0
2024-09-12,89.75,90.72,88.11,89.86,89.86,2468804,0.0,1.0
2024-09-11,87.96,89.87,86.365,89.63,89.63,2259060,0.0,1.0
2024-09-10,87.95,88.06,86.9,88.03,88.03,2492398,0.0,1.0
2024-09-09,87.99,88.61,87.36,87.45,87.45,2439320,0.0,1.0
2024-09-06,87.42,88.8,86.38,86.84,86.84,2539668,0.0,1.0
2024-09-05,87.12,87.685,85.49,87.61,87.61,2919854,0.0,1.0
2024-09-04,88.0,88.71,87.0,87.26,87.26,1619168,0.0,1.0
2024-09-03,90.59,91.0,87.53,88.33,88.33,2557242,0.0,1.0
2024-08-30,91.13,91.56,89.95,91.45,91.45,2153639,0.0,1.0
2024-08-29,90.28,92.09,89.68,90.8,90.8,2024607,0.0,1.0
2024-08-28,91.0,91.31,89.0,89.4,89.4,1853085,0.0,1.0
2024-08-27,90.03,90.9,89.77,90.63,90.63,1136936,0.0,1.0
2024-08-26,92.0,92.24,90.73,90.8,90.8,1677652,0.0,1.0
2024-08-23,90.7,92.005,90.32,91.64,91.64,1824993,0.0,1.0
2024-08-22,91.32,91.71,89.98,90.14,90.14,1201403,0.0,1.0
2024-08-21,90.68,91.46,90.52,91.16,91.16,1079197,0.0,1.0
2024-08-20,90.9,91.235,90.08,90.5,90.5,1305182,0.0,1.0
2024-08-19,91.37,91.84,90.67,90.95,90.95,1676849,0.0,1.0
2024-08-16,92.21,92.515,90.99,91.01,91.01,2260381,0.0,1.0
2024-08-15,92.54,92.85,91.245,92.22,92.22,1859200,0.02,1.0
2024-08-14,89.97,91.12,89.73,91.03,91.0102623590633,1463614,0.0,1.0
2024-08-13,88.95,90.045,88.08,89.91,89.8905052038161,2074728,0.0,1.0
2024-08-12,89.69,89.96,87.96,88.26,88.2408629661752,2064833,0.0,1.0
2024-08-09,90.055,90.75,88.6,89.47,89.4506006071119,2674851,0.0,1.0
2024-08-08,88.7,90.605,88.01,90.48,90.460381613183,2580843,0.0,1.0
2024-08-07,89.18,89.68,87.03,87.3,87.2810711188205,2845162,0.0,1.0
2024-08-06,87.31,90.03,87.06,88.15,88.1308868169992,2968237,0.0,1.0
2024-08-05,84.74,88.57,83.72,87.04,87.0211274934952,4558090,0.0,1.0
2024-08-02,89.5,89.6999,86.68,87.42,87.4010450997398,6031716,0.0,1.0
2024-08-01,92.0,95.38,90.395,91.23,91.2102189939289,7445639,0.0,1.0
2024-07-31,100.22,101.17,98.855,100.4,100.378230702515,3310683,0.0,1.0
2024-07-30,99.55,100.665,98.37,98.87,98.8485624457936,2526353,0.0,1.0
2024-07-29,98.73,99.52,98.085,98.74,98.718590633131,2290906,0.0,1.0
2024-07-26,98.09,99.61,97.84,98.7,98.6785993061579,1803638,0.0,1.0
