,IRT_Open,IRT_High,IRT_Low,IRT_Close,IRT_Adj Close,IRT_Volume,IRT_Dividend Amount,IRT_Split Coefficient
2024-10-04,19.63,19.67,19.41,19.53,19.53,1997961,0.0,1.0
2024-10-03,20.03,20.03,19.59,19.68,19.68,1178741,0.0,1.0
2024-10-02,20.01,20.14,19.91,20.05,20.05,2207918,0.0,1.0
2024-10-01,20.6,20.63,20.065,20.12,20.12,1322062,0.0,1.0
2024-09-30,20.28,20.54,20.2,20.5,20.5,2939207,0.16,1.0
2024-09-27,20.67,20.72,20.41,20.49,20.331316553727,1467072,0.0,1.0
2024-09-26,20.81,20.905,20.465,20.52,20.3610842207164,1784427,0.0,1.0
2024-09-25,21.07,21.11,20.65,20.76,20.5992255566312,1927355,0.0,1.0
2024-09-24,21.02,21.145,20.985,21.02,20.8572120038722,1160125,0.0,1.0
2024-09-23,21.08,21.17,20.955,21.15,20.9862052274927,1421106,0.0,1.0
2024-09-20,21.03,21.15,20.83,20.92,20.757986447241,3968252,0.0,1.0
2024-09-19,21.07,21.2,20.73,21.12,20.9564375605034,1856269,0.0,1.0
2024-09-18,20.94,21.16,20.75,20.85,20.6885285575992,1652405,0.0,1.0
2024-09-17,21.09,21.108,20.81,20.87,20.7083736689255,1974536,0.0,1.0
2024-09-16,21.03,21.18,20.915,21.09,20.926669893514,1245039,0.0,1.0
2024-09-13,20.78,20.97,20.641,20.95,20.7877541142304,1739486,0.0,1.0
2024-09-12,20.47,20.63,20.41,20.61,20.4503872216844,1070389,0.0,1.0
2024-09-11,20.07,20.43,20.0,20.41,20.2519361084221,1177934,0.0,1.0
2024-09-10,19.91,20.3,19.86,20.3,20.1427879961278,2937723,0.0,1.0
2024-09-09,19.87,19.985,19.705,19.78,19.6268151016457,3113581,0.0,1.0
2024-09-06,20.08,20.08,19.67,19.71,19.5573572120039,2658118,0.0,1.0
2024-09-05,20.24,20.26,19.855,20.06,19.904646660213,3578656,0.0,1.0
2024-09-04,19.98,20.4975,19.81,20.1,19.9443368828654,8051214,0.0,1.0
2024-09-03,20.59,20.865,20.56,20.68,20.5198451113262,1155148,0.0,1.0
2024-08-30,20.56,20.8,20.48,20.78,20.6190706679574,1820103,0.0,1.0
2024-08-29,20.57,20.65,20.335,20.44,20.2817037754114,1581173,0.0,1.0
2024-08-28,20.43,20.68,20.41,20.55,20.3908518877057,913126,0.0,1.0
2024-08-27,20.08,20.48,19.982,20.42,20.2618586640852,1347767,0.0,1.0
2024-08-26,20.33,20.365,20.08,20.23,20.073330106486,913080,0.0,1.0
2024-08-23,19.84,20.26,19.74,20.11,19.9542594385286,1624908,0.0,1.0
2024-08-22,19.69,19.8,19.59,19.75,19.5970474346563,1169924,0.0,1.0
2024-08-21,19.63,19.765,19.57,19.74,19.5871248789932,1053510,0.0,1.0
2024-08-20,19.56,19.72,19.4,19.58,19.4283639883833,1171064,0.0,1.0
2024-08-19,19.61,19.775,19.475,19.58,19.4283639883833,880422,0.0,1.0
2024-08-16,19.62,19.71,19.385,19.52,19.3688286544046,1256494,0.0,1.0
2024-08-15,19.77,19.77,19.47,19.65,19.4978218780252,1593195,0.0,1.0
2024-08-14,19.68,19.865,19.56,19.69,19.5375121006776,1598111,0.0,1.0
2024-08-13,19.71,19.78,19.52,19.65,19.4978218780252,1317923,0.0,1.0
2024-08-12,19.64,19.69,19.475,19.53,19.3787512100678,1756251,0.0,1.0
2024-08-09,19.6,19.75,19.43,19.67,19.5176669893514,1295282,0.0,1.0
2024-08-08,19.63,19.7,19.5,19.59,19.4382865440465,923759,0.0,1.0
2024-08-07,19.74,20.08,19.52,19.56,19.4085188770571,2306383,0.0,1.0
2024-08-06,19.02,19.93,18.92,19.68,19.5275895450145,2157325,0.0,1.0
2024-08-05,18.94,19.375,18.79,19.03,18.8826234269119,2085425,0.0,1.0
2024-08-02,19.16,19.83,19.1,19.5,19.3489835430784,2644462,0.0,1.0
2024-08-01,18.6,19.295,18.1201,19.19,19.0413843175218,3407593,0.0,1.0
2024-07-31,18.64,18.85,18.49,18.65,18.5055663117135,2600852,0.0,1.0
2024-07-30,18.86,19.015,18.535,18.65,18.5055663117135,1710041,0.0,1.0
2024-07-29,18.92,18.99,18.7,18.79,18.6444820909971,2423186,0.0,1.0
2024-07-26,18.68,18.96,18.51,18.88,18.7337850919651,1759361,0.0,1.0
2024-07-25,18.96,19.2,18.32,18.49,18.3468054211036,1933883,0.0,1.0
2024-07-24,18.93,19.2,18.88,18.91,18.7635527589545,1294721,0.0,1.0
2024-07-23,19.06,19.28,18.945,18.97,18.8230880929332,2019563,0.0,1.0
2024-07-22,18.93,19.205,18.83,19.08,18.9322362052275,1467798,0.0,1.0
2024-07-19,19.15,19.18,18.79,18.91,18.7635527589545,1580361,0.0,1.0
2024-07-18,19.12,19.51,19.005,19.08,18.9322362052275,1315997,0.0,1.0
2024-07-17,18.98,19.435,18.98,19.26,19.1108422071636,1467425,0.0,1.0
2024-07-16,18.84,19.1,18.78,19.05,18.9024685382381,2179490,0.0,1.0
2024-07-15,18.73,18.955,18.6,18.74,18.5948693126815,1676831,0.0,1.0
2024-07-12,18.92,18.96,18.58,18.58,18.4361084220716,2099488,0.0,1.0
2024-07-11,18.82,18.91,18.615,18.73,18.5849467570184,2825702,0.0,1.0
2024-07-10,18.45,18.5,18.345,18.44,18.297192642788,2764442,0.0,1.0
2024-07-09,18.7,18.74,18.27,18.32,18.1781219748306,3739305,0.0,1.0
2024-07-08,18.69,18.82,18.61,18.72,18.5750242013553,1622285,0.0,1.0
2024-07-05,18.68,18.75,18.585,18.65,18.5055663117135,1304762,0.0,1.0
2024-07-03,18.9,18.96,18.63,18.66,18.5154888673766,2035741,0.0,1.0
