,LDOS_Open,LDOS_High,LDOS_Low,LDOS_Close,LDOS_Adj Close,LDOS_Volume,LDOS_Dividend Amount,LDOS_Split Coefficient
2024-10-04,165.99,166.48,164.1344,166.39,166.39,583924,0.0,1.0
2024-10-03,165.17,165.81,164.43,165.15,165.15,723453,0.0,1.0
2024-10-02,164.5,166.01,163.4,165.2,165.2,635599,0.0,1.0
2024-10-01,162.84,165.4851,161.6344,165.01,165.01,705353,0.0,1.0
2024-09-30,160.0,163.27,159.27,163.0,163.0,1085066,0.0,1.0
2024-09-27,158.38,160.0,158.38,159.72,159.72,1080489,0.0,1.0
2024-09-26,157.2,158.86,157.2,158.43,158.43,672439,0.0,1.0
2024-09-25,159.18,159.71,157.425,158.0,158.0,582152,0.0,1.0
2024-09-24,160.02,160.02,157.435,158.45,158.45,750367,0.0,1.0
2024-09-23,157.38,160.325,156.92,159.68,159.68,973911,0.0,1.0
2024-09-20,155.42,157.1,154.79,157.06,157.06,1484015,0.0,1.0
2024-09-19,154.5,156.3689,153.4,156.09,156.09,622903,0.0,1.0
2024-09-18,154.32,154.97,153.19,153.79,153.79,758644,0.0,1.0
2024-09-17,154.5,155.565,154.12,154.34,154.34,530312,0.0,1.0
2024-09-16,156.07,156.7156,154.4,154.81,154.81,509524,0.0,1.0
2024-09-13,154.0,156.9096,153.53,155.5,155.5,756336,0.38,1.0
2024-09-12,152.15,154.19,151.77,154.09,153.714363613036,605672,0.0,1.0
2024-09-11,153.46,153.46,149.5,152.44,152.068385937901,774135,0.0,1.0
2024-09-10,153.93,154.2786,152.98,154.06,153.684436746215,689620,0.0,1.0
2024-09-09,153.71,154.58,153.19,153.46,153.085899409802,807947,0.0,1.0
2024-09-06,155.52,156.54,152.72,152.85,152.477386451116,890482,0.0,1.0
2024-09-05,156.09,156.39,153.44,155.8,155.420195021812,886507,0.0,1.0
2024-09-04,155.5,156.57,155.095,156.09,155.709488067744,570541,0.0,1.0
2024-09-03,158.32,159.1,155.015,155.8,155.420195021812,872571,0.0,1.0
2024-08-30,157.51,158.82,156.7701,158.51,158.123588657942,1072396,0.0,1.0
2024-08-29,156.46,158.9,156.1882,157.44,157.056197074673,691459,0.0,1.0
2024-08-28,156.35,157.2699,155.74,156.35,155.968854246857,608816,0.0,1.0
2024-08-27,154.83,156.15,154.21,156.06,155.679561200924,521606,0.0,1.0
2024-08-26,155.0,156.2,154.5,154.87,154.492462150372,521611,0.0,1.0
2024-08-23,153.52,154.99,153.52,154.9,154.522389017193,539588,0.0,1.0
2024-08-22,150.87,153.98,150.87,153.28,152.906338208879,566917,0.0,1.0
2024-08-21,150.25,151.45,149.54,150.84,150.472286374134,486838,0.0,1.0
2024-08-20,150.2,150.49,149.05,150.14,149.773992814986,522914,0.0,1.0
2024-08-19,147.99,150.18,147.47,150.14,149.773992814986,524071,0.0,1.0
2024-08-16,148.16,148.71,147.13,148.02,147.659160892995,494430,0.0,1.0
2024-08-15,147.53,148.65,146.6,147.95,147.58933153708,456282,0.0,1.0
2024-08-14,144.62,147.4,144.505,147.34,146.980818578394,576421,0.0,1.0
2024-08-13,144.47,145.62,143.52,144.82,144.466961765461,950518,0.0,1.0
2024-08-12,144.0,145.8,143.4764,144.69,144.337278675905,739600,0.0,1.0
2024-08-09,144.16,144.99,143.04,144.21,143.858448806774,1018885,0.0,1.0
2024-08-08,143.05,145.39,142.28,144.38,144.028034385425,832579,0.0,1.0
2024-08-07,143.96,145.68,143.04,143.18,142.830959712599,877761,0.0,1.0
2024-08-06,143.77,145.78,143.2,143.29,142.940691557608,1059481,0.0,1.0
2024-08-05,143.36,143.48,140.42,142.66,142.312227354375,1088975,0.0,1.0
2024-08-02,143.81,145.54,143.48,145.39,145.035572235053,1063249,0.0,1.0
2024-08-01,145.23,145.6439,142.35,144.75,144.397132409546,1217132,0.0,1.0
2024-07-31,148.0,149.0,142.68,144.4,144.047985629972,1831845,0.0,1.0
2024-07-30,153.0,153.65,145.83,145.98,145.624133949192,1819042,0.0,1.0
2024-07-29,150.48,153.62,150.0,152.97,152.597093918399,1209364,0.0,1.0
2024-07-26,152.2,152.29,148.68,149.83,149.464748524506,1043788,0.0,1.0
2024-07-25,150.64,153.77,150.35,152.02,151.649409802412,1088986,0.0,1.0
2024-07-24,154.52,154.52,150.07,150.1,149.734090325892,1016506,0.0,1.0
2024-07-23,153.24,155.45,152.79,154.94,154.562291506287,658557,0.0,1.0
2024-07-22,150.36,153.07,150.1401,153.0,152.627020785219,861930,0.0,1.0
2024-07-19,151.6,152.8,149.57,149.94,149.574480369515,862843,0.0,1.0
2024-07-18,150.53,151.4799,150.04,150.8,150.43238388504,704379,0.0,1.0
2024-07-17,151.81,152.74,150.05,150.24,149.873749037721,1243838,0.0,1.0
2024-07-16,149.64,152.61,149.445,151.81,151.439921734668,616257,0.0,1.0
2024-07-15,150.15,151.14,148.875,148.96,148.596869386708,935455,0.0,1.0
2024-07-12,148.95,151.42,148.53,149.92,149.554529124968,964860,0.0,1.0
2024-07-11,148.74,149.3,147.86,148.95,148.586893764434,714179,0.0,1.0
2024-07-10,145.91,148.89,145.91,148.84,148.477161919425,1018708,0.0,1.0
2024-07-09,145.76,146.5,144.77,145.05,144.696401077752,550698,0.0,1.0
2024-07-08,146.0,146.76,145.51,145.56,145.205157813703,425922,0.0,1.0
2024-07-05,146.64,147.17,144.81,145.51,145.155279702335,411555,0.0,1.0
2024-07-03,145.64,146.74,145.27,146.64,146.282525019246,297334,0.0,1.0
2024-07-02,145.47,146.62,145.05,145.86,145.504426481909,517534,0.0,1.0
2024-07-01,146.58,147.49,144.725,145.56,145.205157813703,633989,0.0,1.0
2024-06-28,147.59,148.66,144.77,145.88,145.524377726456,1835241,0.0,1.0
2024-06-27,146.75,147.455,145.8,147.18,146.821208622017,762836,0.0,1.0
2024-06-26,147.74,147.95,145.82,146.39,146.033134462407,1094822,0.0,1.0
2024-06-25,148.6,149.2499,147.025,148.29,147.92850269438,658670,0.0,1.0
2024-06-24,146.87,149.49,146.48,148.56,148.197844495766,1216418,0.0,1.0
2024-06-21,145.69,146.63,144.2063,146.57,146.212695663331,1861126,0.0,1.0
2024-06-20,143.61,146.57,143.61,146.01,145.654060816012,801253,0.0,1.0
2024-06-18,143.64,144.66,143.07,143.87,143.519277649474,741127,0.0,1.0
2024-06-17,143.29,144.12,141.76,143.86,143.5093020272,859173,0.0,1.0
2024-06-14,142.78,143.73,142.09,143.7,143.349692070824,737300,0.38,1.0
2024-06-13,144.18,144.815,143.63,144.15,143.419337257144,618856,0.0,1.0
2024-06-12,144.15,145.38,143.54,144.58,143.847157687394,551368,0.0,1.0
2024-06-11,144.34,144.34,143.11,143.78,143.051212700882,705435,0.0,1.0
2024-06-10,144.76,145.055,143.66,144.72,143.986448060033,790728,0.0,1.0
2024-06-07,144.42,145.77,144.04,144.85,144.115789120342,664419,0.0,1.0
2024-06-06,145.59,145.94,143.11,144.24,143.508881068126,615136,0.0,1.0
2024-06-05,144.57,145.98,143.63,145.67,144.931632731516,545589,0.0,1.0
2024-06-04,145.28,145.31,143.81,144.52,143.787461813405,1086817,0.0,1.0
2024-06-03,146.67,146.81,143.66,145.52,144.782393046545,1024464,0.0,1.0
2024-05-31,145.4,147.1,144.72,147.05,146.30463783325,1565173,0.0,1.0
2024-05-30,146.05,146.355,145.015,145.28,144.543609550592,731524,0.0,1.0
2024-05-29,146.76,147.31,145.49,145.72,144.981379293173,673762,0.0,1.0
2024-05-28,150.33,150.58,147.17,147.58,146.831951386814,745676,0.0,1.0
2024-05-24,150.94,151.32,150.0,151.15,150.383855889124,691702,0.0,1.0
2024-05-23,150.08,151.16,148.92,149.77,149.010850787391,763776,0.0,1.0
2024-05-22,150.27,151.11,149.63,149.92,149.160090472362,1007937,0.0,1.0
2024-05-21,149.63,150.35,149.59,150.28,149.518265716292,608418,0.0,1.0
2024-05-20,148.91,149.49,147.921,149.44,148.682523480455,475681,0.0,1.0
