,LEG_Open,LEG_High,LEG_Low,LEG_Close,LEG_Adj Close,LEG_Volume,LEG_Dividend Amount,LEG_Split Coefficient
2024-10-04,13.25,13.48,13.055,13.45,13.45,969193,0.0,1.0
2024-10-03,13.33,13.36,12.99,13.18,13.18,1100357,0.0,1.0
2024-10-02,13.68,13.71,13.419,13.49,13.49,1108562,0.0,1.0
2024-10-01,13.66,13.82,13.44,13.67,13.67,1269521,0.0,1.0
2024-09-30,14.0,14.04,13.53,13.62,13.62,1543158,0.0,1.0
2024-09-27,13.8,14.235,13.75,14.12,14.12,1990172,0.0,1.0
2024-09-26,13.46,13.64,13.37,13.61,13.61,1546080,0.0,1.0
2024-09-25,13.66,13.66,13.22,13.23,13.23,1741172,0.0,1.0
2024-09-24,13.11,13.73,13.04,13.72,13.72,2084001,0.0,1.0
2024-09-23,13.19,13.19,12.93,13.0,13.0,1894407,0.0,1.0
2024-09-20,13.42,13.42,13.085,13.18,13.18,6343202,0.0,1.0
2024-09-19,13.46,13.77,13.205,13.55,13.55,2160168,0.0,1.0
2024-09-18,12.97,13.53,12.97,13.16,13.16,3413007,0.0,1.0
2024-09-17,12.94,13.13,12.75,12.89,12.89,1113134,0.0,1.0
2024-09-16,12.9,13.08,12.74,12.84,12.84,1573939,0.0,1.0
2024-09-13,12.08,12.815,12.01,12.8,12.8,1688250,0.05,1.0
2024-09-12,11.62,12.085,11.545,11.94,11.8935408560311,1622628,0.0,1.0
2024-09-11,11.47,11.59,11.06,11.59,11.5449027237354,1965661,0.0,1.0
2024-09-10,11.7,11.72,11.26,11.59,11.5449027237354,1670153,0.0,1.0
2024-09-09,11.52,11.895,11.36,11.73,11.6843579766537,2235632,0.0,1.0
2024-09-06,11.72,11.96,11.61,11.62,11.5747859922179,1210846,0.0,1.0
2024-09-05,11.94,11.99,11.62,11.72,11.6743968871595,1144393,0.0,1.0
2024-09-04,12.42,12.42,11.745,11.88,11.8337743190661,1607717,0.0,1.0
2024-09-03,12.53,12.81,12.51,12.52,12.4712840466926,1609138,0.0,1.0
2024-08-30,12.8,12.87,12.525,12.64,12.5908171206226,1054532,0.0,1.0
2024-08-29,12.85,12.88,12.562,12.69,12.6406225680934,1098366,0.0,1.0
2024-08-28,12.78,12.9,12.69,12.73,12.68046692607,1142272,0.0,1.0
2024-08-27,12.82,12.9,12.655,12.85,12.8,1304690,0.0,1.0
2024-08-26,12.75,13.025,12.64,12.93,12.8796887159533,1059094,0.0,1.0
2024-08-23,12.34,12.77,12.27,12.65,12.6007782101167,900109,0.0,1.0
2024-08-22,12.5,12.5,12.28,12.29,12.2421789883268,903068,0.0,1.0
2024-08-21,12.16,12.48,12.08,12.47,12.4214785992218,1170125,0.0,1.0
2024-08-20,12.39,12.39,12.01,12.01,11.9632684824903,968526,0.0,1.0
2024-08-19,12.36,12.54,12.345,12.41,12.3617120622568,1627043,0.0,1.0
2024-08-16,12.49,12.59,12.285,12.31,12.2621011673152,1014103,0.0,1.0
2024-08-15,12.38,12.7,12.29,12.51,12.4613229571984,1263291,0.0,1.0
2024-08-14,12.46,12.505,12.015,12.18,12.1326070038911,1093006,0.0,1.0
2024-08-13,12.06,12.485,12.06,12.45,12.4015564202335,1410771,0.0,1.0
2024-08-12,12.36,12.3692,11.945,12.02,11.9732295719844,1393020,0.0,1.0
2024-08-09,12.57,12.61,12.35,12.38,12.3318287937743,1334220,0.0,1.0
2024-08-08,12.66,12.74,12.45,12.59,12.5410116731518,1620222,0.0,1.0
2024-08-07,12.85,13.07,12.575,12.62,12.5708949416342,2709684,0.0,1.0
2024-08-06,12.68,13.19,12.49,12.75,12.7003891050584,2605852,0.0,1.0
2024-08-05,12.69,13.02,12.26,12.7,12.6505836575875,2497772,0.0,1.0
