,LFUS_Open,LFUS_High,LFUS_Low,LFUS_Close,LFUS_Adj Close,LFUS_Volume,LFUS_Dividend Amount,LFUS_Split Coefficient
2024-10-04,258.45,259.48,256.25,258.39,258.39,45260,0.0,1.0
2024-10-03,257.32,258.025,253.84,254.34,254.34,94130,0.0,1.0
2024-10-02,260.05,261.21,258.225,258.75,258.75,68374,0.0,1.0
2024-10-01,264.66,265.7025,258.36,260.64,260.64,81797,0.0,1.0
2024-09-30,263.18,265.92,261.52,265.25,265.25,81542,0.0,1.0
2024-09-27,267.81,269.66,262.49,264.31,264.31,83796,0.0,1.0
2024-09-26,261.44,267.04,261.0,266.76,266.76,71707,0.0,1.0
2024-09-25,261.05,261.05,254.97,256.74,256.74,82923,0.0,1.0
2024-09-24,260.78,262.345,258.86,260.02,260.02,67333,0.0,1.0
2024-09-23,262.27,263.745,259.45,260.36,260.36,77630,0.0,1.0
2024-09-20,263.05,263.075,258.915,260.5,260.5,233977,0.0,1.0
2024-09-19,260.0,265.01,258.38,264.55,264.55,151160,0.0,1.0
2024-09-18,255.28,259.97,250.175,252.96,252.96,68267,0.0,1.0
2024-09-17,253.77,257.01,252.355,254.24,254.24,55077,0.0,1.0
2024-09-16,249.61,253.54,248.235,252.42,252.42,91763,0.0,1.0
2024-09-13,246.55,250.135,245.23,250.01,250.01,86628,0.0,1.0
2024-09-12,246.75,247.55,244.4,244.47,244.47,81364,0.0,1.0
2024-09-11,244.28,247.065,240.22,246.54,246.54,160393,0.0,1.0
2024-09-10,248.49,248.49,244.11,244.47,244.47,114367,0.0,1.0
2024-09-09,251.78,252.75,248.17,248.91,248.91,102302,0.0,1.0
2024-09-06,256.29,256.29,250.795,250.92,250.92,85303,0.0,1.0
2024-09-05,259.46,259.46,255.13,255.73,255.73,94202,0.0,1.0
2024-09-04,256.11,260.795,253.27,259.62,259.62,150686,0.0,1.0
2024-09-03,269.8,269.8,256.18,257.42,257.42,139037,0.0,1.0
2024-08-30,272.19,273.82,269.415,272.2,272.2,204001,0.0,1.0
2024-08-29,271.08,274.5,268.73,269.62,269.62,95103,0.0,1.0
2024-08-28,267.51,270.68,265.885,268.24,268.24,111138,0.0,1.0
2024-08-27,268.36,269.69,266.29,268.53,268.53,118672,0.0,1.0
2024-08-26,273.66,275.56,269.2,269.54,269.54,102835,0.0,1.0
2024-08-23,270.71,275.47,268.4201,273.15,273.15,192237,0.0,1.0
2024-08-22,271.3,272.13,267.6,269.26,269.26,234036,0.7,1.0
2024-08-21,265.76,271.83,263.92,270.995,270.292316269077,136301,0.0,1.0
2024-08-20,262.0,265.503,261.94,264.82,264.13332790043,162400,0.0,1.0
2024-08-19,255.93,263.54,255.93,262.94,262.258202696696,169027,0.0,1.0
2024-08-16,260.3,262.755,255.78,256.78,256.114175433398,148462,0.0,1.0
2024-08-15,257.09,261.64,252.97,260.77,260.093829456216,122628,0.0,1.0
2024-08-14,253.3,253.34,248.77,251.82,251.167036598015,107592,0.0,1.0
2024-08-13,245.05,252.68,243.74,252.68,252.02480663802,151094,0.0,1.0
2024-08-12,243.35,243.46,238.0,240.71,240.085844569566,62784,0.0,1.0
2024-08-09,243.1,245.095,240.5577,242.77,242.140503037487,81076,0.0,1.0
2024-08-08,236.38,242.8,236.38,242.62,241.990891983998,81262,0.0,1.0
2024-08-07,240.32,241.76,232.87,233.9,233.293502741147,85980,0.0,1.0
2024-08-06,240.18,240.315,234.9,236.71,236.096216476515,157685,0.0,1.0
2024-08-05,236.93,243.885,233.22,238.92,238.300485997926,101161,0.0,1.0
2024-08-02,251.71,257.775,244.175,247.1,246.459275448215,87203,0.0,1.0
2024-08-01,265.34,269.155,254.16,258.71,258.039170988295,168133,0.0,1.0
2024-07-31,264.51,275.06,260.28,267.11,266.417389983701,177530,0.0,1.0
2024-07-30,262.71,264.79,254.995,258.58,257.90950807527,109083,0.0,1.0
2024-07-29,260.28,261.245,258.265,259.98,259.305877907838,73973,0.0,1.0
2024-07-26,259.58,263.18,258.89,260.01,259.335800118536,68197,0.0,1.0
2024-07-25,256.2,261.89,254.095,255.99,255.32622388502,107732,0.0,1.0
2024-07-24,262.46,266.18,256.51,256.51,255.844875537117,114103,0.0,1.0
2024-07-23,264.68,268.6,264.325,264.56,263.874002074381,92499,0.0,1.0
2024-07-22,261.98,267.165,259.52,266.66,265.968556823233,105682,0.0,1.0
2024-07-19,264.11,265.15,258.4,259.53,258.85704474737,87368,0.0,1.0
2024-07-18,268.19,273.5,265.695,266.93,266.237856719514,59618,0.0,1.0
2024-07-17,271.96,274.4,268.19,268.53,267.833707956734,84879,0.0,1.0
2024-07-16,267.94,275.58,267.94,274.34,273.628642761891,106285,0.0,1.0
2024-07-15,269.92,273.305,265.21,265.52,264.831512816714,105159,0.0,1.0
2024-07-12,264.85,271.46,264.05,270.26,269.559222106979,166904,0.0,1.0
2024-07-11,262.08,264.345,260.92,262.73,262.048747221811,84771,0.0,1.0
2024-07-10,252.35,257.58,251.6,257.41,256.742541858053,60060,0.0,1.0
2024-07-09,251.88,253.34,250.385,251.32,250.668333086383,54388,0.0,1.0
2024-07-08,251.28,253.75,251.0,252.8,252.144495480812,93156,0.0,1.0
2024-07-05,252.53,255.3,247.39,249.42,248.773259742184,155515,0.0,1.0
2024-07-03,253.13,254.29,250.88,252.49,251.835299303601,91210,0.0,1.0
2024-07-02,247.24,251.44,245.21,251.23,250.57856645429,102735,0.0,1.0
2024-07-01,256.35,256.35,246.78,246.95,246.309664394725,181097,0.0,1.0
2024-06-28,257.2,260.05,253.13,255.59,254.927261075715,124235,0.0,1.0
2024-06-27,256.24,257.18,253.195,255.57,254.90731293525,77068,0.0,1.0
2024-06-26,257.45,258.15,253.64,255.73,255.066898058972,98604,0.0,1.0
2024-06-25,264.05,264.05,257.88,258.66,257.989300637131,99699,0.0,1.0
2024-06-24,265.32,269.32,263.53,264.21,263.524909616239,266924,0.0,1.0
2024-06-21,262.52,266.23,261.88,265.9,265.210527485553,339857,0.0,1.0
2024-06-20,261.9,265.02,260.15,262.4,261.719602904134,161585,0.0,1.0
2024-06-18,258.59,263.57,258.59,263.12,262.437735960883,154195,0.0,1.0
2024-06-17,253.2,258.23,251.4,258.16,257.4905971255,105828,0.0,1.0
2024-06-14,257.27,257.32,251.66,253.52,252.862628537561,138182,0.0,1.0
2024-06-13,259.9,263.84,256.71,260.64,259.964166543192,192903,0.0,1.0
2024-06-12,255.51,262.43,255.51,260.24,259.565203733887,135193,0.0,1.0
2024-06-11,249.31,251.74,248.11,250.58,249.930251889169,78502,0.0,1.0
2024-06-10,246.03,250.87,245.0901,250.59,249.940225959401,79968,0.0,1.0
2024-06-07,247.11,250.24,246.16,248.58,247.935437842643,102066,0.0,1.0
2024-06-06,252.22,254.105,249.3,249.6,248.952793006371,123793,0.0,1.0
2024-06-05,249.43,254.48,248.38,253.77,253.111980293377,84902,0.0,1.0
2024-06-04,252.77,253.195,248.27,248.34,247.69606015706,90044,0.0,1.0
2024-06-03,259.45,259.45,252.14,254.56,253.899931841754,113725,0.0,1.0
2024-05-31,255.97,257.53,253.25,256.6,255.93464216921,107402,0.0,1.0
2024-05-30,255.73,257.55,253.68,255.58,254.917287005482,85787,0.0,1.0
2024-05-29,254.13,257.619,252.84,254.66,253.999672544081,102892,0.0,1.0
2024-05-28,260.51,261.235,256.74,257.74,257.07168617573,75779,0.0,1.0
2024-05-24,260.14,261.71,259.495,260.05,259.375696399467,59157,0.0,1.0
2024-05-23,264.09,269.29,256.92,258.08,257.410804563639,101342,0.0,1.0
2024-05-22,258.95,262.76,258.28,261.97,261.290717884131,76567,0.65,1.0
2024-05-21,261.76,261.76,259.805,261.72,260.39527334032,72537,0.0,1.0
2024-05-20,258.13,264.34,257.99,263.21,261.877731529518,159377,0.0,1.0
2024-05-17,253.45,259.95,251.645,259.76,258.445194111575,147571,0.0,1.0
2024-05-16,253.99,253.99,247.635,249.45,248.187379393026,195868,0.0,1.0
2024-05-15,253.85,255.54,252.555,253.4,252.117386001975,184046,0.0,1.0
2024-05-14,259.41,259.41,250.955,250.97,249.699685733685,238973,0.0,1.0
2024-05-13,259.58,260.92,255.68,257.51,256.206582752047,127576,0.0,1.0
2024-05-10,256.16,257.38,254.395,256.86,255.559872803739,122945,0.0,1.0
2024-05-09,255.99,256.32,254.53,255.81,254.515187502626,169696,0.0,1.0
2024-05-08,255.42,257.495,254.38,255.99,254.694276411388,149806,0.0,1.0
2024-05-07,253.76,258.06,253.36,257.49,256.186683984407,227767,0.0,1.0
2024-05-06,248.745,252.96,248.525,252.64,251.361232831646,228317,0.0,1.0
2024-05-03,243.34,247.4,242.3114,247.4,246.1477557099,219599,0.0,1.0
2024-05-02,235.59,239.01,231.74,238.83,237.621133776053,168552,0.0,1.0
2024-05-01,226.31,239.535,222.91,233.35,232.168871442624,303800,0.0,1.0
2024-04-30,233.4,236.465,230.16,230.64,229.47258842737,205397,0.0,1.0
2024-04-29,232.96,235.9,232.51,235.86,234.666166781476,203021,0.0,1.0
2024-04-26,230.93,232.38,230.66,231.64,230.467526809383,141660,0.0,1.0
2024-04-25,231.41,232.0,229.44,230.39,229.223853831867,96760,0.0,1.0
2024-04-24,231.3,233.73,229.76,233.6,232.417606038127,91762,0.0,1.0
2024-04-23,229.31,233.37,229.31,231.19,230.019804537477,67929,0.0,1.0
2024-04-22,227.59,230.39,226.33,228.84,227.681699339748,79561,0.0,1.0
2024-04-19,226.57,227.04,224.64,226.75,225.602278121342,141379,0.0,1.0
2024-04-18,225.46,227.32,224.9,226.12,224.975466940674,80113,0.0,1.0
2024-04-17,230.28,233.57,225.95,225.95,224.806327415731,147951,0.0,1.0
2024-04-16,229.55,231.355,227.28,229.93,228.766182176141,79038,0.0,1.0
2024-04-15,232.08,233.28,230.0,231.15,229.980007002197,116441,0.0,1.0
2024-04-12,236.65,238.54,229.96,231.19,230.019804537477,82787,0.0,1.0
2024-04-11,233.0,239.17,231.67,238.96,237.750475765715,221974,0.0,1.0
2024-04-10,235.0,239.0,233.16,233.19,232.009681301502,139658,0.0,1.0
2024-04-09,235.27,242.49,234.65,241.065,239.844821059851,170408,0.0,1.0
2024-04-08,237.46,238.035,234.96,235.47,234.278140812491,108352,0.0,1.0
2024-04-05,236.45,237.83,235.23,236.52,235.322826113604,148845,0.0,1.0
2024-04-04,241.57,243.0,235.96,236.51,235.312876729784,177839,0.0,1.0
2024-04-03,233.09,240.0,233.0,239.36,238.14845111852,197532,0.0,1.0
2024-04-02,236.7,236.7,234.44,235.09,233.900064227326,200507,0.0,1.0
2024-04-01,242.35,243.66,236.14,237.76,236.556549707299,82638,0.0,1.0
2024-03-28,239.64,242.74,237.915,242.35,241.123316880737,161134,0.0,1.0
2024-03-27,232.75,239.98,232.005,239.98,238.765312915367,145616,0.0,1.0
2024-03-26,233.82,233.82,230.56,231.93,230.756058940166,61614,0.0,1.0
2024-03-25,231.53,233.52,230.63,232.56,231.382870120834,89211,0.0,1.0
2024-03-22,232.0,232.0825,230.02,231.14,229.970057618377,124780,0.0,1.0
2024-03-21,233.59,236.24,230.93,231.38,230.20884283006,271650,0.0,1.0
2024-03-20,230.76,233.285,228.56,232.64,231.462465191395,96713,0.0,1.0
2024-03-19,227.52,230.97,227.52,230.23,229.064663690745,147865,0.0,1.0
2024-03-18,233.06,233.8,229.21,229.39,228.228915449855,125966,0.0,1.0
2024-03-15,230.01,233.465,230.01,231.7,230.527223112304,488967,0.0,1.0
2024-03-14,232.97,233.695,228.5,230.61,229.44274027591,124901,0.0,1.0
2024-03-13,237.0,237.36,233.39,233.85,232.66634063363,92591,0.0,1.0
2024-03-12,235.65,238.22,232.79,237.88,236.675942313141,101818,0.0,1.0
2024-03-11,237.06,237.52,234.03,236.13,234.934800144619,109077,0.0,1.0
2024-03-08,242.91,245.07,237.75,238.37,237.163462120327,90966,0.0,1.0
2024-03-07,239.05,244.14,238.19,241.1,239.879643903221,470108,0.0,1.0
2024-03-06,236.85,238.78,236.15,237.37,236.168523738315,80331,0.0,1.0
2024-03-05,238.0,238.5,234.48,234.68,233.492139490701,82905,0.0,1.0
2024-03-04,240.07,241.555,237.45,239.41,238.19819803762,181828,0.0,1.0
2024-03-01,239.06,239.86,235.9,239.0,237.790273300995,147687,0.0,1.0
2024-02-29,239.79,242.45,237.17,238.24,237.034120130666,299434,0.0,1.0
2024-02-28,237.01,240.03,236.09,236.67,235.472066870906,187474,0.0,1.0
2024-02-27,240.02,241.87,238.34,239.14,237.929564674477,85573,0.0,1.0
2024-02-26,240.37,241.51,238.86,239.19,237.979311593577,87465,0.0,1.0
2024-02-23,243.49,243.49,240.845,241.49,240.267669872206,74260,0.0,1.0
2024-02-22,242.98,246.12,242.6,243.87,242.635623221396,125821,0.0,1.0
2024-02-21,244.0,244.0,239.815,240.96,239.74035252974,120945,0.65,1.0
2024-02-20,244.41,247.915,243.405,244.93,243.034661417612,108378,0.0,1.0
