,LII_Open,LII_High,LII_Low,LII_Close,LII_Adj Close,LII_Volume,LII_Dividend Amount,LII_Split Coefficient
2024-10-04,594.84,594.84,583.5695,594.05,594.05,257059,0.0,1.0
2024-10-03,590.5,594.56,585.37,589.36,589.36,297134,0.0,1.0
2024-10-02,591.13,598.4,589.36,592.09,592.09,269812,0.0,1.0
2024-10-01,603.06,603.28,591.21,596.63,596.63,296862,0.0,1.0
2024-09-30,603.89,605.98,594.65,604.29,604.29,247410,1.15,1.0
2024-09-27,609.04,614.74,602.25,604.87,603.721082683668,233854,0.0,1.0
2024-09-26,622.39,622.62,614.29,615.79,614.620340743922,139720,0.0,1.0
2024-09-25,622.39,622.39,615.175,618.78,617.604661403277,132960,0.0,1.0
2024-09-24,619.71,620.86,612.8,620.83,619.650767540962,227511,0.0,1.0
2024-09-23,615.86,620.875,613.06,617.78,616.606560848309,176203,0.0,1.0
2024-09-20,612.99,619.1,610.42,612.54,611.376513940275,443098,0.0,1.0
2024-09-19,622.2,627.09,609.58,616.47,615.2990491213,207763,0.0,1.0
2024-09-18,612.37,619.28,602.41,602.41,601.265755318446,217624,0.0,1.0
2024-09-17,605.8,615.29,602.575,608.58,607.4240357426,168446,0.0,1.0
2024-09-16,592.95,606.16,589.59,603.5,602.353684923362,287661,0.0,1.0
2024-09-13,587.01,591.28,579.92,591.23,590.106991113901,278080,0.0,1.0
2024-09-12,569.11,577.525,564.11,576.87,575.774267144556,148235,0.0,1.0
2024-09-11,558.0,568.24,544.68,567.17,566.092691761364,181990,0.0,1.0
2024-09-10,560.26,562.36,554.44,558.17,557.109786766649,194559,0.0,1.0
2024-09-09,559.21,562.38,549.235,555.07,554.015675046247,261662,0.0,1.0
2024-09-06,559.75,567.115,549.17,554.59,553.536586779863,220178,0.0,1.0
2024-09-05,553.94,556.83,542.075,556.21,555.153509678911,349489,0.0,1.0
2024-09-04,558.83,560.03,553.0,555.81,554.754269456924,191259,0.0,1.0
2024-09-03,589.02,589.89,557.24,561.95,560.882606864429,235961,0.0,1.0
2024-08-30,579.81,591.29,576.97,590.19,589.068966536734,262066,0.0,1.0
2024-08-29,578.7,586.2499,570.15,574.88,573.788047040169,145093,0.0,1.0
2024-08-28,578.07,584.89,573.89,575.56,574.466755417548,188783,0.0,1.0
2024-08-27,571.22,584.47,567.21,578.16,577.061816860465,131531,0.0,1.0
2024-08-26,586.64,589.76,578.5,578.75,577.650696187896,153156,0.0,1.0
2024-08-23,579.07,590.0,574.4247,584.1,582.990534156977,195162,0.0,1.0
2024-08-22,582.3,582.3,568.54,573.94,572.849832518499,192586,0.0,1.0
2024-08-21,578.0,583.66,573.86,581.08,579.976270480973,183658,0.0,1.0
2024-08-20,577.59,579.89,571.93,572.86,571.771883919133,161896,0.0,1.0
2024-08-19,570.86,583.04,569.86,578.14,577.041854849366,239390,0.0,1.0
2024-08-16,583.54,586.32,568.215,569.29,568.208664937896,259635,0.0,1.0
2024-08-15,587.34,593.86,577.7,585.0,583.888824656448,251379,0.0,1.0
2024-08-14,576.26,581.07,572.21,577.1,576.003830272199,198970,0.0,1.0
