,LNC_Open,LNC_High,LNC_Low,LNC_Close,LNC_Adj Close,LNC_Volume,LNC_Dividend Amount,LNC_Split Coefficient
2024-10-04,31.35,32.06,31.24,31.84,31.84,1229182,0.0,1.0
2024-10-03,30.28,30.54,29.92,30.46,30.46,1076202,0.0,1.0
2024-10-02,30.85,31.27,30.46,30.61,30.61,2506568,0.0,1.0
2024-10-01,31.38,31.437,30.46,30.9,30.9,1513774,0.0,1.0
2024-09-30,31.37,31.63,30.94,31.51,31.51,1142852,0.0,1.0
2024-09-27,31.62,31.88,31.24,31.42,31.42,1112468,0.0,1.0
2024-09-26,31.17,31.71,31.16,31.41,31.41,2470491,0.0,1.0
2024-09-25,31.3,31.44,30.795,30.83,30.83,1629720,0.0,1.0
2024-09-24,32.16,32.475,31.21,31.29,31.29,1352302,0.0,1.0
2024-09-23,31.84,32.34,31.81,32.02,32.02,1158436,0.0,1.0
2024-09-20,31.76,31.95,31.53,31.93,31.93,3248082,0.0,1.0
2024-09-19,30.99,31.94,30.8004,31.91,31.91,1942266,0.0,1.0
2024-09-18,29.96,30.965,29.91,30.32,30.32,1814696,0.0,1.0
2024-09-17,29.92,30.33,29.74,29.96,29.96,1721201,0.0,1.0
2024-09-16,29.62,29.94,29.45,29.65,29.65,1524774,0.0,1.0
2024-09-13,29.54,29.94,29.35,29.45,29.45,1411047,0.0,1.0
2024-09-12,28.87,29.33,28.48,29.3,29.3,1216974,0.0,1.0
2024-09-11,28.86,28.94,28.01,28.71,28.71,1651221,0.0,1.0
2024-09-10,29.19,29.2902,28.3,28.87,28.87,1821340,0.0,1.0
2024-09-09,29.66,29.7582,28.93,29.14,29.14,2851117,0.0,1.0
2024-09-06,31.16,31.38,29.2,29.45,29.45,2222183,0.0,1.0
2024-09-05,31.66,31.77,31.02,31.21,31.21,784376,0.0,1.0
2024-09-04,31.71,32.04,31.09,31.47,31.47,918328,0.0,1.0
2024-09-03,31.76,32.16,31.55,31.69,31.69,1222685,0.0,1.0
2024-08-30,32.15,32.26,31.775,32.1,32.1,1425065,0.0,1.0
2024-08-29,32.25,32.4,31.905,32.15,32.15,934201,0.0,1.0
2024-08-28,31.88,32.25,31.88,32.09,32.09,752568,0.0,1.0
2024-08-27,32.0,32.25,31.8,32.09,32.09,926071,0.0,1.0
2024-08-26,31.77,32.345,31.61,32.11,32.11,838947,0.0,1.0
2024-08-23,31.33,31.95,31.25,31.62,31.62,872986,0.0,1.0
2024-08-22,31.05,31.31,30.795,31.01,31.01,789442,0.0,1.0
2024-08-21,30.81,31.065,30.57,31.03,31.03,959460,0.0,1.0
2024-08-20,31.01,31.11,30.6179,30.73,30.73,984644,0.0,1.0
2024-08-19,31.3,31.5046,30.97,31.23,31.23,1088647,0.0,1.0
2024-08-16,30.66,31.39,30.63,31.35,31.35,1141399,0.0,1.0
2024-08-15,30.14,30.93,29.98,30.67,30.67,1334059,0.0,1.0
2024-08-14,29.63,29.85,29.525,29.56,29.56,1319086,0.0,1.0
2024-08-13,29.5,29.5,28.9401,29.43,29.43,1254916,0.0,1.0
2024-08-12,29.59,29.94,29.13,29.17,29.17,891214,0.0,1.0
2024-08-09,29.23,29.72,29.01,29.59,29.59,967711,0.0,1.0
2024-08-08,29.28,29.54,28.88,29.15,29.15,1286476,0.0,1.0
2024-08-07,30.25,30.42,28.89,28.9,28.9,1787829,0.0,1.0
2024-08-06,29.38,29.87,29.18,29.43,29.43,2466700,0.0,1.0
2024-08-05,28.81,29.49,27.75,29.13,29.13,2689821,0.0,1.0
2024-08-02,32.39,32.475,29.2,30.02,30.02,4210155,0.0,1.0
2024-08-01,35.04,36.46,33.97,34.05,34.05,3478976,0.0,1.0
2024-07-31,33.63,34.02,33.25,33.3,33.3,1448594,0.0,1.0
2024-07-30,33.28,33.755,33.28,33.58,33.58,1521845,0.0,1.0
2024-07-29,33.06,33.49,32.84,33.09,33.09,1191600,0.0,1.0
2024-07-26,32.86,33.015,32.6601,32.95,32.95,781382,0.0,1.0
2024-07-25,32.09,32.85,32.09,32.48,32.48,1055542,0.0,1.0
2024-07-24,32.5,32.77,31.92,31.93,31.93,782549,0.0,1.0
2024-07-23,32.19,32.775,32.1,32.64,32.64,817151,0.0,1.0
2024-07-22,32.0,32.425,31.82,32.31,32.31,886139,0.0,1.0
2024-07-19,32.09,32.23,31.76,31.91,31.91,1058247,0.0,1.0
2024-07-18,32.7,33.21,32.005,32.19,32.19,904361,0.0,1.0
2024-07-17,32.54,33.3,32.42,32.78,32.78,946812,0.0,1.0
2024-07-16,32.95,33.25,32.78,32.8,32.8,1213457,0.0,1.0
2024-07-15,32.26,32.99,32.21,32.81,32.81,1218639,0.0,1.0
2024-07-12,32.0,32.56,31.95,32.19,32.19,1540058,0.0,1.0
2024-07-11,31.7,32.0,31.1002,31.95,31.95,2165985,0.0,1.0
2024-07-10,30.49,31.54,30.44,31.48,31.48,1759748,0.45,1.0
