,LPT_Open,LPT_High,LPT_Low,LPT_Close,LPT_Adj Close,LPT_Volume,LPT_Dividend Amount,LPT_Split Coefficient
2020-02-03,62.9,63.14,61.77,61.95,61.95,43499808,0.0,1.0
2020-01-31,64.71,64.75,62.425,62.65,62.65,1295650,0.0,1.0
2020-01-30,64.75,65.38,64.4975,64.88,64.88,1212232,0.0,1.0
2020-01-29,64.56,65.16,64.27,65.03,65.03,1076184,0.0,1.0
2020-01-28,64.25,64.77,64.15,64.47,64.47,1075620,0.0,1.0
2020-01-27,64.45,64.84,64.0,64.1,64.1,638079,0.0,1.0
2020-01-24,64.59,65.26,64.46,64.86,64.86,558594,0.0,1.0
2020-01-23,63.28,64.59,62.84,64.54,64.54,1122030,0.0,1.0
2020-01-22,64.5,64.98,63.23,63.41,63.41,713856,0.0,1.0
2020-01-21,63.55,64.48,63.46,64.36,64.36,1185343,0.0,1.0
2020-01-17,62.94,63.9,62.94,63.55,63.55,1012065,0.0,1.0
2020-01-16,62.19,62.97,62.19,62.95,62.95,1492208,0.0,1.0
2020-01-15,61.2,62.35,61.2,62.19,62.19,1490484,0.0,1.0
2020-01-14,61.77,61.77,60.88,61.03,61.03,1439498,0.0,1.0
2020-01-13,60.34,61.88,60.34,61.86,61.86,1302613,0.0,1.0
2020-01-10,60.04,60.47,59.98,60.25,60.25,2122566,0.0,1.0
2020-01-09,60.01,60.535,59.82,59.96,59.96,949754,0.0,1.0
2020-01-08,59.77,60.15,59.41,59.96,59.96,1289356,0.0,1.0
2020-01-07,59.82,59.95,59.26,59.66,59.66,810841,0.0,1.0
2020-01-06,60.27,60.41,59.93,60.0,60.0,1490896,0.0,1.0
2020-01-03,59.21,60.56,59.09,60.35,60.35,911609,0.0,1.0
2020-01-02,60.13,60.46,59.16,59.59,59.59,1161947,0.0,1.0
2019-12-31,59.8,60.15,59.62,60.05,60.05,942532,0.41,1.0
2019-12-30,59.94,60.36,59.85,60.2,59.7917631491895,786787,0.0,1.0
2019-12-27,60.23,60.34,59.93,60.07,59.6626447237843,999527,0.0,1.0
2019-12-26,59.56,60.06,59.56,59.98,59.5732550446576,356299,0.0,1.0
2019-12-24,59.43,59.73,59.29,59.51,59.1064422758849,488477,0.0,1.0
2019-12-23,59.68,59.92,59.27,59.33,58.9276629176315,1821157,0.0,1.0
2019-12-20,59.55,60.03,59.39,59.64,59.2355607012901,2132641,0.0,1.0
2019-12-19,59.08,59.41,59.03,59.15,58.7488835593781,1779773,0.0,1.0
2019-12-18,58.98,59.5,58.76,59.26,58.8581376116441,1453316,0.0,1.0
2019-12-17,59.5,59.52,58.75,58.87,58.4707823354284,1680604,0.0,1.0
