,LSTR_Open,LSTR_High,LSTR_Low,LSTR_Close,LSTR_Adj Close,LSTR_Volume,LSTR_Dividend Amount,LSTR_Split Coefficient
2024-10-04,182.39,184.115,176.74,177.15,177.15,238628,0.0,1.0
2024-10-03,183.25,183.395,180.16,181.27,181.27,254996,0.0,1.0
2024-10-02,185.98,186.205,183.39,184.64,184.64,135829,0.0,1.0
2024-10-01,187.82,187.82,182.29,186.06,186.06,158836,0.0,1.0
2024-09-30,187.66,192.3085,187.035,188.87,188.87,296987,0.0,1.0
2024-09-27,186.09,189.86,185.12,186.93,186.93,176604,0.0,1.0
2024-09-26,185.17,185.79,183.32,184.56,184.56,200052,0.0,1.0
2024-09-25,186.09,186.83,182.67,183.15,183.15,156809,0.0,1.0
2024-09-24,183.07,185.935,183.07,185.6,185.6,189446,0.0,1.0
2024-09-23,180.71,183.08,178.4,182.29,182.29,248169,0.0,1.0
2024-09-20,182.95,184.14,178.26,179.59,179.59,503825,0.0,1.0
2024-09-19,185.38,186.57,183.88,184.24,184.24,183818,0.0,1.0
2024-09-18,183.55,186.08,182.35,182.78,182.78,214552,0.0,1.0
2024-09-17,184.94,186.61,183.74,184.12,184.12,178533,0.0,1.0
2024-09-16,183.38,185.04,181.37,183.67,183.67,187265,0.0,1.0
2024-09-13,183.68,185.82,181.62,182.37,182.37,243628,0.0,1.0
2024-09-12,180.49,182.31,178.22,182.17,182.17,180332,0.0,1.0
2024-09-11,180.59,181.665,175.84,179.35,179.35,179756,0.0,1.0
2024-09-10,181.36,182.09,179.87,181.6,181.6,156030,0.0,1.0
2024-09-09,180.0,182.676,179.95,181.6,181.6,168101,0.0,1.0
2024-09-06,180.99,182.34,179.55,180.02,180.02,148807,0.0,1.0
2024-09-05,183.72,184.075,179.8,180.53,180.53,121483,0.0,1.0
2024-09-04,182.75,184.1,181.32,184.0,184.0,205243,0.0,1.0
2024-09-03,181.63,184.3789,179.99,182.46,182.46,215596,0.0,1.0
2024-08-30,180.69,182.75,179.7,182.56,182.56,333737,0.0,1.0
2024-08-29,183.8,184.35,180.27,180.66,180.66,182709,0.0,1.0
2024-08-28,180.49,183.43,180.49,182.26,182.26,214287,0.0,1.0
2024-08-27,185.66,185.66,180.52,180.84,180.84,206894,0.0,1.0
2024-08-26,189.37,189.37,185.76,185.91,185.91,164681,0.0,1.0
2024-08-23,187.18,189.205,186.26,188.61,188.61,123587,0.0,1.0
2024-08-22,186.92,188.195,185.72,186.51,186.51,140225,0.0,1.0
2024-08-21,185.99,187.87,184.6,187.62,187.62,165205,0.0,1.0
