,MCD_Open,MCD_High,MCD_Low,MCD_Close,MCD_Adj Close,MCD_Volume,MCD_Dividend Amount,MCD_Split Coefficient
2024-10-04,303.05,305.89,301.38,303.76,303.76,2432634,0.0,1.0
2024-10-03,303.5,304.02,301.26,303.45,303.45,1802561,0.0,1.0
2024-10-02,300.58,304.08,299.5801,303.76,303.76,2352436,0.0,1.0
2024-10-01,304.51,305.23,302.25,302.98,302.98,3036208,0.0,1.0
2024-09-30,303.75,305.03,302.1,304.51,304.51,2286978,0.0,1.0
2024-09-27,303.52,306.96,303.52,303.69,303.69,3402999,0.0,1.0
2024-09-26,301.15,304.29,300.735,303.65,303.65,1971134,0.0,1.0
2024-09-25,300.33,301.8,298.4,300.47,300.47,1986241,0.0,1.0
2024-09-24,299.06,301.45,297.7,300.27,300.27,2408175,0.0,1.0
2024-09-23,299.0,300.22,296.89,299.06,299.06,2312365,0.0,1.0
2024-09-20,292.94,298.05,292.835,296.83,296.83,5817302,0.0,1.0
2024-09-19,294.25,295.08,290.9,293.85,293.85,2271388,0.0,1.0
2024-09-18,293.88,295.1,290.37,292.03,292.03,1788384,0.0,1.0
2024-09-17,297.0,297.39,292.17,293.75,293.75,2997493,0.0,1.0
2024-09-16,297.42,300.11,295.04,296.69,296.69,2916205,0.0,1.0
2024-09-13,294.49,296.74,292.62,296.53,296.53,2205535,0.0,1.0
2024-09-12,290.17,292.69,288.26,292.35,292.35,2274712,0.0,1.0
2024-09-11,290.83,291.435,285.83,290.23,290.23,2747627,0.0,1.0
2024-09-10,292.81,296.23,291.04,291.27,291.27,2497109,0.0,1.0
2024-09-09,290.03,291.74,287.8,291.29,291.29,3208635,0.0,1.0
2024-09-06,287.82,292.19,287.5692,289.51,289.51,3863559,0.0,1.0
2024-09-05,289.0,289.545,286.24,287.97,287.97,2412493,0.0,1.0
2024-09-04,286.55,288.97,285.99,288.03,288.03,2555153,0.0,1.0
2024-09-03,286.36,288.21,283.71,285.52,285.52,2902782,1.67,1.0
2024-08-30,287.56,288.88,286.29,288.66,286.981452000418,2528549,0.0,1.0
2024-08-29,287.78,289.11,284.78,287.86,286.18610397298,1797229,0.0,1.0
2024-08-28,289.95,290.96,285.26,287.05,285.380814095198,2603793,0.0,1.0
2024-08-27,289.08,290.3,288.06,289.64,287.95575333403,2897582,0.0,1.0
2024-08-26,289.25,292.21,287.87,288.68,287.001335701104,2018540,0.0,1.0
2024-08-23,290.38,290.78,287.13,289.52,287.836451129914,2145946,0.0,1.0
2024-08-22,289.55,290.5,287.55,289.21,287.528253769282,1746359,0.0,1.0
2024-08-21,287.15,289.97,286.265,289.71,288.025346286431,2686435,0.0,1.0
2024-08-20,286.5,290.265,285.21,285.63,283.969071346495,3697631,0.0,1.0
2024-08-19,282.33,288.32,281.72,287.55,285.877906612347,5268793,0.0,1.0
2024-08-16,274.75,279.5,274.7,278.49,276.870590201609,3286217,0.0,1.0
2024-08-15,272.0,275.76,271.85,274.87,273.27164037745,2445218,0.0,1.0
2024-08-14,269.86,271.5075,268.5,271.15,269.573272049862,2242138,0.0,1.0
2024-08-13,270.31,272.0,267.54,270.31,268.738156621052,2603592,0.0,1.0
2024-08-12,267.46,269.53,265.33,269.46,267.893099341899,3008100,0.0,1.0
2024-08-09,271.7,271.7,266.96,267.91,266.352112538737,2664877,0.0,1.0
2024-08-08,268.93,273.65,268.08,271.19,269.613039451234,3227234,0.0,1.0
2024-08-07,269.56,273.14,268.58,269.37,267.803622688812,3539980,0.0,1.0
2024-08-06,269.86,273.2,268.08,270.06,268.489610362478,3369337,0.0,1.0
2024-08-05,274.04,277.87,267.6796,268.45,266.888972457258,6794876,0.0,1.0
2024-08-02,269.4,276.81,268.8,276.69,275.081057139873,9585900,0.0,1.0
2024-08-01,266.82,268.77,262.4,268.75,267.187227967548,4935952,0.0,1.0
2024-07-31,265.42,267.67,263.2,265.4,263.85670810265,4652053,0.0,1.0
2024-07-30,261.0,267.37,260.31,266.44,264.89066053832,4936596,0.0,1.0
2024-07-29,253.55,263.93,250.23,261.42,259.899851666144,9380960,0.0,1.0
2024-07-26,252.9,254.045,250.75,252.0,250.534628643059,4002852,0.0,1.0
2024-07-25,254.19,256.09,251.1,251.46,249.997768724538,3323080,0.0,1.0
2024-07-24,246.32,254.33,246.12,253.37,251.896662140047,5983281,0.0,1.0
2024-07-23,259.68,260.1378,253.5096,254.05,252.572707963369,2653141,0.0,1.0
2024-07-22,258.3,259.79,256.4,259.54,258.030783801664,2759527,0.0,1.0
2024-07-19,260.39,260.44,255.03,257.28,255.783925624151,3470585,0.0,1.0
2024-07-18,258.03,262.33,257.6003,259.52,258.010900100978,3421839,0.0,1.0
2024-07-17,258.97,262.05,257.8587,261.0,259.482293951739,3711520,0.0,1.0
2024-07-16,251.0,257.31,250.1,257.27,255.773983773808,4172974,0.0,1.0
2024-07-15,253.64,255.73,251.19,251.53,250.067361676939,3393612,0.0,1.0
2024-07-12,254.25,256.92,251.81,253.9,252.423580208225,4543006,0.0,1.0
2024-07-11,251.22,255.65,249.87,254.8,253.318346739093,5548256,0.0,1.0
2024-07-10,247.0,250.56,245.9,250.49,249.033409241269,4092739,0.0,1.0
2024-07-09,247.23,247.4,243.53,245.82,244.390565131098,4930592,0.0,1.0
2024-07-08,251.76,252.575,247.06,247.85,246.408760750723,3163853,0.0,1.0
2024-07-05,251.0,251.415,248.81,251.09,249.629920261848,2814312,0.0,1.0
2024-07-03,248.5,250.98,248.18,250.0,248.546258574463,2026070,0.0,1.0
2024-07-02,249.68,251.03,247.41,247.79,246.349109648665,3944881,0.0,1.0
2024-07-01,254.83,255.34,249.72,249.99,248.53631672412,3817576,0.0,1.0
2024-06-28,257.54,259.49,252.86,254.84,253.358114140464,8958712,0.0,1.0
2024-06-27,258.0,258.83,256.97,258.17,256.668750304676,2650996,0.0,1.0
2024-06-26,256.65,258.17,254.68,257.83,256.330727393015,2796088,0.0,1.0
2024-06-25,260.13,260.13,255.59,257.38,255.883344127581,4252250,0.0,1.0
2024-06-24,259.0,261.37,257.8,260.38,258.865899230475,3901231,0.0,1.0
2024-06-21,258.28,261.46,255.61,259.39,257.88165604652,8426647,0.0,1.0
2024-06-20,250.27,255.69,249.511,253.8,252.324161704795,4046527,0.0,1.0
2024-06-18,253.95,254.35,249.35,250.79,249.331664751558,2956314,0.0,1.0
2024-06-17,252.3,254.52,251.88,253.51,252.035848044848,2532906,0.0,1.0
2024-06-14,252.86,253.62,250.614,253.58,252.105440997249,2806560,0.0,1.0
2024-06-13,253.59,254.74,251.18,253.7,252.224743201365,3152985,0.0,1.0
2024-06-12,254.88,256.31,253.41,254.48,253.000207528117,3169566,0.0,1.0
2024-06-11,253.01,254.6889,252.1,254.28,252.801370521258,2729439,0.0,1.0
2024-06-10,256.0,256.0,253.15,253.81,252.334103555138,2867127,0.0,1.0
2024-06-07,260.07,261.395,255.34,256.21,254.720147637453,2290085,0.0,1.0
2024-06-06,260.91,261.785,258.93,260.72,259.203922142136,3354270,0.0,1.0
2024-06-05,261.5,261.735,258.66,259.99,258.478167067098,4136828,0.0,1.0
