,MDT_Open,MDT_High,MDT_Low,MDT_Close,MDT_Adj Close,MDT_Volume,MDT_Dividend Amount,MDT_Split Coefficient
2024-10-04,87.96,88.285,87.21,88.26,88.26,3598594,0.0,1.0
2024-10-03,89.02,89.2365,87.655,87.77,87.77,3435187,0.0,1.0
2024-10-02,89.54,89.69,88.985,89.12,89.12,4438984,0.0,1.0
2024-10-01,90.25,90.35,89.21,90.0,90.0,4907093,0.0,1.0
2024-09-30,89.48,90.1,89.02,90.03,90.03,4784911,0.0,1.0
2024-09-27,89.36,90.0187,89.11,89.32,89.32,5232492,0.7,1.0
2024-09-26,89.08,89.5728,88.51,89.45,88.754432348367,6320985,0.0,1.0
2024-09-25,90.17,90.3991,89.19,89.39,88.694898911353,3944437,0.0,1.0
2024-09-24,89.73,90.29,89.15,89.76,89.0620217729394,7657662,0.0,1.0
2024-09-23,89.54,90.05,89.005,89.86,89.1612441679627,6324621,0.0,1.0
2024-09-20,89.48,89.59,88.74,89.34,88.6452877138414,25452927,0.0,1.0
2024-09-19,88.69,89.945,88.55,89.47,88.7742768273717,9374681,0.0,1.0
2024-09-18,88.03,88.51,87.67,88.13,87.4446967340591,7691433,0.0,1.0
2024-09-17,90.0,90.237,88.035,88.63,87.9408087091757,7012291,0.0,1.0
2024-09-16,90.0,90.24,89.4384,90.11,89.409300155521,5620395,0.0,1.0
2024-09-13,90.06,90.519,89.885,90.0,89.3001555209953,5209364,0.0,1.0
2024-09-12,90.26,90.555,89.2,90.0,89.3001555209953,4856481,0.0,1.0
2024-09-11,90.67,90.67,88.82,90.35,89.647433903577,5805980,0.0,1.0
2024-09-10,90.76,91.12,90.195,90.99,90.2824572317263,5628083,0.0,1.0
2024-09-09,90.0,91.15,89.88,90.62,89.91533437014,8642962,0.0,1.0
2024-09-06,89.72,90.535,89.3,89.89,89.1910108864697,7116627,0.0,1.0
2024-09-05,91.16,91.18,89.095,89.39,88.694898911353,7007382,0.0,1.0
2024-09-04,88.8,91.49,88.8,91.03,90.3221461897356,7550836,0.0,1.0
2024-09-03,88.27,89.355,88.07,88.96,88.2682426127527,4745317,0.0,1.0
2024-08-30,88.33,88.6,87.23,88.58,87.8911975116641,7940126,0.0,1.0
2024-08-29,88.89,88.94,88.02,88.19,87.5042301710731,5024526,0.0,1.0
2024-08-28,88.97,89.14,87.95,88.33,87.6431415241058,5230635,0.0,1.0
2024-08-27,89.56,89.72,88.08,88.8,88.1094867807154,4174736,0.0,1.0
2024-08-26,88.6,90.13,88.12,89.34,88.6452877138414,5948360,0.0,1.0
2024-08-23,88.255,88.5,87.71,88.35,87.6629860031104,4843533,0.0,1.0
2024-08-22,87.91,89.235,87.55,87.83,87.1470295489891,8429821,0.0,1.0
2024-08-21,85.93,87.57,85.865,87.54,86.8592846034215,10608513,0.0,1.0
2024-08-20,84.0,87.7,83.275,85.38,84.7160808709176,10841595,0.0,1.0
2024-08-19,84.68,85.29,84.49,84.82,84.1604354587869,7492752,0.0,1.0
2024-08-16,84.03,84.74,83.8,84.6,83.9421461897356,5374797,0.0,1.0
2024-08-15,82.56,84.03,82.17,83.65,82.999533437014,6743480,0.0,1.0
2024-08-14,81.42,81.86,80.78,81.74,81.1043856920684,5612856,0.0,1.0
2024-08-13,81.41,82.365,81.11,82.27,81.6302643856921,3704777,0.0,1.0
2024-08-12,82.03,82.06,80.81,81.19,80.5586625194401,4502246,0.0,1.0
2024-08-09,82.28,82.4,81.499,82.04,81.4020528771384,3094299,0.0,1.0
2024-08-08,81.23,82.62,80.91,82.21,81.5707309486781,4088206,0.0,1.0
2024-08-07,80.81,82.74,80.55,81.09,80.4594401244168,5596608,0.0,1.0
2024-08-06,80.46,81.68,79.915,80.78,80.1518506998445,5514028,0.0,1.0
2024-08-05,80.82,81.81,80.21,80.33,79.7053499222395,7503446,0.0,1.0
2024-08-02,81.04,81.89,80.32,81.51,80.8761741835148,5057940,0.0,1.0
2024-08-01,80.69,81.09,79.38,80.49,79.8641057542768,4873077,0.0,1.0
2024-07-31,80.36,80.99,78.965,80.32,79.6954276827372,7573272,0.0,1.0
2024-07-30,79.72,81.0,79.7,80.81,80.1816174183515,6568358,0.0,1.0
2024-07-29,79.0,80.39,78.6,80.0,79.3779160186625,6551527,0.0,1.0
2024-07-26,78.62,79.45,78.32,78.7,78.0880248833593,4574693,0.0,1.0
2024-07-25,79.63,81.46,78.4,78.46,77.8498911353033,6356996,0.0,1.0
2024-07-24,79.58,80.36,78.9309,79.97,79.3481493001555,5658574,0.0,1.0
2024-07-23,79.45,79.655,78.805,79.4,78.7825816485226,5022949,0.0,1.0
2024-07-22,79.55,80.08,79.08,79.3,78.6833592534992,5904536,0.0,1.0
2024-07-19,81.58,81.67,79.41,79.48,78.8619595645412,9292752,0.0,1.0
2024-07-18,80.45,83.63,80.08,81.21,80.5785069984448,8427750,0.0,1.0
2024-07-17,77.95,81.56,77.94,81.26,80.6281181959565,9848124,0.0,1.0
2024-07-16,77.04,78.2,76.68,78.1,77.4926905132193,6811206,0.0,1.0
2024-07-15,77.82,78.01,76.955,77.08,76.4806220839813,4497792,0.0,1.0
2024-07-12,78.2,78.66,77.815,77.95,77.3438569206843,5661443,0.0,1.0
2024-07-11,77.43,78.205,77.19,78.07,77.4629237947123,6226298,0.0,1.0
2024-07-10,76.84,77.09,76.33,77.06,76.4607776049767,6736475,0.0,1.0
2024-07-09,76.84,76.99,75.96,76.88,76.2821772939347,6145101,0.0,1.0
2024-07-08,77.43,77.6,76.58,76.84,76.2424883359254,5606455,0.0,1.0
2024-07-05,77.07,77.93,76.7,77.61,77.006500777605,4370078,0.0,1.0
2024-07-03,77.32,77.745,77.085,77.17,76.5699222395023,2838401,0.0,1.0
2024-07-02,76.85,77.5,76.52,77.37,76.768367029549,7111929,0.0,1.0
2024-07-01,78.4,79.38,76.93,77.12,76.5203110419907,7111819,0.0,1.0
