,MNTA_Open,MNTA_High,MNTA_Low,MNTA_Close,MNTA_Adj Close,MNTA_Volume,MNTA_Dividend Amount,MNTA_Split Coefficient
2020-10-02,52.48,52.48,52.48,52.48,52.48,0,0.0,1.0
2020-10-01,52.48,52.48,52.48,52.48,52.48,0,0.0,1.0
2020-09-30,52.47,52.53,52.46,52.48,52.48,8010618,0.0,1.0
2020-09-29,52.47,52.5,52.45,52.49,52.49,1784635,0.0,1.0
2020-09-28,52.41,52.47,52.39,52.46,52.46,1357772,0.0,1.0
2020-09-25,52.4,52.42,52.36,52.4,52.4,2064363,0.0,1.0
2020-09-24,52.31,52.44,52.31,52.39,52.39,1575207,0.0,1.0
2020-09-23,52.35,52.44,52.28,52.29,52.29,2424770,0.0,1.0
2020-09-22,52.36,52.45,52.34,52.36,52.36,2697563,0.0,1.0
2020-09-21,52.3,52.38,52.28,52.37,52.37,2481232,0.0,1.0
2020-09-18,52.37,52.45,52.14,52.26,52.26,4453137,0.0,1.0
2020-09-17,52.38,52.38,52.32,52.33,52.33,2288701,0.0,1.0
2020-09-16,52.4,52.4,52.33,52.37,52.37,5214281,0.0,1.0
2020-09-15,52.375,52.42,52.33,52.37,52.37,3863901,0.0,1.0
2020-09-14,52.12,52.15,52.04,52.1,52.1,2469462,0.0,1.0
2020-09-11,52.18,52.19,52.02,52.08,52.08,3932714,0.0,1.0
2020-09-10,52.17,52.2,52.14,52.14,52.14,3122826,0.0,1.0
2020-09-09,52.19,52.2,52.15,52.17,52.17,3211371,0.0,1.0
2020-09-08,52.24,52.24,52.15,52.16,52.16,4337544,0.0,1.0
2020-09-04,52.16,52.26,52.14,52.18,52.18,5873881,0.0,1.0
2020-09-03,52.14,52.29,52.13,52.195,52.195,6452317,0.0,1.0
2020-09-02,52.18,52.2,52.12,52.15,52.15,4905628,0.0,1.0
2020-09-01,52.15,52.23,52.1,52.15,52.15,4077299,0.0,1.0
2020-08-31,52.26,52.3,52.12,52.17,52.17,2312558,0.0,1.0
2020-08-28,52.08,52.33,52.07,52.33,52.33,3739890,0.0,1.0
2020-08-27,52.2,52.24,52.05,52.1,52.1,5818090,0.0,1.0
2020-08-26,52.2,52.23,52.13,52.14,52.14,3706166,0.0,1.0
2020-08-25,52.18,52.24,52.12,52.21,52.21,4473765,0.0,1.0
2020-08-24,52.31,52.31,52.08,52.15,52.15,4028861,0.0,1.0
2020-08-21,52.11,52.32,52.11,52.32,52.32,4516070,0.0,1.0
2020-08-20,52.17,52.18,52.1,52.11,52.11,11314009,0.0,1.0
2020-08-19,52.1,52.21,51.93,52.12,52.12,59680779,0.0,1.0
2020-08-18,29.2,30.83,29.15,30.81,30.81,923123,0.0,1.0
2020-08-17,29.37,30.35,28.985,29.33,29.33,970194,0.0,1.0
2020-08-14,29.92,30.1,28.5809,29.14,29.14,833806,0.0,1.0
2020-08-13,28.9,30.12,28.1,29.905,29.905,1449761,0.0,1.0
2020-08-12,27.88,28.93,27.45,28.75,28.75,1764116,0.0,1.0
2020-08-11,28.59,28.59,26.86,27.91,27.91,1460397,0.0,1.0
2020-08-10,32.36,32.99,27.78,28.545,28.545,2683558,0.0,1.0
2020-08-07,32.43,33.29,31.88,32.99,32.99,869317,0.0,1.0
2020-08-06,32.77,33.1694,31.94,32.4,32.4,484495,0.0,1.0
2020-08-05,32.38,33.2,32.1,32.7,32.7,566701,0.0,1.0
2020-08-04,32.24,32.93,31.27,32.21,32.21,897503,0.0,1.0
2020-08-03,31.04,32.58,30.1911,32.35,32.35,867697,0.0,1.0
2020-07-31,29.95,30.02,28.45,29.49,29.49,1102026,0.0,1.0
2020-07-30,29.43,30.74,29.43,30.32,30.32,663856,0.0,1.0
2020-07-29,29.24,30.63,29.14,30.05,30.05,1469263,0.0,1.0
2020-07-28,30.0,30.0,28.651,29.14,29.14,1149749,0.0,1.0
2020-07-27,30.0,30.23,28.7865,29.295,29.295,1780220,0.0,1.0
2020-07-24,30.57,30.87,29.73,30.0,30.0,886742,0.0,1.0
2020-07-23,31.82,32.46,30.75,31.05,31.05,808791,0.0,1.0
2020-07-22,33.74,34.02,31.26,31.86,31.86,998758,0.0,1.0
2020-07-21,34.53,35.42,33.82,34.0,34.0,952165,0.0,1.0
2020-07-20,33.95,34.85,33.07,34.74,34.74,592860,0.0,1.0
2020-07-17,34.26,35.06,33.97,34.11,34.11,665400,0.0,1.0
2020-07-16,35.18,35.5,33.94,34.31,34.31,491100,0.0,1.0
2020-07-15,35.33,36.17,34.73,35.42,35.42,622800,0.0,1.0
2020-07-14,33.06,34.34,32.52,34.29,34.29,634300,0.0,1.0
2020-07-13,34.7,35.14,33.34,33.44,33.44,982100,0.0,1.0
