,MPW_Open,MPW_High,MPW_Low,MPW_Close,MPW_Adj Close,MPW_Volume,MPW_Dividend Amount,MPW_Split Coefficient
2024-10-04,5.67,5.76,5.61,5.72,5.72,7411056,0.0,1.0
2024-10-03,5.54,5.69,5.46,5.68,5.68,7147248,0.0,1.0
2024-10-02,5.72,5.73,5.55,5.56,5.56,8580379,0.0,1.0
2024-10-01,5.86,5.905,5.72,5.77,5.77,6527197,0.0,1.0
2024-09-30,5.94,5.9999,5.8,5.85,5.85,7294189,0.0,1.0
2024-09-27,5.95,6.02,5.875,5.95,5.95,6178505,0.0,1.0
2024-09-26,6.0,6.0132,5.88,5.9,5.9,6984337,0.0,1.0
2024-09-25,6.06,6.11,5.93,5.93,5.93,8998013,0.0,1.0
2024-09-24,5.91,6.18,5.9,6.1,6.1,11524361,0.0,1.0
2024-09-23,5.75,5.89,5.68,5.88,5.88,9014193,0.0,1.0
2024-09-20,5.8,6.005,5.73,5.76,5.76,20223794,0.0,1.0
2024-09-19,5.99,6.02,5.75,5.77,5.77,12726257,0.0,1.0
2024-09-18,5.93,6.13,5.765,5.94,5.94,17499160,0.0,1.0
2024-09-17,6.35,6.55,6.2,6.24,6.24,14167034,0.0,1.0
2024-09-16,6.4,6.465,6.13,6.35,6.35,23387223,0.0,1.0
2024-09-13,5.83,6.43,5.77,6.37,6.37,36868818,0.0,1.0
2024-09-12,5.5,5.745,5.0701,5.6,5.6,44645995,0.0,1.0
2024-09-11,4.75,4.8555,4.7,4.82,4.82,9531192,0.0,1.0
2024-09-10,4.95,4.96,4.67,4.8,4.8,11023290,0.0,1.0
2024-09-09,4.9,5.09,4.69,4.99,4.99,11887126,0.08,1.0
2024-09-06,4.92,5.03,4.82,4.93,4.8522090729783,10633760,0.0,1.0
2024-09-05,4.85,5.06,4.83,4.89,4.81284023668639,12413625,0.0,1.0
2024-09-04,4.56,4.81,4.56,4.8,4.72426035502959,10195246,0.0,1.0
2024-09-03,4.45,4.63,4.43,4.56,4.48804733727811,13418544,0.0,1.0
2024-08-30,4.45,4.54,4.43,4.5,4.42899408284024,11585905,0.0,1.0
2024-08-29,4.41,4.45,4.35,4.43,4.36009861932939,7086847,0.0,1.0
2024-08-28,4.4,4.42,4.36,4.41,4.34041420118343,7116215,0.0,1.0
2024-08-27,4.36,4.51,4.35,4.43,4.36009861932939,7110361,0.0,1.0
2024-08-26,4.51,4.53,4.33,4.38,4.3108875739645,11845076,0.0,1.0
2024-08-23,4.5,4.645,4.5,4.51,4.43883629191321,8374694,0.0,1.0
2024-08-22,4.68,4.7,4.5,4.54,4.46836291913215,7678700,0.0,1.0
2024-08-21,4.77,4.81,4.66,4.67,4.59631163708087,7688315,0.0,1.0
2024-08-20,4.59,4.78,4.56,4.74,4.66520710059172,9638025,0.0,1.0
2024-08-19,4.88,4.9,4.61,4.64,4.56678500986193,18161450,0.0,1.0
2024-08-16,4.91,4.99,4.86,4.92,4.84236686390533,8857287,0.0,1.0
2024-08-15,4.73,5.01,4.69,4.93,4.8522090729783,13119566,0.0,1.0
2024-08-14,4.73,4.775,4.65,4.68,4.60615384615385,7388333,0.0,1.0
2024-08-13,4.56,4.72,4.525,4.7,4.6258382642998,10638301,0.0,1.0
2024-08-12,4.6,4.61,4.34,4.49,4.41915187376726,16194583,0.0,1.0
