,MSTR_Open,MSTR_High,MSTR_Low,MSTR_Close,MSTR_Adj Close,MSTR_Volume,MSTR_Dividend Amount,MSTR_Split Coefficient
2024-10-04,166.72,176.55,163.9651,176.51,176.51,14069711,0.0,1.0
2024-10-03,163.39,165.86,157.82,163.41,163.41,8814224,0.0,1.0
2024-10-02,160.51,173.88,159.16,164.64,164.64,12557459,0.0,1.0
2024-10-01,168.52,169.4299,157.02,162.69,162.69,14103324,0.0,1.0
2024-09-30,168.63,175.5064,167.314,168.6,168.6,13443437,0.0,1.0
2024-09-27,170.48,179.6,168.305,176.22,176.22,17321178,0.0,1.0
2024-09-26,157.63,167.51,156.3806,165.98,165.98,17068474,0.0,1.0
2024-09-25,152.3,157.88,151.5,151.94,151.94,7839376,0.0,1.0
2024-09-24,150.16,154.33,146.7074,153.88,153.88,9365235,0.0,1.0
2024-09-23,147.48,151.59,145.0149,149.97,149.97,10090260,0.0,1.0
2024-09-20,144.39,148.03,141.64,144.78,144.78,12332317,0.0,1.0
2024-09-19,140.45,148.96,139.62,144.66,144.66,20177336,0.0,1.0
2024-09-18,130.44,139.49,128.51,132.67,132.67,16345621,0.0,1.0
2024-09-17,138.37,140.16,128.8209,131.27,131.27,21043391,0.0,1.0
2024-09-16,137.02,137.88,132.67,134.53,134.53,8765884,0.0,1.0
2024-09-13,131.1,143.0,129.84,141.47,141.47,12239123,0.0,1.0
2024-09-12,129.0,134.1,127.2723,130.77,130.77,6052392,0.0,1.0
2024-09-11,124.805,131.0,121.3,129.28,129.28,8731203,0.0,1.0
2024-09-10,123.0,129.82,121.55,129.64,129.64,7738025,0.0,1.0
2024-09-09,118.93,125.2289,117.5003,124.82,124.82,9771186,0.0,1.0
2024-09-06,122.93,124.69,113.69,114.3,114.3,8795527,0.0,1.0
2024-09-05,122.35,126.83,119.43,119.57,119.57,6066645,0.0,1.0
2024-09-04,120.25,125.98,117.9401,124.85,124.85,7913196,0.0,1.0
2024-09-03,132.0,132.73,122.19,122.32,122.32,8258810,0.0,1.0
2024-08-30,134.0,135.2499,128.3,132.42,132.42,7802999,0.0,1.0
2024-08-29,137.0,139.43,131.0,132.56,132.56,8431380,0.0,1.0
2024-08-28,138.16,138.4,130.73,132.09,132.09,8860102,0.0,1.0
2024-08-27,144.48,145.238,138.19,140.01,140.01,10943128,0.0,1.0
2024-08-26,148.12,152.35,146.6,146.9,146.9,10418753,0.0,1.0
2024-08-23,137.4,151.81,135.51,150.01,150.01,17791304,0.0,1.0
2024-08-22,141.39,141.78,133.69,133.81,133.81,7963436,0.0,1.0
2024-08-21,134.34,142.58,132.87,141.42,141.42,11774541,0.0,1.0
2024-08-20,139.735,141.36,130.63,133.69,133.69,11274578,0.0,1.0
2024-08-19,133.7,137.44,131.16,135.35,135.35,6595737,0.0,1.0
2024-08-16,133.25,136.32,126.59,133.04,133.04,11360411,0.0,1.0
2024-08-15,132.7,139.0,130.73,131.93,131.93,10856852,0.0,1.0
2024-08-14,136.37,137.4,129.33,130.37,130.37,8535928,0.0,1.0
2024-08-13,132.28,140.0,130.26,135.38,135.38,8123111,0.0,1.0
2024-08-12,133.49,139.2129,129.22,131.46,131.46,6932336,0.0,1.0
2024-08-09,135.89,136.685,129.55,135.37,135.37,7330433,0.0,1.0
2024-08-08,130.23,136.76,128.06,135.99,135.99,10378305,0.0,10.0
2024-08-07,1408.78,1421.58,1240.13,1246.85,124.685,1093385,0.0,1.0
2024-08-06,1326.0,1394.94,1262.18,1369.21,136.921,1226023,0.0,1.0
2024-08-05,1051.65,1354.2699,1024.02,1309.0,130.9,2267755,0.0,1.0
2024-08-02,1485.81,1591.4,1417.1,1447.99,144.799,1412619,0.0,1.0
2024-08-01,1615.0,1634.36,1482.02,1511.81,151.181,1193000,0.0,1.0
2024-07-31,1646.03,1685.0,1608.5515,1614.44,161.444,753381,0.0,1.0
2024-07-30,1687.99,1694.9999,1592.4901,1604.07,160.407,915480,0.0,1.0
2024-07-29,1819.99,1837.0,1671.2749,1684.85,168.485,1280162,0.0,1.0
2024-07-26,1700.0,1776.97,1686.01,1752.71,175.271,1413767,0.0,1.0
2024-07-25,1616.5,1677.855,1507.66,1606.47,160.647,1477233,0.0,1.0
2024-07-24,1750.0,1769.52,1667.02,1672.69,167.269,1377377,0.0,1.0
2024-07-23,1763.99,1798.0,1715.0201,1721.77,172.177,1074661,0.0,1.0
2024-07-22,1784.02,1810.6621,1736.13,1800.09,180.009,1539112,0.0,1.0
2024-07-19,1573.4,1785.0,1565.0001,1778.5,177.85,2045826,0.0,1.0
2024-07-18,1633.9,1637.0,1516.25,1555.16,155.516,1023633,0.0,1.0
2024-07-17,1611.0,1674.0799,1530.0,1590.0,159.0,1721167,0.0,1.0
2024-07-16,1615.0,1675.784,1576.395,1664.3,166.43,1580962,0.0,1.0
2024-07-15,1524.0,1638.9999,1492.4254,1611.28,161.128,2467083,0.0,1.0
2024-07-12,1339.2,1435.4044,1324.19,1396.76,139.676,1064083,0.0,1.0
2024-07-11,1396.0,1432.0,1329.235,1358.56,135.856,1354893,0.0,1.0
2024-07-10,1319.7,1345.0,1296.0,1305.72,130.572,638729,0.0,1.0
2024-07-09,1313.88,1320.0,1278.085,1301.77,130.177,896851,0.0,1.0
2024-07-08,1314.53,1325.0,1258.7817,1290.58,129.058,873639,0.0,1.0
2024-07-05,1215.5,1299.17,1202.32,1281.72,128.172,1502908,0.0,1.0
2024-07-03,1298.0,1328.0,1273.4707,1302.09,130.209,665940,0.0,1.0
2024-07-02,1365.51,1384.405,1306.57,1320.19,132.019,922911,0.0,1.0
2024-07-01,1410.0,1435.95,1363.08,1365.97,136.597,1412932,0.0,1.0
2024-06-28,1516.42,1519.0,1367.02,1377.48,137.748,3411349,0.0,1.0
2024-06-27,1485.0,1538.9999,1463.5,1525.4,152.54,930767,0.0,1.0
2024-06-26,1472.29,1505.015,1445.0,1457.73,145.773,750175,0.0,1.0
2024-06-25,1413.77,1499.0,1393.3906,1495.74,149.574,1362797,0.0,1.0
2024-06-24,1398.0,1448.8997,1325.5414,1372.15,137.215,1608074,0.0,1.0
2024-06-21,1420.0,1491.05,1409.02,1483.76,148.376,1149463,0.0,1.0
2024-06-20,1482.11,1505.59,1422.06,1465.4,146.54,909760,0.0,1.0
2024-06-18,1457.93,1510.95,1446.0,1469.43,146.943,893368,0.0,1.0
2024-06-17,1499.8,1569.01,1421.1687,1507.26,150.726,1207636,0.0,1.0
2024-06-14,1505.0,1538.0,1461.51,1495.54,149.554,1379009,0.0,1.0
2024-06-13,1563.3,1573.76,1441.01,1483.88,148.388,2110766,0.0,1.0
2024-06-12,1620.0,1692.71,1591.765,1603.67,160.367,1368125,0.0,1.0
2024-06-11,1542.0,1564.15,1486.6,1555.49,155.549,1141182,0.0,1.0
2024-06-10,1575.01,1647.76,1560.2903,1599.92,159.992,726460,0.0,1.0
2024-06-07,1671.02,1717.7,1585.0,1596.2,159.62,1262688,0.0,1.0
2024-06-06,1698.59,1734.6977,1647.05,1656.63,165.663,1162291,0.0,1.0
2024-06-05,1675.0,1717.84,1636.2401,1694.69,169.469,1095585,0.0,1.0
2024-06-04,1617.42,1697.0,1615.0,1638.77,163.877,1322951,0.0,1.0
2024-06-03,1601.0,1656.0,1560.4166,1627.41,162.741,1122236,0.0,1.0
2024-05-31,1597.0,1614.82,1442.0,1524.49,152.449,2215356,0.0,1.0
2024-05-30,1653.0,1714.99,1531.955,1541.0,154.1,1477645,0.0,1.0
2024-05-29,1650.0,1659.07,1611.18,1618.7,161.87,734425,0.0,1.0
2024-05-28,1650.0,1691.55,1610.0201,1675.35,167.535,1079936,0.0,1.0
2024-05-24,1540.0,1684.995,1528.0,1684.84,168.484,1206856,0.0,1.0
2024-05-23,1669.21,1670.0,1530.3257,1544.07,154.407,1158811,0.0,1.0
2024-05-22,1663.0,1718.0,1620.15,1647.0,164.7,1033930,0.0,1.0
2024-05-21,1730.0,1740.0,1645.0,1655.42,165.542,1297751,0.0,1.0
2024-05-20,1597.0,1728.96,1551.42,1727.24,172.724,1671697,0.0,1.0
2024-05-17,1500.98,1584.9999,1469.0,1584.5,158.45,1652932,0.0,1.0
2024-05-16,1494.1,1518.9,1435.45,1439.98,143.998,1365555,0.0,1.0
2024-05-15,1379.6,1520.34,1351.09,1503.47,150.347,2058643,0.0,1.0
2024-05-14,1226.48,1298.69,1226.48,1297.63,129.763,926786,0.0,1.0
2024-05-13,1217.94,1264.1512,1203.0,1245.96,124.596,875725,0.0,1.0
2024-05-10,1289.99,1301.99,1178.53,1180.48,118.048,1403844,0.0,1.0
2024-05-09,1230.0,1303.0,1200.99,1263.64,126.364,1053370,0.0,1.0
2024-05-08,1198.39,1259.8977,1190.0,1233.12,123.312,859016,0.0,1.0
2024-05-07,1278.2,1318.9999,1251.3,1257.45,125.745,996768,0.0,1.0
2024-05-06,1273.85,1339.0,1260.1,1268.81,126.881,1387032,0.0,1.0
2024-05-03,1201.01,1242.0,1172.82,1223.01,122.301,1560962,0.0,1.0
2024-05-02,1055.0,1142.3019,1041.7619,1129.42,112.942,1540225,0.0,1.0
2024-05-01,1015.53,1109.325,1010.0,1028.27,102.827,1924884,0.0,1.0
2024-04-30,1199.01,1215.42,1063.17,1065.03,106.503,2493603,0.0,1.0
2024-04-29,1250.0,1308.4158,1228.42,1292.97,129.297,1013073,0.0,1.0
2024-04-26,1225.0,1285.97,1204.01,1282.38,128.238,881462,0.0,1.0
2024-04-25,1226.0,1267.72,1201.1398,1240.41,124.041,773403,0.0,1.0
2024-04-24,1327.01,1345.0,1260.0,1265.67,126.567,951186,0.0,1.0
2024-04-23,1311.0,1394.4505,1298.89,1338.64,133.864,1047846,0.0,1.0
2024-04-22,1209.0,1347.902,1208.0,1324.01,132.401,1941069,0.0,1.0
2024-04-19,1237.0,1258.6499,1166.241,1174.11,117.411,1474654,0.0,1.0
2024-04-18,1192.0,1287.88,1168.43,1208.16,120.816,1769671,0.0,1.0
2024-04-17,1258.0,1264.22,1131.99,1188.05,118.805,2037397,0.0,1.0
2024-04-16,1306.02,1328.5,1215.1501,1254.03,125.403,1729229,0.0,1.0
2024-04-15,1470.0,1489.97,1321.05,1335.88,133.588,1612542,0.0,1.0
2024-04-12,1535.0,1537.82,1433.0,1479.58,147.958,1290564,0.0,1.0
2024-04-11,1543.0,1578.37,1510.09,1551.81,155.181,1438591,0.0,1.0
2024-04-10,1387.5,1566.0,1373.77,1566.0,156.6,1939188,0.0,1.0
2024-04-09,1478.1,1480.1672,1375.0,1441.02,144.102,1659597,0.0,1.0
2024-04-08,1602.1,1623.78,1491.2001,1512.99,151.299,2008878,0.0,1.0
2024-04-05,1570.0,1674.25,1432.0,1439.0,143.9,2243354,0.0,1.0
2024-04-04,1692.98,1739.72,1610.1001,1615.42,161.542,1993678,0.0,1.0
2024-04-03,1580.01,1699.49,1568.3201,1606.11,160.611,1964439,0.0,1.0
2024-04-02,1492.0,1592.29,1462.9429,1578.83,157.883,1839205,0.0,1.0
2024-04-01,1645.01,1690.19,1586.56,1636.74,163.674,1983928,0.0,1.0
2024-03-28,1943.0,1989.0,1645.515,1704.56,170.456,4555914,0.0,1.0
2024-03-27,1953.0,1999.99,1842.0001,1919.16,191.916,2622609,0.0,1.0
2024-03-26,1882.43,1909.5,1792.0,1876.99,187.699,2393890,0.0,1.0
2024-03-25,1605.0,1873.65,1594.42,1856.0,185.6,3884027,0.0,1.0
2024-03-22,1520.0,1594.49,1490.0,1523.0,152.3,2083618,0.0,1.0
2024-03-21,1594.12,1704.3635,1581.02,1599.29,159.929,3158981,0.0,1.0
2024-03-20,1423.01,1549.9999,1363.01,1546.52,154.652,3331432,0.0,1.0
2024-03-19,1326.07,1450.0,1230.12,1417.5,141.75,4464413,0.0,1.0
2024-03-18,1718.45,1734.9001,1445.01,1502.76,150.276,4511120,0.0,1.0
2024-03-15,1600.01,1815.0,1570.0,1782.36,178.236,4474994,0.0,1.0
2024-03-14,1708.01,1746.0,1550.77,1676.85,167.685,4908305,0.0,1.0
2024-03-13,1660.0,1774.0,1620.0,1766.15,176.615,3629266,0.0,1.0
2024-03-12,1544.0,1594.97,1438.0022,1593.35,159.335,3492896,0.0,1.0
