,MU_Open,MU_High,MU_Low,MU_Close,MU_Adj Close,MU_Volume,MU_Dividend Amount,MU_Split Coefficient
2024-10-04,103.65,104.2399,101.4,102.25,102.25,21945805,0.0,1.0
2024-10-03,99.47,102.53,99.4,101.82,101.82,22176651,0.0,1.0
2024-10-02,100.59,102.12,99.33,99.85,99.85,26334893,0.0,1.0
2024-10-01,103.4,104.2,98.94,100.31,100.31,34309766,0.0,1.0
2024-09-30,106.08,106.7483,102.26,103.71,103.71,39627713,0.0,1.0
2024-09-27,110.5,110.97,107.03,107.5,107.5,42960180,0.0,1.0
2024-09-26,113.1,114.8,107.53,109.88,109.88,107965892,0.0,1.0
2024-09-25,94.16,96.175,93.93,95.77,95.77,54762883,0.0,1.0
2024-09-24,94.73,95.0,92.76,94.0,94.0,23043237,0.0,1.0
2024-09-23,92.675,94.8,92.58,93.57,93.57,23394101,0.0,1.0
2024-09-20,88.4,90.97,88.33,90.9,90.9,28711000,0.0,1.0
2024-09-19,89.35,90.39,87.58,89.25,89.25,25208917,0.0,1.0
2024-09-18,87.99,89.2,86.71,87.35,87.35,20130596,0.0,1.0
2024-09-17,88.06,89.57,87.5401,88.73,88.73,17744764,0.0,1.0
2024-09-16,87.24,88.24,85.92,87.18,87.18,26494332,0.0,1.0
2024-09-13,88.09,91.47,87.87,91.22,91.22,21267222,0.0,1.0
2024-09-12,87.1,88.03,84.12,87.21,87.21,30982533,0.0,1.0
2024-09-11,88.2,90.83,86.08,90.65,90.65,20879599,0.0,1.0
2024-09-10,86.97,87.19,84.87,86.85,86.85,17019016,0.0,1.0
2024-09-09,87.85,87.96,85.01,86.27,86.27,20526393,0.0,1.0
2024-09-06,89.37,89.65,85.26,86.38,86.38,23587097,0.0,1.0
2024-09-05,88.1,90.7,87.76,89.39,89.39,13890660,0.0,1.0
2024-09-04,88.36,90.73,87.81,89.29,89.29,15906464,0.0,1.0
2024-09-03,93.63,93.8799,88.31,88.58,88.58,28897236,0.0,1.0
2024-08-30,96.92,98.4129,94.99,96.24,96.24,18819367,0.0,1.0
2024-08-29,96.56,97.98,94.99,95.57,95.57,18984288,0.0,1.0
