,NMIH_Open,NMIH_High,NMIH_Low,NMIH_Close,NMIH_Adj Close,NMIH_Volume,NMIH_Dividend Amount,NMIH_Split Coefficient
2024-10-04,41.32,41.59,41.03,41.27,41.27,1054437,0.0,1.0
2024-10-03,40.81,41.38,40.65,41.02,41.02,394716,0.0,1.0
2024-10-02,41.0,41.24,40.74,41.04,41.04,344552,0.0,1.0
2024-10-01,41.32,41.47,40.63,41.13,41.13,391582,0.0,1.0
2024-09-30,41.0,41.46,40.76,41.19,41.19,391225,0.0,1.0
2024-09-27,41.21,41.52,40.89,41.03,41.03,511478,0.0,1.0
2024-09-26,41.15,41.71,40.8,40.85,40.85,347343,0.0,1.0
2024-09-25,41.04,41.23,40.56,40.92,40.92,395882,0.0,1.0
2024-09-24,41.4,41.615,40.74,41.01,41.01,354252,0.0,1.0
2024-09-23,41.02,41.54,40.84,41.43,41.43,410415,0.0,1.0
2024-09-20,41.41,41.45,40.635,40.84,40.84,1762341,0.0,1.0
2024-09-19,41.92,42.18,40.99,41.51,41.51,838484,0.0,1.0
2024-09-18,42.0,42.49,41.47,41.66,41.66,1174607,0.0,1.0
2024-09-17,41.91,42.09,41.07,41.15,41.15,572874,0.0,1.0
2024-09-16,41.25,41.73,40.95,41.73,41.73,342592,0.0,1.0
2024-09-13,40.13,41.3,40.12,41.07,41.07,416098,0.0,1.0
2024-09-12,39.58,39.92,39.455,39.73,39.73,467947,0.0,1.0
2024-09-11,39.77,39.905,38.8,39.34,39.34,662886,0.0,1.0
2024-09-10,40.23,40.41,39.58,40.1,40.1,459381,0.0,1.0
2024-09-09,40.73,40.73,39.595,40.23,40.23,643331,0.0,1.0
2024-09-06,41.01,41.36,40.435,40.57,40.57,479526,0.0,1.0
2024-09-05,41.81,41.89,40.9,40.96,40.96,491210,0.0,1.0
2024-09-04,40.81,42.055,40.81,41.55,41.55,626821,0.0,1.0
2024-09-03,41.14,41.47,40.755,40.91,40.91,596555,0.0,1.0
2024-08-30,40.57,41.16,40.4,41.07,41.07,499936,0.0,1.0
2024-08-29,40.7,40.7,40.335,40.4,40.4,445664,0.0,1.0
2024-08-28,40.04,40.725,39.875,40.31,40.31,285168,0.0,1.0
2024-08-27,39.78,40.11,39.6,40.04,40.04,286463,0.0,1.0
2024-08-26,40.1,40.42,39.84,39.95,39.95,360065,0.0,1.0
2024-08-23,38.82,39.82,38.73,39.8,39.8,309024,0.0,1.0
2024-08-22,38.47,38.72,38.2,38.56,38.56,251811,0.0,1.0
2024-08-21,38.45,38.5,37.94,38.47,38.47,291308,0.0,1.0
2024-08-20,38.59,38.59,37.99,38.25,38.25,239270,0.0,1.0
2024-08-19,38.26,38.53,38.15,38.51,38.51,257044,0.0,1.0
2024-08-16,38.03,38.65,38.03,38.26,38.26,387887,0.0,1.0
2024-08-15,37.98,38.13,37.55,38.01,38.01,325735,0.0,1.0
2024-08-14,37.58,37.7,37.14,37.35,37.35,650356,0.0,1.0
2024-08-13,37.0,37.605,36.91,37.39,37.39,773862,0.0,1.0
2024-08-12,37.35,37.35,36.64,36.77,36.77,762676,0.0,1.0
2024-08-09,37.31,37.55,37.25,37.4,37.4,1149412,0.0,1.0
2024-08-08,36.75,37.27,36.64,37.24,37.24,862751,0.0,1.0
2024-08-07,36.94,37.09,36.46,36.5,36.5,447638,0.0,1.0
2024-08-06,36.24,36.77,35.87,36.48,36.48,702290,0.0,1.0
2024-08-05,36.35,36.72,35.51,36.27,36.27,737135,0.0,1.0
2024-08-02,37.25,38.1,36.56,37.69,37.69,502788,0.0,1.0
2024-08-01,39.34,39.86,37.94,38.22,38.22,539026,0.0,1.0
2024-07-31,40.54,42.01,38.4,39.35,39.35,866455,0.0,1.0
2024-07-30,39.58,39.93,39.17,39.2,39.2,755899,0.0,1.0
2024-07-29,39.36,39.81,39.34,39.39,39.39,525323,0.0,1.0
2024-07-26,39.19,39.38,38.71,39.38,39.38,573000,0.0,1.0
2024-07-25,38.04,39.28,38.04,38.7,38.7,806523,0.0,1.0
2024-07-24,38.08,38.42,37.71,37.8,37.8,406808,0.0,1.0
2024-07-23,37.99,38.62,37.98,38.33,38.33,425322,0.0,1.0
2024-07-22,37.57,38.05,37.425,38.0,38.0,372307,0.0,1.0
2024-07-19,37.81,37.81,37.3,37.48,37.48,509166,0.0,1.0
2024-07-18,37.91,38.68,37.5,37.53,37.53,729659,0.0,1.0
2024-07-17,37.31,37.9,37.28,37.86,37.86,745239,0.0,1.0
2024-07-16,36.77,37.8,36.56,37.42,37.42,726236,0.0,1.0
2024-07-15,35.84,36.82,35.84,36.61,36.61,528630,0.0,1.0
2024-07-12,35.66,36.07,35.51,35.56,35.56,536570,0.0,1.0
2024-07-11,35.15,35.45,34.95,35.43,35.43,536876,0.0,1.0
2024-07-10,34.45,34.82,34.38,34.82,34.82,261404,0.0,1.0
2024-07-09,34.0,34.59,33.88,34.35,34.35,412998,0.0,1.0
2024-07-08,34.23,34.48,33.77,33.86,33.86,521295,0.0,1.0
2024-07-05,34.23,34.38,33.9301,33.99,33.99,507776,0.0,1.0
2024-07-03,34.39,34.39,33.89,34.23,34.23,310785,0.0,1.0
2024-07-02,34.07,34.58,34.02,34.25,34.25,743689,0.0,1.0
2024-07-01,34.19,34.39,33.63,34.02,34.02,603039,0.0,1.0
2024-06-28,33.72,34.11,33.7,34.04,34.04,997424,0.0,1.0
2024-06-27,33.26,33.41,32.96,33.4,33.4,319727,0.0,1.0
2024-06-26,33.32,33.54,33.05,33.06,33.06,623315,0.0,1.0
2024-06-25,33.67,33.75,33.29,33.48,33.48,377508,0.0,1.0
2024-06-24,33.22,33.88,33.19,33.71,33.71,480767,0.0,1.0
2024-06-21,33.07,33.24,32.94,33.13,33.13,1249434,0.0,1.0
2024-06-20,32.58,33.21,32.58,33.07,33.07,316835,0.0,1.0
2024-06-18,32.33,32.82,32.16,32.71,32.71,359061,0.0,1.0
2024-06-17,31.79,32.29,31.67,32.26,32.26,382374,0.0,1.0
2024-06-14,31.79,31.98,31.72,31.77,31.77,298526,0.0,1.0
2024-06-13,32.36,32.36,31.9,32.23,32.23,340340,0.0,1.0
2024-06-12,32.42,32.85,32.35,32.48,32.48,422730,0.0,1.0
2024-06-11,32.3,32.3,31.6,31.8,31.8,599143,0.0,1.0
2024-06-10,32.6,32.6,31.91,32.5,32.5,615551,0.0,1.0
2024-06-07,32.78,32.955,32.54,32.72,32.72,252141,0.0,1.0
2024-06-06,32.84,33.2816,32.84,33.02,33.02,414891,0.0,1.0
2024-06-05,33.02,33.21,32.73,33.02,33.02,377398,0.0,1.0
2024-06-04,33.33,33.72,32.97,33.06,33.06,433888,0.0,1.0
2024-06-03,33.37,33.6,33.17,33.56,33.56,390074,0.0,1.0
2024-05-31,32.95,33.19,32.86,33.18,33.18,500492,0.0,1.0
2024-05-30,32.39,32.88,32.39,32.86,32.86,292333,0.0,1.0
2024-05-29,32.18,32.36,31.99,32.16,32.16,656781,0.0,1.0
2024-05-28,32.79,32.81,32.39,32.43,32.43,373560,0.0,1.0
2024-05-24,32.84,32.97,32.64,32.7,32.7,372336,0.0,1.0
2024-05-23,33.2,33.4898,32.495,32.57,32.57,397978,0.0,1.0
2024-05-22,32.81,33.37,31.5901,33.09,33.09,491400,0.0,1.0
2024-05-21,33.34,33.87,33.275,33.77,33.77,366987,0.0,1.0
2024-05-20,34.11,34.26,33.34,33.37,33.37,350830,0.0,1.0
2024-05-17,33.82,34.26,33.66,34.23,34.23,300384,0.0,1.0
2024-05-16,33.67,33.82,33.48,33.72,33.72,277482,0.0,1.0
2024-05-15,33.72,33.79,33.38,33.61,33.61,310164,0.0,1.0
