,NSA_Open,NSA_High,NSA_Low,NSA_Close,NSA_Adj Close,NSA_Volume,NSA_Dividend Amount,NSA_Split Coefficient
2024-10-04,46.04,46.46,44.46,44.63,44.63,777195,0.0,1.0
2024-10-03,46.86,46.96,46.13,46.39,46.39,388613,0.0,1.0
2024-10-02,46.9,47.155,46.53,46.88,46.88,548480,0.0,1.0
2024-10-01,48.46,48.64,47.26,47.44,47.44,443491,0.0,1.0
2024-09-30,47.4,48.27,46.96,48.2,48.2,818740,0.0,1.0
2024-09-27,47.24,47.57,46.84,47.45,47.45,520112,0.0,1.0
2024-09-26,48.17,48.17,46.78,46.82,46.82,633922,0.0,1.0
2024-09-25,48.74,48.75,48.025,48.15,48.15,703192,0.0,1.0
2024-09-24,49.0,49.1062,48.36,48.68,48.68,496177,0.0,1.0
2024-09-23,48.92,49.44,48.665,49.13,49.13,687353,0.0,1.0
2024-09-20,48.2,48.6,48.1,48.57,48.57,1603060,0.0,1.0
2024-09-19,48.88,48.88,47.52,48.13,48.13,633502,0.0,1.0
2024-09-18,48.93,49.2537,48.22,48.4,48.4,787396,0.0,1.0
2024-09-17,48.71,48.87,48.12,48.14,48.14,452318,0.0,1.0
2024-09-16,47.95,48.9,47.7,48.71,48.71,881266,0.0,1.0
2024-09-13,47.35,47.81,46.81,47.66,47.66,761393,0.56,1.0
2024-09-12,46.78,47.93,46.63,47.69,47.1361551223559,852393,0.0,1.0
2024-09-11,46.58,46.74,45.84,46.65,46.1082330982995,518172,0.0,1.0
2024-09-10,46.84,47.45,46.74,47.11,46.5628909166321,653767,0.0,1.0
2024-09-09,45.89,46.83,45.88,46.81,46.2663749481543,716705,0.0,1.0
2024-09-06,46.05,46.57,45.58,46.47,45.9303235172128,461379,0.0,1.0
2024-09-05,46.94,47.06,45.84,46.03,45.495433430112,736732,0.0,1.0
2024-09-04,46.69,47.415,46.395,46.6,46.0588137702198,587824,0.0,1.0
2024-09-03,46.58,47.07,46.3,46.71,46.167536291995,990455,0.0,1.0
2024-08-30,46.39,46.75,45.85,46.74,46.1971878888428,1047817,0.0,1.0
