,NSIT_Open,NSIT_High,NSIT_Low,NSIT_Close,NSIT_Adj Close,NSIT_Volume,NSIT_Dividend Amount,NSIT_Split Coefficient
2024-10-04,217.5,220.0,216.29,219.68,219.68,83975,0.0,1.0
2024-10-03,211.26,214.52,210.515,214.14,214.14,107648,0.0,1.0
2024-10-02,211.19,214.51,211.18,213.02,213.02,64188,0.0,1.0
2024-10-01,214.02,214.02,208.91,211.19,211.19,142855,0.0,1.0
2024-09-30,212.82,215.66,211.24,215.39,215.39,180467,0.0,1.0
2024-09-27,213.41,215.605,211.02,213.06,213.06,130511,0.0,1.0
2024-09-26,210.95,212.21,208.67,211.73,211.73,93909,0.0,1.0
2024-09-25,212.32,212.32,207.45,208.28,208.28,111744,0.0,1.0
2024-09-24,210.73,212.46,209.776,211.99,211.99,77746,0.0,1.0
2024-09-23,214.79,215.3,210.94,211.23,211.23,194785,0.0,1.0
2024-09-20,213.46,216.47,211.66,213.84,213.84,512558,0.0,1.0
2024-09-19,216.28,216.28,208.6,213.08,213.08,186213,0.0,1.0
2024-09-18,213.25,217.98,204.6891,209.78,209.78,158042,0.0,1.0
2024-09-17,214.3,215.2,209.41,212.71,212.71,1066045,0.0,1.0
2024-09-16,209.52,212.67,208.33,212.17,212.17,87532,0.0,1.0
2024-09-13,205.25,209.49,205.25,208.71,208.71,106857,0.0,1.0
2024-09-12,200.73,203.11,197.2317,202.67,202.67,165298,0.0,1.0
2024-09-11,197.71,198.32,191.25,197.72,197.72,136811,0.0,1.0
2024-09-10,200.8,200.955,197.25,198.76,198.76,250640,0.0,1.0
2024-09-09,201.05,202.23,198.52,201.3,201.3,203681,0.0,1.0
2024-09-06,203.15,204.71,198.14,199.34,199.34,195398,0.0,1.0
2024-09-05,204.96,205.55,202.43,203.09,203.09,218384,0.0,1.0
2024-09-04,200.4,204.48,200.4,204.28,204.28,157533,0.0,1.0
2024-09-03,215.15,216.06,202.135,202.36,202.36,204750,0.0,1.0
2024-08-30,216.54,218.259,214.6201,217.07,217.07,369035,0.0,1.0
2024-08-29,215.5,218.14,214.47,214.87,214.87,160410,0.0,1.0
2024-08-28,214.28,215.56,213.32,214.36,214.36,175665,0.0,1.0
2024-08-27,213.06,215.06,212.68,214.75,214.75,218630,0.0,1.0
2024-08-26,215.0,215.505,213.39,214.08,214.08,164025,0.0,1.0
2024-08-23,208.6,213.82,208.6,213.39,213.39,155968,0.0,1.0
2024-08-22,209.67,210.0,206.06,206.88,206.88,138972,0.0,1.0
2024-08-21,206.08,208.91,204.83,208.6,208.6,131741,0.0,1.0
2024-08-20,205.13,206.14,203.22,204.52,204.52,183299,0.0,1.0
2024-08-19,206.3,206.465,203.89,205.11,205.11,192648,0.0,1.0
2024-08-16,203.7,205.0,201.695,204.05,204.05,205436,0.0,1.0
2024-08-15,200.11,205.79,198.5,203.96,203.96,234604,0.0,1.0
2024-08-14,191.11,198.4,190.51,196.44,196.44,290711,0.0,1.0
2024-08-13,187.39,191.03,186.41,189.87,189.87,232129,0.0,1.0
2024-08-12,187.58,188.43,184.345,185.69,185.69,175977,0.0,1.0
2024-08-09,185.85,188.63,184.8,187.72,187.72,183197,0.0,1.0
2024-08-08,185.26,186.1,182.565,185.2,185.2,184295,0.0,1.0
2024-08-07,182.86,184.625,180.41,182.59,182.59,242133,0.0,1.0
2024-08-06,180.34,183.49,178.34,180.45,180.45,292691,0.0,1.0
2024-08-05,171.56,184.82,171.275,180.0,180.0,483188,0.0,1.0
2024-08-02,190.71,190.71,177.16,181.52,181.52,452813,0.0,1.0
2024-08-01,221.69,222.95,196.55,197.76,197.76,554242,0.0,1.0
2024-07-31,225.95,228.07,221.68,224.5,224.5,232723,0.0,1.0
2024-07-30,223.36,225.48,221.18,224.25,224.25,109580,0.0,1.0
2024-07-29,225.72,226.855,222.33,222.63,222.63,88332,0.0,1.0
2024-07-26,223.07,226.39,223.07,225.24,225.24,170179,0.0,1.0
2024-07-25,217.09,221.86,214.53,219.75,219.75,191706,0.0,1.0
2024-07-24,221.92,224.41,216.18,216.7,216.7,231705,0.0,1.0
2024-07-23,216.34,225.0,215.82,222.65,222.65,215002,0.0,1.0
2024-07-22,214.47,218.52,209.87,216.81,216.81,278002,0.0,1.0
2024-07-19,216.23,216.23,212.78,213.33,213.33,183990,0.0,1.0
2024-07-18,221.0,223.385,214.03,215.37,215.37,138884,0.0,1.0
2024-07-17,216.45,221.35,215.33,220.74,220.74,181389,0.0,1.0
2024-07-16,210.68,217.98,210.305,217.79,217.79,166655,0.0,1.0
2024-07-15,205.14,210.25,205.14,208.52,208.52,152027,0.0,1.0
2024-07-12,203.75,206.53,202.9,203.18,203.18,151487,0.0,1.0
2024-07-11,198.79,202.75,198.79,201.78,201.78,147104,0.0,1.0
2024-07-10,195.22,197.5,194.78,196.46,196.46,141971,0.0,1.0
2024-07-09,198.69,199.2,194.79,194.84,194.84,132629,0.0,1.0
2024-07-08,197.68,199.63,197.65,198.28,198.28,77365,0.0,1.0
2024-07-05,199.22,200.6,196.42,196.67,196.67,80989,0.0,1.0
2024-07-03,201.29,201.75,198.43,199.64,199.64,54907,0.0,1.0
2024-07-02,198.4,201.6325,198.4,200.35,200.35,189287,0.0,1.0
2024-07-01,198.38,199.73,193.75,198.09,198.09,168251,0.0,1.0
2024-06-28,198.3,200.17,197.19,198.36,198.36,408997,0.0,1.0
2024-06-27,198.86,199.21,195.49,196.68,196.68,124015,0.0,1.0
2024-06-26,198.77,199.953,197.31,197.9,197.9,194115,0.0,1.0
2024-06-25,202.72,203.34,198.26,199.25,199.25,149051,0.0,1.0
2024-06-24,203.0,204.64,202.44,202.72,202.72,144190,0.0,1.0
2024-06-21,202.73,203.654,199.06,201.77,201.77,813376,0.0,1.0
2024-06-20,205.52,208.54,202.13,203.31,203.31,126940,0.0,1.0
2024-06-18,201.46,205.24,201.46,205.03,205.03,166843,0.0,1.0
2024-06-17,197.93,203.215,197.93,201.46,201.46,148480,0.0,1.0
2024-06-14,196.59,197.775,195.88,197.34,197.34,169497,0.0,1.0
2024-06-13,197.7,198.49,195.855,198.39,198.39,119862,0.0,1.0
2024-06-12,199.87,200.52,197.01,197.62,197.62,190710,0.0,1.0
2024-06-11,195.15,196.64,193.94,196.34,196.34,168566,0.0,1.0
2024-06-10,197.8,198.14,193.79,195.63,195.63,150862,0.0,1.0
2024-06-07,197.22,200.22,194.13,199.6,199.6,194284,0.0,1.0
2024-06-06,197.09,198.089,196.0197,197.99,197.99,151028,0.0,1.0
2024-06-05,196.59,198.8,194.71,197.4,197.4,188081,0.0,1.0
2024-06-04,196.12,196.52,194.45,195.01,195.01,152084,0.0,1.0
2024-06-03,195.67,198.07,194.98,197.16,197.16,192699,0.0,1.0
2024-05-31,195.07,196.04,193.91,195.5,195.5,213713,0.0,1.0
2024-05-30,196.79,196.87,194.0,195.18,195.18,188048,0.0,1.0
2024-05-29,204.37,205.71,194.0,195.99,195.99,446016,0.0,1.0
2024-05-28,208.5,210.7399,204.05,205.62,205.62,147744,0.0,1.0
2024-05-24,209.08,209.08,206.2001,208.35,208.35,117219,0.0,1.0
2024-05-23,208.75,211.08,206.5,208.03,208.03,163934,0.0,1.0
2024-05-22,208.09,209.27,206.27,207.12,207.12,150630,0.0,1.0
2024-05-21,209.18,210.35,208.09,208.37,208.37,89615,0.0,1.0
2024-05-20,206.79,209.47,206.63,209.09,209.09,105676,0.0,1.0
2024-05-17,208.45,208.72,204.86,206.79,206.79,138622,0.0,1.0
2024-05-16,210.26,212.44,207.89,209.09,209.09,139945,0.0,1.0
2024-05-15,207.46,210.53,206.03,210.34,210.34,124727,0.0,1.0
2024-05-14,205.34,206.445,204.02,205.19,205.19,94124,0.0,1.0
2024-05-13,205.37,207.45,203.16,203.73,203.73,152220,0.0,1.0
2024-05-10,204.08,206.64,203.08,206.28,206.28,145151,0.0,1.0
2024-05-09,201.46,204.44,199.965,203.93,203.93,167753,0.0,1.0
2024-05-08,199.6,202.67,199.5802,200.34,200.34,177200,0.0,1.0
2024-05-07,199.9,204.02,199.5548,200.13,200.13,209583,0.0,1.0
2024-05-06,194.27,201.86,194.27,199.92,199.92,242852,0.0,1.0
2024-05-03,182.0,194.28,182.0,193.74,193.74,426548,0.0,1.0
2024-05-02,184.84,185.05,175.365,178.42,178.42,456422,0.0,1.0
