,NTRS_Open,NTRS_High,NTRS_Low,NTRS_Close,NTRS_Adj Close,NTRS_Volume,NTRS_Dividend Amount,NTRS_Split Coefficient
2024-10-04,89.9,90.53,89.49,90.46,90.46,929307,0.0,1.0
2024-10-03,88.21,88.77,87.69,88.57,88.57,1525340,0.0,1.0
2024-10-02,88.72,89.27,88.18,88.4,88.4,670717,0.0,1.0
2024-10-01,89.91,89.915,87.92,88.72,88.72,1127012,0.0,1.0
2024-09-30,89.99,90.1,89.125,90.03,90.03,1017179,0.0,1.0
2024-09-27,90.48,91.25,89.8227,90.07,90.07,1186549,0.0,1.0
2024-09-26,90.46,90.78,87.95,89.93,89.93,1553039,0.0,1.0
2024-09-25,91.67,91.74,90.45,90.79,90.79,1090145,0.0,1.0
2024-09-24,91.51,92.09,90.99,91.41,91.41,839116,0.0,1.0
2024-09-23,92.61,92.79,91.35,91.51,91.51,964345,0.0,1.0
2024-09-20,92.62,92.815,91.69,91.9,91.9,2671876,0.0,1.0
2024-09-19,91.51,92.66,90.06,92.62,92.62,783600,0.0,1.0
2024-09-18,90.96,91.96,90.13,90.31,90.31,876460,0.0,1.0
2024-09-17,89.41,91.09,89.41,90.65,90.65,823599,0.0,1.0
2024-09-16,89.12,89.82,88.22,89.75,89.75,986044,0.0,1.0
2024-09-13,87.95,88.94,87.95,88.24,88.24,942913,0.0,1.0
2024-09-12,87.61,88.12,86.21,87.45,87.45,1760611,0.0,1.0
2024-09-11,87.29,87.545,85.63,87.23,87.23,1497314,0.0,1.0
2024-09-10,87.69,88.6694,85.83,88.47,88.47,1415113,0.0,1.0
2024-09-09,87.52,88.67,86.845,87.76,87.76,1173072,0.0,1.0
2024-09-06,89.02,90.09,86.215,86.66,86.66,1209737,0.75,1.0
2024-09-05,90.0,90.22,89.04,89.66,88.8906944285551,797083,0.0,1.0
2024-09-04,90.02,90.87,89.25,89.45,88.6824962818899,1163223,0.0,1.0
2024-09-03,90.42,91.27,89.54,90.02,89.2476055371239,1263663,0.0,1.0
2024-08-30,89.94,91.36,89.31,91.21,90.427395034893,1697324,0.0,1.0
2024-08-29,89.35,89.89,87.84,89.49,88.7221530717309,809455,0.0,1.0
2024-08-28,88.47,89.49,88.085,88.65,87.8893604850704,785939,0.0,1.0
2024-08-27,89.02,89.365,88.41,88.9,88.1372154215765,1041200,0.0,1.0
2024-08-26,88.94,89.72,88.585,88.85,88.0876444342752,1033654,0.0,1.0
2024-08-23,87.75,89.24,87.645,88.7,87.9389314723716,717910,0.0,1.0
2024-08-22,86.45,87.21,86.335,87.18,86.4319734584144,665595,0.0,1.0
2024-08-21,86.2,86.675,85.63,86.6,85.8569500057202,724111,0.0,1.0
2024-08-20,86.88,86.955,86.05,86.08,85.3414117377874,1089495,0.0,1.0
2024-08-19,87.56,87.925,87.04,87.18,86.4319734584144,893872,0.0,1.0
2024-08-16,85.91,87.27,85.91,87.2,86.4518018533349,909343,0.0,1.0
2024-08-15,85.65,86.68,85.65,86.23,85.4901246996911,941598,0.0,1.0
2024-08-14,83.87,85.28,83.46,84.81,84.0823086603364,965886,0.0,1.0
2024-08-13,83.11,83.65,82.461,83.62,82.9025191625672,1205180,0.0,1.0
2024-08-12,84.36,84.745,82.34,82.51,81.80204324448,1203460,0.0,1.0
2024-08-09,83.43,84.455,83.43,84.29,83.5667703924036,975521,0.0,1.0
2024-08-08,83.63,84.22,83.23,83.5,82.7835487930443,1151382,0.0,1.0
2024-08-07,84.4,85.71,82.78,82.94,82.2283537352706,1211744,0.0,1.0
2024-08-06,82.48,84.6,82.48,83.1,82.3869808946345,1248764,0.0,1.0
2024-08-05,82.81,83.43,80.805,82.48,81.7723006520993,1417515,0.0,1.0
2024-08-02,86.14,86.435,83.56,84.89,84.1616222400183,1366006,0.0,1.0
2024-08-01,88.66,89.12,86.44,86.89,86.1444617320673,714904,0.0,1.0
2024-07-31,89.29,89.53,88.24,88.65,87.8893604850704,931858,0.0,1.0
2024-07-30,89.4,90.055,88.27,88.95,88.1867864088777,960048,0.0,1.0
2024-07-29,89.44,89.725,88.465,88.6,87.8397894977691,742982,0.0,1.0
2024-07-26,88.49,89.65,88.49,89.43,88.6626678869695,776718,0.0,1.0
2024-07-25,86.79,89.015,86.59,87.98,87.225109255234,948374,0.0,1.0
2024-07-24,86.17,87.97,85.93,86.45,85.7082370438165,996617,0.0,1.0
2024-07-23,86.99,87.89,86.32,86.45,85.7082370438165,1307410,0.0,1.0
2024-07-22,85.72,87.2,85.14,87.14,86.3923166685734,1174280,0.0,1.0
2024-07-19,86.47,86.805,85.18,85.49,84.756474087633,1461398,0.0,1.0
2024-07-18,87.84,88.67,85.52,86.23,85.4901246996911,2187323,0.0,1.0
2024-07-17,92.0,92.46,83.03,86.16,85.4207253174694,4875764,0.0,1.0
2024-07-16,90.15,91.53,89.61,90.76,89.981256149182,2705273,0.0,1.0
2024-07-15,89.8,90.385,89.35,90.34,89.5648598558517,1076039,0.0,1.0
2024-07-12,87.5,89.73,87.16,89.28,88.5139549250658,1137819,0.0,1.0
2024-07-11,86.12,87.54,85.78,86.86,86.1147191396865,1486925,0.0,1.0
2024-07-10,84.22,85.42,84.03,85.4,84.6672463104908,743357,0.0,1.0
2024-07-09,82.93,84.17,82.59,83.93,83.2098592838348,727906,0.0,1.0
2024-07-08,83.14,83.74,82.53,82.9,82.1886969454296,769974,0.0,1.0
2024-07-05,83.93,84.17,82.68,83.13,82.4167234870152,1598575,0.0,1.0
2024-07-03,84.75,85.28,83.94,84.4,83.6758265644663,653783,0.0,1.0
2024-07-02,83.35,84.83,83.35,84.23,83.5072852076421,728623,0.0,1.0
2024-07-01,84.01,84.84,83.61,83.83,83.1107173092324,808661,0.0,1.0
2024-06-28,83.16,84.315,82.72,83.98,83.259430271136,1369147,0.0,1.0
2024-06-27,82.31,82.84,81.24,82.54,81.8317858368608,736954,0.0,1.0
2024-06-26,81.6,82.68,81.6,82.58,81.8714426267018,825481,0.0,1.0
2024-06-25,83.09,83.28,81.2108,82.06,81.355904358769,1062264,0.0,1.0
2024-06-24,83.05,84.14,82.75,83.51,82.7934629905045,803789,0.0,1.0
2024-06-21,82.33,82.845,81.68,82.76,82.0498981809862,1906256,0.0,1.0
2024-06-20,82.29,82.771,81.671,82.16,81.4550463333715,1153094,0.0,1.0
2024-06-18,82.24,82.9,81.73,82.9,82.1886969454296,1064345,0.0,1.0
2024-06-17,81.19,82.1,80.45,82.08,81.3757327536895,888303,0.0,1.0
2024-06-14,81.92,82.535,81.11,81.65,80.949422262899,1033583,0.0,1.0
2024-06-13,82.9,83.22,81.82,82.68,81.9705846013042,1552541,0.0,1.0
2024-06-12,81.33,84.27,80.825,83.57,82.852948175266,1965056,0.0,1.0
2024-06-11,82.17,82.76,79.675,79.84,79.1549525225947,1703738,0.0,1.0
2024-06-10,81.79,82.82,81.05,82.78,82.0697265759066,991385,0.0,1.0
2024-06-07,81.65,82.77,81.42,82.29,81.5839309003547,910974,0.75,1.0
2024-06-06,82.0,83.22,81.79,82.76,81.3088405745827,1018224,0.0,1.0
2024-06-05,83.48,84.3,82.53,82.85,81.3972624650094,1409268,0.0,1.0
2024-06-04,83.12,83.88,82.36,83.43,81.967092425537,1605927,0.0,1.0
2024-06-03,84.63,84.84,82.93,83.61,82.1439362063903,1309085,0.0,1.0
2024-05-31,83.26,84.28,83.05,84.24,82.7628894393771,2224301,0.0,1.0
2024-05-30,82.35,83.3,81.77,82.9,81.4463857374687,2087688,0.0,1.0
2024-05-29,81.22,81.95,80.42,81.73,80.2969011619218,1255739,0.0,1.0
2024-05-28,83.25,83.465,81.405,82.08,80.6407640691367,1230503,0.0,1.0
2024-05-24,83.18,83.61,82.96,83.31,81.8491965716347,554217,0.0,1.0
2024-05-23,83.92,83.92,82.49,82.86,81.4070871195013,1023979,0.0,1.0
2024-05-22,84.4,84.77,83.47,83.9,82.4288511866541,913121,0.0,1.0
2024-05-21,84.34,84.73,84.01,84.6,83.1165770010839,752030,0.0,1.0
2024-05-20,85.64,85.75,84.24,84.46,82.9790318381979,1154960,0.0,1.0
2024-05-17,85.91,86.06,84.67,85.51,84.0106205598426,1299033,0.0,1.0
2024-05-16,86.27,86.76,85.59,85.63,84.1285164137448,1279854,0.0,1.0
2024-05-15,87.16,87.285,85.9875,86.45,84.9341380820768,1040139,0.0,1.0
2024-05-14,86.58,86.92,86.14,86.28,84.7671189557153,840185,0.0,1.0
2024-05-13,87.29,87.29,85.735,85.89,84.383957430533,641793,0.0,1.0
2024-05-10,87.0,87.52,86.64,86.7,85.1797544443732,812108,0.0,1.0
2024-05-09,85.29,86.83,85.29,86.78,85.258351680308,777807,0.0,1.0
2024-05-08,84.46,85.79,84.17,85.62,84.118691759253,1047298,0.0,1.0
2024-05-07,85.42,85.735,84.64,84.66,83.175524928035,867563,0.0,1.0
2024-05-06,85.37,85.37,84.42,85.02,83.5292124897417,859297,0.0,1.0
2024-05-03,84.67,84.85,84.025,84.62,83.1362263100676,927129,0.0,1.0
2024-05-02,83.7,84.2099,82.24,83.5,82.0358650069799,814950,0.0,1.0
