,NWE_Open,NWE_High,NWE_Low,NWE_Close,NWE_Adj Close,NWE_Volume,NWE_Dividend Amount,NWE_Split Coefficient
2024-10-04,55.79,56.13,55.4,55.77,55.77,296788,0.0,1.0
2024-10-03,56.42,56.47,55.89,55.95,55.95,377947,0.0,1.0
2024-10-02,56.76,56.99,56.28,56.41,56.41,237721,0.0,1.0
2024-10-01,57.22,57.25,56.71,57.24,57.24,261864,0.0,1.0
2024-09-30,56.98,57.43,56.82,57.22,57.22,259466,0.0,1.0
2024-09-27,57.11,57.48,56.94,57.27,57.27,243311,0.0,1.0
2024-09-26,57.12,57.4,56.705,56.82,56.82,243700,0.0,1.0
2024-09-25,56.9,57.18,56.54,56.93,56.93,437061,0.0,1.0
2024-09-24,57.05,57.4789,56.53,56.85,56.85,356089,0.0,1.0
2024-09-23,56.79,57.09,56.41,57.03,57.03,304816,0.0,1.0
2024-09-20,56.84,57.23,56.32,56.47,56.47,1014928,0.0,1.0
2024-09-19,56.79,57.1199,56.15,56.85,56.85,563627,0.0,1.0
2024-09-18,56.6,57.03,56.26,56.54,56.54,427376,0.0,1.0
2024-09-17,56.71,57.14,56.36,56.67,56.67,265580,0.0,1.0
2024-09-16,56.25,56.655,55.9,56.52,56.52,340309,0.0,1.0
2024-09-13,55.34,55.96,55.01,55.94,55.94,338710,0.65,1.0
2024-09-12,55.04,55.77,54.805,55.46,54.8229793249691,429641,0.0,1.0
2024-09-11,54.81,54.895,54.03,54.58,53.9530871178653,255181,0.0,1.0
2024-09-10,54.64,55.3,54.605,55.19,54.5560805796077,236807,0.0,1.0
2024-09-09,54.25,54.65,54.01,54.54,53.913546562997,277941,0.0,1.0
2024-09-06,54.69,54.96,54.13,54.21,53.5873369853331,351986,0.0,1.0
2024-09-05,54.71,54.875,54.46,54.61,53.9827425340166,363226,0.0,1.0
2024-09-04,54.22,54.53,54.06,54.3,53.6763032337869,199386,0.0,1.0
2024-09-03,54.06,54.615,53.94,54.03,53.4094044884255,247790,0.0,1.0
2024-08-30,53.71,54.41,53.71,54.39,53.7652694822407,240943,0.0,1.0
2024-08-29,53.99,53.99,53.435,53.65,53.0337692171762,236993,0.0,1.0
2024-08-28,53.73,54.33,53.625,53.75,53.1326206043471,170073,0.0,1.0
2024-08-27,54.13,54.13,53.51,53.65,53.0337692171762,188624,0.0,1.0
2024-08-26,54.38,54.55,53.981,54.12,53.4983707368793,187222,0.0,1.0
2024-08-23,53.36,54.18,53.27,54.04,53.4192896271426,269440,0.0,1.0
2024-08-22,53.32,53.53,53.06,53.32,52.7075596395123,190239,0.0,1.0
2024-08-21,53.44,53.51,53.22,53.32,52.7075596395123,184538,0.0,1.0
2024-08-20,53.35,53.45,52.97,53.23,52.6185933910585,234962,0.0,1.0
2024-08-19,53.15,53.53,53.15,53.44,52.8261813041173,156430,0.0,1.0
2024-08-16,52.97,53.35,52.865,53.2,52.5889379749072,190166,0.0,1.0
2024-08-15,53.14,53.195,52.5,52.93,52.3220392295459,214373,0.0,1.0
2024-08-14,52.4,52.78,52.16,52.6,51.995829651882,350965,0.0,1.0
2024-08-13,52.12,52.34,51.735,52.24,51.6399646580668,300332,0.0,1.0
2024-08-12,52.08,52.08,51.23,51.81,51.214903693232,326080,0.0,1.0
2024-08-09,52.09,52.41,51.395,52.17,51.5707686870472,315219,0.0,1.0
2024-08-08,51.92,52.265,51.51,52.18,51.5806538257643,325728,0.0,1.0
2024-08-07,52.4,52.4,51.25,51.74,51.1457077222124,410497,0.0,1.0
2024-08-06,51.22,52.21,51.16,51.91,51.3137550804029,357888,0.0,1.0
2024-08-05,53.5,53.5,51.23,51.49,50.8985792542852,405872,0.0,1.0
2024-08-02,53.42,53.99,53.0,53.91,53.2907828238205,333432,0.0,1.0
2024-08-01,53.95,54.47,52.76,53.46,52.8459515815515,457467,0.0,1.0
2024-07-31,54.39,55.47,53.65,53.77,53.1523908817812,565908,0.0,1.0
2024-07-30,53.26,53.58,52.71,53.51,52.8953772751369,315179,0.0,1.0
2024-07-29,53.16,53.425,52.66,52.87,52.2627283972433,355511,0.0,1.0
2024-07-26,53.22,53.52,53.01,53.27,52.6581339459268,256048,0.0,1.0
2024-07-25,53.0,53.76,52.725,53.13,52.5197420038876,361751,0.0,1.0
2024-07-24,52.25,53.2804,52.17,52.68,52.0749107616187,362300,0.0,1.0
2024-07-23,52.87,52.87,52.05,52.1,51.5015727160276,392926,0.0,1.0
2024-07-22,52.65,53.19,52.54,53.09,52.4802014490193,275148,0.0,1.0
2024-07-19,53.17,53.385,52.26,52.55,51.9464039582965,274708,0.0,1.0
2024-07-18,53.33,54.05,53.004,53.05,52.4406608941509,220282,0.0,1.0
2024-07-17,52.81,54.02,52.77,53.64,53.0238840784591,316954,0.0,1.0
2024-07-16,51.79,52.78,51.77,52.72,52.114451316487,276018,0.0,1.0
2024-07-15,51.31,51.51,51.055,51.49,50.8985792542852,278493,0.0,1.0
2024-07-12,51.25,51.79,51.15,51.38,50.7898427283972,237151,0.0,1.0
2024-07-11,49.62,51.06,49.62,50.84,50.2560452376745,275390,0.0,1.0
2024-07-10,48.83,49.08,48.7,49.05,48.4866054073158,190109,0.0,1.0
2024-07-09,48.6,49.01,48.52,48.68,48.1208552747835,200187,0.0,1.0
2024-07-08,49.22,49.45,48.67,48.75,48.1900512458031,204910,0.0,1.0
2024-07-05,49.08,49.245,48.85,48.99,48.4272945750133,147396,0.0,1.0
2024-07-03,49.39,49.78,49.0,49.05,48.4866054073158,118359,0.0,1.0
2024-07-02,49.43,49.56,49.295,49.36,48.7930447075455,167784,0.0,1.0
2024-07-01,49.99,50.56,49.06,49.19,48.624997349355,296302,0.0,1.0
2024-06-28,50.24,50.28,49.8316,50.08,49.5047746951758,668460,0.0,1.0
2024-06-27,49.43,50.01,49.23,50.0,49.4256935854391,248537,0.0,1.0
2024-06-26,49.12,49.695,49.01,49.24,48.6744230429404,234490,0.0,1.0
2024-06-25,50.27,50.27,49.15,49.43,48.8622406785651,224126,0.0,1.0
2024-06-24,49.3,50.47,49.3,50.4,49.8210991341226,300807,0.0,1.0
2024-06-21,49.18,49.51,48.91,49.12,48.5558013783354,635296,0.0,1.0
2024-06-20,49.33,49.6976,49.02,49.06,48.4964905460329,224243,0.0,1.0
2024-06-18,49.43,49.65,49.19,49.4,48.8325852624139,196868,0.0,1.0
2024-06-17,49.26,49.9465,49.235,49.57,49.0006326206043,210137,0.0,1.0
2024-06-14,49.25,49.615,49.06,49.61,49.0401731754727,160647,0.65,1.0
2024-06-13,50.13,50.51,49.94,50.35,49.1279888457033,182820,0.0,1.0
2024-06-12,51.63,51.63,50.28,50.3,49.0792023622419,264579,0.0,1.0
2024-06-11,50.13,50.95,49.87,50.84,49.6060963836258,271635,0.0,1.0
2024-06-10,50.25,50.77,50.12,50.55,49.3231347795492,135436,0.0,1.0
2024-06-07,50.97,50.97,50.37,50.54,49.3133774828569,175296,0.0,1.0
2024-06-06,51.19,51.57,50.95,51.02,49.7817277240871,131334,0.0,1.0
2024-06-05,51.6,51.68,51.2269,51.46,50.211048778548,177495,0.0,1.0
2024-06-04,51.62,51.87,51.18,51.72,50.4647384925477,194854,0.0,1.0
2024-06-03,52.25,52.39,51.75,51.82,50.5623114594706,173113,0.0,1.0
2024-05-31,50.96,52.09,50.7,51.96,50.6989136131628,328283,0.0,1.0
2024-05-30,50.31,50.81,50.234,50.8,49.5670671968566,222907,0.0,1.0
2024-05-29,50.42,50.49,49.99,50.09,48.8742991317037,278738,0.0,1.0
2024-05-28,51.18,51.31,50.79,50.84,49.6060963836258,180675,0.0,1.0
2024-05-24,51.54,51.54,50.97,51.02,49.7817277240871,183934,0.0,1.0
2024-05-23,52.15,52.15,51.08,51.17,49.9280871744715,238150,0.0,1.0
2024-05-22,52.57,52.865,52.25,52.34,51.06969088747,233753,0.0,1.0
2024-05-21,52.8,53.03,52.519,52.82,51.5380411287001,195305,0.0,1.0
2024-05-20,52.56,52.99,52.375,52.85,51.567313018777,201685,0.0,1.0
2024-05-17,52.5,52.85,52.28,52.56,51.2843514147005,217740,0.0,1.0
2024-05-16,51.7,52.63,51.7,52.54,51.2648368213159,230946,0.0,1.0
2024-05-15,52.04,52.115,51.71,51.86,50.6013406462398,204082,0.0,1.0
2024-05-14,52.28,52.38,51.3962,51.47,50.2208060752403,164045,0.0,1.0
2024-05-13,52.07,52.16,51.62,51.86,50.6013406462398,160777,0.0,1.0
2024-05-10,51.68,51.8,51.42,51.77,50.5135249760092,170873,0.0,1.0
2024-05-09,51.03,51.79,50.98,51.75,50.4940103826246,204055,0.0,1.0
2024-05-08,50.96,51.26,50.94,51.06,49.8207569108563,238340,0.0,1.0
2024-05-07,51.51,51.55,51.08,51.26,50.0159028447021,309201,0.0,1.0
2024-05-06,51.63,51.63,50.96,51.15,49.9085725810869,208565,0.0,1.0
2024-05-03,51.3,51.5,50.645,51.18,49.9378444711638,198501,0.0,1.0
2024-05-02,51.26,51.26,50.6,51.0,49.7622131307025,228176,0.0,1.0
2024-05-01,50.51,51.38,50.365,50.85,49.6158536803181,291556,0.0,1.0
2024-04-30,50.46,50.82,49.97,50.44,49.215804515934,355557,0.0,1.0
2024-04-29,49.83,50.74,49.83,50.48,49.2548337027032,436020,0.0,1.0
2024-04-26,50.12,50.44,48.82,49.55,48.3474051103198,438152,0.0,1.0
2024-04-25,50.18,50.5799,49.8,49.91,48.6986677912424,343523,0.0,1.0
2024-04-24,49.99,50.825,49.915,50.61,49.381678559703,240570,0.0,1.0
2024-04-23,50.18,50.91,50.18,50.45,49.2255618126263,193592,0.0,1.0
2024-04-22,50.02,50.65,49.76,50.4,49.1767753291648,255959,0.0,1.0
2024-04-19,48.86,50.19,48.86,50.13,48.9133283184729,269395,0.0,1.0
2024-04-18,48.52,49.055,48.47,48.93,47.7424527153975,293345,0.0,1.0
2024-04-17,47.85,48.65,47.8,48.52,47.3424035510134,316774,0.0,1.0
2024-04-16,48.22,48.22,47.48,47.9,46.7374511560912,186086,0.0,1.0
2024-04-15,48.82,49.31,48.18,48.46,47.2838597708597,247127,0.0,1.0
2024-04-12,49.11,49.4,48.59,48.9,47.7131808253206,302053,0.0,1.0
2024-04-11,49.19,49.19,48.51,48.98,47.791239198859,203907,0.0,1.0
2024-04-10,49.68,50.35,48.38,48.75,47.5668213749362,276864,0.0,1.0
2024-04-09,50.49,50.62,50.2012,50.54,49.3133774828569,178877,0.0,1.0
2024-04-08,49.97,50.48,49.97,50.25,49.0304158787804,261132,0.0,1.0
2024-04-05,49.94,50.015,49.37,49.88,48.6693959011655,205527,0.0,1.0
2024-04-04,50.62,50.66,49.7496,50.14,48.9230856151652,211555,0.0,1.0
2024-04-03,50.23,50.6199,49.97,50.27,49.049930472165,292744,0.0,1.0
2024-04-02,50.25,50.8,50.07,50.36,49.1377461423956,409797,0.0,1.0
2024-04-01,50.98,51.02,50.11,50.65,49.4207077464722,253483,0.0,1.0
2024-03-28,50.3,51.09,50.3,50.93,49.6939120538564,416460,0.0,1.0
2024-03-27,49.29,50.3,49.29,50.29,49.0694450655496,222798,0.0,1.0
2024-03-26,49.5,49.5,48.82,48.99,47.8009964955513,353588,0.0,1.0
2024-03-25,49.47,49.47,48.71,49.19,47.9961424293972,222417,0.0,1.0
