,NWN_Open,NWN_High,NWN_Low,NWN_Close,NWN_Adj Close,NWN_Volume,NWN_Dividend Amount,NWN_Split Coefficient
2024-10-04,39.22,39.54,38.9285,39.52,39.52,541149,0.0,1.0
2024-10-03,39.67,39.68,39.05,39.12,39.12,150332,0.0,1.0
2024-10-02,40.15,40.26,39.56,39.67,39.67,159581,0.0,1.0
2024-10-01,40.82,40.8499,40.325,40.4,40.4,176181,0.0,1.0
2024-09-30,40.51,40.94,40.33,40.82,40.82,249148,0.0,1.0
2024-09-27,40.27,40.72,40.0,40.46,40.46,285229,0.0,1.0
2024-09-26,40.14,40.53,39.87,40.08,40.08,214678,0.0,1.0
2024-09-25,40.16,40.16,39.54,40.03,40.03,358557,0.0,1.0
2024-09-24,40.0,40.375,39.7,40.0,40.0,211016,0.0,1.0
2024-09-23,39.69,40.0,39.56,39.95,39.95,171401,0.0,1.0
2024-09-20,39.83,39.955,39.41,39.48,39.48,775314,0.0,1.0
2024-09-19,40.32,40.32,39.75,40.01,40.01,219234,0.0,1.0
2024-09-18,40.43,40.7,40.0,40.06,40.06,206002,0.0,1.0
2024-09-17,40.84,41.2,40.45,40.49,40.49,347743,0.0,1.0
2024-09-16,40.5,40.68,40.33,40.61,40.61,300649,0.0,1.0
2024-09-13,39.46,40.37,39.335,40.33,40.33,213214,0.0,1.0
2024-09-12,39.27,39.52,38.97,39.3,39.3,187878,0.0,1.0
2024-09-11,39.31,39.31,38.59,39.05,39.05,291418,0.0,1.0
2024-09-10,39.09,39.53,38.99,39.5,39.5,144500,0.0,1.0
2024-09-09,39.33,39.63,38.785,38.94,38.94,229335,0.0,1.0
2024-09-06,40.05,40.31,39.2,39.22,39.22,266467,0.0,1.0
2024-09-05,39.97,40.43,39.85,40.05,40.05,254449,0.0,1.0
2024-09-04,39.61,40.01,39.53,39.71,39.71,157252,0.0,1.0
2024-09-03,40.0,40.1,39.53,39.62,39.62,269941,0.0,1.0
2024-08-30,40.26,40.46,39.68,40.22,40.22,205452,0.0,1.0
2024-08-29,40.32,40.35,39.85,40.15,40.15,148679,0.0,1.0
2024-08-28,40.34,40.93,40.0097,40.23,40.23,501676,0.0,1.0
