,OA_Open,OA_High,OA_Low,OA_Close,OA_Adj Close,OA_Volume,OA_Dividend Amount,OA_Split Coefficient
2018-06-06,134.49,134.51,134.47,134.5,134.5,1365324,0.0,1.0
2018-06-05,133.75,133.85,133.75,133.84,133.84,163541,0.0,1.0
2018-06-04,133.81,133.88,133.75,133.79,133.79,225273,0.0,1.0
2018-06-01,133.8,133.89,133.7,133.71,133.71,359578,0.0,1.0
2018-05-31,133.8,133.81,133.64,133.72,133.72,296556,0.0,1.0
2018-05-30,133.75,133.99,133.68,133.68,133.68,255971,0.0,1.0
2018-05-29,133.6,133.86,133.6,133.66,133.66,387590,0.0,1.0
2018-05-25,133.7,133.85,133.5,133.69,133.69,231188,0.0,1.0
2018-05-24,133.8,133.84,133.695,133.7,133.7,122211,0.0,1.0
2018-05-23,133.59,133.89,133.59,133.8,133.8,256725,0.0,1.0
2018-05-22,133.82,133.82,133.6,133.6,133.6,145022,0.0,1.0
2018-05-21,133.62,133.91,133.5,133.89,133.89,497653,0.0,1.0
2018-05-18,133.46,133.58,133.46,133.56,133.56,280144,0.0,1.0
2018-05-17,133.33,133.58,133.33,133.52,133.52,791997,0.0,1.0
2018-05-16,133.45,133.53,133.25,133.28,133.28,189758,0.0,1.0
2018-05-15,133.42,133.56,133.36,133.38,133.38,132372,0.0,1.0
2018-05-14,133.51,133.6,133.31,133.38,133.38,354979,0.0,1.0
2018-05-11,133.7,133.7,133.46,133.52,133.52,361223,0.0,1.0
2018-05-10,133.25,133.69,133.24,133.69,133.69,459406,0.32,1.0
2018-05-09,133.38,133.6,133.38,133.47,133.151289456011,578638,0.0,1.0
2018-05-08,133.57,133.57,133.22,133.38,133.061504365346,661663,0.0,1.0
2018-05-07,133.58,133.64,133.37,133.37,133.051528244161,286265,0.0,1.0
2018-05-04,133.3,133.65,133.3,133.54,133.221122304306,296772,0.0,1.0
2018-05-03,133.6,133.8,133.24,133.45,133.131337213641,618598,0.0,1.0
2018-05-02,133.33,133.745,133.25,133.57,133.251050667861,711012,0.0,1.0
2018-05-01,132.32,132.62,132.11,132.47,132.153677337512,361289,0.0,1.0
2018-04-30,132.43,132.66,132.22,132.38,132.063892246847,245286,0.0,1.0
2018-04-27,132.39,132.56,132.22,132.5,132.183605701067,127144,0.0,1.0
2018-04-26,132.09,132.6,132.01,132.48,132.163653458697,167187,0.0,1.0
2018-04-25,132.18,132.39,131.9,132.07,131.754632490113,178762,0.0,1.0
2018-04-24,132.74,132.82,132.09,132.21,131.894298186703,428567,0.0,1.0
2018-04-23,132.81,132.85,132.66,132.7,132.383128124767,279265,0.0,1.0
2018-04-20,132.85,132.85,132.69,132.74,132.423032609507,181454,0.0,1.0
2018-04-19,132.77,132.82,132.61,132.82,132.502841578987,114554,0.0,1.0
2018-04-18,132.78,132.87,132.72,132.77,132.452960973062,325997,0.0,1.0
2018-04-17,132.85,132.9,132.7,132.73,132.413056488322,285717,0.0,1.0
2018-04-16,132.87,132.93,132.69,132.85,132.532769942542,289690,0.0,1.0
2018-04-13,132.87,132.87,132.68,132.79,132.472913215432,88528,0.0,1.0
2018-04-12,132.75,132.91,132.7,132.81,132.492865457802,403398,0.0,1.0
2018-04-11,132.62,132.89,132.59,132.7,132.383128124767,398691,0.0,1.0
2018-04-10,132.7,133.17,132.61,132.75,132.433008730692,898719,0.0,1.0
2018-04-09,132.64,132.93,132.64,132.78,132.462937094247,585459,0.0,1.0
2018-04-06,132.83,132.9,132.49,132.67,132.353199761212,695512,0.0,1.0
2018-04-05,133.07,133.21,132.91,132.91,132.592626669652,271958,0.0,1.0
2018-04-04,132.77,132.95,132.6,132.89,132.572674427282,299227,0.0,1.0
2018-04-03,132.83,132.99,132.51,132.95,132.632531154391,504251,0.0,1.0
2018-04-02,132.48,132.88,132.48,132.66,132.343223640027,443392,0.0,1.0
2018-03-29,132.5,132.69,132.38,132.61,132.293343034102,403721,0.0,1.0
2018-03-28,132.61,132.65,132.42,132.52,132.203557943437,194484,0.0,1.0
2018-03-27,132.65,132.7,132.4,132.61,132.293343034102,262187,0.0,1.0
2018-03-26,132.45,132.69,132.305,132.59,132.273390791732,246953,0.0,1.0
2018-03-23,132.26,132.47,132.21,132.29,131.974107156182,242400,0.0,1.0
2018-03-22,132.15,132.6,132.05,132.29,131.974107156182,364432,0.0,1.0
2018-03-21,132.4,132.58,132.07,132.3,131.984083277367,182304,0.0,1.0
