,PDCE_Open,PDCE_High,PDCE_Low,PDCE_Close,PDCE_Adj Close,PDCE_Volume,PDCE_Dividend Amount,PDCE_Split Coefficient
2023-09-05,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-09-01,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-31,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-30,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-29,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-28,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-25,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-24,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-23,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-22,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-21,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-18,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-17,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-16,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-15,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-14,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-11,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-10,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-09,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-08,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-07,73.85,73.85,73.85,73.85,73.85,0,0.0,1.0
2023-08-04,74.35,75.56,73.66,73.85,73.85,15498053,0.0,1.0
2023-08-03,74.01,74.96,73.62,74.05,74.05,4589330,0.0,1.0
2023-08-02,74.61,74.76,73.3,74.04,74.04,2054013,0.0,1.0
2023-08-01,75.52,75.7,74.43,75.28,75.28,1569364,0.0,1.0
2023-07-31,74.61,75.9962,74.45,75.89,75.89,1716526,0.0,1.0
2023-07-28,73.99,73.99,72.55,73.64,73.64,1306824,0.0,1.0
2023-07-27,75.5,75.5,73.81,74.01,74.01,856828,0.0,1.0
2023-07-26,74.45,75.13,74.43,74.82,74.82,612014,0.0,1.0
2023-07-25,75.02,75.78,74.5,75.33,75.33,798112,0.0,1.0
2023-07-24,74.28,76.035,74.2,75.01,75.01,1192297,0.0,1.0
2023-07-21,72.76,73.6,72.76,73.55,73.55,702133,0.0,1.0
2023-07-20,72.34,72.82,72.16,72.47,72.47,1101855,0.0,1.0
2023-07-19,71.32,72.2,71.06,71.7,71.7,793493,0.0,1.0
2023-07-18,70.96,72.34,70.63,71.26,71.26,854047,0.0,1.0
2023-07-17,70.87,71.44,70.73,71.11,71.11,593378,0.0,1.0
2023-07-14,72.6,72.73,71.06,71.14,71.14,1027690,0.0,1.0
2023-07-13,73.78,74.42,72.59,72.97,72.97,1088113,0.0,1.0
2023-07-12,73.79,74.29,73.37,73.98,73.98,2324508,0.0,1.0
2023-07-11,72.15,73.38,72.12,73.24,73.24,932632,0.0,1.0
2023-07-10,71.44,72.185,71.34,71.91,71.91,1044390,0.0,1.0
2023-07-07,70.39,72.26,70.38,71.495,71.495,2039555,0.0,1.0
2023-07-06,71.74,72.13,70.185,70.8,70.8,6775702,0.0,1.0
2023-07-05,71.46,71.46,70.2,70.71,70.71,1161457,0.0,1.0
2023-07-03,71.14,71.48,70.815,71.1,71.1,740342,0.0,1.0
2023-06-30,71.42,71.44,70.81,71.14,71.14,1459153,0.0,1.0
2023-06-29,70.0,70.67,69.76,70.66,70.66,1282017,0.0,1.0
2023-06-28,69.22,69.93,68.64,69.83,69.83,1186202,0.0,1.0
2023-06-27,69.1,69.78,68.89,69.21,69.21,1733557,0.0,1.0
2023-06-26,68.67,69.965,68.505,69.44,69.44,1309639,0.0,1.0
