,PFE_Open,PFE_High,PFE_Low,PFE_Close,PFE_Adj Close,PFE_Volume,PFE_Dividend Amount,PFE_Split Coefficient
2024-10-04,28.29,28.59,28.24,28.58,28.58,28786884,0.0,1.0
2024-10-03,28.5,28.52,28.26,28.34,28.34,25678869,0.0,1.0
2024-10-02,28.6,28.77,28.38,28.61,28.61,24957182,0.0,1.0
2024-10-01,29.05,29.08,28.53,28.67,28.67,30725106,0.0,1.0
2024-09-30,29.11,29.19,28.78,28.94,28.94,27481214,0.0,1.0
2024-09-27,29.02,29.23,28.92,29.09,29.09,25013039,0.0,1.0
2024-09-26,28.48,29.0099,28.31,28.97,28.97,32310409,0.0,1.0
2024-09-25,29.6,29.71,28.91,28.93,28.93,30712714,0.0,1.0
2024-09-24,29.245,29.59,29.15,29.5,29.5,21446185,0.0,1.0
2024-09-23,29.43,29.47,29.18,29.31,29.31,23126233,0.0,1.0
2024-09-20,29.54,29.55,29.23,29.42,29.42,56877421,0.0,1.0
2024-09-19,29.89,30.35,29.52,29.66,29.66,22653157,0.0,1.0
2024-09-18,30.0,30.14,29.7301,29.75,29.75,25812847,0.0,1.0
2024-09-17,30.045,30.14,29.6,29.83,29.83,27055292,0.0,1.0
2024-09-16,29.57,30.14,29.44,30.07,30.07,29224561,0.0,1.0
2024-09-13,29.16,29.32,28.99,29.27,29.27,19987683,0.0,1.0
2024-09-12,29.58,29.708,28.76,29.16,29.16,32535891,0.0,1.0
2024-09-11,29.68,29.7,29.14,29.66,29.66,31943123,0.0,1.0
2024-09-10,29.42,29.755,29.19,29.74,29.74,32378822,0.0,1.0
2024-09-09,28.54,29.59,28.453,29.41,29.41,36558420,0.0,1.0
2024-09-06,28.56,28.77,28.28,28.56,28.56,31214484,0.0,1.0
2024-09-05,28.43,28.8,28.35,28.51,28.51,25927159,0.0,1.0
2024-09-04,28.29,28.54,28.2,28.39,28.39,23343330,0.0,1.0
2024-09-03,28.65,28.92,28.14,28.3,28.3,44499554,0.0,1.0
2024-08-30,28.72,29.05,28.67,29.01,29.01,37137599,0.0,1.0
2024-08-29,28.87,28.89,28.53,28.72,28.72,19229826,0.0,1.0
2024-08-28,28.78,29.08,28.635,28.75,28.75,19874145,0.0,1.0
2024-08-27,28.98,29.04,28.56,28.82,28.82,16184631,0.0,1.0
2024-08-26,28.92,29.05,28.77,28.92,28.92,16506017,0.0,1.0
2024-08-23,28.82,28.94,28.64,28.9,28.9,21885329,0.0,1.0
2024-08-22,29.02,29.13,28.54,28.78,28.78,20241538,0.0,1.0
2024-08-21,28.98,29.17,28.93,29.03,29.03,16729667,0.0,1.0
2024-08-20,28.8,29.19,28.8,28.9,28.9,21301283,0.0,1.0
2024-08-19,28.35,28.89,28.28,28.8,28.8,26382519,0.0,1.0
2024-08-16,28.65,28.65,27.85,28.3,28.3,50332917,0.0,1.0
2024-08-15,28.93,29.01,28.52,28.71,28.71,28676776,0.0,1.0
2024-08-14,28.8,29.18,28.665,28.88,28.88,23677681,0.0,1.0
2024-08-13,28.55,28.95,28.31,28.85,28.85,34620731,0.0,1.0
2024-08-12,28.58,28.61,28.32,28.45,28.45,21141557,0.0,1.0
2024-08-09,28.65,28.75,28.45,28.55,28.55,25795602,0.0,1.0
2024-08-08,28.93,29.005,28.535,28.76,28.76,32094449,0.0,1.0
2024-08-07,29.63,29.81,28.74,28.85,28.85,32866117,0.0,1.0
2024-08-06,29.73,30.05,29.245,29.32,29.32,29031810,0.0,1.0
2024-08-05,29.09,30.01,28.853,29.74,29.74,37837997,0.0,1.0
2024-08-02,30.88,31.32,30.01,30.43,30.43,42364712,0.0,1.0
2024-08-01,30.72,30.81,29.91,30.65,30.65,39753104,0.0,1.0
2024-07-31,31.2,31.26,30.47,30.54,30.54,40978684,0.0,1.0
2024-07-30,31.01,31.54,29.78,31.39,31.39,89857470,0.0,1.0
2024-07-29,30.69,30.93,30.44,30.72,30.72,41713675,0.0,1.0
2024-07-26,30.15,30.88,30.01,30.77,30.77,35657080,0.42,1.0
2024-07-25,29.97,30.93,29.97,30.18,29.7736005129849,42296212,0.0,1.0
2024-07-24,29.51,29.99,29.31,29.98,29.576293683873,29579444,0.0,1.0
2024-07-23,29.62,29.64,29.33,29.5,29.1027572940045,25528288,0.0,1.0
2024-07-22,30.11,30.23,29.38,29.6,29.2014107085604,46483174,0.0,1.0
2024-07-19,29.94,30.0,29.5501,29.97,29.5664283424174,30021169,0.0,1.0
2024-07-18,29.91,30.69,29.6303,29.71,29.309929464572,47279678,0.0,1.0
2024-07-17,29.42,30.3,29.31,30.03,29.625620391151,45394967,0.0,1.0
2024-07-16,29.2,29.56,29.12,29.5,29.1027572940045,26912145,0.0,1.0
2024-07-15,29.03,29.27,28.83,29.1,28.7081436357807,30534363,0.0,1.0
2024-07-12,28.9,29.14,28.79,28.92,28.53056748958,28396983,0.0,1.0
2024-07-11,28.78,29.23,28.42,28.66,28.2740686117345,47322551,0.0,1.0
2024-07-10,27.83,28.41,27.8,28.35,27.9682430266111,29873573,0.0,1.0
2024-07-09,27.88,27.94,27.295,27.72,27.3467265149086,36876747,0.0,1.0
2024-07-08,28.05,28.12,27.79,27.93,27.5538986854761,25694361,0.0,1.0
2024-07-05,27.76,28.09,27.67,28.05,27.6722827829432,17268657,0.0,1.0
2024-07-03,27.92,28.05,27.615,27.7,27.3269958319974,15180087,0.0,1.0
2024-07-02,28.22,28.28,27.69,27.83,27.4552452709202,21989831,0.0,1.0
2024-07-01,27.95,28.63,27.94,28.22,27.8399935876884,26208992,0.0,1.0
2024-06-28,27.78,28.12,27.64,27.98,27.6032253927541,33189215,0.0,1.0
2024-06-27,27.37,27.83,27.07,27.8,27.4256492465534,28399596,0.0,1.0
2024-06-26,27.91,27.93,27.07,27.42,27.0507662712408,30745779,0.0,1.0
2024-06-25,28.4,28.45,27.93,27.99,27.6130907342097,26300713,0.0,1.0
2024-06-24,27.95,28.405,27.73,28.36,27.9781083680667,35414112,0.0,1.0
2024-06-21,27.77,27.89,27.56,27.74,27.3664571978198,52561555,0.0,1.0
2024-06-20,27.2,27.96,27.15,27.74,27.3664571978198,29693363,0.0,1.0
2024-06-18,26.98,27.46,26.95,27.41,27.0409009297852,29817777,0.0,1.0
2024-06-17,27.45,27.4758,26.87,26.98,26.6166912471946,32194647,0.0,1.0
2024-06-14,27.745,28.22,27.43,27.53,27.1592850272523,29461921,0.0,1.0
2024-06-13,27.5,27.72,27.2,27.65,27.2776691247195,33945218,0.0,1.0
2024-06-12,28.17,28.2299,27.56,27.66,27.2875344661751,32507942,0.0,1.0
2024-06-11,27.95,28.33,27.89,28.03,27.6525521000321,29573536,0.0,1.0
2024-06-10,28.35,28.35,27.63,28.07,27.6920134658544,37003192,0.0,1.0
2024-06-07,28.75,29.05,28.55,28.58,28.1951458800898,27526200,0.0,1.0
2024-06-06,29.36,29.54,28.79,28.8,28.4121833921129,35360443,0.0,1.0
2024-06-05,29.56,29.62,29.17,29.55,29.1520840012825,27346747,0.0,1.0
2024-06-04,29.3,29.73,29.17,29.49,29.0928919525489,46309529,0.0,1.0
2024-06-03,28.66,29.53,28.64,29.31,28.9153158063482,38177233,0.0,1.0
2024-05-31,28.34,28.75,28.235,28.66,28.2740686117345,78290055,0.0,1.0
2024-05-30,27.91,28.2,27.785,28.2,27.8202629047772,23330710,0.0,1.0
2024-05-29,28.16,28.17,27.69,27.82,27.4453799294646,24241730,0.0,1.0
2024-05-28,28.8,28.88,28.13,28.3,27.9189163193331,32371217,0.0,1.0
2024-05-24,28.665,28.99,28.55,28.88,28.4911061237576,22589127,0.0,1.0
2024-05-23,29.43,29.43,28.67,28.69,28.3036646361013,42031325,0.0,1.0
2024-05-22,28.47,29.63,28.415,29.6,29.2014107085604,46987481,0.0,1.0
2024-05-21,28.47,28.67,28.32,28.56,28.1754151971786,28119948,0.0,1.0
2024-05-20,28.66,28.71,28.46,28.53,28.1458191728118,22423283,0.0,1.0
2024-05-17,28.895,28.91,28.51,28.64,28.2543379288233,26106406,0.0,1.0
2024-05-16,28.87,29.03,28.67,28.92,28.53056748958,40077782,0.0,1.0
