,PFS_Open,PFS_High,PFS_Low,PFS_Close,PFS_Adj Close,PFS_Volume,PFS_Dividend Amount,PFS_Split Coefficient
2024-10-04,18.05,18.15,17.78,17.83,17.83,393052,0.0,1.0
2024-10-03,17.44,17.77,17.42,17.68,17.68,425803,0.0,1.0
2024-10-02,17.88,18.09,17.58,17.64,17.64,491723,0.0,1.0
2024-10-01,18.42,18.43,17.8,17.91,17.91,528118,0.0,1.0
2024-09-30,18.24,18.71,18.1138,18.56,18.56,484211,0.0,1.0
2024-09-27,18.39,18.56,18.19,18.33,18.33,461829,0.0,1.0
2024-09-26,18.55,18.55,18.11,18.12,18.12,641509,0.0,1.0
2024-09-25,18.43,18.53,18.24,18.27,18.27,711289,0.0,1.0
2024-09-24,18.84,18.94,18.4,18.4,18.4,545242,0.0,1.0
2024-09-23,19.04,19.06,18.69,18.83,18.83,623264,0.0,1.0
2024-09-20,19.28,19.37,18.86,18.86,18.86,3005422,0.0,1.0
2024-09-19,19.35,19.5,18.95,19.44,19.44,735994,0.0,1.0
2024-09-18,18.86,19.48,18.54,18.85,18.85,895821,0.0,1.0
2024-09-17,18.79,19.15,18.6,18.79,18.79,642052,0.0,1.0
2024-09-16,18.42,18.77,18.16,18.53,18.53,686320,0.0,1.0
2024-09-13,18.03,18.35,17.995,18.34,18.34,616665,0.0,1.0
2024-09-12,17.77,17.88,17.55,17.8,17.8,641154,0.0,1.0
2024-09-11,17.8,17.855,17.385,17.7,17.7,722350,0.0,1.0
2024-09-10,18.11,18.11,17.65,18.05,18.05,817365,0.0,1.0
2024-09-09,18.28,18.345,17.9,18.0,18.0,802823,0.0,1.0
2024-09-06,18.73,18.83,18.18,18.28,18.28,552176,0.0,1.0
2024-09-05,19.05,19.09,18.6,18.67,18.67,644702,0.0,1.0
2024-09-04,18.78,18.975,18.658,18.81,18.81,609890,0.0,1.0
2024-09-03,18.78,19.1,18.675,18.84,18.84,649070,0.0,1.0
2024-08-30,19.06,19.135,18.76,19.07,19.07,671029,0.0,1.0
2024-08-29,18.99,19.16,18.66,18.92,18.92,566341,0.0,1.0
2024-08-28,18.57,18.98,18.5,18.85,18.85,791940,0.0,1.0
2024-08-27,18.83,18.87,18.55,18.69,18.69,704375,0.0,1.0
2024-08-26,19.36,19.59,18.95,18.97,18.97,1512699,0.0,1.0
2024-08-23,18.18,19.4,18.18,19.12,19.12,967330,0.0,1.0
2024-08-22,18.06,18.305,18.04,18.13,18.13,642342,0.0,1.0
2024-08-21,18.15,18.15,17.94,18.12,18.12,620840,0.0,1.0
2024-08-20,18.06,18.13,17.88,17.94,17.94,673654,0.0,1.0
2024-08-19,18.03,18.26,17.97,18.19,18.19,736196,0.0,1.0
2024-08-16,17.82,18.27,17.77,18.06,18.06,959408,0.24,1.0
2024-08-15,17.88,18.36,17.75,18.07,17.8330163934426,1149965,0.0,1.0
2024-08-14,17.25,17.25,16.89,17.21,16.9842950819672,554432,0.0,1.0
2024-08-13,17.22,17.22,16.88,17.14,16.9152131147541,605742,0.0,1.0
2024-08-12,17.05,17.33,16.83,17.0,16.7770491803279,1345632,0.0,1.0
2024-08-09,17.0,17.09,16.62,16.9,16.6783606557377,968840,0.0,1.0
2024-08-08,16.9,17.05,16.69,17.04,16.8165245901639,1941156,0.0,1.0
2024-08-07,17.07,17.19,16.61,16.63,16.4119016393443,746341,0.0,1.0
2024-08-06,16.72,17.03,16.51,16.8,16.5796721311475,936160,0.0,1.0
2024-08-05,16.38,16.91,16.13,16.75,16.5303278688525,1069118,0.0,1.0
2024-08-02,17.05,17.36,16.8,17.3,17.0731147540984,1143432,0.0,1.0
2024-08-01,18.58,18.62,17.53,17.77,17.5369508196721,1157900,0.0,1.0
2024-07-31,18.78,19.11,18.52,18.54,18.2968524590164,1142212,0.0,1.0
2024-07-30,18.84,18.935,18.66,18.85,18.6027868852459,994065,0.0,1.0
2024-07-29,19.1,19.1,18.54,18.64,18.3955409836066,1058775,0.0,1.0
2024-07-26,18.14,19.16,17.305,19.01,18.7606885245902,1089187,0.0,1.0
2024-07-25,17.99,18.84,17.88,18.56,18.3165901639344,1236176,0.0,1.0
2024-07-24,18.22,18.5,17.99,18.0,17.7639344262295,670937,0.0,1.0
2024-07-23,17.72,18.51,17.68,18.28,18.040262295082,1369693,0.0,1.0
2024-07-22,17.6,17.975,17.33,17.88,17.6455081967213,815135,0.0,1.0
2024-07-19,17.54,17.96,17.49,17.74,17.5073442622951,829465,0.0,1.0
2024-07-18,17.78,18.3,17.5,17.63,17.3987868852459,1097150,0.0,1.0
2024-07-17,17.33,18.14,17.33,17.98,17.7441967213115,1011602,0.0,1.0
2024-07-16,16.9,17.705,16.87,17.65,17.4185245901639,1525547,0.0,1.0
2024-07-15,16.32,16.97,16.32,16.72,16.5007213114754,1579652,0.0,1.0
2024-07-12,16.07,16.29,15.9806,16.07,15.8592459016393,1291680,0.0,1.0
2024-07-11,15.49,16.04,15.43,15.95,15.7408196721311,3396938,0.0,1.0
2024-07-10,14.62,15.11,14.62,15.09,14.8920983606557,692330,0.0,1.0
2024-07-09,14.22,14.655,14.1951,14.64,14.448,833299,0.0,1.0
2024-07-08,14.38,14.45,14.16,14.28,14.0927213114754,747736,0.0,1.0
2024-07-05,14.5,14.57,14.2,14.22,14.0335081967213,709354,0.0,1.0
2024-07-03,14.5,14.6,14.35,14.54,14.3493114754098,1044675,0.0,1.0
2024-07-02,14.34,14.56,14.32,14.54,14.3493114754098,569818,0.0,1.0
2024-07-01,14.3,14.41,14.14,14.35,14.1618032786885,778597,0.0,1.0
2024-06-28,13.81,14.41,13.7901,14.35,14.1618032786885,1666842,0.0,1.0
2024-06-27,13.37,13.68,13.25,13.64,13.4611147540984,799224,0.0,1.0
2024-06-26,13.1,13.41,13.07,13.36,13.1847868852459,859701,0.0,1.0
2024-06-25,13.57,13.61,13.21,13.21,13.0367540983607,973282,0.0,1.0
2024-06-24,13.6,13.790675,13.5,13.64,13.4611147540984,840390,0.0,1.0
2024-06-21,13.5,13.6,13.41,13.49,13.3130819672131,2760346,0.0,1.0
2024-06-20,13.31,13.57,13.31,13.52,13.3426885245902,653128,0.0,1.0
2024-06-18,13.39,13.585,13.35,13.39,13.214393442623,781047,0.0,1.0
2024-06-17,13.36,13.52,13.1942,13.51,13.3328196721311,785177,0.0,1.0
2024-06-14,13.29,13.42,13.27,13.37,13.1946557377049,675179,0.0,1.0
2024-06-13,13.58,13.58,13.36,13.46,13.2834754098361,693482,0.0,1.0
2024-06-12,13.71,14.0,13.545,13.63,13.4512459016393,874007,0.0,1.0
2024-06-11,13.26,13.4575,13.16,13.29,13.1157049180328,894943,0.0,1.0
2024-06-10,13.51,13.51,13.305,13.36,13.1847868852459,773447,0.0,1.0
2024-06-07,13.5,13.71,13.47,13.67,13.4907213114754,667109,0.0,1.0
2024-06-06,13.7,13.86,13.61,13.69,13.5104590163934,959905,0.0,1.0
2024-06-05,13.96,13.98,13.7,13.75,13.5696721311475,639247,0.0,1.0
2024-06-04,13.86,13.93,13.68,13.81,13.6288852459016,971965,0.0,1.0
2024-06-03,14.6,14.61,14.01,14.03,13.846,2247188,0.0,1.0
2024-05-31,14.39,14.47,14.275,14.4,14.2111475409836,1097350,0.0,1.0
2024-05-30,14.53,14.55,14.295,14.31,14.1223278688525,983118,0.0,1.0
2024-05-29,14.31,14.38,14.09,14.28,14.0927213114754,935202,0.0,1.0
2024-05-28,15.1,15.15,14.525,14.57,14.3789180327869,1207950,0.0,1.0
2024-05-24,15.23,15.25,14.87,15.01,14.8131475409836,991645,0.0,1.0
2024-05-23,15.73,15.77,14.98,15.14,14.9414426229508,1038136,0.0,1.0
2024-05-22,15.59,15.93,15.51,15.61,15.4052786885246,1721550,0.0,1.0
2024-05-21,15.59,15.765,15.555,15.64,15.4348852459016,1433042,0.0,1.0
2024-05-20,16.2,16.2525,15.62,15.64,15.4348852459016,1666046,0.0,1.0
2024-05-17,16.13,16.4,15.96,16.18,15.9678032786885,1652593,0.0,1.0
2024-05-16,16.02,16.45,15.97,16.11,15.8987213114754,12169367,0.0,1.0
2024-05-15,16.14,16.24,15.73,16.13,15.9184590163934,5299131,0.0,1.0
2024-05-14,16.07,16.19,15.81,15.95,15.7408196721311,1452317,0.0,1.0
2024-05-13,15.97,16.195,15.83,15.83,15.622393442623,1284299,0.0,1.0
2024-05-10,16.05,16.06,15.7,15.86,15.652,593285,0.0,1.0
2024-05-09,15.75,16.055,15.75,15.99,15.7802950819672,441975,0.0,1.0
2024-05-08,15.27,15.78,15.18,15.77,15.5631803278689,615061,0.0,1.0
2024-05-07,15.56,15.74,15.36,15.4,15.1980327868852,605634,0.0,1.0
2024-05-06,15.63,15.8,15.52,15.54,15.3361967213115,852641,0.0,1.0
2024-05-03,15.51,15.57,15.37,15.57,15.3658032786885,616702,0.0,1.0
2024-05-02,15.15,15.315,15.034,15.22,15.020393442623,403658,0.0,1.0
2024-05-01,14.85,15.398,14.79,15.02,14.8230163934426,604436,0.0,1.0
2024-04-30,14.79,14.85,14.62,14.68,14.4874754098361,626312,0.0,1.0
2024-04-29,15.07,15.19,14.885,14.91,14.7144590163934,547664,0.0,1.0
2024-04-26,14.99,15.28,14.99,15.09,14.8920983606557,567207,0.24,1.0
2024-04-25,15.46,15.46,14.86,15.2,14.7658118122614,996283,0.0,1.0
2024-04-24,15.33,15.59,15.13,15.55,15.1058140579385,1150553,0.0,1.0
2024-04-23,15.25,15.54,15.16,15.52,15.076671008309,938197,0.0,1.0
2024-04-22,15.18,15.5552,14.83,15.2,14.7658118122614,1673799,0.0,1.0
2024-04-19,13.6,14.62,13.21,14.46,14.0469499214013,1137726,0.0,1.0
2024-04-18,13.6,13.82,13.57,13.75,13.3572310801707,715370,0.0,1.0
2024-04-17,13.81,14.0,13.6,13.62,13.2309445317763,944983,0.0,1.0
2024-04-16,13.84,13.91,13.6,13.64,13.2503732315293,941486,0.0,1.0
2024-04-15,14.01,14.27,13.8,14.01,13.6098041769594,1058358,0.0,1.0
2024-04-12,13.73,14.21,13.54,14.06,13.6583759263418,1384791,0.0,1.0
2024-04-11,13.62,13.66,13.3,13.57,13.1823727823939,616717,0.0,1.0
2024-04-10,14.17,14.17,13.22,13.49,13.104657983382,1050508,0.0,1.0
2024-04-09,14.69,14.84,14.58,14.59,14.1732364697956,886086,0.0,1.0
2024-04-08,14.44,14.71,14.43,14.65,14.2315225690546,655304,0.0,1.0
2024-04-05,14.27,14.44,14.16,14.39,13.9789494722659,923737,0.0,1.0
2024-04-04,14.61,14.9,14.29,14.38,13.9692351223894,649061,0.0,1.0
2024-04-03,14.57,14.665,14.305,14.43,14.0178068717718,571202,0.0,1.0
2024-04-02,14.29,14.705,14.17,14.67,14.2509512688075,1136099,0.0,1.0
2024-04-01,14.64,14.64,14.31,14.51,14.0955216707837,743316,0.0,1.0
2024-03-28,14.42,14.65,14.24,14.57,14.1538077700427,1082479,0.0,1.0
2024-03-27,14.03,14.39,14.02,14.38,13.9692351223894,1127456,0.0,1.0
2024-03-26,14.86,14.98,13.91,13.93,13.5320893779475,824318,0.0,1.0
2024-03-25,14.93,15.07,14.81,14.92,14.4938100157197,571442,0.0,1.0
2024-03-22,15.25,15.29,14.77,14.83,14.4063808668314,529224,0.0,1.0
2024-03-21,15.06,15.39,15.06,15.22,14.7852405120144,754393,0.0,1.0
2024-03-20,14.43,15.18,14.37,15.0,14.5715248147316,570889,0.0,1.0
2024-03-19,14.44,14.64,14.42,14.5,14.0858073209073,432711,0.0,1.0
2024-03-18,14.56,14.71,14.31,14.47,14.0566642712778,1207642,0.0,1.0
2024-03-15,14.23,14.6,14.23,14.56,14.1440934201662,2160742,0.0,1.0
2024-03-14,14.83,14.83,14.135,14.2,13.7943768246126,558325,0.0,1.0
2024-03-13,15.01,15.18,14.75,14.82,14.3966665169549,473853,0.0,1.0
2024-03-12,15.26,15.26,14.905,15.0,14.5715248147316,396846,0.0,1.0
2024-03-11,15.16,15.34,15.14,15.34,14.9018127105322,475058,0.0,1.0
2024-03-08,15.58,15.65,15.21,15.25,14.8143835616438,412226,0.0,1.0
2024-03-07,15.32,15.495,15.21,15.32,14.8823840107793,607102,0.0,1.0
2024-03-06,15.05,15.34,14.78,15.09,14.65895396362,837316,0.0,1.0
2024-03-05,14.56,15.16,14.54,15.15,14.717240062879,642163,0.0,1.0
2024-03-04,14.87,15.02,14.56,14.6,14.1829508196721,552297,0.0,1.0
