,PLAB_Open,PLAB_High,PLAB_Low,PLAB_Close,PLAB_Adj Close,PLAB_Volume,PLAB_Dividend Amount,PLAB_Split Coefficient
2024-10-04,25.0,25.0,24.4,24.59,24.59,250867,0.0,1.0
2024-10-03,24.13,24.87,24.0,24.25,24.25,358772,0.0,1.0
2024-10-02,23.92,24.53,23.89,24.39,24.39,328728,0.0,1.0
2024-10-01,24.78,24.8,23.6779,23.93,23.93,353494,0.0,1.0
2024-09-30,24.46,25.06,24.43,24.76,24.76,290784,0.0,1.0
2024-09-27,25.09,25.11,24.66,24.8,24.8,279487,0.0,1.0
2024-09-26,24.935,25.159,24.22,24.85,24.85,350695,0.0,1.0
2024-09-25,24.1,24.19,23.735,23.91,23.91,381579,0.0,1.0
2024-09-24,23.91,24.3,23.76,24.04,24.04,333559,0.0,1.0
2024-09-23,23.6,23.8,23.25,23.61,23.61,314319,0.0,1.0
2024-09-20,23.43,23.5999,23.06,23.37,23.37,1461589,0.0,1.0
2024-09-19,24.14,24.25,23.59,23.74,23.74,647105,0.0,1.0
2024-09-18,23.51,24.21,23.11,23.12,23.12,347912,0.0,1.0
2024-09-17,23.74,23.852,23.115,23.47,23.47,317675,0.0,1.0
2024-09-16,23.39,23.4,22.88,23.33,23.33,427597,0.0,1.0
2024-09-13,23.12,23.93,23.01,23.65,23.65,472711,0.0,1.0
2024-09-12,23.0,23.13,22.52,22.77,22.77,329302,0.0,1.0
2024-09-11,22.3,22.99,21.865,22.95,22.95,409674,0.0,1.0
2024-09-10,22.07,22.34,21.6601,22.26,22.26,370702,0.0,1.0
2024-09-09,22.07,22.415,21.98,22.09,22.09,538742,0.0,1.0
2024-09-06,22.81,22.88,21.96,22.0,22.0,416947,0.0,1.0
2024-09-05,23.16,23.35,22.76,22.88,22.88,357665,0.0,1.0
2024-09-04,23.64,23.8199,23.22,23.26,23.26,493040,0.0,1.0
2024-09-03,25.07,25.2,23.611,23.82,23.82,589837,0.0,1.0
2024-08-30,25.5,25.945,25.34,25.86,25.86,612061,0.0,1.0
2024-08-29,22.64,25.81,22.61,24.92,24.92,901235,0.0,1.0
2024-08-28,23.92,24.16,23.62,24.08,24.08,505163,0.0,1.0
2024-08-27,23.78,23.9,23.36,23.86,23.86,362800,0.0,1.0
2024-08-26,24.6,24.7999,23.68,23.79,23.79,364460,0.0,1.0
2024-08-23,24.46,24.97,24.09,24.53,24.53,307174,0.0,1.0
2024-08-22,24.57,24.69,23.94,23.98,23.98,345572,0.0,1.0
2024-08-21,23.84,24.52,23.65,24.5,24.5,435768,0.0,1.0
2024-08-20,23.69,23.9299,23.29,23.48,23.48,495918,0.0,1.0
2024-08-19,23.8,23.84,23.45,23.76,23.76,306687,0.0,1.0
2024-08-16,23.77,24.2423,23.29,23.8,23.8,431315,0.0,1.0
2024-08-15,23.39,23.97,23.09,23.9,23.9,458605,0.0,1.0
2024-08-14,22.96,22.96,22.411,22.66,22.66,343429,0.0,1.0
2024-08-13,22.16,22.8,21.99,22.78,22.78,257320,0.0,1.0
2024-08-12,21.59,21.92,21.38,21.9,21.9,323433,0.0,1.0
2024-08-09,21.74,22.01,21.47,21.63,21.63,430217,0.0,1.0
2024-08-08,21.2,21.98,20.96,21.98,21.98,381153,0.0,1.0
2024-08-07,21.83,21.941,20.62,20.78,20.78,517887,0.0,1.0
2024-08-06,21.17,21.57,20.67,21.06,21.06,539156,0.0,1.0
2024-08-05,20.3,21.7,20.252,21.06,21.06,660457,0.0,1.0
2024-08-02,22.49,22.71,21.54,22.05,22.05,780686,0.0,1.0
2024-08-01,25.25,25.59,23.25,23.49,23.49,508741,0.0,1.0
2024-07-31,24.91,25.83,24.69,25.41,25.41,485804,0.0,1.0
2024-07-30,25.13,25.32,24.26,24.38,24.38,510249,0.0,1.0
2024-07-29,25.84,26.42,25.115,25.2,25.2,365453,0.0,1.0
2024-07-26,25.97,26.23,24.88,25.62,25.62,650470,0.0,1.0
2024-07-25,25.32,26.16,24.63,25.22,25.22,644120,0.0,1.0
2024-07-24,27.09,27.28,25.46,25.51,25.51,436545,0.0,1.0
2024-07-23,26.93,27.6229,26.72,27.32,27.32,385357,0.0,1.0
2024-07-22,26.22,27.14,26.0101,27.12,27.12,353351,0.0,1.0
2024-07-19,26.4,26.5,25.73,25.82,25.82,303716,0.0,1.0
2024-07-18,26.95,27.22,26.0157,26.34,26.34,368289,0.0,1.0
2024-07-17,27.26,27.87,26.61,26.71,26.71,461268,0.0,1.0
2024-07-16,27.16,28.05,27.13,27.99,27.99,378135,0.0,1.0
2024-07-15,26.68,27.47,26.39,26.91,26.91,455943,0.0,1.0
2024-07-12,26.39,27.05,26.08,26.53,26.53,342007,0.0,1.0
2024-07-11,26.39,26.39,25.84,26.09,26.09,333711,0.0,1.0
2024-07-10,25.56,25.83,25.4105,25.8,25.8,268751,0.0,1.0
2024-07-09,25.87,25.92,25.27,25.34,25.34,427602,0.0,1.0
2024-07-08,25.87,26.15,25.74,25.9,25.9,409865,0.0,1.0
2024-07-05,25.24,25.58,24.91,25.48,25.48,408553,0.0,1.0
2024-07-03,25.47,25.64,24.96,25.17,25.17,192040,0.0,1.0
2024-07-02,24.43,25.32,24.43,25.19,25.19,471003,0.0,1.0
2024-07-01,24.73,24.96,24.36,24.48,24.48,632647,0.0,1.0
2024-06-28,25.0,25.645,24.61,24.67,24.67,2710081,0.0,1.0
2024-06-27,24.77,24.94,24.46,24.78,24.78,284987,0.0,1.0
2024-06-26,24.43,24.87,24.43,24.68,24.68,352146,0.0,1.0
2024-06-25,24.51,24.72,24.21,24.64,24.64,335142,0.0,1.0
2024-06-24,24.85,24.93,24.44,24.47,24.47,362916,0.0,1.0
2024-06-21,24.4,25.015,24.15,24.94,24.94,1331371,0.0,1.0
2024-06-20,24.64,24.89,24.3,24.46,24.46,338227,0.0,1.0
2024-06-18,25.17,25.38,24.88,24.93,24.93,361336,0.0,1.0
2024-06-17,24.59,25.165,24.165,25.14,25.14,548157,0.0,1.0
2024-06-14,24.94,24.99,24.48,24.59,24.59,548762,0.0,1.0
2024-06-13,24.9,26.12,24.76,25.31,25.31,523202,0.0,1.0
2024-06-12,26.98,27.29,26.34,26.56,26.56,370709,0.0,1.0
2024-06-11,25.86,26.08,25.44,25.98,25.98,278593,0.0,1.0
2024-06-10,25.28,26.22,25.28,26.08,26.08,386564,0.0,1.0
2024-06-07,25.51,25.94,25.39,25.73,25.73,355989,0.0,1.0
2024-06-06,26.28,26.31,25.58,25.91,25.91,489662,0.0,1.0
2024-06-05,26.87,26.91,26.19,26.48,26.48,696621,0.0,1.0
2024-06-04,26.74,26.8,26.2325,26.39,26.39,585745,0.0,1.0
