,PLCE_Open,PLCE_High,PLCE_Low,PLCE_Close,PLCE_Adj Close,PLCE_Volume,PLCE_Dividend Amount,PLCE_Split Coefficient
2024-10-04,14.78,15.69,14.6901,15.01,15.01,898217,0.0,1.0
2024-10-03,14.45,14.8,13.7016,14.24,14.24,623413,0.0,1.0
2024-10-02,14.03,15.3,13.78,15.03,15.03,751830,0.0,1.0
2024-10-01,15.66,15.66,13.61,14.14,14.14,1065887,0.0,1.0
2024-09-30,16.84,17.0,14.43,15.48,15.48,1764066,0.0,1.0
2024-09-27,16.55,17.31,16.47,17.02,17.02,782244,0.0,1.0
2024-09-26,17.17,17.94,16.25,16.38,16.38,976727,0.0,1.0
2024-09-25,17.38,18.2477,16.07,16.66,16.66,1463587,0.0,1.0
2024-09-24,17.75,19.74,17.18,17.35,17.35,3361952,0.0,1.0
2024-09-23,15.66,17.75,15.0,17.58,17.58,2541925,0.0,1.0
2024-09-20,17.34,17.95,14.724047,15.17,15.17,2420835,0.0,1.0
2024-09-19,16.37,17.45,14.15,17.16,17.16,3531014,0.0,1.0
2024-09-18,16.26,16.54,14.61,15.14,15.14,2646983,0.0,1.0
2024-09-17,12.45,17.5,12.16,17.4,17.4,8845453,0.0,1.0
2024-09-16,13.73,13.8,11.6848,12.21,12.21,3455173,0.0,1.0
2024-09-13,11.63,15.43,11.51,14.52,14.52,10909158,0.0,1.0
2024-09-12,9.25,12.37,9.23,11.34,11.34,14896695,0.0,1.0
2024-09-11,6.81,10.2,6.6,9.1,9.1,72899779,0.0,1.0
2024-09-10,4.84,4.93,4.77,4.9,4.9,265221,0.0,1.0
2024-09-09,5.1,5.11,4.77,4.86,4.86,426752,0.0,1.0
2024-09-06,5.25,5.3781,4.995,5.08,5.08,376949,0.0,1.0
2024-09-05,5.49,5.6099,5.09,5.23,5.23,379350,0.0,1.0
2024-09-04,5.46,5.72,5.365,5.56,5.56,248160,0.0,1.0
2024-09-03,5.62,5.7107,5.36,5.44,5.44,302827,0.0,1.0
2024-08-30,5.91,5.95,5.58,5.7,5.7,225713,0.0,1.0
2024-08-29,5.88,6.1,5.54,5.83,5.83,414025,0.0,1.0
2024-08-28,5.95,6.06,5.62,5.775,5.775,376492,0.0,1.0
2024-08-27,6.07,6.11,5.8925,6.03,6.03,291533,0.0,1.0
2024-08-26,6.48,6.48,6.0,6.16,6.16,368539,0.0,1.0
2024-08-23,6.26,6.72,6.26,6.38,6.38,323219,0.0,1.0
2024-08-22,6.43,6.4399,6.1,6.22,6.22,173713,0.0,1.0
2024-08-21,6.11,6.36,6.05,6.36,6.36,224588,0.0,1.0
2024-08-20,6.59,6.75,6.13,6.15,6.15,315565,0.0,1.0
2024-08-19,6.43,6.88,6.3799,6.51,6.51,446821,0.0,1.0
2024-08-16,6.61,6.84,6.39,6.43,6.43,225689,0.0,1.0
2024-08-15,6.41,6.7797,6.2,6.57,6.57,397985,0.0,1.0
2024-08-14,6.33,6.68,6.01,6.14,6.14,589825,0.0,1.0
2024-08-13,6.97,7.1574,6.01,6.32,6.32,864449,0.0,1.0
2024-08-12,7.2,7.31,6.76,6.97,6.97,301387,0.0,1.0
2024-08-09,7.45,7.6299,7.21,7.22,7.22,199487,0.0,1.0
2024-08-08,7.42,7.47,7.17,7.4,7.4,183659,0.0,1.0
2024-08-07,7.18,7.7399,7.02,7.28,7.28,426111,0.0,1.0
