,PRFT_Open,PRFT_High,PRFT_Low,PRFT_Close,PRFT_Adj Close,PRFT_Volume,PRFT_Dividend Amount,PRFT_Split Coefficient
2024-10-04,75.96,75.96,75.96,75.96,75.96,0,0.0,1.0
2024-10-03,75.96,75.96,75.96,75.96,75.96,0,0.0,1.0
2024-10-02,75.96,75.96,75.96,75.96,75.96,0,0.0,1.0
2024-10-01,76.0,76.01,75.96,75.96,75.96,3144470,0.0,1.0
2024-09-30,75.5,75.555,75.41,75.48,75.48,437575,0.0,1.0
2024-09-27,75.55,75.61,75.435,75.48,75.48,224660,0.0,1.0
2024-09-26,75.55,75.74,75.52,75.58,75.58,191739,0.0,1.0
2024-09-25,75.52,75.55,75.44,75.48,75.48,287906,0.0,1.0
2024-09-24,75.46,75.54,75.435,75.49,75.49,268353,0.0,1.0
2024-09-23,75.55,75.56,75.45,75.5,75.5,452307,0.0,1.0
2024-09-20,75.62,75.62,75.43,75.5,75.5,629825,0.0,1.0
2024-09-19,75.66,75.66,75.5,75.5,75.5,183558,0.0,1.0
2024-09-18,75.47,75.62,75.42,75.52,75.52,438332,0.0,1.0
2024-09-17,75.42,75.5,75.4,75.49,75.49,327649,0.0,1.0
2024-09-16,75.5,75.54,75.399,75.43,75.43,313203,0.0,1.0
2024-09-13,75.45,75.54,75.35,75.5,75.5,217506,0.0,1.0
2024-09-12,75.54,75.61,75.42,75.44,75.44,298086,0.0,1.0
2024-09-11,75.41,75.62,75.4,75.61,75.61,537618,0.0,1.0
2024-09-10,75.23,75.59,75.23,75.57,75.57,256250,0.0,1.0
2024-09-09,75.17,75.33,75.17,75.3,75.3,203834,0.0,1.0
2024-09-06,75.38,75.38,75.165,75.21,75.21,279825,0.0,1.0
2024-09-05,75.2,75.4,75.18,75.38,75.38,205834,0.0,1.0
2024-09-04,75.15,75.265,75.13,75.17,75.17,216294,0.0,1.0
2024-09-03,75.12,75.22,75.12,75.18,75.18,269700,0.0,1.0
2024-08-30,75.17,75.21,75.11,75.17,75.17,207490,0.0,1.0
2024-08-29,75.14,75.22,75.085,75.11,75.11,197183,0.0,1.0
2024-08-28,75.06,75.18,75.06,75.08,75.08,154873,0.0,1.0
2024-08-27,75.05,75.09,75.0,75.06,75.06,198796,0.0,1.0
2024-08-26,75.12,75.23,74.98,74.98,74.98,326297,0.0,1.0
2024-08-23,75.1,75.2,75.06,75.14,75.14,619139,0.0,1.0
2024-08-22,75.09,75.12,75.025,75.06,75.06,303157,0.0,1.0
2024-08-21,75.09,75.12,75.0,75.08,75.08,342427,0.0,1.0
2024-08-20,75.08,75.09,75.02,75.02,75.02,114650,0.0,1.0
2024-08-19,75.13,75.13,75.01,75.05,75.05,304458,0.0,1.0
2024-08-16,75.09,75.12,75.02,75.03,75.03,339613,0.0,1.0
2024-08-15,75.12,75.17,75.03,75.04,75.04,344473,0.0,1.0
2024-08-14,75.12,75.12,75.02,75.05,75.05,336184,0.0,1.0
2024-08-13,75.1,75.145,75.02,75.06,75.06,236957,0.0,1.0
2024-08-12,75.11,75.16,74.97,75.05,75.05,516095,0.0,1.0
2024-08-09,75.1,75.28,75.08,75.18,75.18,166630,0.0,1.0
2024-08-08,75.1,75.19,75.05,75.09,75.09,256899,0.0,1.0
2024-08-07,75.16,75.3,75.05,75.09,75.09,341728,0.0,1.0
2024-08-06,75.19,75.3,75.01,75.03,75.03,439449,0.0,1.0
2024-08-05,75.23,75.24,74.87,75.11,75.11,624305,0.0,1.0
2024-08-02,75.12,75.37,75.11,75.25,75.25,589237,0.0,1.0
2024-08-01,75.45,75.47,75.275,75.31,75.31,523654,0.0,1.0
2024-07-31,75.35,75.5,75.32,75.41,75.41,337815,0.0,1.0
2024-07-30,75.3,75.42,75.28,75.39,75.39,328746,0.0,1.0
2024-07-29,75.23,75.39,75.13,75.28,75.28,240662,0.0,1.0
2024-07-26,75.06,75.33,75.05,75.11,75.11,245174,0.0,1.0
2024-07-25,75.07,75.28,75.01,75.05,75.05,347317,0.0,1.0
2024-07-24,74.99,75.14,74.95,75.03,75.03,332953,0.0,1.0
2024-07-23,74.95,75.21,74.95,75.09,75.09,393070,0.0,1.0
2024-07-22,74.91,75.07,74.91,75.0,75.0,534607,0.0,1.0
2024-07-19,74.89,74.96,74.83,74.85,74.85,526137,0.0,1.0
2024-07-18,74.91,75.1,74.82,74.86,74.86,708907,0.0,1.0
2024-07-17,75.0,75.14,74.8,74.89,74.89,727329,0.0,1.0
2024-07-16,75.37,75.42,75.09,75.15,75.15,549968,0.0,1.0
2024-07-15,75.06,75.1,74.88,75.08,75.08,276956,0.0,1.0
2024-07-12,75.0,75.0,74.93,74.95,74.95,197429,0.0,1.0
2024-07-11,74.88,75.02,74.86,74.86,74.86,375145,0.0,1.0
2024-07-10,74.86,74.89,74.81,74.83,74.83,433956,0.0,1.0
2024-07-09,74.86,74.9,74.83,74.85,74.85,496743,0.0,1.0
2024-07-08,74.93,75.0,74.75,74.89,74.89,639859,0.0,1.0
2024-07-05,74.85,74.98,74.82,74.85,74.85,300944,0.0,1.0
2024-07-03,74.88,74.9,74.77,74.9,74.9,253013,0.0,1.0
2024-07-02,74.8,74.9,74.73,74.77,74.77,355040,0.0,1.0
2024-07-01,74.71,74.825,74.66,74.8,74.8,330182,0.0,1.0
2024-06-28,74.65,75.0897,74.61,74.79,74.79,845809,0.0,1.0
2024-06-27,74.49,74.66,74.46,74.6,74.6,704723,0.0,1.0
2024-06-26,74.4,74.5,74.4,74.45,74.45,682455,0.0,1.0
2024-06-25,74.43,74.49,74.43,74.43,74.43,417070,0.0,1.0
2024-06-24,74.45,74.58,74.42,74.43,74.43,286994,0.0,1.0
2024-06-21,74.43,74.6601,74.41,74.48,74.48,609964,0.0,1.0
2024-06-20,74.38,74.51,74.38,74.42,74.42,406133,0.0,1.0
2024-06-18,74.4,74.54,74.38,74.4,74.4,503613,0.0,1.0
2024-06-17,74.37,74.55,74.34,74.41,74.41,443039,0.0,1.0
2024-06-14,74.4,74.55,74.35,74.35,74.35,510940,0.0,1.0
2024-06-13,74.33,74.53,74.33,74.4,74.4,525897,0.0,1.0
2024-06-12,74.28,74.46,74.25,74.39,74.39,577506,0.0,1.0
2024-06-11,74.29,74.35,74.14,74.23,74.23,922789,0.0,1.0
2024-06-10,74.22,74.39,74.17,74.3,74.3,600223,0.0,1.0
2024-06-07,74.2,74.35,74.18,74.28,74.28,511021,0.0,1.0
2024-06-06,74.19,74.34,74.17,74.21,74.21,572031,0.0,1.0
2024-06-05,74.21,74.41,74.15,74.21,74.21,522725,0.0,1.0
2024-06-04,74.15,74.29,74.13,74.28,74.28,392067,0.0,1.0
2024-06-03,74.24,74.4,73.995,74.02,74.02,459168,0.0,1.0
2024-05-31,73.94,74.37,73.88,74.15,74.15,657995,0.0,1.0
2024-05-30,73.81,73.93,73.76,73.88,73.88,372926,0.0,1.0
2024-05-29,73.75,73.945,73.74,73.81,73.81,262840,0.0,1.0
2024-05-28,73.8,73.88,73.71,73.8,73.8,804656,0.0,1.0
2024-05-24,73.75,73.86,73.72,73.81,73.81,267468,0.0,1.0
2024-05-23,73.72,73.8,73.64,73.71,73.71,805454,0.0,1.0
2024-05-22,73.75,73.75,73.62,73.7,73.7,1019561,0.0,1.0
2024-05-21,73.75,73.91,73.68,73.73,73.73,704679,0.0,1.0
2024-05-20,73.66,73.79,73.66,73.79,73.79,466440,0.0,1.0
2024-05-17,73.72,73.85,73.6,73.63,73.63,1097711,0.0,1.0
2024-05-16,73.57,73.95,73.57,73.76,73.76,502680,0.0,1.0
2024-05-15,73.59,73.71,73.53,73.58,73.58,705928,0.0,1.0
2024-05-14,73.55,73.64,73.39,73.44,73.44,1145115,0.0,1.0
2024-05-13,73.57,73.7,73.46,73.47,73.47,653423,0.0,1.0
2024-05-10,73.57,73.65,73.45,73.6,73.6,654519,0.0,1.0
2024-05-09,73.55,73.64,73.44,73.58,73.58,755671,0.0,1.0
2024-05-08,73.29,73.89,73.24,73.55,73.55,1803351,0.0,1.0
2024-05-07,73.28,73.4,73.17,73.28,73.28,2609101,0.0,1.0
2024-05-06,73.7,73.85,73.17,73.26,73.26,11680106,0.0,1.0
2024-05-03,49.52,49.89,48.03,48.11,48.11,675055,0.0,1.0
2024-05-02,48.04,48.88,47.24,48.85,48.85,866605,0.0,1.0
2024-05-01,47.26,47.68,46.125,47.24,47.24,823300,0.0,1.0
2024-04-30,42.95,47.99,42.62,47.26,47.26,2090483,0.0,1.0
2024-04-29,43.14,44.05,43.14,43.46,43.46,537754,0.0,1.0
2024-04-26,43.14,43.83,42.93,42.99,42.99,374441,0.0,1.0
2024-04-25,44.29,44.33,42.51,42.7,42.7,637354,0.0,1.0
2024-04-24,45.33,46.37,44.92,45.09,45.09,446939,0.0,1.0
2024-04-23,46.0,46.56,44.91,45.48,45.48,304024,0.0,1.0
2024-04-22,45.01,45.625,44.1,45.12,45.12,465471,0.0,1.0
2024-04-19,43.73,45.485,43.64,44.8,44.8,394303,0.0,1.0
2024-04-18,44.58,44.58,43.39,43.64,43.64,365058,0.0,1.0
2024-04-17,46.69,46.72,44.49,44.58,44.58,249451,0.0,1.0
2024-04-16,46.89,47.22,46.06,46.25,46.25,284870,0.0,1.0
2024-04-15,49.31,49.56,47.13,47.43,47.43,313855,0.0,1.0
2024-04-12,50.38,50.825,48.93,49.34,49.34,422235,0.0,1.0
2024-04-11,51.58,52.1,51.13,51.68,51.68,225017,0.0,1.0
2024-04-10,52.09,52.23,50.97,51.25,51.25,327605,0.0,1.0
2024-04-09,52.15,54.06,51.95,54.05,54.05,230729,0.0,1.0
2024-04-08,51.63,52.8,51.63,51.95,51.95,214514,0.0,1.0
2024-04-05,52.36,52.7899,51.21,51.48,51.48,180713,0.0,1.0
2024-04-04,54.28,55.38,52.45,52.6,52.6,247629,0.0,1.0
2024-04-03,55.07,55.56,53.41,53.73,53.73,310862,0.0,1.0
2024-04-02,54.78,56.04,54.35,55.72,55.72,308875,0.0,1.0
2024-04-01,56.21,56.64,54.5,55.7,55.7,262320,0.0,1.0
2024-03-28,54.49,56.62,54.43,56.29,56.29,465037,0.0,1.0
2024-03-27,54.01,55.3,53.92,54.46,54.46,342316,0.0,1.0
2024-03-26,54.96,55.35,53.23,53.33,53.33,756733,0.0,1.0
2024-03-25,56.82,57.28,53.91,54.52,54.52,712139,0.0,1.0
2024-03-22,58.7,59.19,55.91,56.76,56.76,408381,0.0,1.0
2024-03-21,61.23,61.335,58.5,58.58,58.58,264121,0.0,1.0
2024-03-20,60.27,61.67,59.72,61.11,61.11,136085,0.0,1.0
2024-03-19,59.46,60.37,59.46,60.27,60.27,160704,0.0,1.0
2024-03-18,60.78,61.18,60.13,60.19,60.19,148439,0.0,1.0
2024-03-15,60.01,60.5,59.45,60.27,60.27,431947,0.0,1.0
2024-03-14,62.58,62.61,59.69,60.41,60.41,232250,0.0,1.0
2024-03-13,62.73,63.39,62.58,62.86,62.86,110648,0.0,1.0
2024-03-12,63.05,63.3,62.28,63.03,63.03,107292,0.0,1.0
2024-03-11,63.08,64.28,62.42,62.64,62.64,223797,0.0,1.0
2024-03-08,64.71,65.08,63.51,63.53,63.53,107151,0.0,1.0
2024-03-07,63.56,65.03,63.255,64.3,64.3,96087,0.0,1.0
2024-03-06,62.87,63.3,62.2,62.96,62.96,109330,0.0,1.0
2024-03-05,63.75,63.76,61.7,61.83,61.83,134033,0.0,1.0
2024-03-04,64.79,65.725,63.8,64.49,64.49,211550,0.0,1.0
2024-03-01,65.15,65.375,63.84,64.81,64.81,136032,0.0,1.0
2024-02-29,65.05,65.85,63.86,64.87,64.87,247891,0.0,1.0
2024-02-28,63.35,64.89,63.35,64.27,64.27,205781,0.0,1.0
2024-02-27,63.0,69.23,62.46,64.44,64.44,386426,0.0,1.0
2024-02-26,68.25,68.705,67.61,68.16,68.16,133116,0.0,1.0
2024-02-23,68.79,69.715,67.81,68.85,68.85,95902,0.0,1.0
2024-02-22,68.0,69.54,67.9501,69.1,69.1,140695,0.0,1.0
2024-02-21,68.58,68.58,66.51,67.26,67.26,132961,0.0,1.0
2024-02-20,69.2,69.785,68.811,69.04,69.04,124562,0.0,1.0
2024-02-16,70.66,71.1999,69.674,70.33,70.33,101328,0.0,1.0
2024-02-15,70.72,71.7075,69.86,71.26,71.26,141934,0.0,1.0
