,PTEN_Open,PTEN_High,PTEN_Low,PTEN_Close,PTEN_Adj Close,PTEN_Volume,PTEN_Dividend Amount,PTEN_Split Coefficient
2024-10-04,8.42,8.57,8.335,8.48,8.48,8841609,0.0,1.0
2024-10-03,8.06,8.32,7.98,8.29,8.29,7727911,0.0,1.0
2024-10-02,8.05,8.1171,7.82,8.01,8.01,7070533,0.0,1.0
2024-10-01,7.52,7.995,7.46,7.92,7.92,8902130,0.0,1.0
2024-09-30,7.57,7.839,7.5,7.65,7.65,6529377,0.0,1.0
2024-09-27,7.6,7.6987,7.54,7.62,7.62,6401157,0.0,1.0
2024-09-26,7.75,7.82,7.445,7.5,7.5,9968047,0.0,1.0
2024-09-25,8.19,8.24,7.86,7.89,7.89,6590798,0.0,1.0
2024-09-24,8.65,8.73,8.195,8.27,8.27,9449459,0.0,1.0
2024-09-23,8.37,8.645,8.33,8.53,8.53,4537394,0.0,1.0
2024-09-20,8.41,8.5,8.271,8.37,8.37,20328797,0.0,1.0
2024-09-19,8.55,8.6,8.3401,8.5,8.5,4628977,0.0,1.0
2024-09-18,8.37,8.55,8.22,8.23,8.23,5667771,0.0,1.0
2024-09-17,8.14,8.43,8.14,8.4,8.4,4138210,0.0,1.0
2024-09-16,8.03,8.17,7.92,8.13,8.13,4039532,0.0,1.0
2024-09-13,7.94,8.085,7.825,7.91,7.91,4573852,0.0,1.0
2024-09-12,7.95,8.11,7.775,7.91,7.91,5365461,0.0,1.0
2024-09-11,7.82,7.935,7.6,7.83,7.83,7641648,0.0,1.0
2024-09-10,8.09,8.14,7.72,7.86,7.86,6071782,0.0,1.0
2024-09-09,8.2,8.26,8.11,8.13,8.13,6755584,0.0,1.0
2024-09-06,8.42,8.535,8.15,8.2,8.2,6651629,0.0,1.0
2024-09-05,8.49,8.525,8.28,8.33,8.33,5140237,0.0,1.0
2024-09-04,8.7,8.8701,8.405,8.45,8.45,6011240,0.0,1.0
2024-09-03,8.9,8.97,8.575,8.73,8.73,6548609,0.08,1.0
2024-08-30,9.19,9.31,9.06,9.21,9.12636776390466,6754551,0.0,1.0
2024-08-29,9.17,9.49,9.055,9.35,9.26509648127128,5913533,0.0,1.0
2024-08-28,9.09,9.19,9.031,9.07,8.98763904653802,6183445,0.0,1.0
2024-08-27,9.35,9.3698,9.165,9.22,9.13627695800227,4545334,0.0,1.0
2024-08-26,9.51,9.66,9.36,9.4,9.31464245175937,4646398,0.0,1.0
