,PZZA_Open,PZZA_High,PZZA_Low,PZZA_Close,PZZA_Adj Close,PZZA_Volume,PZZA_Dividend Amount,PZZA_Split Coefficient
2024-10-04,52.59,53.01,51.79,51.82,51.82,579918,0.0,1.0
2024-10-03,51.88,52.7,51.1,52.55,52.55,535340,0.0,1.0
2024-10-02,52.87,52.87,51.55,52.39,52.39,939797,0.0,1.0
2024-10-01,53.61,53.91,52.88,53.13,53.13,812248,0.0,1.0
2024-09-30,53.03,54.51,53.03,53.87,53.87,1048941,0.0,1.0
2024-09-27,51.83,54.0,51.5,52.94,52.94,1321771,0.0,1.0
2024-09-26,50.35,51.24,50.06,51.125,51.125,794213,0.0,1.0
2024-09-25,50.74,50.775,49.57,49.64,49.64,683492,0.0,1.0
2024-09-24,50.47,52.28,50.47,50.85,50.85,637972,0.0,1.0
2024-09-23,50.21,51.08,49.83,50.4,50.4,720119,0.0,1.0
2024-09-20,51.5,51.66,50.05,50.1,50.1,1323690,0.0,1.0
2024-09-19,53.39,53.39,51.48,51.68,51.68,894525,0.0,1.0
2024-09-18,52.71,53.73,52.09,52.25,52.25,890520,0.0,1.0
2024-09-17,50.96,53.14,50.8,52.56,52.56,1224381,0.0,1.0
2024-09-16,49.85,51.41,49.85,50.8,50.8,835631,0.0,1.0
2024-09-13,49.22,50.33,48.89,49.6,49.6,914536,0.0,1.0
2024-09-12,48.97,49.295,48.097,49.0,49.0,633486,0.0,1.0
2024-09-11,48.28,48.85,47.5,48.73,48.73,625280,0.0,1.0
2024-09-10,47.33,48.27,46.9,48.24,48.24,592882,0.0,1.0
2024-09-09,46.76,48.91,46.37,47.41,47.41,854521,0.0,1.0
2024-09-06,47.505,48.74,46.71,46.93,46.93,913944,0.0,1.0
2024-09-05,49.81,49.92,47.405,47.57,47.57,802314,0.0,1.0
2024-09-04,47.53,49.74,47.25,49.67,49.67,1065874,0.0,1.0
2024-09-03,46.92,49.08,46.92,47.76,47.76,1175904,0.0,1.0
2024-08-30,47.35,47.77,47.045,47.37,47.37,745649,0.0,1.0
2024-08-29,48.04,48.2,46.7,47.09,47.09,920492,0.0,1.0
2024-08-28,48.34,48.87,47.81,48.0,48.0,754417,0.0,1.0
2024-08-27,48.13,48.4,47.11,48.17,48.17,1039199,0.0,1.0
2024-08-26,45.98,50.44,45.8,48.6,48.6,2666095,0.0,1.0
2024-08-23,45.53,46.1,44.835,45.93,45.93,786163,0.0,1.0
2024-08-22,46.76,46.856,44.99,45.08,45.08,794869,0.0,1.0
2024-08-21,46.69,47.32,46.49,46.59,46.59,629575,0.0,1.0
2024-08-20,46.1,47.356,46.1,46.58,46.58,664504,0.0,1.0
2024-08-19,46.06,46.71,45.74,46.47,46.47,993631,0.46,1.0
2024-08-16,46.58,46.81,45.95,46.26,45.8065672277861,916112,0.0,1.0
2024-08-15,46.02,47.21,45.88,46.86,46.4006861282762,1071270,0.0,1.0
2024-08-14,46.33,46.37,44.51,44.89,44.4499957383337,896897,0.0,1.0
2024-08-13,46.35,46.61,45.2,46.39,45.9352929895589,1140975,0.0,1.0
2024-08-12,45.0,47.1,44.95,46.0,45.5491157042404,1730517,0.0,1.0
2024-08-09,43.21,45.31,42.24,44.86,44.4202897933092,1476925,0.0,1.0
2024-08-08,42.98,45.53,42.675,43.23,42.8062667803111,3341966,0.0,1.0
2024-08-07,43.12,43.655,42.16,42.49,42.0735201363733,1836099,0.0,1.0
2024-08-06,41.97,43.98,41.685,43.08,42.6577370551886,1107908,0.0,1.0
2024-08-05,41.58,42.89,41.1,41.51,41.1031259322395,1373902,0.0,1.0
2024-08-02,43.54,43.54,42.26,42.47,42.0537161730237,1189603,0.0,1.0
2024-08-01,44.35,44.69,43.09,44.02,43.5885233326231,1088251,0.0,1.0
2024-07-31,43.71,44.99,43.1,44.23,43.7964649477946,1222818,0.0,1.0
2024-07-30,41.84,44.02,41.83,43.8,43.3706797357767,1422226,0.0,1.0
2024-07-29,40.93,42.12,40.41,41.95,41.5388131259322,1014627,0.0,1.0
2024-07-26,41.6,41.64,40.5,40.93,40.5288109950991,847196,0.0,1.0
2024-07-25,40.34,41.55,40.18,40.96,40.5585169401236,1321554,0.0,1.0
2024-07-24,40.77,40.94,39.9,40.26,39.8653782228851,1257845,0.0,1.0
2024-07-23,41.28,41.6,40.68,41.07,40.6674387385468,940904,0.0,1.0
2024-07-22,41.67,41.74,40.66,41.54,41.132831877264,967424,0.0,1.0
2024-07-19,42.61,42.61,40.56,41.395,40.9892531429789,1675932,0.0,1.0
2024-07-18,42.99,43.8,42.43,42.66,42.2418538248455,1408194,0.0,1.0
2024-07-17,44.76,45.54,43.6,44.29,43.8558768378436,1479971,0.0,1.0
2024-07-16,42.16,44.8,41.65,44.52,44.0836224163648,2197307,0.0,1.0
2024-07-15,43.13,43.13,41.82,42.0,41.5883230343064,1186419,0.0,1.0
2024-07-12,43.51,43.83,42.88,43.19,42.7666588536118,1366235,0.0,1.0
2024-07-11,42.74,43.9853,42.53,43.0,42.5785212017899,1329015,0.0,1.0
2024-07-10,42.55,42.66,41.47,42.12,41.7071468144044,949507,0.0,1.0
2024-07-09,43.93,43.95,42.41,42.48,42.0636181546985,1082963,0.0,1.0
2024-07-08,43.86,45.1,43.7848,44.02,43.5885233326231,1189361,0.0,1.0
2024-07-05,44.61,44.675,43.575,43.65,43.2221500106542,1372422,0.0,1.0
2024-07-03,45.14,45.14,44.23,44.61,44.1727402514383,665341,0.0,1.0
2024-07-02,46.06,46.33,44.56,45.24,44.7965650969529,981458,0.0,1.0
2024-07-01,47.1,47.26,45.2,45.97,45.5194097592158,2033115,0.0,1.0
2024-06-28,46.88,47.17,46.49,46.98,46.5195099083742,2023729,0.0,1.0
2024-06-27,47.12,47.34,46.49,46.6,46.1432346047305,764542,0.0,1.0
2024-06-26,47.37,47.67,46.7486,47.19,46.7274515235457,735192,0.0,1.0
2024-06-25,47.91,48.17,47.3,47.91,47.4403942041338,575041,0.0,1.0
2024-06-24,47.43,48.21,47.21,47.81,47.3413743873855,1112441,0.0,1.0
2024-06-21,48.53,48.7,47.14,47.21,46.7472554868954,1297834,0.0,1.0
2024-06-20,48.43,49.73,48.09,48.35,47.8760813978265,957587,0.0,1.0
2024-06-18,48.75,49.13,48.2,48.48,48.0048071595994,802207,0.0,1.0
2024-06-17,46.84,49.53,46.53,48.79,48.3117685915193,1314834,0.0,1.0
2024-06-14,47.75,47.83,46.39,46.68,46.2224504581291,610583,0.0,1.0
2024-06-13,48.25,48.38,46.76,47.81,47.3413743873855,615092,0.0,1.0
2024-06-12,48.19,48.47,47.57,48.2,47.727551672704,893906,0.0,1.0
2024-06-11,46.9,47.73,46.49,47.53,47.0641189004901,1158982,0.0,1.0
2024-06-10,46.72,47.11,46.29,46.93,46.47,1039586,0.0,1.0
2024-06-07,47.0,47.84,46.52,47.0,46.5393138717238,650868,0.0,1.0
2024-06-06,46.55,47.38,46.29,47.17,46.707647560196,857820,0.0,1.0
2024-06-05,48.01,48.06,46.51,46.75,46.291764329853,801581,0.0,1.0
2024-06-04,48.08,48.35,47.54,47.95,47.4800021308332,852866,0.0,1.0
2024-06-03,46.22,48.675,46.22,48.24,47.7671595994034,1414141,0.0,1.0
2024-05-31,46.56,46.88,46.2,46.46,46.0046068612828,934130,0.0,1.0
2024-05-30,47.94,48.02,46.25,46.55,46.0937246963563,769140,0.0,1.0
2024-05-29,46.78,48.205,46.5,47.69,47.2225506072874,974113,0.0,1.0
2024-05-28,47.65,48.74,47.03,47.18,46.7175495418709,1354092,0.0,1.0
2024-05-24,47.52,47.98,47.05,47.62,47.1532367355636,1418655,0.0,1.0
2024-05-23,49.11,49.13,46.81,47.29,46.826471340294,2067273,0.0,1.0
2024-05-22,49.03,49.3499,48.67,48.99,48.509808225016,886865,0.0,1.0
2024-05-21,49.48,50.13,48.87,49.08,48.5989260600895,1296835,0.0,1.0
2024-05-20,50.94,51.24,48.99,49.45,48.9652993820584,2812911,0.0,1.0
2024-05-17,51.96,51.96,50.77,51.1,50.5991263584061,1104466,0.46,1.0
2024-05-16,52.5,53.385,52.0,52.15,51.1781311014523,897938,0.0,1.0
2024-05-15,53.29,53.6,52.36,52.45,51.4725402928317,1202856,0.0,1.0
2024-05-14,53.03,53.44,52.05,52.55,51.5706766899582,1217936,0.0,1.0
2024-05-13,53.58,53.76,51.82,52.27,51.2958947780041,1669315,0.0,1.0
2024-05-10,53.48,54.74,52.35,53.32,52.326326947832,1730039,0.0,1.0
2024-05-09,55.7,55.7,52.07,53.22,52.2281905507055,3881136,0.0,1.0
2024-05-08,57.58,58.2774,57.03,57.13,56.0653236783503,1650834,0.0,1.0
2024-05-07,58.35,58.92,57.69,57.93,56.8504148553621,1142571,0.0,1.0
2024-05-06,59.14,60.04,58.24,58.31,57.2233331644426,906049,0.0,1.0
2024-05-03,60.73,61.32,58.95,58.98,57.88084702519,771410,0.0,1.0
2024-05-02,61.31,61.45,59.68,59.74,58.6266836433511,829272,0.0,1.0
2024-05-01,61.42,61.855,60.24,60.95,59.8141340485813,725116,0.0,1.0
2024-04-30,61.94,62.9,61.151,61.69,60.5403433873172,668664,0.0,1.0
2024-04-29,63.85,64.06,62.55,62.65,61.4824527997313,499502,0.0,1.0
2024-04-26,62.82,64.15,62.56,63.1,61.9240665868004,551955,0.0,1.0
2024-04-25,63.97,64.09,62.655,62.91,61.7376074322601,558846,0.0,1.0
2024-04-24,63.64,64.67,63.55,64.41,63.2096533891571,539975,0.0,1.0
2024-04-23,63.39,64.3884,63.1652,64.26,63.0624487934674,680227,0.0,1.0
2024-04-22,63.57,63.92,62.73,63.22,62.0418302633521,658780,0.0,1.0
2024-04-19,61.11,62.63,60.7872,62.5,61.3352482040416,906639,0.0,1.0
2024-04-18,60.76,61.36,60.24,61.35,60.2066796370872,827284,0.0,1.0
2024-04-17,62.38,62.48,60.94,60.95,59.8141340485813,598477,0.0,1.0
2024-04-16,61.62,62.19,61.05,61.74,60.5894115858804,571440,0.0,1.0
2024-04-15,61.62,62.43,61.235,61.9,60.7464298212828,706749,0.0,1.0
2024-04-12,62.88,62.93,61.51,61.78,60.628666144731,906299,0.0,1.0
2024-04-11,63.23,63.74,62.24,62.86,61.6885392336969,696638,0.0,1.0
2024-04-10,63.68,63.8,62.24,63.22,62.0418302633521,928296,0.0,1.0
2024-04-09,63.59,64.55,63.59,64.29,63.0918897126053,784190,0.0,1.0
2024-04-08,63.87,64.14,63.11,63.98,62.7876668815133,806526,0.0,1.0
2024-04-05,64.13,64.45,62.99,63.74,62.5521395284098,881077,0.0,1.0
2024-04-04,66.2,66.42,64.19,64.38,63.1802124700191,857086,0.0,1.0
2024-04-03,66.47,66.81,65.06,65.45,64.2302719192723,1225526,0.0,1.0
2024-04-02,67.37,68.355,65.72,67.19,65.9378452292729,1244778,0.0,1.0
2024-04-01,67.06,68.66,66.72,67.99,66.7229364062846,1133928,0.0,1.0
2024-03-28,66.64,67.435,66.21,66.6,65.3588404862267,1060152,0.0,1.0
2024-03-27,65.73,66.3,65.06,66.26,65.0251767359967,1338139,0.0,1.0
2024-03-26,66.98,66.98,65.05,65.41,64.1910173604218,952666,0.0,1.0
2024-03-25,66.16,67.35,65.72,66.32,65.0840585742726,861583,0.0,1.0
2024-03-22,67.45,67.76,65.33,65.74,64.5148674709391,2039507,0.0,1.0
2024-03-21,70.79,71.71,66.45,68.25,66.9780910388134,1733598,0.0,1.0
2024-03-20,71.59,72.23,70.91,71.75,70.4128649382397,426142,0.0,1.0
2024-03-19,71.45,71.94,69.92,71.89,70.5502558942168,506682,0.0,1.0
2024-03-18,69.41,72.08,68.87,71.75,70.4128649382397,663548,0.0,1.0
2024-03-15,68.68,69.705,68.66,69.61,68.3127460397333,775951,0.0,1.0
