,QSII_Open,QSII_High,QSII_Low,QSII_Close,QSII_Adj Close,QSII_Volume,QSII_Dividend Amount,QSII_Split Coefficient
2018-09-07,22.16,22.37,21.83,22.35,22.35,297838,0.0,1.0
2018-09-06,22.38,22.69,22.16,22.19,22.19,233376,0.0,1.0
2018-09-05,22.85,22.86,21.9,22.4,22.4,336270,0.0,1.0
2018-09-04,22.79,23.05,22.56,22.84,22.84,184726,0.0,1.0
2018-08-31,22.95,23.1699,22.26,22.89,22.89,203483,0.0,1.0
2018-08-30,22.71,23.12,22.57,22.96,22.96,120505,0.0,1.0
2018-08-29,22.58,23.03,22.58,22.73,22.73,100312,0.0,1.0
2018-08-28,22.65,22.71,22.28,22.66,22.66,196188,0.0,1.0
2018-08-27,22.43,22.6,22.2908,22.56,22.56,144049,0.0,1.0
2018-08-24,22.48,22.62,22.25,22.37,22.37,150885,0.0,1.0
2018-08-23,22.33,22.63,22.3,22.4,22.4,146388,0.0,1.0
2018-08-22,22.17,22.48,21.99,22.37,22.37,171270,0.0,1.0
2018-08-21,22.0,22.31,21.94,22.24,22.24,270458,0.0,1.0
2018-08-20,22.0,22.11,21.83,21.96,21.96,196657,0.0,1.0
2018-08-17,21.85,22.14,21.62,21.99,21.99,211826,0.0,1.0
2018-08-16,21.58,21.98,21.39,21.91,21.91,198444,0.0,1.0
2018-08-15,21.85,21.98,21.43,21.51,21.51,157196,0.0,1.0
2018-08-14,21.63,21.91,21.56,21.87,21.87,100142,0.0,1.0
2018-08-13,21.73,21.91,21.4195,21.62,21.62,101276,0.0,1.0
2018-08-10,21.54,21.9,21.48,21.69,21.69,132913,0.0,1.0
2018-08-09,21.46,21.92,21.46,21.67,21.67,177228,0.0,1.0
2018-08-08,21.54,21.64,21.11,21.37,21.37,158754,0.0,1.0
2018-08-07,21.73,21.84,21.46,21.48,21.48,271988,0.0,1.0
2018-08-06,21.26,21.79,21.165,21.78,21.78,219182,0.0,1.0
2018-08-03,21.06,21.4171,21.0,21.27,21.27,223318,0.0,1.0
2018-08-02,21.36,21.57,20.58,21.01,21.01,440096,0.0,1.0
2018-08-01,21.13,23.73,21.05,21.37,21.37,747228,0.0,1.0
2018-07-31,19.74,20.21,19.63,20.13,20.13,428438,0.0,1.0
2018-07-30,20.1,20.37,19.56,19.7,19.7,257819,0.0,1.0
2018-07-27,20.91,20.91,20.07,20.08,20.08,189801,0.0,1.0
2018-07-26,20.54,20.99,20.435,20.81,20.81,346739,0.0,1.0
2018-07-25,20.2,20.65,20.175,20.63,20.63,416007,0.0,1.0
2018-07-24,20.18,20.35,19.84,20.18,20.18,366991,0.0,1.0
2018-07-23,20.06,20.47,20.06,20.14,20.14,276089,0.0,1.0
2018-07-20,19.67,20.4597,19.58,20.16,20.16,540665,0.0,1.0
2018-07-19,19.51,19.74,19.33,19.7,19.7,218524,0.0,1.0
2018-07-18,19.72,19.72,19.3,19.53,19.53,186710,0.0,1.0
2018-07-17,19.79,20.085,19.73,19.77,19.77,132134,0.0,1.0
2018-07-16,19.84,19.98,19.61,19.81,19.81,163328,0.0,1.0
2018-07-13,19.96,20.02,19.74,19.79,19.79,224905,0.0,1.0
2018-07-12,19.84,20.22,19.84,19.94,19.94,201365,0.0,1.0
2018-07-11,19.89,20.04,19.68,19.71,19.71,208016,0.0,1.0
2018-07-10,20.34,20.39,19.87,19.91,19.91,294061,0.0,1.0
2018-07-09,20.89,21.02,20.26,20.29,20.29,365214,0.0,1.0
2018-07-06,20.65,21.1,20.61,20.87,20.87,283082,0.0,1.0
2018-07-05,20.13,20.59,20.12,20.56,20.56,353644,0.0,1.0
2018-07-03,20.0,20.215,19.92,20.14,20.14,122488,0.0,1.0
2018-07-02,19.4,20.03,19.4,20.0,20.0,193985,0.0,1.0
2018-06-29,19.89,19.89,19.3167,19.5,19.5,282419,0.0,1.0
2018-06-28,19.56,19.95,19.46,19.89,19.89,219352,0.0,1.0
2018-06-27,20.19,20.31,19.61,19.61,19.61,364638,0.0,1.0
2018-06-26,19.78,20.18,19.74,20.15,20.15,246699,0.0,1.0
2018-06-25,20.01,20.1,19.4801,19.75,19.75,364145,0.0,1.0
2018-06-22,20.39,20.39,20.01,20.14,20.14,457855,0.0,1.0
2018-06-21,20.39,20.6,20.13,20.25,20.25,343832,0.0,1.0
2018-06-20,19.75,20.28,19.65,20.05,20.05,355450,0.0,1.0
2018-06-19,19.82,20.02,19.06,19.76,19.76,341406,0.0,1.0
2018-06-18,19.6,20.14,19.47,19.92,19.92,498837,0.0,1.0
2018-06-15,19.1,19.71,19.05,19.6,19.6,1072023,0.0,1.0
2018-06-14,18.22,19.16,18.0,19.1,19.1,685656,0.0,1.0
2018-06-13,17.91,18.14,17.85,18.05,18.05,391953,0.0,1.0
2018-06-12,17.65,17.91,17.62,17.88,17.88,191695,0.0,1.0
2018-06-11,17.72,17.78,17.56,17.64,17.64,186116,0.0,1.0
2018-06-08,17.54,17.75,17.4,17.7,17.7,275295,0.0,1.0
2018-06-07,17.63,17.73,17.45,17.47,17.47,349165,0.0,1.0
2018-06-06,17.69,17.87,17.62,17.69,17.69,302625,0.0,1.0
2018-06-05,17.2,17.93,17.2,17.71,17.71,352207,0.0,1.0
2018-06-04,17.15,17.38,16.7426,17.16,17.16,371223,0.0,1.0
2018-06-01,17.65,17.929,17.03,17.2,17.2,525808,0.0,1.0
2018-05-31,17.26,17.965,17.01,17.6,17.6,1520218,0.0,1.0
2018-05-30,17.03,17.28,16.64,16.83,16.83,1082589,0.0,1.0
2018-05-29,16.74,16.99,16.48,16.97,16.97,511394,0.0,1.0
2018-05-25,15.45,17.72,15.45,16.99,16.99,2338781,0.0,1.0
2018-05-24,14.64,15.14,14.58,15.05,15.05,402283,0.0,1.0
2018-05-23,14.48,14.75,14.46,14.64,14.64,179661,0.0,1.0
2018-05-22,14.62,14.71,14.44,14.48,14.48,156581,0.0,1.0
