,RGLD_Open,RGLD_High,RGLD_Low,RGLD_Close,RGLD_Adj Close,RGLD_Volume,RGLD_Dividend Amount,RGLD_Split Coefficient
2024-10-04,139.63,140.72,138.47,138.97,138.97,178088,0.4,1.0
2024-10-03,140.42,141.1,139.09,139.68,139.279110281983,219206,0.0,1.0
2024-10-02,141.72,143.43,140.77,141.92,141.512681351797,145621,0.0,1.0
2024-10-01,141.91,143.04,140.68,141.85,141.442882255866,216777,0.0,1.0
2024-09-30,141.0,141.08,138.75,140.3,139.89733084595,426396,0.0,1.0
2024-09-27,145.62,146.33,141.76,141.8,141.393025758772,668326,0.0,1.0
2024-09-26,146.86,147.51,145.5,145.62,145.202062136758,419382,0.0,1.0
2024-09-25,146.41,147.1712,144.72,146.5,146.079536485614,335807,0.0,1.0
2024-09-24,145.21,147.65,144.455,146.36,145.93993829375,431660,0.0,1.0
2024-09-23,144.26,145.58,143.66,143.78,143.367343043697,636225,0.0,1.0
2024-09-20,141.84,144.58,141.84,143.61,143.197830953577,763069,0.0,1.0
2024-09-19,142.34,142.3931,138.73,140.41,140.007015139557,334871,0.0,1.0
2024-09-18,140.48,144.39,138.9,139.14,138.740660113367,293815,0.0,1.0
2024-09-17,140.92,142.28,139.0,140.26,139.857445648274,215067,0.0,1.0
2024-09-16,143.29,143.29,140.24,141.05,140.645178302361,291393,0.0,1.0
2024-09-13,142.0,145.59,142.0,143.19,142.779036377987,395643,0.0,1.0
2024-09-12,138.65,141.97,138.65,140.82,140.415838415728,315311,0.0,1.0
2024-09-11,135.51,136.8599,134.36,136.55,136.158093563895,194781,0.0,1.0
2024-09-10,134.93,136.32,134.18,136.08,135.68944249121,204046,0.0,1.0
2024-09-09,134.19,135.08,133.745,134.93,134.542743058047,195724,0.0,1.0
2024-09-06,137.35,138.38,133.83,134.04,133.655297409773,180633,0.0,1.0
2024-09-05,138.45,139.75,137.17,137.53,137.135280906938,219058,0.0,1.0
2024-09-04,135.08,137.125,134.2,136.7,136.307663055177,275499,0.0,1.0
2024-09-03,138.19,139.16,134.03,135.09,134.702283848748,320017,0.0,1.0
2024-08-30,140.84,142.01,139.1,140.17,139.767703953505,240659,0.0,1.0
2024-08-29,140.63,142.77,140.63,141.29,140.884489488412,164432,0.0,1.0
2024-08-28,140.29,141.095,139.1,140.22,139.817560450599,189701,0.0,1.0
2024-08-27,141.3,142.13,139.53,141.8,141.393025758772,165196,0.0,1.0
2024-08-26,142.16,142.32,141.15,141.58,141.173657171558,186785,0.0,1.0
2024-08-23,140.39,141.39,139.52,141.15,140.744891296549,256731,0.0,1.0
2024-08-22,139.35,139.795,137.7901,138.87,138.471435029059,256493,0.0,1.0
