,RIG_Open,RIG_High,RIG_Low,RIG_Close,RIG_Adj Close,RIG_Volume,RIG_Dividend Amount,RIG_Split Coefficient
2024-10-04,4.64,4.7,4.575,4.67,4.67,23493327,0.0,1.0
2024-10-03,4.3,4.61,4.25,4.58,4.58,25509133,0.0,1.0
2024-10-02,4.43,4.45,4.285,4.33,4.33,17173551,0.0,1.0
2024-10-01,4.27,4.45,4.2,4.39,4.39,25835623,0.0,1.0
2024-09-30,4.31,4.345,4.23,4.25,4.25,17091405,0.0,1.0
2024-09-27,4.24,4.36,4.24,4.31,4.31,19702009,0.0,1.0
2024-09-26,4.34,4.4,4.13,4.17,4.17,24627381,0.0,1.0
2024-09-25,4.54,4.57,4.39,4.42,4.42,13420977,0.0,1.0
2024-09-24,4.67,4.71,4.545,4.57,4.57,16871251,0.0,1.0
2024-09-23,4.54,4.64,4.48,4.55,4.55,16950174,0.0,1.0
2024-09-20,4.5,4.57,4.44,4.54,4.54,24089619,0.0,1.0
2024-09-19,4.67,4.72,4.525,4.54,4.54,23602545,0.0,1.0
2024-09-18,4.67,4.76,4.53,4.57,4.57,30121016,0.0,1.0
2024-09-17,4.51,4.69,4.48,4.67,4.67,24049346,0.0,1.0
2024-09-16,4.16,4.46,4.16,4.44,4.44,21879713,0.0,1.0
2024-09-13,4.19,4.2145,4.06,4.13,4.13,22291244,0.0,1.0
2024-09-12,4.08,4.2,3.96,4.15,4.15,21105053,0.0,1.0
2024-09-11,4.03,4.145,3.86,4.06,4.06,37491494,0.0,1.0
2024-09-10,4.15,4.17,3.85,3.92,3.92,31781034,0.0,1.0
2024-09-09,4.11,4.25,4.1,4.16,4.16,18863662,0.0,1.0
2024-09-06,4.14,4.28,4.11,4.12,4.12,19953188,0.0,1.0
2024-09-05,4.18,4.255,4.07,4.17,4.17,26882039,0.0,1.0
2024-09-04,4.36,4.43,4.12,4.14,4.14,23545500,0.0,1.0
2024-09-03,4.65,4.68,4.26,4.32,4.32,33628144,0.0,1.0
2024-08-30,4.67,4.76,4.635,4.74,4.74,14876698,0.0,1.0
2024-08-29,4.79,4.87,4.715,4.74,4.74,14617259,0.0,1.0
2024-08-28,4.83,4.84,4.71,4.72,4.72,17161779,0.0,1.0
2024-08-27,4.96,5.005,4.895,4.93,4.93,12139850,0.0,1.0
2024-08-26,5.08,5.11,4.96,4.97,4.97,14735399,0.0,1.0
2024-08-23,4.77,5.01,4.75,4.97,4.97,16496237,0.0,1.0
2024-08-22,4.92,4.975,4.72,4.73,4.73,17212364,0.0,1.0
2024-08-21,5.05,5.09,4.92,4.93,4.93,21266687,0.0,1.0
2024-08-20,5.19,5.1999,4.95,4.98,4.98,19361572,0.0,1.0
2024-08-19,5.22,5.26,5.15,5.2,5.2,13422035,0.0,1.0
2024-08-16,5.16,5.25,5.16,5.18,5.18,12466769,0.0,1.0
2024-08-15,5.15,5.26,5.1301,5.23,5.23,18227178,0.0,1.0
2024-08-14,5.19,5.22,5.04,5.05,5.05,17312867,0.0,1.0
2024-08-13,5.21,5.22,5.1,5.15,5.15,17683459,0.0,1.0
2024-08-12,5.24,5.305,5.2,5.21,5.21,12527231,0.0,1.0
2024-08-09,5.28,5.32,5.14,5.18,5.18,12446135,0.0,1.0
2024-08-08,5.09,5.325,5.08,5.28,5.28,14388771,0.0,1.0
2024-08-07,5.23,5.31,5.0,5.03,5.03,16662452,0.0,1.0
2024-08-06,5.1,5.16,5.01,5.05,5.05,20644732,0.0,1.0
2024-08-05,4.885,5.2,4.86,5.01,5.01,30475768,0.0,1.0
2024-08-02,5.3,5.32,5.13,5.2,5.2,28569036,0.0,1.0
2024-08-01,5.76,5.935,5.38,5.46,5.46,27827717,0.0,1.0
2024-07-31,5.9,5.98,5.73,5.79,5.79,23636226,0.0,1.0
2024-07-30,5.63,5.7,5.54,5.68,5.68,11379469,0.0,1.0
2024-07-29,5.82,5.85,5.6,5.68,5.68,12268812,0.0,1.0
2024-07-26,5.85,5.92,5.71,5.8,5.8,18811996,0.0,1.0
2024-07-25,5.3,5.9,5.28,5.82,5.82,36466631,0.0,1.0
2024-07-24,5.5,5.58,5.24,5.26,5.26,12838695,0.0,1.0
2024-07-23,5.35,5.53,5.3,5.52,5.52,14173260,0.0,1.0
2024-07-22,5.27,5.43,5.225,5.4,5.4,10556511,0.0,1.0
2024-07-19,5.35,5.43,5.25,5.27,5.27,10246274,0.0,1.0
2024-07-18,5.54,5.675,5.37,5.41,5.41,13809535,0.0,1.0
2024-07-17,5.66,5.69,5.51,5.59,5.59,14572319,0.0,1.0
2024-07-16,5.48,5.65,5.39,5.63,5.63,18802321,0.0,1.0
2024-07-15,5.35,5.585,5.26,5.52,5.52,15832705,0.0,1.0
2024-07-12,5.25,5.38,5.225,5.3,5.3,15489615,0.0,1.0
2024-07-11,5.03,5.225,4.99,5.18,5.18,25083708,0.0,1.0
2024-07-10,4.99,5.05,4.94,4.99,4.99,14959946,0.0,1.0
2024-07-09,5.03,5.06,4.95,5.01,5.01,10050891,0.0,1.0
2024-07-08,5.1,5.12,5.03,5.06,5.06,11981603,0.0,1.0
2024-07-05,5.18,5.19,5.04,5.1,5.1,11639375,0.0,1.0
2024-07-03,5.2,5.3,5.11,5.18,5.18,7816450,0.0,1.0
2024-07-02,5.09,5.19,5.05,5.17,5.17,15427803,0.0,1.0
2024-07-01,5.32,5.37,5.04,5.05,5.05,18325649,0.0,1.0
2024-06-28,5.37,5.43,5.25,5.35,5.35,127265410,0.0,1.0
2024-06-27,5.2,5.34,5.19,5.33,5.33,16446927,0.0,1.0
2024-06-26,5.09,5.2,5.02,5.19,5.19,20592766,0.0,1.0
2024-06-25,5.06,5.13,4.98,5.03,5.03,17261542,0.0,1.0
2024-06-24,5.19,5.36,5.125,5.14,5.14,19001467,0.0,1.0
2024-06-21,5.17,5.18,5.05,5.15,5.15,22402863,0.0,1.0
2024-06-20,5.28,5.32,5.1,5.17,5.17,18991967,0.0,1.0
2024-06-18,5.23,5.38,5.21,5.24,5.24,11630878,0.0,1.0
2024-06-17,5.18,5.28,5.14,5.2,5.2,14037400,0.0,1.0
2024-06-14,5.34,5.375,5.14,5.17,5.17,17449998,0.0,1.0
2024-06-13,5.64,5.67,5.36,5.41,5.41,10638294,0.0,1.0
2024-06-12,5.76,5.81,5.6207,5.68,5.68,12724985,0.0,1.0
2024-06-11,5.57,5.64,5.495,5.6,5.6,9885349,0.0,1.0
2024-06-10,5.47,5.775,5.45,5.64,5.64,18045008,0.0,1.0
2024-06-07,5.36,5.48,5.313,5.4,5.4,12539826,0.0,1.0
2024-06-06,5.42,5.54,5.37,5.45,5.45,14584178,0.0,1.0
2024-06-05,5.47,5.5,5.37,5.42,5.42,14322555,0.0,1.0
2024-06-04,5.7,5.7,5.37,5.4,5.4,27888063,0.0,1.0
2024-06-03,6.21,6.25,5.67,5.71,5.71,28167412,0.0,1.0
2024-05-31,5.94,6.225,5.905,6.2,6.2,17719462,0.0,1.0
2024-05-30,5.92,6.0,5.86,5.9,5.9,13153251,0.0,1.0
2024-05-29,6.01,6.08,5.895,5.94,5.94,12984089,0.0,1.0
2024-05-28,5.84,6.12,5.83,6.11,6.11,19479133,0.0,1.0
2024-05-24,5.86,5.92,5.76,5.77,5.77,10412470,0.0,1.0
2024-05-23,5.97,6.025,5.77,5.81,5.81,9840933,0.0,1.0
2024-05-22,6.2,6.2,5.84,5.92,5.92,12962486,0.0,1.0
2024-05-21,6.16,6.255,6.13,6.16,6.16,10613456,0.0,1.0
2024-05-20,6.2,6.38,6.13,6.24,6.24,19778544,0.0,1.0
2024-05-17,6.01,6.06,5.95,6.03,6.03,7411904,0.0,1.0
2024-05-16,6.04,6.14,5.97,6.0,6.0,10036936,0.0,1.0
2024-05-15,6.06,6.1054,5.84,6.04,6.04,14634265,0.0,1.0
2024-05-14,5.82,6.045,5.82,6.01,6.01,19534885,0.0,1.0
2024-05-13,5.8,5.93,5.77,5.81,5.81,11933183,0.0,1.0
2024-05-10,5.92,6.085,5.685,5.76,5.76,13618792,0.0,1.0
2024-05-09,5.75,5.9,5.75,5.88,5.88,10398378,0.0,1.0
2024-05-08,5.65,5.83,5.64,5.75,5.75,17401085,0.0,1.0
2024-05-07,5.59,5.74,5.59,5.72,5.72,11448053,0.0,1.0
2024-05-06,5.62,5.7,5.61,5.67,5.67,14482523,0.0,1.0
2024-05-03,5.46,5.62,5.42,5.57,5.57,16003061,0.0,1.0
2024-05-02,5.33,5.49,5.31,5.37,5.37,20907460,0.0,1.0
2024-05-01,5.17,5.395,5.1,5.27,5.27,26341753,0.0,1.0
2024-04-30,5.82,5.825,5.11,5.22,5.22,51852291,0.0,1.0
2024-04-29,5.9,5.995,5.79,5.82,5.82,18921787,0.0,1.0
2024-04-26,5.76,5.94,5.72,5.87,5.87,16334023,0.0,1.0
2024-04-25,5.75,5.79,5.68,5.74,5.74,10864738,0.0,1.0
2024-04-24,5.92,5.97,5.72,5.78,5.78,14008372,0.0,1.0
2024-04-23,5.77,5.995,5.75,5.94,5.94,16091224,0.0,1.0
2024-04-22,5.62,5.8799,5.595,5.81,5.81,20685709,0.0,1.0
2024-04-19,5.52,5.7,5.485,5.67,5.67,16183946,0.0,1.0
2024-04-18,5.73,5.77,5.495,5.55,5.55,26178587,0.0,1.0
2024-04-17,5.87,6.0,5.67,5.68,5.68,14214505,0.0,1.0
2024-04-16,6.01,6.025,5.84,5.91,5.91,18346618,0.0,1.0
2024-04-15,6.17,6.25,6.02,6.05,6.05,13370547,0.0,1.0
2024-04-12,6.34,6.45,6.09,6.18,6.18,20970035,0.0,1.0
2024-04-11,6.45,6.47,6.175,6.22,6.22,19821081,0.0,1.0
2024-04-10,6.3,6.45,6.25,6.43,6.43,17878120,0.0,1.0
2024-04-09,6.55,6.6499,6.33,6.38,6.38,26041984,0.0,1.0
2024-04-08,6.77,6.88,6.4401,6.55,6.55,24434219,0.0,1.0
2024-04-05,6.47,6.68,6.43,6.53,6.53,14192642,0.0,1.0
2024-04-04,6.63,6.7576,6.475,6.54,6.54,22536433,0.0,1.0
2024-04-03,6.6,6.85,6.6,6.68,6.68,27030905,0.0,1.0
2024-04-02,6.57,6.65,6.335,6.59,6.59,27123743,0.0,1.0
2024-04-01,6.28,6.46,6.27,6.37,6.37,15826777,0.0,1.0
2024-03-28,6.3,6.43,6.27,6.28,6.28,16673793,0.0,1.0
2024-03-27,6.09,6.27,6.04,6.25,6.25,11527507,0.0,1.0
2024-03-26,6.29,6.29,6.08,6.12,6.12,12508911,0.0,1.0
2024-03-25,5.99,6.36,5.98,6.22,6.22,17229936,0.0,1.0
2024-03-22,6.06,6.12,5.925,5.97,5.97,11424032,0.0,1.0
2024-03-21,6.07,6.1561,6.01,6.06,6.06,17561568,0.0,1.0
2024-03-20,5.97,6.18,5.93,6.1,6.1,21382523,0.0,1.0
2024-03-19,5.72,6.06,5.71,6.04,6.04,19226246,0.0,1.0
2024-03-18,5.85,5.86,5.7,5.77,5.77,14468625,0.0,1.0
2024-03-15,5.72,5.89,5.66,5.8,5.8,29141623,0.0,1.0
2024-03-14,5.7,5.805,5.6,5.66,5.66,21165096,0.0,1.0
2024-03-13,5.5,5.72,5.49,5.62,5.62,19583086,0.0,1.0
2024-03-12,5.395,5.47,5.22,5.41,5.41,19958845,0.0,1.0
2024-03-11,5.16,5.47,5.16,5.43,5.43,21094293,0.0,1.0
2024-03-08,5.17,5.29,5.13,5.25,5.25,17557642,0.0,1.0
2024-03-07,5.17,5.23,5.06,5.15,5.15,14059846,0.0,1.0
2024-03-06,5.25,5.28,5.06,5.14,5.14,21077588,0.0,1.0
2024-03-05,5.02,5.21,5.02,5.12,5.12,14770689,0.0,1.0
2024-03-04,5.05,5.12,4.925,5.11,5.11,21112224,0.0,1.0
2024-03-01,4.87,5.175,4.85,5.09,5.09,23937283,0.0,1.0
2024-02-29,4.79,4.93,4.66,4.69,4.69,13637232,0.0,1.0
2024-02-28,4.82,4.9,4.76,4.78,4.78,10820370,0.0,1.0
2024-02-27,4.76,4.96,4.75,4.83,4.83,17175477,0.0,1.0
2024-02-26,4.63,4.76,4.6037,4.75,4.75,13579225,0.0,1.0
2024-02-23,4.75,4.75,4.55,4.67,4.67,18948455,0.0,1.0
2024-02-22,4.86,4.95,4.76,4.82,4.82,16753836,0.0,1.0
2024-02-21,4.69,4.91,4.65,4.86,4.86,21093738,0.0,1.0
2024-02-20,4.85,4.88,4.45,4.67,4.67,28937044,0.0,1.0
2024-02-16,5.01,5.02,4.87,4.89,4.89,22623141,0.0,1.0
2024-02-15,5.12,5.175,4.9,5.03,5.03,29701931,0.0,1.0
