,RRC_Open,RRC_High,RRC_Low,RRC_Close,RRC_Adj Close,RRC_Volume,RRC_Dividend Amount,RRC_Split Coefficient
2024-10-04,33.04,33.21,32.25,32.31,32.31,2294770,0.0,1.0
2024-10-03,31.42,32.8,31.2,32.71,32.71,2583006,0.0,1.0
2024-10-02,31.52,31.8632,31.14,31.36,31.36,1797065,0.0,1.0
2024-10-01,30.76,31.17,30.3281,30.88,30.88,2533746,0.0,1.0
2024-09-30,30.53,31.18,30.365,30.76,30.76,1844675,0.0,1.0
2024-09-27,30.73,31.12,30.4,30.74,30.74,2893641,0.0,1.0
2024-09-26,30.16,30.78,29.89,30.17,30.17,3021543,0.0,1.0
2024-09-25,31.14,31.33,30.355,30.48,30.48,1758407,0.0,1.0
2024-09-24,31.67,31.83,31.08,31.1,31.1,1481155,0.0,1.0
2024-09-23,30.84,31.99,30.76,31.52,31.52,2208100,0.0,1.0
2024-09-20,30.41,30.85,30.0,30.61,30.61,3204251,0.0,1.0
2024-09-19,30.59,30.89,29.95,30.51,30.51,2085717,0.0,1.0
2024-09-18,29.44,30.33,29.44,29.99,29.99,1507144,0.0,1.0
2024-09-17,29.67,30.11,29.52,29.53,29.53,1745592,0.0,1.0
2024-09-16,29.1,29.6,29.05,29.52,29.52,1768942,0.0,1.0
2024-09-13,29.29,29.69,28.91,29.03,29.03,1617633,0.08,1.0
2024-09-12,29.02,29.29,28.418,28.99,28.9103297835795,1637020,0.0,1.0
2024-09-11,28.23,29.39,28.0,29.13,29.0499450360701,2259990,0.0,1.0
2024-09-10,28.02,28.15,27.55,28.11,28.032748196496,1819750,0.0,1.0
2024-09-09,28.1,28.39,27.88,27.9,27.8233253177602,1989352,0.0,1.0
2024-09-06,28.28,28.58,28.0,28.19,28.1125283407764,2257809,0.0,1.0
2024-09-05,28.44,28.48,28.01,28.34,28.262116111302,1874277,0.0,1.0
2024-09-04,28.8,29.14,28.14,28.15,28.0726382686362,2002516,0.0,1.0
2024-09-03,29.43,29.51,28.5,28.91,28.8305496392992,1729992,0.0,1.0
2024-08-30,29.94,30.13,29.6,29.88,29.797883888698,1596963,0.0,1.0
2024-08-29,29.73,30.17,29.43,30.0,29.9175541051185,1172016,0.0,1.0
2024-08-28,29.58,29.75,29.38,29.63,29.5485709378221,1985882,0.0,1.0
2024-08-27,30.1,30.215,29.68,29.75,29.6682411542425,1364561,0.0,1.0
2024-08-26,30.84,31.14,30.28,30.29,30.2067571281347,1091309,0.0,1.0
2024-08-23,30.41,30.88,30.3101,30.56,30.4760151150807,1751174,0.0,1.0
2024-08-22,30.74,30.82,30.04,30.16,30.0771143936791,1815043,0.0,1.0
2024-08-21,31.11,31.16,30.41,30.66,30.5757402954311,1141468,0.0,1.0
2024-08-20,31.25,31.36,30.495,30.83,30.7452731020268,1632604,0.0,1.0
2024-08-19,30.64,31.42,30.61,31.24,31.1541463414634,1147160,0.0,1.0
2024-08-16,30.32,30.72,30.24,30.51,30.4261525249055,1201179,0.0,1.0
2024-08-15,29.7,30.62,29.7,30.53,30.4460975609756,2193940,0.0,1.0
2024-08-14,30.09,30.18,29.575,29.96,29.8776640329784,1603530,0.0,1.0
2024-08-13,29.92,30.15,29.51,29.9,29.8178289247681,2024597,0.0,1.0
2024-08-12,30.0,30.485,30.0,30.16,30.0771143936791,1319101,0.0,1.0
2024-08-09,29.54,29.895,29.35,29.82,29.7380487804878,1532173,0.0,1.0
2024-08-08,28.93,29.735,28.87,29.63,29.5485709378221,1364246,0.0,1.0
2024-08-07,29.09,29.5,28.61,28.7,28.6211267605634,2142908,0.0,1.0
2024-08-06,28.46,28.89,28.06,28.46,28.3817863277224,2738509,0.0,1.0
2024-08-05,28.0,28.565,27.29,28.34,28.262116111302,4488872,0.0,1.0
2024-08-02,30.61,30.86,28.85,28.93,28.8504946753693,2484913,0.0,1.0
2024-08-01,31.33,31.54,30.63,31.04,30.9546959807626,2395458,0.0,1.0
2024-07-31,31.87,32.19,31.23,31.23,31.1441738234284,1988632,0.0,1.0
2024-07-30,31.27,31.755,31.16,31.39,31.303734111989,1523591,0.0,1.0
2024-07-29,31.55,31.77,30.96,31.39,31.303734111989,1821506,0.0,1.0
2024-07-26,31.67,31.905,31.26,31.78,31.6926623153555,2286720,0.0,1.0
2024-07-25,31.88,32.05,31.18,31.58,31.4932119546548,2742231,0.0,1.0
2024-07-24,34.0,34.33,31.75,31.79,31.7026348333906,4844516,0.0,1.0
2024-07-23,33.43,33.67,33.02,33.09,32.9990621779457,2908175,0.0,1.0
2024-07-22,33.08,33.63,32.98,33.62,33.5276056338028,2468480,0.0,1.0
2024-07-19,32.52,32.875,32.271,32.82,32.7298041909997,1955338,0.0,1.0
2024-07-18,33.68,33.78,32.67,32.76,32.6699690827894,2138440,0.0,1.0
2024-07-17,34.48,35.09,33.45,33.52,33.4278804534524,2733412,0.0,1.0
2024-07-16,34.69,35.08,34.34,34.56,34.4650223290965,2243037,0.0,1.0
2024-07-15,35.0,35.205,34.645,34.84,34.7442528340776,2154419,0.0,1.0
2024-07-12,34.39,34.9,34.19,34.82,34.7243077980076,2516809,0.0,1.0
2024-07-11,33.66,34.19,33.395,34.09,33.9963139814497,1307191,0.0,1.0
2024-07-10,33.53,33.76,33.15,33.49,33.3979628993473,1008068,0.0,1.0
2024-07-09,33.76,33.87,33.38,33.41,33.318182755067,1133277,0.0,1.0
2024-07-08,33.91,34.21,33.65,33.96,33.8666712469942,1719486,0.0,1.0
2024-07-05,34.23,34.48,33.545,33.65,33.5575231879079,2790245,0.0,1.0
2024-07-03,34.32,34.72,34.2,34.43,34.335379594641,992551,0.0,1.0
2024-07-02,33.67,34.195,33.4,34.15,34.0561490896599,1753686,0.0,1.0
2024-07-01,33.63,33.85,32.945,33.42,33.328155273102,1675278,0.0,1.0
2024-06-28,33.79,33.835,33.13,33.53,33.4378529714875,3266798,0.0,1.0
2024-06-27,33.88,33.92,33.18,33.52,33.4278804534524,2880383,0.0,1.0
2024-06-26,34.34,34.34,33.37,33.55,33.4577980075575,2932867,0.0,1.0
2024-06-25,34.66,34.77,34.22,34.46,34.3652971487461,2291313,0.0,1.0
2024-06-24,33.73,35.08,33.49,34.82,34.7243077980076,3616057,0.0,1.0
2024-06-21,34.0,34.24,33.23,33.47,33.3780178632772,6354443,0.0,1.0
2024-06-20,34.13,34.34,33.78,34.06,33.9663964273446,2484236,0.0,1.0
