,SCG_Open,SCG_High,SCG_Low,SCG_Close,SCG_Adj Close,SCG_Volume,SCG_Dividend Amount,SCG_Split Coefficient
2018-12-31,48.84,49.255,47.38,47.78,47.78,17831547,0.0,1.0
2018-12-28,48.89,49.4,48.62,48.89,48.89,3549910,0.0,1.0
2018-12-27,47.68,48.81,47.51,48.78,48.78,2606989,0.0,1.0
2018-12-26,47.15,47.91,46.54,47.91,47.91,1561577,0.0,1.0
2018-12-24,49.86,50.05,46.92,47.15,47.15,1118334,0.0,1.0
2018-12-21,49.78,50.89,49.51,49.81,49.81,6149539,0.0,1.0
2018-12-20,49.04,50.17,48.84,49.6,49.6,2432362,0.0,1.0
2018-12-19,48.91,49.46,48.68,49.11,49.11,2035433,0.0,1.0
2018-12-18,49.2,49.84,48.65,48.75,48.75,2084599,0.0,1.0
2018-12-17,50.89,51.16,48.77,48.93,48.93,3170989,0.0,1.0
2018-12-14,47.84,51.27,47.39,50.98,50.98,6555112,0.0,1.0
2018-12-13,48.17,48.63,47.82,47.96,47.96,1816938,0.0,1.0
2018-12-12,47.19,48.31,47.02,48.0,48.0,2360376,0.0,1.0
2018-12-11,47.31,47.55,46.44,46.94,46.94,1462219,0.0,1.0
2018-12-10,46.84,47.8,46.32,47.19,47.19,2869238,0.0,1.0
2018-12-07,47.19,47.98,46.63,46.86,46.86,1659314,0.1237,1.0
2018-12-06,47.15,47.48,45.74,47.35,47.2253355951106,1448147,0.0,1.0
2018-12-04,47.18,48.93,46.85,47.3,47.1754672365097,2974082,0.0,1.0
2018-12-03,46.36,47.57,46.31,47.23,47.1056515344683,2000182,0.0,1.0
2018-11-30,45.98,46.81,45.98,46.66,46.5371522464174,1509370,0.0,1.0
2018-11-29,45.53,46.14,44.21,46.11,45.9886003018068,1694414,0.0,1.0
2018-11-28,46.95,46.95,45.44,45.53,45.4101273420356,1436853,0.0,1.0
2018-11-27,46.56,46.99,45.98,46.99,46.8662834131837,1688041,0.0,1.0
2018-11-26,45.29,46.81,45.2,46.63,46.5072312312568,2244425,0.0,1.0
2018-11-23,43.7,44.42,43.4742,44.06,43.9439975991674,431291,0.0,1.0
2018-11-21,43.63,44.12,42.38,43.63,43.5151297151991,2164019,0.0,1.0
2018-11-20,43.75,44.57,42.51,44.5,44.3828391548558,2357399,0.0,1.0
2018-11-19,42.91,43.84,42.91,43.71,43.5949190889606,757761,0.0,1.0
2018-11-16,42.44,43.61,42.44,42.96,42.8468937099462,1393641,0.0,1.0
2018-11-15,40.96,42.3,40.39,42.28,42.1686840329731,1134710,0.0,1.0
2018-11-14,41.02,42.0,40.74,41.3,41.1912642043943,1654569,0.0,1.0
2018-11-13,40.5,41.41,40.35,41.2,41.0915274871924,718220,0.0,1.0
2018-11-12,40.16,41.04,39.98,40.63,40.5230281991414,828167,0.0,1.0
2018-11-09,39.81,40.99,39.69,40.18,40.0742129717327,635009,0.0,1.0
2018-11-08,40.64,40.64,39.75,40.0,39.8946868807693,837769,0.0,1.0
2018-11-07,40.04,40.71,39.67,40.65,40.5429755425818,673029,0.0,1.0
2018-11-06,39.86,40.17,39.68,40.05,39.9445552393702,524365,0.0,1.0
2018-11-05,40.18,40.62,39.62,39.82,39.7151607898058,908229,0.0,1.0
2018-11-02,39.98,40.34,38.93,40.01,39.9046605524895,1177920,0.0,1.0
2018-11-01,40.0,40.81,38.75,40.05,39.9445552393702,1460788,0.0,1.0
2018-10-31,40.41,41.03,40.02,40.05,39.9445552393702,1411112,0.0,1.0
2018-10-30,37.39,41.84,37.35,40.89,40.7823436638664,4223848,0.0,1.0
2018-10-29,36.73,37.56,36.47,37.13,37.0322430970741,929097,0.0,1.0
2018-10-26,38.92,39.18,35.38,36.57,36.4737174807433,3095880,0.0,1.0
2018-10-25,37.06,38.3,35.69,37.37,37.2716112183587,1579473,0.0,1.0
2018-10-24,37.64,38.55,37.01,37.29,37.1918218445972,1668662,0.0,1.0
2018-10-23,36.3,38.36,36.2,37.46,37.3613742638404,2878564,0.0,1.0
2018-10-22,40.91,40.97,34.8,36.4,36.3041650615001,5187263,0.0,1.0
2018-10-19,40.23,41.06,40.01,40.89,40.7823436638664,778780,0.0,1.0
2018-10-18,40.06,40.47,39.88,40.26,40.1540023454943,770295,0.0,1.0
2018-10-17,39.75,40.14,39.65,40.08,39.9744762545308,639471,0.0,1.0
2018-10-16,38.49,39.8,38.39,39.78,39.6752661029251,1035597,0.0,1.0
2018-10-15,39.27,39.27,38.36,38.76,38.6579515874654,1716807,0.0,1.0
2018-10-12,39.72,40.06,38.97,39.28,39.1765825169154,1679037,0.0,1.0
2018-10-11,40.01,40.01,39.17,39.77,39.6652924312049,1171047,0.0,1.0
2018-10-10,39.77,40.64,39.6,39.95,39.8448185221683,1461233,0.0,1.0
2018-10-09,39.94,40.34,39.41,39.91,39.8049238352876,1268095,0.0,1.0
2018-10-08,38.51,39.74,38.5,39.26,39.1566351734751,1450208,0.0,1.0
2018-10-05,39.07,39.41,38.72,38.75,38.6479779157452,703491,0.0,1.0
2018-10-04,38.03,38.88,37.9,38.76,38.6579515874654,1054521,0.0,1.0
2018-10-03,38.16,38.68,37.89,38.3,38.1991626883366,1226698,0.0,1.0
2018-10-02,37.68,38.59,37.48,38.16,38.0595312842539,2105503,0.0,1.0
2018-10-01,38.75,38.83,37.37,37.54,37.441163637602,1346526,0.0,1.0
2018-09-28,37.86,39.0,37.56,38.89,38.7876093198279,2285518,0.0,1.0
2018-09-27,36.97,37.82,36.52,37.43,37.3314532486799,2137117,0.0,1.0
2018-09-26,35.4,37.92,35.3,36.63,36.5335595110645,2892500,0.0,1.0
2018-09-25,34.69,35.97,34.55,35.25,35.1571928136779,1691615,0.0,1.0
2018-09-24,34.91,35.28,34.8,34.9,34.8081143034712,1098941,0.0,1.0
2018-09-21,34.75,34.99,34.32,34.86,34.7682196165904,1988742,0.0,1.0
2018-09-20,35.06,35.14,34.7,34.93,34.8380353186318,900073,0.0,1.0
2018-09-19,35.95,36.02,34.84,34.91,34.8180879751914,1063765,0.0,1.0
2018-09-18,35.75,36.08,35.66,35.86,35.7655867886097,1340844,0.0,1.0
2018-09-17,35.58,36.13,35.47,35.89,35.7955078037702,1162451,0.0,1.0
2018-09-14,35.33,35.61,35.19,35.47,35.3766135915222,1172604,0.0,1.0
2018-09-13,35.65,35.95,35.31,35.48,35.3865872632424,894071,0.0,1.0
2018-09-12,35.63,36.0,35.33,35.71,35.6159817128068,654814,0.0,1.0
2018-09-11,35.69,36.04,35.24,35.59,35.4962976521645,1214458,0.0,1.0
2018-09-10,36.59,37.02,35.64,35.67,35.576087025926,1171265,0.0,1.0
2018-09-07,36.27,37.01,36.21,36.6,36.5036384959039,1030334,0.1237,1.0
2018-09-06,37.64,37.95,36.67,36.68,36.460200361885,1049622,0.0,1.0
2018-09-05,37.49,37.97,37.49,37.69,37.4641480817733,1526351,0.0,1.0
2018-09-04,38.3,38.49,37.29,37.36,37.1361255594335,821800,0.0,1.0
2018-08-31,38.64,39.0,38.06,38.34,38.1102530500183,1389922,0.0,1.0
2018-08-30,38.84,39.22,38.48,38.64,38.4084553430544,625678,0.0,1.0
2018-08-29,39.02,39.03,38.56,38.86,38.6271370246142,539206,0.0,1.0
2018-08-28,39.13,39.53,38.71,38.82,38.5873767188761,658458,0.0,1.0
2018-08-27,38.95,39.5,38.7,39.37,39.1340809227757,607932,0.0,1.0
2018-08-24,37.67,38.99,37.59,38.95,38.7165977125251,997910,0.0,1.0
2018-08-23,37.77,38.03,37.44,37.59,37.3647473174279,515646,0.0,1.0
2018-08-22,38.09,38.44,37.45,37.71,37.4840282346424,610626,0.0,1.0
2018-08-21,38.72,38.83,38.01,38.01,37.7822305276785,985459,0.0,1.0
2018-08-20,38.47,39.04,38.15,38.9,38.6668973303524,686876,0.0,1.0
2018-08-17,37.56,38.68,37.56,38.5,38.2692942729709,728999,0.0,1.0
2018-08-16,37.06,37.65,36.85,37.56,37.3349270881243,856793,0.0,1.0
2018-08-15,37.21,37.41,36.97,37.17,36.9472641071773,1344737,0.0,1.0
2018-08-14,37.09,37.55,36.92,37.2,36.9770843364809,1022537,0.0,1.0
2018-08-13,37.88,38.05,36.93,37.13,36.9075038014392,1549539,0.0,1.0
2018-08-10,38.26,38.54,37.88,38.02,37.7921706041131,546459,0.0,1.0
2018-08-09,38.91,39.07,38.19,38.28,38.050612591411,1349024,0.0,1.0
2018-08-08,40.07,40.15,38.71,38.73,38.4979160309652,952822,0.0,1.0
2018-08-07,39.47,40.56,39.34,40.02,39.7801858910206,1925912,0.0,1.0
2018-08-06,41.93,42.94,41.93,42.18,41.9272424008808,926320,0.0,1.0
2018-08-03,41.32,42.23,40.86,42.12,41.8676019422736,774314,0.0,1.0
2018-08-02,40.0,42.41,39.99,41.34,41.0922759803796,2653112,0.0,1.0
2018-08-01,39.99,40.45,39.23,40.28,40.0386278783186,1784840,0.0,1.0
2018-07-31,40.43,41.08,39.83,39.99,39.750365661717,6412831,0.0,1.0
2018-07-30,41.06,41.06,39.67,40.35,40.1082084133604,1841333,0.0,1.0
2018-07-27,40.18,41.01,40.1,40.93,40.6847328465636,2021072,0.0,1.0
2018-07-26,40.39,40.39,39.7,40.18,39.9392271139732,1149799,0.0,1.0
2018-07-25,40.3,40.3,39.52,40.2,39.9591072668423,2274987,0.0,1.0
2018-07-24,40.03,40.59,39.35,40.48,40.2374294070094,1664299,0.0,1.0
2018-07-23,40.19,40.33,39.77,40.26,40.0187477254495,691462,0.0,1.0
2018-07-20,39.99,40.47,39.6,40.12,39.879586655366,869883,0.0,1.0
2018-07-19,38.97,40.23,38.69,40.2,39.9591072668423,907513,0.0,1.0
2018-07-18,38.99,39.21,38.46,38.83,38.5973167953106,580063,0.0,1.0
2018-07-17,38.1,39.24,37.98,39.1,38.8656988590431,1121657,0.0,1.0
2018-07-16,39.23,39.23,37.94,38.1,37.8716912155894,1179942,0.0,1.0
