,SEIC_Open,SEIC_High,SEIC_Low,SEIC_Close,SEIC_Adj Close,SEIC_Volume,SEIC_Dividend Amount,SEIC_Split Coefficient
2024-10-04,69.68,70.05,69.15,69.48,69.48,409528,0.0,1.0
2024-10-03,69.01,69.39,68.555,69.34,69.34,368952,0.0,1.0
2024-10-02,69.27,69.667,68.89,69.49,69.49,396636,0.0,1.0
2024-10-01,69.41,69.62,68.64,69.36,69.36,320046,0.0,1.0
2024-09-30,69.29,69.45,68.74,69.19,69.19,511293,0.0,1.0
2024-09-27,69.53,69.94,68.83,69.28,69.28,499440,0.0,1.0
2024-09-26,68.91,69.49,67.905,68.87,68.87,483413,0.0,1.0
2024-09-25,69.04,69.04,68.21,68.55,68.55,455291,0.0,1.0
2024-09-24,68.81,68.94,68.515,68.79,68.79,365316,0.0,1.0
2024-09-23,68.53,69.175,68.47,68.81,68.81,547439,0.0,1.0
2024-09-20,68.83,68.855,68.0,68.1,68.1,2724757,0.0,1.0
2024-09-19,68.99,69.25,68.195,69.18,69.18,471965,0.0,1.0
2024-09-18,67.99,68.95,67.65,68.02,68.02,446620,0.0,1.0
2024-09-17,67.65,68.6,66.995,67.82,67.82,621663,0.0,1.0
2024-09-16,67.19,67.57,66.73,67.48,67.48,575029,0.0,1.0
2024-09-13,67.06,67.46,66.295,66.82,66.82,342535,0.0,1.0
2024-09-12,66.36,66.865,66.08,66.58,66.58,456463,0.0,1.0
2024-09-11,66.49,66.61,65.04,66.28,66.28,647239,0.0,1.0
2024-09-10,66.14,66.97,65.58,66.79,66.79,461988,0.0,1.0
2024-09-09,65.88,66.735,65.54,66.24,66.24,478921,0.0,1.0
2024-09-06,66.36,66.77,65.14,65.4,65.4,310759,0.0,1.0
2024-09-05,67.3,67.3,66.12,66.34,66.34,466984,0.0,1.0
2024-09-04,67.23,67.5,66.625,66.95,66.95,393322,0.0,1.0
2024-09-03,67.31,67.66,66.84,67.27,67.27,422739,0.0,1.0
2024-08-30,67.59,67.7,66.81,67.63,67.63,531047,0.0,1.0
2024-08-29,67.55,68.0,67.125,67.46,67.46,235677,0.0,1.0
2024-08-28,67.28,68.18,67.07,67.3,67.3,643985,0.0,1.0
2024-08-27,67.06,67.105,66.66,66.93,66.93,317201,0.0,1.0
2024-08-26,67.59,68.1363,67.08,67.24,67.24,381539,0.0,1.0
2024-08-23,67.33,67.81,67.11,67.37,67.37,278240,0.0,1.0
2024-08-22,67.29,67.55,66.83,67.07,67.07,250675,0.0,1.0
2024-08-21,66.66,67.4,66.49,67.29,67.29,327257,0.0,1.0
2024-08-20,66.86,67.15,66.31,66.47,66.47,323102,0.0,1.0
2024-08-19,67.19,67.47,66.67,66.98,66.98,505560,0.0,1.0
2024-08-16,66.73,67.47,66.73,67.14,67.14,421039,0.0,1.0
2024-08-15,66.15,66.92,65.8,66.75,66.75,333503,0.0,1.0
2024-08-14,66.0,66.08,65.27,65.54,65.54,539727,0.0,1.0
2024-08-13,64.73,65.78,64.51,65.76,65.76,554952,0.0,1.0
2024-08-12,65.38,65.52,64.19,64.3,64.3,314160,0.0,1.0
2024-08-09,65.13,65.91,64.23,65.08,65.08,319982,0.0,1.0
2024-08-08,64.27,65.2,63.965,65.15,65.15,389317,0.0,1.0
2024-08-07,64.47,64.65,63.74,63.91,63.91,357264,0.0,1.0
2024-08-06,63.19,64.7,62.94,63.91,63.91,400146,0.0,1.0
2024-08-05,63.61,63.93,62.38,63.1,63.1,575399,0.0,1.0
2024-08-02,66.35,66.515,65.0,65.41,65.41,427211,0.0,1.0
2024-08-01,67.84,68.385,66.73,67.25,67.25,551566,0.0,1.0
2024-07-31,68.16,68.43,67.055,67.84,67.84,1186553,0.0,1.0
2024-07-30,67.25,68.16,66.81,67.67,67.67,663073,0.0,1.0
2024-07-29,66.95,67.23,66.4,67.09,67.09,610009,0.0,1.0
2024-07-26,66.57,67.23,65.785,66.88,66.88,743866,0.0,1.0
2024-07-25,64.0,67.1,64.0,66.07,66.07,1232349,0.0,1.0
2024-07-24,67.45,67.96,66.1,66.25,66.25,929284,0.0,1.0
2024-07-23,66.24,67.9,65.88,67.69,67.69,878210,0.0,1.0
2024-07-22,65.54,66.525,65.03,66.28,66.28,664284,0.0,1.0
2024-07-19,66.92,67.41,64.76,65.35,65.35,1288301,0.0,1.0
2024-07-18,68.98,69.39,66.86,67.07,67.07,795329,0.0,1.0
2024-07-17,69.6,70.16,68.9,68.92,68.92,745648,0.0,1.0
2024-07-16,68.11,69.95,67.81,69.83,69.83,657110,0.0,1.0
2024-07-15,67.3,68.26,67.01,68.07,68.07,879638,0.0,1.0
2024-07-12,67.05,67.67,67.02,67.32,67.32,395333,0.0,1.0
2024-07-11,66.16,67.02,66.0614,66.65,66.65,438715,0.0,1.0
2024-07-10,64.48,65.78,64.48,65.77,65.77,377032,0.0,1.0
2024-07-09,65.1,65.51,64.23,64.26,64.26,604474,0.0,1.0
2024-07-08,65.23,65.41,64.79,64.86,64.86,385256,0.0,1.0
2024-07-05,65.6,65.6,64.96,65.02,65.02,494292,0.0,1.0
2024-07-03,65.43,66.0,65.35,65.64,65.64,422645,0.0,1.0
2024-07-02,64.71,65.445,64.36,65.15,65.15,780876,0.0,1.0
