,SJI_Open,SJI_High,SJI_Low,SJI_Close,SJI_Adj Close,SJI_Volume,SJI_Dividend Amount,SJI_Split Coefficient
2023-01-31,36.12,36.13,36.09,36.09,36.09,18599245,0.0,1.0
2023-01-30,36.11,36.13,36.09,36.11,36.11,4408065,0.1499,1.0
2023-01-27,36.11,36.13,36.11,36.11,35.9607196931045,5754941,0.0,1.0
2023-01-26,36.11,36.13,36.11,36.11,35.9607196931045,17508059,0.0,1.0
2023-01-25,35.89,36.095,35.89,36.08,35.9308437144063,18474349,0.0,1.0
2023-01-24,35.84,36.01,35.84,35.9,35.7515878422169,11764142,0.0,1.0
2023-01-23,35.92,35.96,35.825,35.92,35.771505161349,1714567,0.0,1.0
2023-01-20,35.85,36.03,35.78,35.94,35.7914224804812,3338686,0.0,1.0
2023-01-19,35.85,35.86,35.75,35.77,35.6221252678579,2001339,0.0,1.0
2023-01-18,35.69,35.91,35.69,35.81,35.6619599061222,5582976,0.0,1.0
2023-01-17,35.79,35.82,35.72,35.72,35.5723319700275,3202379,0.0,1.0
2023-01-13,35.75,35.8,35.72,35.77,35.6221252678579,2804787,0.0,1.0
2023-01-12,35.82,35.82,35.7,35.76,35.6121666082918,1297680,0.0,1.0
2023-01-11,35.76,35.81,35.76,35.78,35.632083927424,1239915,0.0,1.0
2023-01-10,35.79,35.86,35.74,35.74,35.5922492891596,1184719,0.0,1.0
2023-01-09,35.8,35.874,35.74,35.82,35.6719185656883,4034592,0.0,1.0
2023-01-06,35.45,35.72,35.36,35.72,35.5723319700275,5815331,0.0,1.0
2023-01-05,35.32,35.43,35.295,35.38,35.2337375447809,1471187,0.0,1.0
2023-01-04,35.4,35.5,35.2,35.31,35.1640269278183,3385387,0.0,1.0
2023-01-03,35.5,35.54,35.22,35.4,35.253654863913,2055594,0.0,1.0
2022-12-30,35.5,35.585,35.48,35.53,35.383117438272,538385,0.0,1.0
2022-12-29,35.4,35.55,35.4,35.54,35.3930760978381,608006,0.0,1.0
2022-12-28,35.21,35.46,35.16,35.39,35.2436962043469,2105436,0.0,1.0
2022-12-27,35.29,35.36,35.15,35.16,35.0146470343272,970723,0.0,1.0
2022-12-23,35.19,35.3,35.19,35.24,35.0943163108558,4830183,0.0,1.0
2022-12-22,35.29,35.32,35.1,35.24,35.0943163108558,1192478,0.0,1.0
2022-12-21,35.31,35.37,35.21,35.28,35.1341509491201,1879756,0.0,1.0
2022-12-20,35.3,35.32,35.125,35.24,35.0943163108558,1095365,0.0,1.0
2022-12-19,35.4,35.47,35.155,35.25,35.1042749704219,1372902,0.0,1.0
2022-12-16,35.25,35.55,35.23,35.23,35.0843576512897,6976192,0.31,1.0
2022-12-15,35.34,35.655,35.34,35.58,35.1238448292878,2044564,0.0,1.0
2022-12-14,35.0,35.68,34.87,35.37,34.9165371447979,2228703,0.0,1.0
2022-12-13,35.19,35.2,34.975,35.03,34.5808961318142,1560776,0.0,1.0
2022-12-12,35.2,35.2,35.06,35.11,34.6598704878104,655153,0.0,1.0
2022-12-09,35.1,35.225,35.02,35.15,34.6993576658085,668545,0.0,1.0
2022-12-08,35.02,35.2,34.99,35.2,34.7487166383061,946279,0.0,1.0
2022-12-07,34.63,35.05,34.57,35.05,34.6006397208133,915727,0.0,1.0
2022-12-06,34.5,34.79,34.46,34.64,34.195896146333,835393,0.0,1.0
2022-12-05,33.92,34.54,33.92,34.42,33.9787166673436,698466,0.0,1.0
2022-12-02,34.9,35.0,33.99,34.11,33.6726910378585,1689186,0.0,1.0
2022-12-01,34.8,35.075,34.68,34.94,34.4920499813186,719355,0.0,1.0
2022-11-30,34.88,35.06,34.48,34.7,34.2551269133301,1532661,0.0,1.0
2022-11-29,34.9,35.08,34.8,34.99,34.5414089538162,464562,0.0,1.0
2022-11-28,35.0,35.155,34.94,35.0,34.5512807483157,454305,0.0,1.0
2022-11-25,35.12,35.23,35.1,35.1,34.6499986933109,211319,0.0,1.0
2022-11-23,34.97,35.2,34.97,35.13,34.6796140768094,405807,0.0,1.0
2022-11-22,34.87,35.12,34.8,35.07,34.6203833098123,1125332,0.0,1.0
2022-11-21,34.71,34.88,34.61,34.83,34.3834602418239,402549,0.0,1.0
2022-11-18,34.64,34.8,34.38,34.7,34.2551269133301,900793,0.0,1.0
2022-11-17,34.19,34.43,34.17,34.43,33.9885884618431,326765,0.0,1.0
2022-11-16,34.3,34.535,34.26,34.32,33.8799987223484,818561,0.0,1.0
2022-11-15,34.11,34.36,34.09,34.31,33.8701269278489,541231,0.0,1.0
2022-11-14,34.2,34.325,33.98,33.99,33.5542295038643,678302,0.0,1.0
2022-11-11,34.11,34.28,34.03,34.15,33.7121782158566,485211,0.0,1.0
2022-11-10,33.85,34.1,33.68,34.06,33.6233320653609,1033021,0.0,1.0
2022-11-09,33.83,34.01,33.605,33.76,33.3271782303754,1063561,0.0,1.0
2022-11-08,34.1,34.165,33.345,33.83,33.396280791872,2202316,0.0,1.0
2022-11-07,34.37,34.54,33.92,34.04,33.6035884763619,722566,0.0,1.0
2022-11-04,34.16,34.57,34.05,34.53,34.0873064068383,650160,0.0,1.0
2022-11-03,34.2,34.88,34.075,34.21,33.7714089828537,878497,0.0,1.0
2022-11-02,34.59,34.72,34.42,34.5,34.0576910233398,730730,0.0,1.0
2022-11-01,34.8,34.93,34.585,34.76,34.3143576803272,718408,0.0,1.0
2022-10-31,34.95,34.95,34.63,34.67,34.2255115298316,1749752,0.0,1.0
2022-10-28,34.95,34.97,34.82,34.9,34.4525628033205,544423,0.0,1.0
2022-10-27,34.79,34.94,34.71,34.77,34.3242294748268,503527,0.0,1.0
2022-10-26,34.95,34.99,34.7,34.71,34.2649987078296,1005656,0.0,1.0
2022-10-25,34.65,34.89,34.48,34.83,34.3834602418239,905664,0.0,1.0
2022-10-24,34.4,34.87,34.35,34.65,34.2057679408325,1090596,0.0,1.0
2022-10-21,34.25,34.39,34.02,34.39,33.949101283845,571153,0.0,1.0
2022-10-20,34.18,34.26,34.025,34.09,33.6529474488595,532976,0.0,1.0
2022-10-19,33.97,34.28,33.97,34.28,33.8405115443503,596661,0.0,1.0
2022-10-18,33.98,34.23,33.83,33.94,33.5048705313667,755781,0.0,1.0
2022-10-17,33.75,34.08,33.75,33.95,33.5147423258662,635692,0.0,1.0
2022-10-14,34.13,34.22,33.695,33.72,33.2876910523773,620663,0.0,1.0
2022-10-13,33.55,34.225,33.49,34.15,33.7121782158566,840967,0.0,1.0
2022-10-12,33.84,33.965,33.73,33.79,33.3567936138739,1519804,0.0,1.0
2022-10-11,33.35,33.87,33.3,33.85,33.416024380871,1355209,0.0,1.0
2022-10-10,33.23,33.53,33.22,33.32,32.8928192723965,496880,0.0,1.0
2022-10-07,33.25,33.34,33.11,33.22,32.7941013274013,710526,0.0,1.0
2022-10-06,33.0,33.35,32.995,33.26,32.8335885053994,610283,0.0,1.0
2022-10-05,33.18,33.2714,32.81,33.09,32.6657679989076,626969,0.0,1.0
2022-10-04,33.77,33.77,33.05,33.32,32.8928192723965,752294,0.0,1.0
2022-10-03,33.51,33.68,33.42,33.48,33.0507679843888,854326,0.0,1.0
2022-09-30,33.68,33.73,33.305,33.42,32.9915372173917,1064704,0.0,1.0
2022-09-29,33.53,33.6,33.175,33.57,33.1396141348845,822140,0.0,1.0
2022-09-28,33.11,33.78,33.04,33.65,33.2185884908807,845354,0.0,1.0
2022-09-27,33.16,33.32,32.71,33.08,32.6558962044081,945459,0.0,1.0
2022-09-26,33.52,33.555,33.11,33.12,32.6953833824062,996005,0.0,1.0
2022-09-23,34.02,34.18,33.59,33.6,33.1692295183831,1343294,0.0,1.0
2022-09-22,34.1,34.185,33.93,34.14,33.7023064213571,357340,0.0,1.0
