,SKT_Open,SKT_High,SKT_Low,SKT_Close,SKT_Adj Close,SKT_Volume,SKT_Dividend Amount,SKT_Split Coefficient
2024-10-04,32.71,33.43,32.43,33.42,33.42,501704,0.0,1.0
2024-10-03,32.52,32.71,32.39,32.63,32.63,429095,0.0,1.0
2024-10-02,32.7,32.94,32.52,32.66,32.66,400359,0.0,1.0
2024-10-01,33.1,33.2,32.64,32.94,32.94,518180,0.0,1.0
2024-09-30,33.0,33.255,32.65,33.18,33.18,857937,0.0,1.0
2024-09-27,32.75,33.24,32.605,33.0,33.0,781024,0.0,1.0
2024-09-26,32.75,32.75,32.26,32.55,32.55,982431,0.0,1.0
2024-09-25,32.45,32.63,32.26,32.49,32.49,588060,0.0,1.0
2024-09-24,32.05,32.47,31.91,32.44,32.44,550948,0.0,1.0
2024-09-23,31.96,32.28,31.84,32.21,32.21,581171,0.0,1.0
2024-09-20,31.8,31.9598,31.6289,31.91,31.91,2116352,0.0,1.0
2024-09-19,31.69,31.96,31.11,31.95,31.95,712418,0.0,1.0
2024-09-18,31.43,31.83,31.04,31.3,31.3,620153,0.0,1.0
2024-09-17,31.86,31.88,31.3,31.41,31.41,562683,0.0,1.0
2024-09-16,31.95,32.01,31.66,31.76,31.76,394319,0.0,1.0
2024-09-13,31.92,32.05,31.65,31.83,31.83,555360,0.0,1.0
2024-09-12,30.85,31.6,30.85,31.55,31.55,455197,0.0,1.0
2024-09-11,30.45,31.11,30.16,30.91,30.91,748703,0.0,1.0
2024-09-10,30.75,31.09,30.25,30.62,30.62,723559,0.0,1.0
2024-09-09,31.0,31.0,30.61,30.76,30.76,597742,0.0,1.0
2024-09-06,31.15,31.34,30.875,31.24,31.24,570621,0.0,1.0
2024-09-05,31.0,31.38,30.98,31.1,31.1,946998,0.0,1.0
2024-09-04,30.24,31.07,30.125,30.76,30.76,878500,0.0,1.0
2024-09-03,30.17,30.41,29.9679,30.22,30.22,888151,0.0,1.0
2024-08-30,30.23,30.499,30.18,30.44,30.44,802411,0.0,1.0
2024-08-29,30.5,30.595,30.14,30.18,30.18,647521,0.0,1.0
2024-08-28,30.28,30.69,30.1901,30.45,30.45,1125823,0.0,1.0
2024-08-27,30.19,30.6,30.13,30.32,30.32,789066,0.0,1.0
2024-08-26,29.88,30.37,29.66,30.24,30.24,696373,0.0,1.0
2024-08-23,28.91,29.71,28.69,29.62,29.62,593907,0.0,1.0
2024-08-22,28.69,28.86,28.65,28.78,28.78,363121,0.0,1.0
2024-08-21,28.79,28.79,28.52,28.74,28.74,360436,0.0,1.0
2024-08-20,28.2,28.65,28.13,28.65,28.65,496436,0.0,1.0
2024-08-19,28.03,28.37,27.96,28.3,28.3,360053,0.0,1.0
2024-08-16,28.26,28.435,27.84,28.02,28.02,469387,0.0,1.0
2024-08-15,27.94,28.61,27.8179,28.37,28.37,802021,0.0,1.0
2024-08-14,27.65,27.77,27.37,27.58,27.58,615483,0.0,1.0
2024-08-13,27.73,27.8,27.43,27.56,27.56,399225,0.0,1.0
2024-08-12,27.78,27.8,27.225,27.49,27.49,499545,0.0,1.0
2024-08-09,27.33,28.01,27.14,27.83,27.83,519095,0.0,1.0
2024-08-08,27.24,27.35,27.03,27.32,27.32,1360533,0.0,1.0
2024-08-07,27.69,27.82,26.99,27.0,27.0,645316,0.0,1.0
2024-08-06,26.84,27.71,26.67,27.3,27.3,1165416,0.0,1.0
2024-08-05,26.97,27.55,26.62,26.82,26.82,1809283,0.0,1.0
2024-08-02,28.05,29.47,27.735,27.98,27.98,1358671,0.0,1.0
2024-08-01,29.11,29.275,28.31,28.74,28.74,732659,0.0,1.0
2024-07-31,28.75,29.57,28.68,28.9,28.9,873150,0.275,1.0
2024-07-30,28.75,29.28,28.39,29.12,28.8455184233076,482738,0.0,1.0
2024-07-29,28.44,28.85,28.21,28.64,28.3700428449015,493169,0.0,1.0
2024-07-26,28.01,28.43,27.78,28.35,28.0827763496144,547103,0.0,1.0
2024-07-25,28.09,28.34,27.53,27.71,27.4488089117395,649059,0.0,1.0
2024-07-24,29.02,29.19,27.87,27.95,27.6865467009426,739341,0.0,1.0
2024-07-23,28.41,29.27,28.29,29.06,28.7860839760069,898151,0.0,1.0
2024-07-22,28.43,28.61,28.05,28.54,28.2709854327335,554770,0.0,1.0
2024-07-19,28.38,28.46,28.06,28.24,27.9738131962296,485364,0.0,1.0
2024-07-18,27.98,28.72,27.98,28.31,28.0431533847472,696610,0.0,1.0
2024-07-17,27.73,28.45,27.73,28.12,27.8549443016281,708000,0.0,1.0
2024-07-16,27.86,28.0,27.7,27.97,27.7063581833762,912324,0.0,1.0
2024-07-15,27.62,27.722,27.33,27.67,27.4091859468723,633742,0.0,1.0
2024-07-12,27.25,27.5603,27.08,27.37,27.1120137103685,539720,0.0,1.0
2024-07-11,27.35,27.49,26.89,27.0,26.745501285347,580501,0.0,1.0
2024-07-10,26.57,27.025,26.37,26.91,26.6563496143959,590447,0.0,1.0
2024-07-09,26.22,26.72,26.045,26.48,26.2304027420737,810630,0.0,1.0
2024-07-08,26.28,26.55,26.16,26.34,26.0917223650386,570642,0.0,1.0
2024-07-05,26.07,26.42,25.96,26.13,25.8837017994859,801944,0.0,1.0
