,SONC_Open,SONC_High,SONC_Low,SONC_Close,SONC_Adj Close,SONC_Volume,SONC_Dividend Amount,SONC_Split Coefficient
2018-12-10,43.49,43.49,43.49,43.49,43.49,0,0.0,1.0
2018-12-07,43.49,43.49,43.49,43.49,43.49,2,0.0,1.0
2018-12-06,43.47,43.5,43.46,43.49,43.49,2865030,0.0,1.0
2018-12-04,43.46,43.5,43.46,43.46,43.46,565466,0.0,1.0
2018-12-03,43.46,43.47,43.45,43.46,43.46,455680,0.0,1.0
2018-11-30,43.46,43.47,43.44,43.45,43.45,842532,0.0,1.0
2018-11-29,43.46,43.47,43.44,43.46,43.46,734405,0.0,1.0
2018-11-28,43.48,43.48,43.45,43.47,43.47,261036,0.0,1.0
2018-11-27,43.47,43.48,43.45,43.47,43.47,242399,0.0,1.0
2018-11-26,43.47,43.48,43.44,43.48,43.48,221690,0.0,1.0
2018-11-23,43.4,43.48,43.4,43.47,43.47,274375,0.0,1.0
2018-11-21,43.36,43.38,43.35,43.36,43.36,503409,0.0,1.0
2018-11-20,43.35,43.39,43.32,43.35,43.35,791878,0.0,1.0
2018-11-19,43.35,43.4,43.35,43.37,43.37,673997,0.0,1.0
2018-11-16,43.35,43.38,43.35,43.36,43.36,791979,0.0,1.0
2018-11-15,43.35,43.4,43.34,43.35,43.35,949005,0.0,1.0
2018-11-14,43.38,43.39,43.32,43.35,43.35,657997,0.0,1.0
2018-11-13,43.37,43.41,43.32,43.35,43.35,616558,0.0,1.0
2018-11-12,43.34,43.42,43.335,43.35,43.35,440551,0.0,1.0
2018-11-09,43.37,43.43,43.31,43.32,43.32,763201,0.0,1.0
2018-11-08,43.41,43.44,43.35,43.36,43.36,366622,0.0,1.0
2018-11-07,43.4,43.49,43.36,43.44,43.44,601909,0.0,1.0
2018-11-06,43.39,43.41,43.31,43.38,43.38,441393,0.0,1.0
2018-11-05,43.27,43.52,43.27,43.43,43.43,703828,0.0,1.0
2018-11-02,43.31,43.34,43.28,43.3,43.3,984525,0.0,1.0
2018-11-01,43.3,43.33,43.24,43.33,43.33,574955,0.0,1.0
2018-10-31,43.34,43.34,43.21,43.28,43.28,868477,0.0,1.0
2018-10-30,43.27,43.34,43.27,43.3,43.3,883746,0.0,1.0
2018-10-29,43.3,43.34,43.23,43.29,43.29,801011,0.0,1.0
2018-10-26,43.31,43.36,43.19,43.26,43.26,858921,0.0,1.0
2018-10-25,43.22,43.34,43.17,43.34,43.34,923259,0.0,1.0
2018-10-24,43.28,43.32,43.17,43.2,43.2,1018189,0.0,1.0
2018-10-23,43.27,43.34,43.23,43.26,43.26,847926,0.0,1.0
2018-10-22,43.33,43.34,43.24,43.27,43.27,654074,0.0,1.0
2018-10-19,43.27,43.35,43.27,43.3,43.3,577284,0.0,1.0
2018-10-18,43.24,43.35,43.24,43.26,43.26,918526,0.0,1.0
2018-10-17,43.33,43.35,43.19,43.25,43.25,1120976,0.0,1.0
2018-10-16,43.33,43.39,43.27,43.3,43.3,902346,0.0,1.0
2018-10-15,43.27,43.35,43.23,43.305,43.305,709359,0.0,1.0
2018-10-12,43.31,43.37,43.23,43.26,43.26,1090956,0.0,1.0
2018-10-11,43.3,43.4,43.18,43.26,43.26,1139116,0.0,1.0
2018-10-10,43.33,43.45,43.31,43.31,43.31,966910,0.0,1.0
2018-10-09,43.33,43.5,43.3,43.37,43.37,693678,0.0,1.0
2018-10-08,43.26,43.46,43.26,43.38,43.38,686616,0.0,1.0
2018-10-05,43.26,43.37,43.18,43.31,43.31,1049890,0.0,1.0
2018-10-04,43.38,43.45,43.15,43.29,43.29,1152853,0.0,1.0
2018-10-03,43.29,43.51,43.24,43.45,43.45,1631464,0.0,1.0
2018-10-02,43.31,43.3899,43.21,43.24,43.24,1778285,0.0,1.0
2018-10-01,43.33,43.49,43.2,43.27,43.27,1185170,0.0,1.0
2018-09-28,43.22,43.38,43.2,43.34,43.34,2066816,0.0,1.0
2018-09-27,43.57,43.74,43.22,43.23,43.23,3672116,0.0,1.0
2018-09-26,43.5,43.71,43.36,43.47,43.47,2495975,0.0,1.0
2018-09-25,43.56,44.87,43.2,43.46,43.46,17840816,0.0,1.0
2018-09-24,35.8,36.77,35.61,36.61,36.61,477290,0.0,1.0
2018-09-21,36.9,37.29,35.82,35.92,35.92,1285443,0.0,1.0
2018-09-20,36.74,36.81,36.37,36.78,36.78,518441,0.0,1.0
2018-09-19,36.62,36.87,36.325,36.46,36.46,307626,0.0,1.0
2018-09-18,36.75,37.35,36.28,36.64,36.64,618051,0.0,1.0
2018-09-17,36.72,37.36,36.27,36.93,36.93,490630,0.0,1.0
2018-09-14,37.25,37.71,36.02,36.78,36.78,940130,0.0,1.0
2018-09-13,38.0,38.0,36.453,37.23,37.23,1045847,0.0,1.0
2018-09-12,38.71,38.71,37.12,37.81,37.81,1240729,0.0,1.0
2018-09-11,37.23,39.75,37.23,38.55,38.55,2558300,0.0,1.0
2018-09-10,36.51,36.6321,35.08,35.62,35.62,778099,0.0,1.0
2018-09-07,35.5,37.75,35.465,36.4,36.4,1525618,0.0,1.0
2018-09-06,35.45,35.45,34.36,35.26,35.26,1387831,0.0,1.0
2018-09-05,36.55,36.63,35.89,36.55,36.55,331617,0.0,1.0
2018-09-04,35.88,36.629,35.88,36.48,36.48,485168,0.0,1.0
2018-08-31,34.94,35.93,34.89,35.86,35.86,723947,0.0,1.0
2018-08-30,34.27,35.26,34.27,34.88,34.88,474209,0.0,1.0
2018-08-29,33.78,34.31,33.3,34.25,34.25,552329,0.0,1.0
2018-08-28,34.36,34.41,33.42,33.79,33.79,542165,0.0,1.0
