,SPTN_Open,SPTN_High,SPTN_Low,SPTN_Close,SPTN_Adj Close,SPTN_Volume,SPTN_Dividend Amount,SPTN_Split Coefficient
2024-10-04,21.37,21.64,21.24,21.29,21.29,189554,0.0,1.0
2024-10-03,21.95,22.08,21.18,21.21,21.21,206641,0.0,1.0
2024-10-02,22.51,22.62,21.98,22.01,22.01,145122,0.0,1.0
2024-10-01,22.35,22.73,22.25,22.58,22.58,170744,0.0,1.0
2024-09-30,22.2,22.497,22.2,22.41,22.41,234575,0.0,1.0
2024-09-27,22.5,22.7,22.19,22.24,22.24,264422,0.0,1.0
2024-09-26,22.2,22.5,21.915,22.3,22.3,211567,0.0,1.0
2024-09-25,21.97,22.03,21.695,21.96,21.96,214153,0.0,1.0
2024-09-24,21.66,21.965,21.44,21.9,21.9,275964,0.0,1.0
2024-09-23,21.53,21.67,21.42,21.54,21.54,172832,0.2175,1.0
2024-09-20,21.62,22.04,21.605,21.66,21.443474663909,1158953,0.0,1.0
2024-09-19,21.97,22.04,21.78,21.93,21.7107755946225,172128,0.0,1.0
2024-09-18,21.82,22.22,21.74,21.82,21.601875215443,250622,0.0,1.0
2024-09-17,22.08,22.13,21.8,21.94,21.7206756290934,179846,0.0,1.0
2024-09-16,22.03,22.175,21.915,22.02,21.7998759048604,244440,0.0,1.0
2024-09-13,21.74,22.04,21.455,22.03,21.8097759393313,141531,0.0,1.0
2024-09-12,21.1,21.7,21.07,21.52,21.3048741813168,134946,0.0,1.0
2024-09-11,21.65,21.65,20.82,21.06,20.8494725956567,180247,0.0,1.0
2024-09-10,21.74,21.89,21.65,21.79,21.5721751120303,264752,0.0,1.0
2024-09-09,22.02,22.14,21.73,21.74,21.522674939676,350717,0.0,1.0
2024-09-06,22.14,22.3809,22.0,22.09,21.8691761461565,154125,0.0,1.0
2024-09-05,22.68,22.72,22.09,22.12,21.8988762495691,188789,0.0,1.0
2024-09-04,22.26,22.58,22.05,22.55,22.3245777318166,204140,0.0,1.0
2024-09-03,21.9,22.33,21.9,22.26,22.0374767321613,204694,0.0,1.0
2024-08-30,21.88,22.17,21.83,22.09,21.8691761461565,231251,0.0,1.0
2024-08-29,21.56,21.85,21.2502,21.83,21.6117752499138,168672,0.0,1.0
2024-08-28,21.41,21.64,21.315,21.54,21.3246742502585,145325,0.0,1.0
2024-08-27,21.45,21.47,21.17,21.41,21.1959738021372,177730,0.0,1.0
2024-08-26,21.43,21.6,21.31,21.49,21.2751740779042,188794,0.0,1.0
2024-08-23,21.31,21.55,21.12,21.19,20.978173043778,179838,0.0,1.0
2024-08-22,21.55,21.55,21.14,21.16,20.9484729403654,128951,0.0,1.0
2024-08-21,21.62,21.68,21.445,21.46,21.2454739744916,245493,0.0,1.0
2024-08-20,21.31,21.59,21.14,21.55,21.3345742847294,217430,0.0,1.0
2024-08-19,21.17,21.4,21.106,21.3,21.0870734229576,193479,0.0,1.0
2024-08-16,20.4,21.54,20.4,21.17,20.9583729748363,477244,0.0,1.0
2024-08-15,20.26,21.255,20.13,20.34,20.1366701137539,465641,0.0,1.0
2024-08-14,19.66,19.7499,19.43,19.55,19.354567390555,213784,0.0,1.0
2024-08-13,19.37,19.55,19.04,19.51,19.3149672526715,182199,0.0,1.0
2024-08-12,19.43,19.43,19.23,19.29,19.0971664943123,205514,0.0,1.0
2024-08-09,19.47,19.585,19.0,19.29,19.0971664943123,201088,0.0,1.0
2024-08-08,19.64,19.8,19.38,19.48,19.2852671492589,142008,0.0,1.0
2024-08-07,19.64,19.74,19.4,19.52,19.3248672871424,156159,0.0,1.0
2024-08-06,19.54,19.5604,19.25,19.36,19.1664667356084,167489,0.0,1.0
2024-08-05,20.28,20.35,19.45,19.69,19.4931678731472,198866,0.0,1.0
2024-08-02,20.53,21.02,20.53,20.62,20.4138710789383,156905,0.0,1.0
2024-08-01,21.15,21.29,20.79,20.92,20.7108721130645,203214,0.0,1.0
2024-07-31,21.32,21.44,20.98,21.12,20.9088728024819,242316,0.0,1.0
2024-07-30,20.86,21.46,20.822,21.34,21.1266735608411,219984,0.0,1.0
2024-07-29,20.8,20.85,20.612,20.805,20.5970217166494,96966,0.0,1.0
2024-07-26,20.8,20.92,20.62,20.79,20.5821716649431,155789,0.0,1.0
2024-07-25,20.2,20.798,20.2,20.69,20.4831713202344,200034,0.0,1.0
2024-07-24,20.39,20.56,20.11,20.15,19.9485694588073,177586,0.0,1.0
2024-07-23,20.02,20.57,19.855,20.45,20.2455704929335,250879,0.0,1.0
2024-07-22,19.82,20.16,19.67,20.1,19.8990692864529,205667,0.0,1.0
2024-07-19,20.19,20.19,19.75,19.83,19.6317683557394,199360,0.0,1.0
2024-07-18,19.87,20.23,19.73,20.12,19.9188693553947,276220,0.0,1.0
2024-07-17,19.09,20.14,19.09,20.05,19.8495691140986,316151,0.0,1.0
2024-07-16,18.92,19.21,18.87,19.1,18.9090658393657,355872,0.0,1.0
2024-07-15,18.72,18.95,18.6604,18.77,18.582364701827,300572,0.0,1.0
2024-07-12,18.99,19.03,18.64,18.67,18.4833643571182,236609,0.0,1.0
2024-07-11,18.27,18.82,18.17,18.79,18.6021647707687,305399,0.0,1.0
2024-07-10,18.02,18.17,17.96,18.06,17.879462254395,245746,0.0,1.0
2024-07-09,18.08,18.15,17.88,17.99,17.8101620130989,379936,0.0,1.0
2024-07-08,18.11,18.37,18.01,18.12,17.9388624612203,246549,0.0,1.0
2024-07-05,18.0,18.05,17.74,18.0,17.8200620475698,352905,0.0,1.0
2024-07-03,18.22,18.31,17.97,18.05,17.8695622199242,135461,0.0,1.0
2024-07-02,18.3,18.355,18.18,18.24,18.0576628748707,212917,0.0,1.0
2024-07-01,18.75,18.81,18.165,18.26,18.0774629438125,310016,0.0,1.0
2024-06-28,18.58,18.8,18.45,18.76,18.5724646673561,480607,0.0,1.0
2024-06-27,18.54,18.54,18.28,18.47,18.2853636677008,311831,0.0,1.0
2024-06-26,18.54,18.57,18.415,18.55,18.3645639434678,180172,0.0,1.0
2024-06-25,18.68,18.73,18.4438,18.64,18.4536642537056,225353,0.0,1.0
2024-06-24,18.65,18.92,18.5719,18.73,18.5427645639435,236862,0.0,1.0
2024-06-21,18.69,18.87,18.48,18.54,18.3546639089969,634582,0.0,1.0
2024-06-20,18.79,18.855,18.54,18.61,18.423964150293,162895,0.0,1.0
2024-06-18,18.97,19.03,18.755,18.87,18.6813650465357,312529,0.0,1.0
2024-06-17,18.49,18.97,18.33,18.94,18.7506652878318,221242,0.0,1.0
2024-06-14,18.75,18.75,18.4,18.55,18.3645639434678,252130,0.2175,1.0
2024-06-13,19.55,19.58,18.72,18.935,18.5284677378214,267709,0.0,1.0
2024-06-12,19.75,20.0299,19.58,19.6,19.179190264658,219482,0.0,1.0
2024-06-11,19.63,19.7,19.42,19.61,19.1889755658134,164055,0.0,1.0
2024-06-10,19.44,19.8,19.32,19.79,19.3651109866113,240554,0.0,1.0
2024-06-07,19.37,19.515,19.25,19.29,18.8758459288394,399048,0.0,1.0
2024-06-06,19.28,19.61,19.2286,19.46,19.0421960484818,178102,0.0,1.0
2024-06-05,19.46,19.485,19.14,19.28,18.866060627684,199946,0.0,1.0
2024-06-04,19.7,19.875,19.27,19.37,18.9541283380829,361261,0.0,1.0
2024-06-03,19.65,19.99,19.5,19.69,19.2672579750569,344427,0.0,1.0
2024-05-31,19.66,20.22,19.44,19.65,19.2281167704352,1056552,0.0,1.0
2024-05-30,19.92,20.02,18.88,19.815,19.3895742394999,445748,0.0,1.0
2024-05-29,20.22,20.37,19.955,19.98,19.5510317085646,208907,0.0,1.0
2024-05-28,20.5,20.54,20.0317,20.25,19.8152348397614,218376,0.0,1.0
2024-05-24,20.66,20.66,20.335,20.43,19.9913702605593,200934,0.0,1.0
2024-05-23,20.72,20.74,20.31,20.55,20.1087938744245,276841,0.0,1.0
2024-05-22,20.68,20.8,20.49,20.73,20.2849292952224,208018,0.0,1.0
2024-05-21,20.57,20.73,20.54,20.65,20.2066468859789,174440,0.0,1.0
2024-05-20,20.85,20.97,20.56,20.58,20.1381497778909,247183,0.0,1.0
2024-05-17,20.97,21.1,20.85,20.91,20.4610647160203,356864,0.0,1.0
