,SRE_Open,SRE_High,SRE_Low,SRE_Close,SRE_Adj Close,SRE_Volume,SRE_Dividend Amount,SRE_Split Coefficient
2024-10-04,81.69,82.87,81.6,82.6,82.6,1388396,0.0,1.0
2024-10-03,83.5,83.5,82.234,82.53,82.53,1711339,0.0,1.0
2024-10-02,83.18,83.92,82.75,83.38,83.38,1739998,0.0,1.0
2024-10-01,83.82,84.47,83.51,83.92,83.92,1628780,0.0,1.0
2024-09-30,83.36,83.65,82.44,83.63,83.63,2355155,0.0,1.0
2024-09-27,82.33,83.58,82.33,83.25,83.25,2463042,0.0,1.0
2024-09-26,82.02,82.97,81.75,81.94,81.94,2775113,0.62,1.0
2024-09-25,83.44,83.69,82.39,83.0,82.3766957364341,2377451,0.0,1.0
2024-09-24,83.83,84.38,82.895,83.02,82.3965455426357,3213093,0.0,1.0
2024-09-23,83.44,84.12,83.135,84.04,83.4088856589147,2334545,0.0,1.0
2024-09-20,82.83,83.46,82.085,83.18,82.5553439922481,4640460,0.0,1.0
2024-09-19,82.65,83.0,81.96,82.51,81.8903754844961,2296995,0.0,1.0
2024-09-18,83.88,84.096,82.2517,82.94,82.3171463178295,1942292,0.0,1.0
2024-09-17,83.84,84.03,83.41,83.95,83.3195615310077,2025337,0.0,1.0
2024-09-16,83.61,84.29,83.295,83.6,82.9721899224806,2390214,0.0,1.0
2024-09-13,81.93,83.065,81.35,82.97,82.3469210271318,2493010,0.0,1.0
2024-09-12,81.55,81.835,81.0,81.7,81.0864583333333,2331564,0.0,1.0
2024-09-11,81.85,81.89,80.46,81.37,80.7589365310078,3439550,0.0,1.0
2024-09-10,83.09,83.822,81.42,82.08,81.4636046511628,3041660,0.0,1.0
2024-09-09,82.33,83.01,82.05,82.94,82.3171463178295,2231090,0.0,1.0
2024-09-06,83.11,83.26,82.08,82.1,81.4834544573643,2115424,0.0,1.0
2024-09-05,84.22,84.22,82.795,83.09,82.4660198643411,1433365,0.0,1.0
2024-09-04,83.01,84.28,82.83,83.4,82.7736918604651,1745131,0.0,1.0
2024-09-03,82.01,83.12,81.47,82.63,82.0094743217054,1614905,0.0,1.0
2024-08-30,81.6,82.46,81.28,82.18,81.5628536821706,3181664,0.0,1.0
2024-08-29,81.73,81.77,80.232,81.62,81.0070591085271,1873888,0.0,1.0
2024-08-28,81.88,82.28,81.32,81.65,81.0368338178295,2830069,0.0,1.0
