,SSTK_Open,SSTK_High,SSTK_Low,SSTK_Close,SSTK_Adj Close,SSTK_Volume,SSTK_Dividend Amount,SSTK_Split Coefficient
2024-10-04,32.52,33.155,32.06,32.7,32.7,616002,0.0,1.0
2024-10-03,31.79,32.06,31.3,31.87,31.87,690936,0.0,1.0
2024-10-02,32.44,33.04,32.02,32.16,32.16,587693,0.0,1.0
2024-10-01,35.47,35.47,32.75,32.81,32.81,590451,0.0,1.0
2024-09-30,35.47,35.99,35.12,35.37,35.37,388357,0.0,1.0
2024-09-27,35.89,36.01,35.255,35.53,35.53,361728,0.0,1.0
2024-09-26,35.68,35.68,34.84,35.44,35.44,391024,0.0,1.0
2024-09-25,34.9,35.23,34.56,34.95,34.95,336715,0.0,1.0
2024-09-24,35.77,35.77,34.71,35.03,35.03,391103,0.0,1.0
2024-09-23,35.44,35.63,34.75,35.5,35.5,368679,0.0,1.0
2024-09-20,35.96,36.0,35.08,35.33,35.33,2550390,0.0,1.0
2024-09-19,36.6,36.6,35.48,36.05,36.05,560536,0.0,1.0
2024-09-18,35.25,36.8,35.055,35.65,35.65,622201,0.0,1.0
2024-09-17,34.08,35.24,33.8,35.13,35.13,814135,0.0,1.0
2024-09-16,33.52,33.76,32.68,33.73,33.73,840511,0.0,1.0
2024-09-13,33.11,33.87,32.87,33.5,33.5,608684,0.0,1.0
2024-09-12,33.53,33.89,32.38,32.5,32.5,449571,0.0,1.0
2024-09-11,33.44,33.655,32.9,33.37,33.37,342132,0.0,1.0
2024-09-10,34.03,34.5,33.19,33.61,33.61,452535,0.0,1.0
2024-09-09,33.88,34.675,33.88,34.06,34.06,494843,0.0,1.0
2024-09-06,34.86,35.11,33.85,33.87,33.87,315173,0.0,1.0
2024-09-05,34.36,35.13,34.32,34.74,34.74,382401,0.0,1.0
2024-09-04,34.03,34.95,33.86,34.31,34.31,362653,0.0,1.0
2024-09-03,35.21,35.89,34.34,34.34,34.34,362426,0.0,1.0
2024-08-30,35.72,35.88,35.13,35.88,35.88,332038,0.0,1.0
2024-08-29,34.43,35.81,34.15,35.34,35.34,456068,0.3,1.0
2024-08-28,33.91,34.38,33.38,34.38,34.0906060606061,527173,0.0,1.0
2024-08-27,34.3,34.72,33.8907,34.2,33.9121212121212,410113,0.0,1.0
2024-08-26,34.97,35.22,34.36,34.52,34.2294276094276,403286,0.0,1.0
2024-08-23,33.31,34.69,32.94,34.56,34.2690909090909,899923,0.0,1.0
