,STZ_Open,STZ_High,STZ_Low,STZ_Close,STZ_Adj Close,STZ_Volume,STZ_Dividend Amount,STZ_Split Coefficient
2024-10-04,242.88,247.965,242.65,246.67,246.67,1351402,0.0,1.0
2024-10-03,253.3,254.88,243.38,243.65,243.65,2627593,0.0,1.0
2024-10-02,255.93,257.36,254.06,255.67,255.67,1212654,0.0,1.0
2024-10-01,258.19,258.63,255.56,257.68,257.68,894755,0.0,1.0
2024-09-30,259.26,261.06,256.5202,257.69,257.69,1064500,0.0,1.0
2024-09-27,256.47,259.48,256.09,258.4,258.4,1377321,0.0,1.0
2024-09-26,252.99,255.48,251.92,255.05,255.05,689116,0.0,1.0
2024-09-25,252.83,254.2,251.1371,251.9,251.9,1059365,0.0,1.0
2024-09-24,255.04,255.04,252.05,252.47,252.47,838233,0.0,1.0
2024-09-23,247.23,256.3,247.09,254.82,254.82,1215260,0.0,1.0
2024-09-20,247.77,249.19,247.27,248.09,248.09,2773064,0.0,1.0
2024-09-19,252.2,253.62,247.49,248.45,248.45,1649834,0.0,1.0
2024-09-18,253.05,253.85,250.7225,251.0,251.0,775814,0.0,1.0
2024-09-17,252.42,255.45,251.14,252.86,252.86,616540,0.0,1.0
2024-09-16,254.23,255.24,252.65,253.65,253.65,875968,0.0,1.0
2024-09-13,252.34,254.94,251.84,252.57,252.57,837323,0.0,1.0
2024-09-12,248.72,252.39,248.315,251.71,251.71,695325,0.0,1.0
2024-09-11,249.53,251.39,245.78,248.79,248.79,1043704,0.0,1.0
2024-09-10,251.86,253.04,247.235,249.49,249.49,1230284,0.0,1.0
2024-09-09,249.81,252.0,247.085,250.89,250.89,1896454,0.0,1.0
2024-09-06,246.86,250.53,246.86,249.01,249.01,1171782,0.0,1.0
2024-09-05,247.47,249.615,246.07,248.29,248.29,1744007,0.0,1.0
2024-09-04,245.36,247.8142,244.03,246.61,246.61,905135,0.0,1.0
2024-09-03,239.81,249.455,238.47,246.78,246.78,1586690,0.0,1.0
2024-08-30,239.69,240.89,236.37,240.71,240.71,1305519,0.0,1.0
2024-08-29,241.66,241.66,237.62,237.97,237.97,1015018,0.0,1.0
