,SUP_Open,SUP_High,SUP_Low,SUP_Close,SUP_Adj Close,SUP_Volume,SUP_Dividend Amount,SUP_Split Coefficient
2024-10-04,2.95,3.0,2.92,2.97,2.97,38628,0.0,1.0
2024-10-03,2.88,2.94,2.84,2.9,2.9,41345,0.0,1.0
2024-10-02,2.9003,2.98,2.9003,2.915,2.915,15712,0.0,1.0
2024-10-01,2.96,3.04,2.86,2.88,2.88,52776,0.0,1.0
2024-09-30,3.09,3.2401,2.98,3.04,3.04,42647,0.0,1.0
2024-09-27,3.01,3.11,2.985,3.1,3.1,27505,0.0,1.0
2024-09-26,2.93,3.02,2.815,3.02,3.02,96979,0.0,1.0
2024-09-25,2.91,2.9499,2.83,2.85,2.85,34846,0.0,1.0
2024-09-24,2.89,2.95,2.8,2.95,2.95,80360,0.0,1.0
2024-09-23,2.92,2.935,2.8,2.93,2.93,58578,0.0,1.0
2024-09-20,2.89,2.9788,2.72,2.94,2.94,78744,0.0,1.0
2024-09-19,2.91,2.99,2.84,2.93,2.93,60024,0.0,1.0
2024-09-18,2.92,2.99,2.83,2.89,2.89,84546,0.0,1.0
2024-09-17,2.96,2.97,2.87,2.9,2.9,26491,0.0,1.0
2024-09-16,2.91,2.95,2.81,2.91,2.91,21109,0.0,1.0
2024-09-13,2.89,2.98,2.77,2.93,2.93,49414,0.0,1.0
2024-09-12,2.92,2.9599,2.8,2.88,2.88,62044,0.0,1.0
2024-09-11,2.98,2.98,2.81,2.91,2.91,81882,0.0,1.0
2024-09-10,3.01,3.0789,2.87,2.97,2.97,70375,0.0,1.0
2024-09-09,3.19,3.22,3.01,3.03,3.03,86791,0.0,1.0
2024-09-06,3.3,3.3,3.13,3.16,3.16,57534,0.0,1.0
2024-09-05,3.0795,3.34,3.0795,3.27,3.27,73382,0.0,1.0
2024-09-04,3.18,3.27,3.07,3.1,3.1,79421,0.0,1.0
2024-09-03,3.31,3.38,3.1399,3.15,3.15,52573,0.0,1.0
2024-08-30,3.4,3.43,3.35,3.38,3.38,37254,0.0,1.0
2024-08-29,3.41,3.4107,3.34,3.37,3.37,43583,0.0,1.0
2024-08-28,3.53,3.53,3.35,3.44,3.44,106388,0.0,1.0
2024-08-27,3.5,3.54,3.46,3.51,3.51,27131,0.0,1.0
2024-08-26,3.45,3.515,3.445,3.5,3.5,29128,0.0,1.0
2024-08-23,3.55,3.63,3.5001,3.51,3.51,78600,0.0,1.0
2024-08-22,3.56,3.61,3.52,3.54,3.54,23803,0.0,1.0
2024-08-21,3.55,3.65,3.51,3.59,3.59,91117,0.0,1.0
2024-08-20,3.61,3.64,3.49,3.56,3.56,51631,0.0,1.0
2024-08-19,3.37,3.6427,3.37,3.6,3.6,96222,0.0,1.0
2024-08-16,3.4,3.48,3.26,3.39,3.39,165907,0.0,1.0
2024-08-15,3.3,3.41,3.24,3.4,3.4,661026,0.0,1.0
2024-08-14,2.97,3.1444,2.915,3.04,3.04,150703,0.0,1.0
2024-08-13,2.97,2.97,2.85,2.93,2.93,194007,0.0,1.0
2024-08-12,2.88,2.9299,2.8,2.86,2.86,96822,0.0,1.0
2024-08-09,2.98,3.1,2.795,2.84,2.84,84840,0.0,1.0
2024-08-08,2.75,3.18,2.1,2.97,2.97,362343,0.0,1.0
2024-08-07,2.88,3.0016,2.71,2.75,2.75,139025,0.0,1.0
2024-08-06,2.99,3.01,2.86,2.89,2.89,112929,0.0,1.0
2024-08-05,3.02,3.08,2.9,3.02,3.02,372889,0.0,1.0
2024-08-02,3.17,3.185,3.04,3.07,3.07,97051,0.0,1.0
2024-08-01,3.33,3.3749,3.13,3.22,3.22,74432,0.0,1.0
2024-07-31,3.38,3.39,3.32,3.35,3.35,49202,0.0,1.0
2024-07-30,3.48,3.51,3.3201,3.38,3.38,48245,0.0,1.0
2024-07-29,3.3,3.45,3.2801,3.4,3.4,177323,0.0,1.0
2024-07-26,3.38,3.4,3.255,3.3,3.3,76621,0.0,1.0
2024-07-25,3.282,3.33,3.26,3.3,3.3,42630,0.0,1.0
2024-07-24,3.41,3.57,3.28,3.3,3.3,116803,0.0,1.0
2024-07-23,3.45,3.5,3.44,3.48,3.48,38094,0.0,1.0
2024-07-22,3.43,3.45,3.3,3.45,3.45,52834,0.0,1.0
2024-07-19,3.435,3.51,3.3301,3.43,3.43,40615,0.0,1.0
2024-07-18,3.66,3.66,3.4,3.45,3.45,38980,0.0,1.0
2024-07-17,3.44,3.66,3.4,3.66,3.66,106186,0.0,1.0
2024-07-16,3.45,3.49,3.4,3.44,3.44,49809,0.0,1.0
2024-07-15,3.5,3.5,3.41,3.42,3.42,54080,0.0,1.0
2024-07-12,3.3,3.65,3.225,3.42,3.42,161569,0.0,1.0
2024-07-11,3.27,3.4085,3.27,3.34,3.34,28930,0.0,1.0
2024-07-10,3.21,3.2393,3.113,3.2,3.2,44062,0.0,1.0
2024-07-09,3.18,3.19,3.15,3.16,3.16,9330,0.0,1.0
