,SWK_Open,SWK_High,SWK_Low,SWK_Close,SWK_Adj Close,SWK_Volume,SWK_Dividend Amount,SWK_Split Coefficient
2024-10-04,109.29,109.29,106.44,107.38,107.38,756006,0.0,1.0
2024-10-03,108.37,108.515,106.68,107.27,107.27,928458,0.0,1.0
2024-10-02,107.77,109.75,107.4,109.25,109.25,1049700,0.0,1.0
2024-10-01,110.32,110.62,108.25,109.36,109.36,1008890,0.0,1.0
2024-09-30,109.14,110.5,108.045,110.13,110.13,1035807,0.0,1.0
2024-09-27,109.01,110.88,108.72,109.72,109.72,974287,0.0,1.0
2024-09-26,107.55,108.47,107.06,108.32,108.32,834241,0.0,1.0
2024-09-25,107.55,107.55,105.35,105.58,105.58,929659,0.0,1.0
2024-09-24,107.99,108.33,106.385,107.33,107.33,1076759,0.0,1.0
2024-09-23,107.6,108.33,106.565,107.53,107.53,1126292,0.0,1.0
2024-09-20,107.08,107.165,105.66,106.93,106.93,2326213,0.0,1.0
2024-09-19,107.67,108.37,105.79,108.02,108.02,1691002,0.0,1.0
2024-09-18,103.16,107.28,103.13,104.87,104.87,2011895,0.0,1.0
2024-09-17,103.49,104.48,101.97,103.0,103.0,1012031,0.0,1.0
2024-09-16,102.0,103.1,101.39,102.59,102.59,816923,0.0,1.0
2024-09-13,98.26,102.0,98.26,101.35,101.35,1348356,0.0,1.0
2024-09-12,97.73,98.55,96.48,97.83,97.83,966036,0.0,1.0
2024-09-11,96.14,97.76,94.15,97.66,97.66,1233863,0.0,1.0
2024-09-10,96.51,96.91,95.07,96.64,96.64,948853,0.0,1.0
2024-09-09,97.59,97.9381,95.76,96.19,96.19,1085097,0.0,1.0
2024-09-06,98.36,100.25,96.82,97.18,97.18,1169823,0.0,1.0
2024-09-05,99.68,99.99,98.02,98.36,98.36,1019468,0.0,1.0
2024-09-04,99.76,101.02,99.2,99.88,99.88,988224,0.0,1.0
2024-09-03,101.07,102.19,99.26,99.94,99.94,957429,0.82,1.0
2024-08-30,102.5,102.85,100.5837,102.36,101.526978959905,1179164,0.0,1.0
2024-08-29,101.62,102.94,100.2601,101.9,101.070722508932,1092068,0.0,1.0
2024-08-28,99.79,101.26,99.57,100.18,99.3647201270346,870270,0.0,1.0
2024-08-27,100.18,100.25,98.8401,99.79,98.9778940055578,813928,0.0,1.0
2024-08-26,101.0,102.52,100.47,100.85,100.029267566495,981623,0.0,1.0
2024-08-23,98.65,100.57,97.71,100.4,99.5829297340214,1482547,0.0,1.0
2024-08-22,98.71,99.02,97.7,98.22,97.4206709011513,564119,0.0,1.0
2024-08-21,97.28,98.71,96.88,98.65,97.8471714966257,694013,0.0,1.0
2024-08-20,96.92,97.61,96.31,96.96,96.1709249702263,590026,0.0,1.0
2024-08-19,97.8,98.24,97.0137,97.35,96.5577510917031,793959,0.0,1.0
2024-08-16,96.6,97.735,96.075,97.32,96.5279952362048,915678,0.0,1.0
2024-08-15,97.07,97.46,95.56,96.79,96.0023084557364,929818,0.0,1.0
2024-08-14,96.88,97.35,95.1694,95.4,94.6236204843192,891896,0.0,1.0
2024-08-13,93.79,97.24,93.245,96.87,96.0816574037317,1485794,0.0,1.0
2024-08-12,94.43,94.9,92.855,93.0,92.2431520444621,1064829,0.0,1.0
2024-08-09,94.45,94.96,93.15,94.76,93.9888289003573,828600,0.0,1.0
2024-08-08,94.27,95.35,94.0867,94.44,93.6714331083763,1016499,0.0,1.0
2024-08-07,98.12,98.12,93.03,93.07,92.3125823739579,1790166,0.0,1.0
2024-08-06,95.6,99.13,95.33,96.26,95.476621675268,1176962,0.0,1.0
2024-08-05,93.51,97.36,92.03,95.71,94.9310976578007,1828393,0.0,1.0
2024-08-02,96.93,98.73,95.13,98.63,97.8273342596268,1917066,0.0,1.0
2024-08-01,105.49,106.91,100.82,101.5,100.673977768956,3025064,0.0,1.0
2024-07-31,106.65,108.15,104.06,105.62,104.760448590711,4772593,0.0,1.0
2024-07-30,104.13,106.23,102.2701,106.05,105.186949186185,4228916,0.0,1.0
2024-07-29,95.55,96.82,95.1,96.43,95.6452381897579,2980400,0.0,1.0
2024-07-26,91.66,96.94,91.02,95.43,94.6533763398174,3723760,0.0,1.0
2024-07-25,86.39,91.44,86.17,89.57,88.8410658991663,2631110,0.0,1.0
2024-07-24,87.93,88.8,86.27,86.39,85.6869452163557,809092,0.0,1.0
2024-07-23,87.31,88.6,87.12,88.09,87.3731103612545,1056973,0.0,1.0
2024-07-22,87.67,88.0,86.02,87.75,87.0358773322747,961734,0.0,1.0
2024-07-19,87.68,87.77,86.3,86.95,86.2423878523224,1389808,0.0,1.0
2024-07-18,88.93,91.68,86.855,87.37,86.6589698292973,1763032,0.0,1.0
