,SXT_Open,SXT_High,SXT_Low,SXT_Close,SXT_Adj Close,SXT_Volume,SXT_Dividend Amount,SXT_Split Coefficient
2024-10-04,77.77,77.77,77.0,77.5,77.5,70878,0.0,1.0
2024-10-03,77.77,78.005,76.61,76.68,76.68,84003,0.0,1.0
2024-10-02,77.91,78.43,77.8,78.25,78.25,79447,0.0,1.0
2024-10-01,79.85,80.09,78.3,78.47,78.47,89869,0.0,1.0
2024-09-30,79.77,80.4,79.12,80.22,80.22,118225,0.0,1.0
2024-09-27,80.36,80.86,79.34,79.7,79.7,78677,0.0,1.0
2024-09-26,79.14,79.6319,78.75,79.52,79.52,87983,0.0,1.0
2024-09-25,78.61,78.61,77.62,78.1,78.1,111236,0.0,1.0
2024-09-24,78.58,79.52,78.37,78.71,78.71,86936,0.0,1.0
2024-09-23,78.01,78.34,77.66,78.07,78.07,96551,0.0,1.0
2024-09-20,78.86,78.86,77.17,77.52,77.52,598195,0.0,1.0
2024-09-19,78.39,79.16,77.935,79.09,79.09,140005,0.0,1.0
2024-09-18,76.67,78.25,76.06,76.64,76.64,101084,0.0,1.0
2024-09-17,76.01,77.46,75.87,76.67,76.67,108272,0.0,1.0
2024-09-16,76.13,76.13,75.08,75.25,75.25,82973,0.0,1.0
2024-09-13,74.69,75.81,74.69,75.53,75.53,96296,0.0,1.0
2024-09-12,74.15,74.25,73.05,73.83,73.83,67293,0.0,1.0
2024-09-11,73.63,73.67,71.79,73.64,73.64,128318,0.0,1.0
2024-09-10,73.79,74.405,73.47,74.2,74.2,100685,0.0,1.0
2024-09-09,73.84,74.47,73.18,73.76,73.76,102327,0.0,1.0
2024-09-06,75.38,75.56,73.46,74.09,74.09,79239,0.0,1.0
2024-09-05,76.04,76.04,74.97,75.23,75.23,104247,0.0,1.0
2024-09-04,75.67,76.14,74.96,75.56,75.56,91975,0.0,1.0
2024-09-03,77.13,77.14,75.24,75.55,75.55,132051,0.0,1.0
2024-08-30,76.56,77.98,76.38,77.84,77.84,145004,0.0,1.0
2024-08-29,76.78,77.25,76.185,76.59,76.59,63614,0.0,1.0
2024-08-28,75.56,76.975,75.345,76.19,76.19,218360,0.0,1.0
2024-08-27,75.1,75.66,74.66,75.55,75.55,106571,0.0,1.0
2024-08-26,76.27,76.58,75.1,75.2,75.2,136820,0.0,1.0
2024-08-23,74.73,76.34,74.485,75.46,75.46,169382,0.0,1.0
2024-08-22,74.65,75.06,73.32,74.12,74.12,155821,0.0,1.0
2024-08-21,73.39,74.89,73.38,74.3,74.3,106462,0.0,1.0
2024-08-20,73.47,73.47,72.49,72.64,72.64,64398,0.0,1.0
2024-08-19,73.47,73.85,73.06,73.77,73.77,75113,0.0,1.0
2024-08-16,72.75,73.4,72.03,73.06,73.06,88738,0.0,1.0
2024-08-15,72.77,73.79,72.585,72.91,72.91,91535,0.0,1.0
2024-08-14,71.69,71.69,70.45,71.26,71.26,115738,0.0,1.0
2024-08-13,71.61,71.61,70.05,71.36,71.36,158078,0.0,1.0
2024-08-12,71.49,71.49,70.38,71.05,71.05,113092,0.0,1.0
2024-08-09,71.41,71.76,70.39,71.63,71.63,118593,0.0,1.0
2024-08-08,70.99,71.8,70.906,71.56,71.56,88653,0.0,1.0
2024-08-07,72.54,72.715,70.2,70.26,70.26,130405,0.0,1.0
2024-08-06,70.77,72.79,70.77,72.0,72.0,134034,0.0,1.0
2024-08-05,71.23,71.27,68.82,71.07,71.07,324860,0.41,1.0
2024-08-02,73.87,74.66,73.36,73.68,73.2573810856184,183013,0.0,1.0
2024-08-01,78.19,78.57,75.53,76.01,75.5740165081142,209347,0.0,1.0
2024-07-31,78.0,79.52,77.65,78.05,77.6023153329603,198667,0.0,1.0
2024-07-30,78.46,79.05,77.49,77.7,77.254322887521,168916,0.0,1.0
2024-07-29,77.3,78.78,76.88,78.3,77.8508813654169,287865,0.0,1.0
2024-07-26,78.17,80.3563,76.39,76.64,76.2004029099049,303946,0.0,1.0
2024-07-25,80.89,81.92,80.39,80.58,80.1178035814214,359926,0.0,1.0
2024-07-24,81.46,82.55,80.48,80.87,80.4061401790711,176869,0.0,1.0
2024-07-23,80.96,82.99,80.2738,81.68,81.2114941242306,149239,0.0,1.0
2024-07-22,79.74,80.85,79.1,80.79,80.326599048685,137269,0.0,1.0
2024-07-19,79.82,80.5,78.7,79.25,78.7954322887521,135438,0.0,1.0
2024-07-18,79.62,81.1599,79.62,79.9,79.4417039731394,99582,0.0,1.0
2024-07-17,80.38,81.51,79.69,80.24,79.7797537772804,179769,0.0,1.0
2024-07-16,79.73,81.13,79.42,80.57,80.1078609401231,235326,0.0,1.0
2024-07-15,79.06,79.9,78.585,79.31,78.8550881365417,168306,0.0,1.0
2024-07-12,78.64,79.155,78.15,78.33,77.8807092893117,122154,0.0,1.0
2024-07-11,77.74,78.43,76.81,77.81,77.3636919418019,155992,0.0,1.0
2024-07-10,74.44,75.56,74.42,75.54,75.1067123670957,131556,0.0,1.0
2024-07-09,73.94,74.56,73.21,73.93,73.505947118075,245548,0.0,1.0
2024-07-08,74.66,75.62,74.2475,74.36,73.9334806939004,141368,0.0,1.0
