,TFX_Open,TFX_High,TFX_Low,TFX_Close,TFX_Adj Close,TFX_Volume,TFX_Dividend Amount,TFX_Split Coefficient
2024-10-04,240.77,240.77,237.515,239.18,239.18,210668,0.0,1.0
2024-10-03,243.9,243.9,239.29,239.54,239.54,265994,0.0,1.0
2024-10-02,243.16,245.32,243.02,243.93,243.93,213928,0.0,1.0
2024-10-01,247.11,247.45,242.1,245.13,245.13,268482,0.0,1.0
2024-09-30,246.37,248.54,245.46,247.32,247.32,261007,0.0,1.0
2024-09-27,246.0,249.905,245.32,246.83,246.83,321510,0.0,1.0
2024-09-26,246.68,247.795,243.46,244.95,244.95,418680,0.0,1.0
2024-09-25,246.59,248.16,241.095,245.02,245.02,481397,0.0,1.0
2024-09-24,245.13,246.585,244.245,245.9,245.9,252007,0.0,1.0
2024-09-23,243.44,244.9,241.96,244.87,244.87,157541,0.0,1.0
2024-09-20,244.42,244.42,241.05,242.5,242.5,629565,0.0,1.0
2024-09-19,243.66,246.64,242.735,245.68,245.68,299580,0.0,1.0
2024-09-18,240.31,244.66,239.78,241.53,241.53,260580,0.0,1.0
2024-09-17,246.1,247.41,240.5617,241.44,241.44,318028,0.0,1.0
2024-09-16,247.6,248.675,245.36,246.05,246.05,289688,0.0,1.0
2024-09-13,242.68,246.85,242.03,246.05,246.05,290593,0.0,1.0
2024-09-12,244.09,244.62,241.02,242.73,242.73,208039,0.0,1.0
2024-09-11,245.52,245.52,240.09,244.53,244.53,232800,0.0,1.0
2024-09-10,245.33,247.5,244.21,246.8,246.8,275932,0.0,1.0
2024-09-09,244.98,248.14,244.53,245.04,245.04,327882,0.0,1.0
2024-09-06,243.82,247.99,241.79,244.53,244.53,331071,0.0,1.0
2024-09-05,244.9,244.9,241.25,243.15,243.15,221670,0.0,1.0
2024-09-04,244.45,247.99,244.16,244.96,244.96,212459,0.0,1.0
2024-09-03,244.09,248.0,243.47,244.84,244.84,274028,0.0,1.0
2024-08-30,244.72,245.6,241.9,245.17,245.17,435640,0.0,1.0
2024-08-29,243.74,245.09,240.61,243.54,243.54,196072,0.0,1.0
2024-08-28,242.59,244.2688,239.8,241.92,241.92,219429,0.0,1.0
2024-08-27,242.1,242.68,239.47,241.81,241.81,279525,0.0,1.0
2024-08-26,243.04,245.285,241.34,241.76,241.76,268702,0.0,1.0
2024-08-23,239.88,243.34,238.53,242.41,242.41,181994,0.0,1.0
2024-08-22,239.66,241.72,238.44,239.07,239.07,253744,0.0,1.0
2024-08-21,238.71,238.883,236.05,238.27,238.27,200815,0.0,1.0
2024-08-20,237.56,238.935,235.935,237.04,237.04,160093,0.0,1.0
2024-08-19,238.77,238.925,237.18,238.0,238.0,464182,0.0,1.0
2024-08-16,238.27,239.7625,236.3,239.25,239.25,291839,0.0,1.0
2024-08-15,234.75,239.31,234.75,237.7,237.7,391374,0.34,1.0
2024-08-14,231.72,233.26,229.27,232.65,232.3176987061,352659,0.0,1.0
2024-08-13,228.16,232.375,228.16,232.07,231.738527138296,327559,0.0,1.0
2024-08-12,229.42,232.62,228.01,228.31,227.983897664258,303007,0.0,1.0
2024-08-09,231.26,233.245,227.53,229.59,229.262069400101,665727,0.0,1.0
2024-08-08,225.31,231.58,225.14,230.0,229.671483784238,1376792,0.0,1.0
2024-08-07,231.0,232.89,225.31,225.31,224.988182658377,796428,0.0,1.0
2024-08-06,234.14,236.39,230.0,230.83,230.500298269198,895322,0.0,1.0
2024-08-05,232.89,237.905,230.01,233.33,232.996727440766,576237,0.0,1.0
2024-08-02,237.37,242.33,233.555,237.13,236.791299781549,745171,0.0,1.0
2024-08-01,226.725,243.88,226.725,235.95,235.612985212569,771480,0.0,1.0
2024-07-31,221.99,223.5,219.46,220.92,220.604453033104,726841,0.0,1.0
2024-07-30,222.87,224.18,221.56,222.71,222.391896319946,362369,0.0,1.0
2024-07-29,220.51,223.76,218.415,222.63,222.312010586456,278654,0.0,1.0
2024-07-26,222.13,223.305,217.3,220.3,219.985338598555,500583,0.0,1.0
2024-07-25,223.62,228.36,222.24,222.49,222.172210552848,266777,0.0,1.0
2024-07-24,224.11,226.23,220.0,224.57,224.249239623593,167956,0.0,1.0
2024-07-23,223.27,224.854,221.46,223.37,223.05095362124,157009,0.0,1.0
2024-07-22,222.59,224.02,220.29,222.59,222.272067719711,374607,0.0,1.0
2024-07-19,222.25,224.95,217.17,221.79,221.473210384809,292416,0.0,1.0
2024-07-18,228.28,228.28,218.995,220.27,219.955381448496,535138,0.0,1.0
2024-07-17,229.88,236.48,228.95,230.3,229.971055284826,590172,0.0,1.0
2024-07-16,220.69,229.5,219.55,229.28,228.952512182826,356023,0.0,1.0
2024-07-15,219.73,221.38,217.57,219.84,219.525995630986,245250,0.0,1.0
2024-07-12,225.35,226.48,220.03,220.47,220.155095782221,493043,0.0,1.0
2024-07-11,221.98,227.06,221.28,224.48,224.159368173416,376311,0.0,1.0
2024-07-10,218.19,220.68,215.805,220.58,220.26493866577,364342,0.0,1.0
2024-07-09,212.55,218.08,210.65,218.07,217.758523777516,453240,0.0,1.0
2024-07-08,213.79,213.79,210.87,211.73,211.42757939842,283224,0.0,1.0
2024-07-05,211.92,214.29,209.94,214.06,213.754251386322,257204,0.0,1.0
2024-07-03,212.51,212.73,210.63,211.44,211.137993614519,228226,0.0,1.0
2024-07-02,211.38,214.36,210.89,211.25,210.948264997479,461773,0.0,1.0
2024-07-01,214.27,218.19,210.89,211.44,211.137993614519,586213,0.0,1.0
2024-06-28,207.66,211.17,206.08,210.33,210.029579062342,1149451,0.0,1.0
2024-06-27,200.03,207.68,199.73,207.23,206.934006889598,617328,0.0,1.0
2024-06-26,197.23,203.06,196.49,200.03,199.744290875483,436489,0.0,1.0
2024-06-25,200.73,200.95,197.41,198.62,198.336304822719,315806,0.0,1.0
2024-06-24,203.75,203.87,200.705,200.73,200.443291043522,344459,0.0,1.0
2024-06-21,202.75,203.85,201.13,203.4,203.109477398756,767181,0.0,1.0
2024-06-20,200.72,203.41,200.37,202.08,201.791362796169,658162,0.0,1.0
2024-06-18,206.63,208.6,201.3,202.09,201.801348512855,378717,0.0,1.0
2024-06-17,206.14,208.27,203.81,205.77,205.476092253403,505154,0.0,1.0
2024-06-14,208.55,208.71,206.71,208.29,207.992492858343,193248,0.0,1.0
2024-06-13,209.48,209.95,205.39,209.3,209.001050243657,339538,0.0,1.0
2024-06-12,208.44,214.83,208.44,211.1,210.798479247185,341471,0.0,1.0
2024-06-11,207.28,207.995,204.39,206.54,206.244992438246,340096,0.0,1.0
2024-06-10,211.08,211.19,203.13,207.09,206.794206855991,550392,0.0,1.0
2024-06-07,215.18,216.17,209.88,212.57,212.266379600067,427810,0.0,1.0
2024-06-06,214.81,219.76,214.81,216.4,216.090909090909,511285,0.0,1.0
2024-06-05,214.95,217.2,212.84,215.35,215.042408838851,385400,0.0,1.0
2024-06-04,215.0,215.77,212.16,215.05,214.742837338262,441707,0.0,1.0
2024-06-03,208.34,217.47,208.27,214.93,214.623008738027,693545,0.0,1.0
2024-05-31,206.98,210.39,206.005,209.07,208.771378759872,1163126,0.0,1.0
2024-05-30,203.41,208.41,202.63,206.64,206.344849605108,887539,0.0,1.0
2024-05-29,202.85,205.02,202.01,202.51,202.220748613678,469659,0.0,1.0
2024-05-28,205.8,206.59,203.51,204.64,204.347706267854,1116980,0.0,1.0
2024-05-24,206.54,208.13,204.63,206.35,206.055263821206,476857,0.0,1.0
2024-05-23,211.96,211.96,205.83,206.54,206.244992438246,1042787,0.0,1.0
2024-05-22,212.86,214.47,212.575,213.09,212.785636867753,283091,0.0,1.0
2024-05-21,213.85,215.0215,212.66,212.99,212.685779700891,637044,0.0,1.0
2024-05-20,217.43,217.43,213.85,214.59,214.283494370694,527455,0.0,1.0
2024-05-17,219.48,219.48,214.8,217.64,217.329137960007,392913,0.0,1.0
2024-05-16,214.0,219.56,212.31,218.57,218.25780961183,1238765,0.0,1.0
2024-05-15,214.7,220.27,214.2,219.79,219.476067047555,489886,0.0,1.0
2024-05-14,208.92,213.92,208.39,212.62,212.316308183499,470457,0.34,1.0
2024-05-13,204.52,207.805,203.38,207.32,206.693355618909,457341,0.0,1.0
2024-05-10,204.57,206.69,203.28,203.93,203.313602215725,316507,0.0,1.0
2024-05-09,201.4,205.38,199.76,204.7,204.081274817628,407774,0.0,1.0
2024-05-08,200.0,201.335,197.99,200.45,199.844120846085,460885,0.0,1.0
2024-05-07,201.72,203.785,201.19,201.52,200.910886669509,462601,0.0,1.0
2024-05-06,204.93,205.035,199.29,200.96,200.35257932267,551439,0.0,1.0
2024-05-03,201.19,206.515,199.12,203.01,202.396383003062,604098,0.0,1.0
2024-05-02,208.46,213.41,198.205,198.73,198.129319709366,706549,0.0,1.0
