,TGT_Open,TGT_High,TGT_Low,TGT_Close,TGT_Adj Close,TGT_Volume,TGT_Dividend Amount,TGT_Split Coefficient
2024-10-04,151.92,153.865,151.32,152.88,152.88,3557483,0.0,1.0
2024-10-03,149.89,150.0,147.5401,149.6,149.6,4790132,0.0,1.0
2024-10-02,151.66,152.445,149.96,150.4,150.4,2794972,0.0,1.0
2024-10-01,155.25,155.395,151.37,152.2,152.2,3994414,0.0,1.0
2024-09-30,155.18,156.355,154.22,155.86,155.86,2935829,0.0,1.0
2024-09-27,156.5,157.51,154.78,155.18,155.18,3067262,0.0,1.0
2024-09-26,156.53,157.74,155.1239,155.98,155.98,2757937,0.0,1.0
2024-09-25,156.29,156.92,154.16,155.07,155.07,2319914,0.0,1.0
2024-09-24,155.9,157.83,155.5,156.18,156.18,3113986,0.0,1.0
2024-09-23,154.77,155.74,152.91,155.29,155.29,2927656,0.0,1.0
2024-09-20,156.9,157.39,153.94,154.75,154.75,7389826,0.0,1.0
2024-09-19,156.58,157.39,155.0,156.49,156.49,5098842,0.0,1.0
2024-09-18,152.49,156.045,152.4,153.6,153.6,3269539,0.0,1.0
2024-09-17,152.94,153.69,151.07,151.96,151.96,3162261,0.0,1.0
2024-09-16,151.95,153.74,150.71,152.84,152.84,3429165,0.0,1.0
2024-09-13,149.72,152.62,149.48,151.36,151.36,3592362,0.0,1.0
2024-09-12,147.35,148.98,146.61,148.44,148.44,3454594,0.0,1.0
2024-09-11,147.25,147.97,144.67,147.29,147.29,4089547,0.0,1.0
2024-09-10,150.59,150.775,147.35,148.01,148.01,4103181,0.0,1.0
2024-09-09,151.37,152.92,149.95,150.59,150.59,3735150,0.0,1.0
2024-09-06,151.61,153.33,150.72,151.28,151.28,4045069,0.0,1.0
2024-09-05,153.06,153.55,150.67,151.9,151.9,3358882,0.0,1.0
2024-09-04,152.65,153.735,148.87,152.48,152.48,3782285,0.0,1.0
2024-09-03,152.99,154.96,151.35,151.8,151.8,4070975,0.0,1.0
2024-08-30,153.69,154.15,152.19,153.62,153.62,3933162,0.0,1.0
2024-08-29,156.26,156.26,152.47,153.42,153.42,3879497,0.0,1.0
2024-08-28,157.75,158.32,155.69,156.86,156.86,2666472,0.0,1.0
2024-08-27,158.9,159.77,157.76,158.68,158.68,3252292,0.0,1.0
2024-08-26,159.31,161.84,157.97,158.9,158.9,3655215,0.0,1.0
2024-08-23,157.58,159.6196,156.74,158.5,158.5,3188295,0.0,1.0
2024-08-22,159.9,160.12,156.4214,156.82,156.82,7452356,0.0,1.0
2024-08-21,167.33,167.4,158.97,159.25,159.25,25572113,1.12,1.0
2024-08-20,144.5,145.7,142.88,144.33,143.32202095155,6815076,0.0,1.0
2024-08-19,144.5,148.64,144.42,144.63,143.619925796595,4426996,0.0,1.0
2024-08-16,141.12,144.24,140.89,144.04,143.034046268005,3473906,0.0,1.0
2024-08-15,143.29,143.88,140.5601,141.66,140.670667830642,4640641,0.0,1.0
2024-08-14,136.7,136.91,135.51,135.76,134.81187254474,4837956,0.0,1.0
2024-08-13,135.68,136.91,133.67,136.66,135.705587079878,3319751,0.0,1.0
2024-08-12,134.59,136.545,134.12,135.02,134.077040593627,3695560,0.0,1.0
2024-08-09,133.61,135.6,132.75,135.5,134.553688345701,3778303,0.0,1.0
2024-08-08,134.79,135.99,133.07,133.97,133.034373635967,3894009,0.0,1.0
2024-08-07,136.18,137.75,133.34,133.47,132.53786556089,3209671,0.0,1.0
2024-08-06,134.51,135.91,133.25,133.85,132.915211697949,5005677,0.0,1.0
2024-08-05,136.0,136.35,132.42,133.87,132.935072020952,6887654,0.0,1.0
2024-08-02,145.32,145.42,138.04,139.17,138.198057616761,6476490,0.0,1.0
2024-08-01,151.21,151.35,146.08,147.02,145.993234395461,3782377,0.0,1.0
2024-07-31,148.71,152.395,147.925,150.41,149.359559144478,5743885,0.0,1.0
2024-07-30,147.37,148.29,146.76,147.95,146.916739415103,2379216,0.0,1.0
2024-07-29,147.38,147.9,145.14,146.82,145.79463116543,2486982,0.0,1.0
2024-07-26,147.25,149.99,147.25,149.0,147.959406372763,2426969,0.0,1.0
2024-07-25,146.58,149.4189,145.99,146.29,145.268332605849,3019653,0.0,1.0
2024-07-24,150.29,150.92,145.3,146.45,145.427215189873,3029508,0.0,1.0
2024-07-23,150.2,150.96,149.64,150.27,149.220536883457,1622400,0.0,1.0
2024-07-22,149.37,151.74,148.72,151.02,149.965298996072,3692971,0.0,1.0
2024-07-19,151.46,151.46,149.36,149.73,148.684308162375,3186989,0.0,1.0
2024-07-18,154.82,155.25,151.84,152.09,151.027826276735,2927396,0.0,1.0
2024-07-17,154.04,156.74,154.04,155.93,154.841008293322,3353650,0.0,1.0
2024-07-16,151.45,155.01,151.39,155.01,153.927433435181,3391784,0.0,1.0
2024-07-15,152.85,153.45,150.91,151.3,150.243343518114,3645851,0.0,1.0
2024-07-12,152.47,153.635,150.81,152.85,151.782518550851,2675771,0.0,1.0
2024-07-11,147.0,151.89,146.5,151.4,150.34264513313,4728715,0.0,1.0
2024-07-10,147.45,147.45,143.405,146.11,145.089589698821,4105702,0.0,1.0
2024-07-09,148.0,149.621,147.23,147.6,146.569183762549,2848969,0.0,1.0
2024-07-08,151.86,151.97,147.785,148.72,147.68136185072,5183791,0.0,1.0
2024-07-05,144.54,146.43,144.5,145.65,144.632802269751,3562244,0.0,1.0
2024-07-03,145.32,146.23,144.37,144.8,143.788738542121,1633259,0.0,1.0
2024-07-02,145.5,146.99,144.46,145.39,144.374618070711,3296556,0.0,1.0
2024-07-01,148.34,148.94,145.07,145.74,144.722173723265,2638855,0.0,1.0
2024-06-28,147.54,148.7089,146.12,148.04,147.006110868616,12772526,0.0,1.0
2024-06-27,145.75,147.0,145.3,146.72,145.695329550415,2273610,0.0,1.0
2024-06-26,146.01,147.31,144.92,147.17,146.142186817983,2447102,0.0,1.0
2024-06-25,148.48,149.12,146.34,146.77,145.744980357922,3367570,0.0,1.0
2024-06-24,147.0,150.79,146.72,149.69,148.644587516368,3933203,0.0,1.0
2024-06-21,143.99,146.27,143.99,146.13,145.109450021825,5652005,0.0,1.0
2024-06-20,142.15,143.77,141.73,143.38,142.378655608904,2628654,0.0,1.0
2024-06-18,144.355,144.8509,142.42,142.54,141.544522042776,2969474,0.0,1.0
2024-06-17,141.35,145.06,140.8,144.97,143.957551287647,5006330,0.0,1.0
2024-06-14,143.77,143.8,139.38,141.16,140.174159755565,5019720,0.0,1.0
2024-06-13,147.09,147.09,144.55,144.68,143.669576604103,3470565,0.0,1.0
2024-06-12,146.34,148.03,145.1,146.78,145.754910519424,3064275,0.0,1.0
2024-06-11,148.25,148.37,145.92,146.19,145.169030990834,3592381,0.0,1.0
2024-06-10,146.05,148.91,145.57,148.52,147.48275862069,3052921,0.0,1.0
2024-06-07,144.63,146.6,144.15,146.0,144.980357922305,3110844,0.0,1.0
2024-06-06,146.7,147.19,145.05,145.13,144.116433871672,4682855,0.0,1.0
2024-06-05,150.5,150.98,146.75,147.35,146.320929725011,5746077,0.0,1.0
2024-06-04,152.37,154.19,150.11,150.55,149.4985814055,4683706,0.0,1.0
2024-06-03,152.09,154.49,151.38,153.03,151.961261457879,4162466,0.0,1.0
2024-05-31,148.88,156.93,148.76,156.16,155.069402007857,7500984,0.0,1.0
2024-05-30,148.52,150.36,147.92,149.87,148.823330423396,4239436,0.0,1.0
2024-05-29,146.05,148.13,145.5,147.74,146.708206023571,3038460,0.0,1.0
2024-05-28,145.0,147.4401,144.53,147.1,146.072675687473,4344281,0.0,1.0
2024-05-24,144.9,145.73,143.56,145.23,144.215735486687,3550295,0.0,1.0
2024-05-23,142.5,145.58,141.76,144.41,143.401462243562,6661102,0.0,1.0
2024-05-22,140.54,145.67,139.98,143.27,142.269423832388,18724017,0.0,1.0
2024-05-21,156.71,156.84,154.65,155.78,154.692055870799,6291009,0.0,1.0
2024-05-20,159.9,160.8,155.96,156.71,155.615560890441,4429218,0.0,1.0
2024-05-17,160.18,160.465,159.1,160.13,159.011676123963,4005467,0.0,1.0
2024-05-16,160.25,163.65,159.72,160.65,159.528044522043,5232861,0.0,1.0
2024-05-15,160.61,161.08,157.04,157.51,156.409973810563,2563650,0.0,1.0
2024-05-14,160.3,161.6,158.58,158.96,157.849847228285,2707913,1.1,1.0
