,TSCO_Open,TSCO_High,TSCO_Low,TSCO_Close,TSCO_Adj Close,TSCO_Volume,TSCO_Dividend Amount,TSCO_Split Coefficient
2024-10-04,294.11,297.5,292.6901,294.97,294.97,771835,0.0,1.0
2024-10-03,295.32,297.98,289.64,291.85,291.85,1443778,0.0,1.0
2024-10-02,295.14,298.36,294.0101,298.07,298.07,1096359,0.0,1.0
2024-10-01,290.15,296.83,288.58,295.14,295.14,1560130,0.0,1.0
2024-09-30,286.96,291.52,286.96,290.93,290.93,872434,0.0,1.0
2024-09-27,287.23,289.85,286.12,286.14,286.14,713479,0.0,1.0
2024-09-26,282.21,285.39,280.97,285.28,285.28,766184,0.0,1.0
2024-09-25,278.51,281.33,276.58,280.86,280.86,625297,0.0,1.0
2024-09-24,276.85,278.85,274.545,277.57,277.57,619350,0.0,1.0
2024-09-23,275.76,279.12,272.9,276.85,276.85,835404,0.0,1.0
2024-09-20,273.97,275.73,271.225,274.89,274.89,833673,0.0,1.0
2024-09-19,279.76,279.76,273.14,273.97,273.97,783851,0.0,1.0
2024-09-18,277.53,279.695,274.7534,275.49,275.49,418321,0.0,1.0
2024-09-17,281.89,283.46,276.56,276.75,276.75,703024,0.0,1.0
2024-09-16,284.25,287.08,282.1,283.39,283.39,637237,0.0,1.0
2024-09-13,281.69,286.32,281.01,282.96,282.96,540632,0.0,1.0
2024-09-12,276.76,280.07,275.2275,279.49,279.49,500885,0.0,1.0
2024-09-11,270.77,276.62,267.11,276.25,276.25,681380,0.0,1.0
2024-09-10,272.15,273.02,268.1,270.77,270.77,641160,0.0,1.0
2024-09-09,271.16,275.89,271.16,272.79,272.79,1098450,0.0,1.0
2024-09-06,271.66,274.06,269.02,270.59,270.59,987509,0.0,1.0
2024-09-05,272.54,272.54,267.3,270.81,270.81,682835,0.0,1.0
2024-09-04,268.75,273.49,267.2985,272.68,272.68,977584,0.0,1.0
2024-09-03,266.8,269.295,265.48,268.35,268.35,1063484,0.0,1.0
2024-08-30,273.0,273.03,265.76,267.55,267.55,1362464,0.0,1.0
2024-08-29,275.24,277.695,273.09,273.71,273.71,572423,0.0,1.0
2024-08-28,272.27,275.54,272.25,273.26,273.26,629730,0.0,1.0
