,TTC_Open,TTC_High,TTC_Low,TTC_Close,TTC_Adj Close,TTC_Volume,TTC_Dividend Amount,TTC_Split Coefficient
2024-10-04,87.54,87.555,83.715,83.98,83.98,1081767,0.0,1.0
2024-10-03,86.74,87.35,85.25,87.09,87.09,1368001,0.0,1.0
2024-10-02,85.95,87.1,85.95,87.03,87.03,1151298,0.0,1.0
2024-10-01,86.73,86.73,85.63,86.05,86.05,1203217,0.0,1.0
2024-09-30,86.45,86.93,85.9,86.73,86.73,997700,0.36,1.0
2024-09-27,87.43,88.2045,86.54,86.65,86.2918188081295,757606,0.0,1.0
2024-09-26,86.88,87.5,86.205,86.63,86.2719014812263,635135,0.0,1.0
2024-09-25,86.19,86.67,85.35,85.9,85.5449190492594,642840,0.0,1.0
2024-09-24,86.09,87.38,85.65,86.6,86.2420254908715,461576,0.0,1.0
2024-09-23,84.99,86.135,84.63,85.8,85.4453324147434,527385,0.0,1.0
2024-09-20,85.09,85.09,84.15,84.9,84.5490527040992,1693933,0.0,1.0
2024-09-19,86.2,86.57,84.97,85.5,85.1465725111953,1695774,0.0,1.0
2024-09-18,86.6,87.495,85.22,85.38,85.0270685497761,808973,0.0,1.0
2024-09-17,85.22,86.63,85.13,86.36,86.0030175680331,650364,0.0,1.0
2024-09-16,83.97,84.94,83.735,84.71,84.3598380985188,887092,0.0,1.0
2024-09-13,83.25,84.33,82.87,83.65,83.304219772649,1068145,0.0,1.0
2024-09-12,82.17,83.03,81.73,82.96,82.6170719944885,574613,0.0,1.0
2024-09-11,82.37,83.15,81.06,82.22,81.8801308990699,859414,0.0,1.0
2024-09-10,82.56,83.16,82.28,82.78,82.4378160523596,724806,0.0,1.0
2024-09-09,81.91,83.075,81.6,82.64,82.2983947640372,948008,0.0,1.0
2024-09-06,82.36,85.32,81.93,82.04,81.7008749569411,1762698,0.0,1.0
2024-09-05,78.37,83.99,78.37,81.82,81.4817843610059,3750851,0.0,1.0
2024-09-04,91.44,92.81,90.84,91.0,90.6238374095763,1060295,0.0,1.0
2024-09-03,92.92,93.0,91.15,91.66,91.281109197382,1029408,0.0,1.0
2024-08-30,92.27,92.79,91.41,92.6,92.2172235618326,1633127,0.0,1.0
2024-08-29,91.64,92.8514,90.7,91.93,91.5499931105753,464585,0.0,1.0
2024-08-28,90.5,91.25,90.26,90.98,90.6039200826731,610518,0.0,1.0
2024-08-27,90.14,90.62,89.38,90.6,90.2254908715122,587089,0.0,1.0
2024-08-26,90.91,91.545,90.35,90.39,90.0163589390286,558644,0.0,1.0
2024-08-23,90.39,91.64,90.1301,90.95,90.5740440923183,428358,0.0,1.0
2024-08-22,90.83,91.51,89.88,90.12,89.7474750258354,440985,0.0,1.0
2024-08-21,90.0,90.79,89.51,90.77,90.3947881501895,631058,0.0,1.0
2024-08-20,89.68,90.03,89.27,89.49,89.1200792283844,504638,0.0,1.0
2024-08-19,89.99,90.52,88.33,89.49,89.1200792283844,495646,0.0,1.0
2024-08-16,88.77,90.155,88.26,89.64,89.2694591801585,801526,0.0,1.0
2024-08-15,89.79,90.75,88.93,89.0,88.6321047192559,692744,0.0,1.0
2024-08-14,88.55,89.21,87.88,88.34,87.9748329314502,682018,0.0,1.0
2024-08-13,87.6,88.38,86.8,88.21,87.8453703065794,629029,0.0,1.0
2024-08-12,88.19,88.34,87.27,87.38,87.0188012400965,434558,0.0,1.0
2024-08-09,89.73,89.73,87.52,88.09,87.7258663451602,587501,0.0,1.0
2024-08-08,89.0,89.82,88.24,89.63,89.2595005167069,588811,0.0,1.0
2024-08-07,90.69,91.38,88.27,88.3,87.9349982776438,707578,0.0,1.0
2024-08-06,91.15,91.59,89.66,90.21,89.8371029968998,555818,0.0,1.0
2024-08-05,88.14,92.23,86.46,91.23,90.8528866689632,782179,0.0,1.0
2024-08-02,91.48,92.02,90.225,90.91,90.5342094385119,800253,0.0,1.0
2024-08-01,95.63,96.25,91.92,93.17,92.7848673785739,955629,0.0,1.0
2024-07-31,96.25,96.8837,95.16,95.73,95.334285222184,1190319,0.0,1.0
2024-07-30,96.84,97.36,95.54,95.9,95.5035825008612,856685,0.0,1.0
2024-07-29,96.58,97.905,96.24,96.84,96.4396968653118,845507,0.0,1.0
2024-07-26,96.8,98.6117,96.49,96.76,96.3600275576989,1055521,0.0,1.0
2024-07-25,94.82,97.8,94.82,96.0,95.6031691353772,553676,0.0,1.0
2024-07-24,95.52,95.885,94.3,95.47,95.0753599724423,682174,0.0,1.0
2024-07-23,96.22,96.74,95.09,95.88,95.483665173958,368491,0.0,1.0
2024-07-22,97.49,98.17,95.31,96.56,96.1608542886669,594851,0.0,1.0
2024-07-19,98.22,98.44,96.575,97.35,96.9475887013434,556759,0.0,1.0
2024-07-18,99.18,100.925,98.19,98.22,97.8139924216328,1076779,0.0,1.0
2024-07-17,96.68,99.83,96.68,99.44,99.0289493627282,1393358,0.0,1.0
2024-07-16,95.39,98.71,94.74,98.23,97.8239510850844,1020022,0.0,1.0
2024-07-15,92.61,95.3125,92.42,94.91,94.5176748191526,977192,0.0,1.0
2024-07-12,92.56,93.52,91.78,92.21,91.8288356872201,1339407,0.0,1.0
2024-07-11,89.66,91.665,88.88,91.17,90.7931346882535,838171,0.0,1.0
2024-07-10,87.71,88.81,87.31,88.25,87.8852049603858,841754,0.0,1.0
2024-07-09,89.39,89.39,87.28,87.81,87.4470237685153,807367,0.0,1.0
2024-07-08,88.7,90.07,88.32,89.82,89.4487151222873,766290,0.0,1.0
2024-07-05,90.0,90.0,87.46,88.17,87.805535652773,1086377,0.0,1.0
2024-07-03,90.88,91.465,89.81,90.02,89.6478883913193,435475,0.0,1.0
2024-07-02,91.43,92.35,90.76,90.88,90.5043334481571,679659,0.0,1.0
2024-07-01,93.15,93.52,90.93,91.33,90.9524733034792,883059,0.0,1.0
2024-06-28,92.56,93.81,91.96,93.51,93.1234619359284,3352766,0.0,1.0
2024-06-27,91.44,92.89,91.01,92.19,91.8089183603169,878575,0.0,1.0
2024-06-26,90.36,91.74,89.12,91.44,91.0620186014468,937475,0.0,1.0
2024-06-25,94.0,94.445,90.17,90.71,90.3350361694798,1194653,0.0,1.0
2024-06-24,95.77,96.485,94.66,94.98,94.5873854633138,1414462,0.0,1.0
