,TYPE_Open,TYPE_High,TYPE_Low,TYPE_Close,TYPE_Adj Close,TYPE_Volume,TYPE_Dividend Amount,TYPE_Split Coefficient
2019-10-11,19.84,19.84,19.84,19.84,19.84,0,0.0,1.0
2019-10-10,19.84,19.85,19.83,19.84,19.84,1804479,0.0,1.0
2019-10-09,19.85,19.86,19.83,19.83,19.83,990722,0.0,1.0
2019-10-08,19.84,19.85,19.83,19.84,19.84,463229,0.0,1.0
2019-10-07,19.83,19.84,19.83,19.84,19.84,169184,0.0,1.0
2019-10-04,19.83,19.84,19.82,19.835,19.835,255038,0.0,1.0
2019-10-03,19.81,19.83,19.81,19.83,19.83,703040,0.0,1.0
2019-10-02,19.81,19.82,19.81,19.81,19.81,233174,0.0,1.0
2019-10-01,19.82,19.82,19.8,19.81,19.81,302973,0.0,1.0
2019-09-30,19.8,19.82,19.8,19.81,19.81,393303,0.0,1.0
2019-09-27,19.8,19.82,19.79,19.79,19.79,253023,0.0,1.0
2019-09-26,19.8,19.81,19.79,19.805,19.805,499235,0.0,1.0
2019-09-25,19.78,19.81,19.78,19.81,19.81,293556,0.0,1.0
2019-09-24,19.81,19.81,19.78,19.78,19.78,387088,0.0,1.0
2019-09-23,19.79,19.81,19.78,19.8,19.8,654793,0.0,1.0
2019-09-20,19.79,19.8,19.79,19.79,19.79,545001,0.0,1.0
2019-09-19,19.79,19.8,19.78,19.79,19.79,1131495,0.0,1.0
2019-09-18,19.78,19.8,19.78,19.79,19.79,454260,0.0,1.0
2019-09-17,19.77,19.8,19.77,19.79,19.79,285581,0.0,1.0
2019-09-16,19.78,19.8,19.755,19.77,19.77,571543,0.0,1.0
2019-09-13,19.79,19.79,19.76,19.78,19.78,780087,0.0,1.0
2019-09-12,19.79,19.8,19.77,19.78,19.78,647653,0.0,1.0
2019-09-11,19.8,19.8,19.77,19.77,19.77,253676,0.0,1.0
2019-09-10,19.79,19.81,19.78,19.78,19.78,398725,0.0,1.0
2019-09-09,19.76,19.8,19.75,19.79,19.79,532813,0.0,1.0
2019-09-06,19.77,19.78,19.74,19.74,19.74,355082,0.0,1.0
2019-09-05,19.75,19.795,19.74,19.74,19.74,458181,0.0,1.0
2019-09-04,19.75,19.775,19.75,19.76,19.76,276706,0.0,1.0
2019-09-03,19.75,19.77,19.74,19.74,19.74,848200,0.0,1.0
2019-08-30,19.75,19.76,19.73,19.75,19.75,636467,0.0,1.0
2019-08-29,19.74,19.75,19.72,19.74,19.74,714729,0.0,1.0
2019-08-28,19.74,19.75,19.66,19.73,19.73,953047,0.0,1.0
2019-08-27,19.8,19.8,19.71,19.74,19.74,860471,0.0,1.0
2019-08-26,19.98,19.99,19.66,19.73,19.73,922402,0.0,1.0
2019-08-23,19.92,19.95,19.85,19.93,19.93,432199,0.0,1.0
2019-08-22,19.95,20.04,19.93,19.94,19.94,203196,0.0,1.0
2019-08-21,19.9,19.98,19.86,19.95,19.95,225667,0.0,1.0
2019-08-20,19.82,19.88,19.82,19.87,19.87,117953,0.0,1.0
2019-08-19,19.93,20.0,19.75,19.76,19.76,286176,0.0,1.0
2019-08-16,19.85,19.9,19.83,19.85,19.85,128240,0.0,1.0
2019-08-15,19.88,19.905,19.8,19.8,19.8,227296,0.0,1.0
2019-08-14,19.83,19.94,19.8,19.88,19.88,400947,0.0,1.0
2019-08-13,19.83,19.89,19.82,19.86,19.86,152278,0.0,1.0
2019-08-12,19.83,19.94,19.8,19.8,19.8,424989,0.0,1.0
2019-08-09,19.84,19.88,19.79,19.8,19.8,352676,0.0,1.0
2019-08-08,19.87,19.9,19.82,19.82,19.82,331830,0.0,1.0
2019-08-07,19.87,19.875,19.81,19.84,19.84,418919,0.0,1.0
2019-08-06,19.95,20.03,19.85,19.85,19.85,376411,0.0,1.0
2019-08-05,19.9,19.975,19.84,19.97,19.97,1055349,0.0,1.0
2019-08-02,19.94,19.98,19.88,19.88,19.88,509007,0.0,1.0
2019-08-01,19.93,20.08,19.905,19.92,19.92,780291,0.0,1.0
2019-07-31,19.95,19.98,19.88,19.97,19.97,1214772,0.0,1.0
2019-07-30,19.92,20.0,19.875,19.93,19.93,900358,0.0,1.0
2019-07-29,20.05,20.1,19.88,19.89,19.89,1714522,0.0,1.0
2019-07-26,19.86,20.182,19.86,20.0,20.0,6234633,0.0,1.0
2019-07-25,16.77,16.9,16.005,16.16,16.16,290328,0.0,1.0
2019-07-24,16.74,16.95,16.68,16.74,16.74,287785,0.0,1.0
2019-07-23,16.73,16.78,16.38,16.76,16.76,225990,0.0,1.0
2019-07-22,16.77,16.86,16.64,16.7,16.7,142536,0.0,1.0
2019-07-19,16.89,17.05,16.7,16.73,16.73,240361,0.0,1.0
2019-07-18,16.93,17.18,16.83,16.88,16.88,142641,0.0,1.0
2019-07-17,17.03,17.14,16.92,16.96,16.96,141837,0.0,1.0
2019-07-16,17.21,17.305,16.95,16.98,16.98,133800,0.0,1.0
2019-07-15,17.3,17.3,16.88,17.27,17.27,179017,0.0,1.0
