,UNFI_Open,UNFI_High,UNFI_Low,UNFI_Close,UNFI_Adj Close,UNFI_Volume,UNFI_Dividend Amount,UNFI_Split Coefficient
2024-10-04,19.43,20.185,19.22,19.76,19.76,1124107,0.0,1.0
2024-10-03,21.06,21.2524,18.9519,19.1,19.1,1407600,0.0,1.0
2024-10-02,22.43,23.15,20.5,21.1,21.1,1849004,0.0,1.0
2024-10-01,19.35,22.33,19.06,21.96,21.96,7287706,0.0,1.0
2024-09-30,16.76,17.1597,16.51,16.82,16.82,1011396,0.0,1.0
2024-09-27,16.81,17.2899,16.72,16.73,16.73,592496,0.0,1.0
2024-09-26,16.66,16.99,16.49,16.73,16.73,435122,0.0,1.0
2024-09-25,16.55,16.66,16.27,16.5,16.5,499726,0.0,1.0
2024-09-24,17.14,17.17,16.45,16.5,16.5,672032,0.0,1.0
2024-09-23,16.27,17.04,16.1765,16.94,16.94,632305,0.0,1.0
2024-09-20,15.57,16.57,15.46,16.28,16.28,1877171,0.0,1.0
2024-09-19,15.82,15.95,15.56,15.8,15.8,486189,0.0,1.0
2024-09-18,15.83,16.14,15.35,15.56,15.56,484005,0.0,1.0
2024-09-17,15.45,15.92,15.225,15.92,15.92,467788,0.0,1.0
2024-09-16,15.41,15.48,15.01,15.33,15.33,403422,0.0,1.0
2024-09-13,15.5,15.66,15.03,15.42,15.42,547534,0.0,1.0
2024-09-12,14.67,15.42,14.6501,15.25,15.25,573138,0.0,1.0
2024-09-11,14.18,14.545,13.84,14.51,14.51,564045,0.0,1.0
2024-09-10,14.55,14.82,14.2,14.32,14.32,519373,0.0,1.0
2024-09-09,15.21,15.25,14.53,14.53,14.53,436403,0.0,1.0
2024-09-06,15.72,16.0,15.19,15.33,15.33,370303,0.0,1.0
2024-09-05,16.61,16.715,15.7,15.8,15.8,464910,0.0,1.0
2024-09-04,16.06,16.6854,15.92,16.36,16.36,677954,0.0,1.0
2024-09-03,15.08,16.36,15.08,16.2,16.2,1202492,0.0,1.0
2024-08-30,14.84,15.15,14.57,15.13,15.13,595680,0.0,1.0
2024-08-29,14.74,14.84,14.33,14.76,14.76,507048,0.0,1.0
2024-08-28,14.33,14.67,14.15,14.64,14.64,518178,0.0,1.0
2024-08-27,14.01,14.36,13.81,14.35,14.35,403788,0.0,1.0
2024-08-26,13.61,14.19,13.585,14.05,14.05,349003,0.0,1.0
2024-08-23,13.41,13.83,13.28,13.47,13.47,416635,0.0,1.0
2024-08-22,13.39,13.62,13.18,13.32,13.32,262696,0.0,1.0
2024-08-21,13.42,13.52,13.16,13.37,13.37,336588,0.0,1.0
2024-08-20,13.44,13.47,13.05,13.18,13.18,285011,0.0,1.0
2024-08-19,13.34,13.61,13.15,13.53,13.53,341390,0.0,1.0
2024-08-16,13.39,13.69,13.2,13.26,13.26,276154,0.0,1.0
2024-08-15,13.19,13.57,13.03,13.42,13.42,443700,0.0,1.0
2024-08-14,12.77,12.89,12.44,12.72,12.72,395750,0.0,1.0
2024-08-13,12.39,12.69,12.19,12.66,12.66,414447,0.0,1.0
2024-08-12,12.46,12.67,12.185,12.32,12.32,723736,0.0,1.0
2024-08-09,12.92,13.005,12.0,12.48,12.48,735763,0.0,1.0
2024-08-08,13.12,13.27,12.815,12.87,12.87,468383,0.0,1.0
2024-08-07,13.57,13.76,12.965,12.99,12.99,500326,0.0,1.0
2024-08-06,13.45,13.72,13.325,13.4,13.4,554027,0.0,1.0
2024-08-05,13.79,13.9499,13.3541,13.43,13.43,845284,0.0,1.0
2024-08-02,14.44,14.69,14.0801,14.6,14.6,757943,0.0,1.0
2024-08-01,15.49,15.605,14.5703,14.75,14.75,683003,0.0,1.0
2024-07-31,15.41,16.03,15.315,15.5,15.5,713341,0.0,1.0
2024-07-30,15.25,15.78,15.04,15.56,15.56,580624,0.0,1.0
2024-07-29,15.53,15.87,15.11,15.22,15.22,580645,0.0,1.0
2024-07-26,14.89,15.56,14.72,15.53,15.53,650655,0.0,1.0
2024-07-25,14.58,15.04,14.52,14.7,14.7,480212,0.0,1.0
2024-07-24,14.65,15.06,14.41,14.48,14.48,464701,0.0,1.0
2024-07-23,14.03,14.93,14.02,14.78,14.78,536068,0.0,1.0
2024-07-22,14.33,14.35,13.7,14.15,14.15,498560,0.0,1.0
2024-07-19,14.1,14.27,13.84,14.24,14.24,422069,0.0,1.0
2024-07-18,13.83,14.24,13.77,14.08,14.08,510416,0.0,1.0
2024-07-17,13.32,13.9699,13.32,13.93,13.93,585412,0.0,1.0
2024-07-16,12.99,13.56,12.93,13.51,13.51,481761,0.0,1.0
2024-07-15,12.64,12.93,12.59,12.78,12.78,454454,0.0,1.0
2024-07-12,12.65,12.77,12.37,12.65,12.65,367774,0.0,1.0
2024-07-11,12.19,12.59,12.05,12.5,12.5,405312,0.0,1.0
2024-07-10,12.08,12.29,11.92,11.93,11.93,392573,0.0,1.0
2024-07-09,12.35,12.355,11.88,11.97,11.97,385160,0.0,1.0
2024-07-08,12.57,12.83,12.33,12.39,12.39,383400,0.0,1.0
2024-07-05,12.22,12.47,12.08,12.41,12.41,552573,0.0,1.0
2024-07-03,12.65,12.6722,12.25,12.26,12.26,273689,0.0,1.0
2024-07-02,12.83,12.95,12.5908,12.62,12.62,358130,0.0,1.0
2024-07-01,13.07,13.29,12.64,12.79,12.79,536742,0.0,1.0
2024-06-28,12.96,13.2799,12.845,13.1,13.1,818843,0.0,1.0
2024-06-27,13.22,13.25,12.75,12.9,12.9,635529,0.0,1.0
2024-06-26,12.93,13.29,12.9,13.22,13.22,552011,0.0,1.0
2024-06-25,13.19,13.345,12.98,13.2,13.2,488819,0.0,1.0
2024-06-24,13.45,13.68,13.25,13.26,13.26,474096,0.0,1.0
2024-06-21,13.52,13.679,13.26,13.41,13.41,1710020,0.0,1.0
