,UNP_Open,UNP_High,UNP_Low,UNP_Close,UNP_Adj Close,UNP_Volume,UNP_Dividend Amount,UNP_Split Coefficient
2024-10-04,241.72,243.18,237.19,238.86,238.86,2137949,0.0,1.0
2024-10-03,242.43,243.0,239.6,240.63,240.63,1990156,0.0,1.0
2024-10-02,245.05,246.19,242.21,243.35,243.35,2568262,0.0,1.0
2024-10-01,246.17,247.35,243.66,245.55,245.55,1925000,0.0,1.0
2024-09-30,245.0,247.01,243.46,246.48,246.48,2923206,0.0,1.0
2024-09-27,244.68,247.4811,243.94,244.22,244.22,1954544,0.0,1.0
2024-09-26,247.0,248.295,242.35,243.23,243.23,2398738,0.0,1.0
2024-09-25,247.54,249.285,245.075,245.5,245.5,2347258,0.0,1.0
2024-09-24,243.19,249.03,241.56,248.96,248.96,2772711,0.0,1.0
2024-09-23,245.09,245.36,242.86,244.0,244.0,2740567,0.0,1.0
2024-09-20,243.48,245.62,242.54,245.39,245.39,6802799,0.0,1.0
2024-09-19,250.0,254.01,246.05,248.44,248.44,3406678,0.0,1.0
2024-09-18,254.01,254.56,250.53,251.2,251.2,1568183,0.0,1.0
2024-09-17,253.27,255.06,253.0,253.55,253.55,1640445,0.0,1.0
2024-09-16,250.88,253.59,249.48,252.43,252.43,1651114,0.0,1.0
2024-09-13,249.94,252.0,248.55,249.12,249.12,2267787,0.0,1.0
2024-09-12,247.92,249.52,245.41,248.89,248.89,1867980,0.0,1.0
2024-09-11,250.64,251.495,243.43,247.5,247.5,2372194,0.0,1.0
2024-09-10,251.85,252.62,249.62,252.58,252.58,1694658,0.0,1.0
2024-09-09,250.71,252.14,249.82,251.11,251.11,2162452,0.0,1.0
2024-09-06,251.4,253.67,249.24,249.63,249.63,2406225,0.0,1.0
2024-09-05,255.8,256.11,249.87,251.53,251.53,2562529,0.0,1.0
2024-09-04,255.44,258.07,252.09,255.7,255.7,2558099,0.0,1.0
2024-09-03,255.87,256.9489,254.05,255.21,255.21,2585798,0.0,1.0
2024-08-30,251.92,256.3,251.92,256.09,256.09,2386564,1.34,1.0
2024-08-29,253.81,254.65,251.39,253.2,251.882018412772,1287795,0.0,1.0
2024-08-28,250.47,254.39,249.81,252.67,251.354777220992,2359782,0.0,1.0
2024-08-27,248.49,250.5,248.05,250.35,249.046853513577,1466246,0.0,1.0
2024-08-26,247.76,249.55,247.0,247.84,246.549918812881,1680550,0.0,1.0
2024-08-23,245.0,246.99,244.025,246.85,245.565072058424,2449222,0.0,1.0
2024-08-22,246.03,247.0,242.83,244.32,243.048241463699,2722350,0.0,1.0
2024-08-21,247.73,248.3,245.0,245.73,244.450901992775,1482850,0.0,1.0
2024-08-20,246.07,247.24,245.31,246.5,245.216893912908,1552013,0.0,1.0
2024-08-19,245.0,246.66,244.17,246.07,244.789132191275,1686486,0.0,1.0
2024-08-16,244.0,245.4,243.4,244.53,243.257148351008,1951386,0.0,1.0
2024-08-15,243.93,245.27,242.75,243.71,242.441416695801,2127983,0.0,1.0
2024-08-14,237.97,242.25,237.31,241.22,239.964377889135,1903113,0.0,1.0
2024-08-13,238.03,239.0,235.23,237.27,236.03493881832,1486284,0.0,1.0
2024-08-12,238.35,238.35,234.9,236.75,235.517645573554,1782063,0.0,1.0
2024-08-09,240.47,240.47,236.95,237.52,236.283637493688,1621058,0.0,1.0
2024-08-08,237.24,240.89,236.9,240.54,239.287917492134,1444831,0.0,1.0
2024-08-07,239.85,241.94,236.47,236.84,235.607177096687,1939343,0.0,1.0
2024-08-06,235.38,241.51,234.731,238.55,237.308276036204,2514582,0.0,1.0
2024-08-05,237.01,237.97,231.26,234.87,233.647431534786,2494424,0.0,1.0
2024-08-02,243.53,243.9,235.7,239.97,238.720884512295,2114653,0.0,1.0
2024-08-01,247.37,249.335,243.785,244.47,243.19746066892,2166090,0.0,1.0
