,V_Open,V_High,V_Low,V_Close,V_Adj Close,V_Volume,V_Dividend Amount,V_Split Coefficient
2024-10-04,277.35,278.44,275.1,277.93,277.93,4260920,0.0,1.0
2024-10-03,276.67,277.69,275.84,276.86,276.86,3036651,0.0,1.0
2024-10-02,276.57,277.64,275.37,277.0,277.0,4741561,0.0,1.0
2024-10-01,276.97,279.06,274.36,277.6,277.6,5781564,0.0,1.0
2024-09-30,275.0,275.69,273.2,274.95,274.95,5971352,0.0,1.0
2024-09-27,273.16,277.98,272.78,275.17,275.17,6509578,0.0,1.0
2024-09-26,270.5,273.24,270.0,271.69,271.69,9552507,0.0,1.0
2024-09-25,274.19,274.25,268.23,269.63,269.63,11671266,0.0,1.0
2024-09-24,280.18,281.0,272.71,272.78,272.78,13690164,0.0,1.0
2024-09-23,284.9,288.88,284.62,288.63,288.63,6505632,0.0,1.0
2024-09-20,285.5,287.0,283.25,284.77,284.77,27810925,0.0,1.0
2024-09-19,291.09,291.4775,282.87,285.24,285.24,10382069,0.0,1.0
2024-09-18,291.84,292.02,288.13,288.48,288.48,5889996,0.0,1.0
2024-09-17,290.9,293.07,290.085,291.56,291.56,5135913,0.0,1.0
2024-09-16,288.05,290.9,287.74,290.48,290.48,4458865,0.0,1.0
2024-09-13,286.49,288.74,285.55,287.35,287.35,4987643,0.0,1.0
2024-09-12,284.0,286.0,281.47,285.37,285.37,4161170,0.0,1.0
2024-09-11,285.02,285.17,278.3,283.96,283.96,6281968,0.0,1.0
2024-09-10,285.93,286.3981,283.57,285.34,285.34,5314413,0.0,1.0
2024-09-09,282.09,286.97,281.65,285.61,285.61,10933862,0.0,1.0
2024-09-06,277.77,280.28,277.43,279.37,279.37,7187805,0.0,1.0
2024-09-05,281.0,281.5,277.41,278.62,278.62,6447539,0.0,1.0
2024-09-04,278.71,281.645,278.7,280.49,280.49,6089085,0.0,1.0
2024-09-03,276.37,282.09,276.37,278.54,278.54,7278250,0.0,1.0
2024-08-30,275.0,276.99,274.26,276.37,276.37,6296089,0.0,1.0
2024-08-29,270.98,275.99,270.45,274.32,274.32,5565085,0.0,1.0
2024-08-28,271.16,271.98,267.67,269.19,269.19,5455098,0.0,1.0
2024-08-27,268.52,270.95,267.89,270.72,270.72,6594067,0.0,1.0
2024-08-26,267.72,270.37,267.67,268.21,268.21,4612181,0.0,1.0
2024-08-23,268.7,269.21,265.31,267.44,267.44,3697448,0.0,1.0
2024-08-22,268.94,269.5,266.57,267.94,267.94,4425444,0.0,1.0
2024-08-21,268.56,269.27,267.39,268.2,268.2,6639748,0.0,1.0
2024-08-20,267.0,268.04,265.78,268.04,268.04,6803575,0.0,1.0
2024-08-19,267.42,268.3106,265.23,266.47,266.47,6555945,0.0,1.0
2024-08-16,266.85,268.44,265.39,267.38,267.38,5111080,0.0,1.0
2024-08-15,262.84,267.39,262.84,266.8,266.8,7397780,0.0,1.0
2024-08-14,260.87,261.5,258.74,261.14,261.14,8552272,0.0,1.0
2024-08-13,260.13,261.68,259.27,260.13,260.13,12005746,0.0,1.0
2024-08-12,260.5,261.6,259.24,259.89,259.89,26769518,0.0,1.0
2024-08-09,259.17,261.52,259.01,259.76,259.76,7228127,0.52,1.0
2024-08-08,258.13,260.445,257.92,259.83,259.310899031812,8223667,0.0,1.0
2024-08-07,259.66,262.03,256.31,256.52,256.00751191025,12908578,0.0,1.0
2024-08-06,256.5,260.49,255.77,258.26,257.744035653911,21586816,0.0,1.0
2024-08-05,261.45,262.92,254.51,256.44,255.927671738128,9631322,0.0,1.0
2024-08-02,263.83,267.96,262.88,266.58,266.047413554633,7017857,0.0,1.0
2024-08-01,266.33,267.0,264.18,265.93,265.39871215614,7269671,0.0,1.0
2024-07-31,264.54,266.36,264.25,265.67,265.139231596742,7642547,0.0,1.0
2024-07-30,263.23,264.3,261.01,263.1,262.574366067312,5941775,0.0,1.0
2024-07-29,260.32,262.705,258.58,261.6,261.077362840018,6068109,0.0,1.0
2024-07-26,255.59,261.2,255.59,259.46,258.941638235746,7062213,0.0,1.0
2024-07-25,255.39,258.22,252.7,253.74,253.233065929,8573282,0.0,1.0
2024-07-24,256.07,257.2,253.13,254.17,253.662206854157,13065893,0.0,1.0
2024-07-23,267.53,267.7,263.86,264.79,264.260989703396,8109209,0.0,1.0
2024-07-22,267.23,268.4,265.02,267.71,267.175155985861,5313610,0.0,1.0
2024-07-19,270.32,270.95,264.31,265.46,264.929651144921,6839933,0.0,1.0
2024-07-18,272.29,273.62,268.555,269.15,268.612279084063,5550804,0.0,1.0
2024-07-17,268.44,272.91,268.24,272.7,272.155186721992,5324662,0.0,1.0
2024-07-16,268.52,270.21,267.37,269.25,268.712079299216,7869921,0.0,1.0
