,VMC_Open,VMC_High,VMC_Low,VMC_Close,VMC_Adj Close,VMC_Volume,VMC_Dividend Amount,VMC_Split Coefficient
2024-10-04,243.18,243.2,239.41,241.43,241.43,532627,0.0,1.0
2024-10-03,240.23,242.94,238.6,241.1,241.1,524829,0.0,1.0
2024-10-02,244.44,245.985,239.97,240.46,240.46,930752,0.0,1.0
2024-10-01,249.78,251.73,244.42,247.49,247.49,667502,0.0,1.0
2024-09-30,249.25,250.91,246.02,250.43,250.43,795260,0.0,1.0
2024-09-27,251.17,252.365,248.2,250.24,250.24,777653,0.0,1.0
2024-09-26,254.08,257.01,249.63,250.58,250.58,887806,0.0,1.0
2024-09-25,251.94,251.94,249.34,249.63,249.63,922058,0.0,1.0
2024-09-24,253.09,253.83,247.39,249.87,249.87,1079706,0.0,1.0
2024-09-23,252.6,253.8,250.325,252.33,252.33,728538,0.0,1.0
2024-09-20,258.18,258.18,250.74,252.05,252.05,1697639,0.0,1.0
2024-09-19,250.0,254.01,246.44,253.67,253.67,1015200,0.0,1.0
2024-09-18,245.71,249.58,244.265,244.4,244.4,679414,0.0,1.0
2024-09-17,243.36,247.0,242.0439,245.12,245.12,757555,0.0,1.0
2024-09-16,238.05,243.33,237.0,242.87,242.87,894659,0.0,1.0
2024-09-13,236.0,239.635,235.46,237.47,237.47,726323,0.0,1.0
2024-09-12,233.52,237.33,233.52,236.27,236.27,680084,0.0,1.0
2024-09-11,231.5,233.369,225.36,232.95,232.95,1552979,0.0,1.0
2024-09-10,233.73,233.82,231.03,232.95,232.95,1076936,0.0,1.0
2024-09-09,232.9,234.66,230.95,231.83,231.83,1757148,0.0,1.0
2024-09-06,234.03,236.03,231.56,231.97,231.97,1161464,0.0,1.0
2024-09-05,234.11,235.04,230.72,232.16,232.16,727644,0.0,1.0
2024-09-04,239.09,240.01,232.69,234.83,234.83,992747,0.0,1.0
2024-09-03,241.65,244.0,237.68,239.02,239.02,933447,0.0,1.0
2024-08-30,242.29,245.87,241.37,245.21,245.21,844615,0.0,1.0
2024-08-29,237.52,243.4149,236.8521,241.28,241.28,866649,0.0,1.0
2024-08-28,241.81,242.39,235.09,235.77,235.77,1835059,0.0,1.0
2024-08-27,249.02,250.0016,237.17,240.41,240.41,1007336,0.0,1.0
2024-08-26,256.33,257.54,250.23,250.68,250.68,447624,0.0,1.0
2024-08-23,250.26,257.42,249.655,254.89,254.89,1252331,0.0,1.0
2024-08-22,248.75,250.235,246.665,247.98,247.98,680587,0.0,1.0
2024-08-21,247.23,249.88,246.79,247.84,247.84,920689,0.0,1.0
2024-08-20,244.23,246.79,244.23,245.6,245.6,533967,0.0,1.0
2024-08-19,244.61,245.615,242.18,244.29,244.29,660452,0.0,1.0
2024-08-16,247.06,247.0622,243.595,244.43,244.43,490890,0.0,1.0
2024-08-15,245.87,247.09,242.34,246.57,246.57,1028898,0.46,1.0
2024-08-14,245.09,246.3,242.07,242.5,242.048435412703,876714,0.0,1.0
2024-08-13,244.06,245.92,241.79,243.84,243.38594016921,706027,0.0,1.0
2024-08-12,244.23,244.79,239.91,241.9,241.449552685909,869250,0.0,1.0
2024-08-09,246.18,249.13,243.36,244.34,243.885009108205,887968,0.0,1.0
2024-08-08,242.67,250.77,242.3214,246.33,245.871303485407,1196298,0.0,1.0
2024-08-07,248.49,251.72,241.22,241.22,240.770818928875,1376834,0.0,1.0
2024-08-06,245.61,251.71,238.89,246.14,245.681657288588,2294967,0.0,1.0
