,VRA_Open,VRA_High,VRA_Low,VRA_Close,VRA_Adj Close,VRA_Volume,VRA_Dividend Amount,VRA_Split Coefficient
2024-10-04,5.16,5.25,5.115,5.15,5.15,377327,0.0,1.0
2024-10-03,4.98,5.14,4.87,5.1,5.1,227471,0.0,1.0
2024-10-02,5.02,5.135,4.99,5.02,5.02,361593,0.0,1.0
2024-10-01,5.45,5.45,4.97,5.04,5.04,777334,0.0,1.0
2024-09-30,5.52,5.575,5.4,5.46,5.46,345144,0.0,1.0
2024-09-27,5.46,5.62,5.44,5.53,5.53,346782,0.0,1.0
2024-09-26,5.37,5.47,5.37,5.43,5.43,363312,0.0,1.0
2024-09-25,5.44,5.44,5.22,5.32,5.32,505026,0.0,1.0
2024-09-24,5.45,5.5,5.315,5.4,5.4,432410,0.0,1.0
2024-09-23,5.39,5.44,5.32,5.41,5.41,449934,0.0,1.0
2024-09-20,5.37,5.415,5.3199,5.38,5.38,768950,0.0,1.0
2024-09-19,5.46,5.5,5.305,5.41,5.41,396963,0.0,1.0
2024-09-18,5.1,5.38,5.1,5.305,5.305,576079,0.0,1.0
2024-09-17,4.93,5.15,4.87,5.09,5.09,910670,0.0,1.0
2024-09-16,4.89,4.95,4.82,4.91,4.91,528982,0.0,1.0
2024-09-13,5.0,5.06,4.855,4.89,4.89,673345,0.0,1.0
2024-09-12,4.76,4.96,4.68,4.95,4.95,726846,0.0,1.0
2024-09-11,4.51,4.82,4.38,4.75,4.75,2413553,0.0,1.0
2024-09-10,5.17,5.185,4.89,4.98,4.98,1083138,0.0,1.0
2024-09-09,5.28,5.34,5.1241,5.17,5.17,1076049,0.0,1.0
2024-09-06,5.26,5.45,5.225,5.28,5.28,608681,0.0,1.0
2024-09-05,5.35,5.445,5.255,5.31,5.31,885408,0.0,1.0
2024-09-04,5.5,5.59,5.305,5.33,5.33,606847,0.0,1.0
2024-09-03,5.65,5.74,5.45,5.5,5.5,437200,0.0,1.0
2024-08-30,5.84,5.89,5.665,5.83,5.83,486029,0.0,1.0
2024-08-29,5.72,5.85,5.63,5.8,5.8,318677,0.0,1.0
2024-08-28,5.71,5.73,5.64,5.67,5.67,324301,0.0,1.0
2024-08-27,5.8,5.88,5.62,5.73,5.73,480645,0.0,1.0
2024-08-26,6.02,6.03,5.795,5.82,5.82,334487,0.0,1.0
2024-08-23,5.97,6.2501,5.97,5.98,5.98,410493,0.0,1.0
2024-08-22,5.99,5.99,5.835,5.895,5.895,337616,0.0,1.0
2024-08-21,5.93,6.1,5.8801,5.98,5.98,475268,0.0,1.0
2024-08-20,5.96,6.08,5.78,5.85,5.85,774519,0.0,1.0
2024-08-19,6.34,6.375,5.99,6.01,6.01,582293,0.0,1.0
2024-08-16,6.25,6.345,6.21,6.29,6.29,221806,0.0,1.0
2024-08-15,6.19,6.285,6.1,6.25,6.25,197226,0.0,1.0
2024-08-14,6.16,6.2,5.96,5.99,5.99,188056,0.0,1.0
2024-08-13,6.01,6.16,5.93,6.14,6.14,205804,0.0,1.0
2024-08-12,6.08,6.08,5.865,5.95,5.95,217709,0.0,1.0
2024-08-09,6.05,6.11,5.99,6.07,6.07,194817,0.0,1.0
2024-08-08,5.9,6.07,5.9,6.07,6.07,242683,0.0,1.0
2024-08-07,5.98,5.995,5.76,5.8,5.8,235750,0.0,1.0
2024-08-06,5.81,5.94,5.71,5.93,5.93,257258,0.0,1.0
2024-08-05,5.5,5.85,5.45,5.8,5.8,464727,0.0,1.0
2024-08-02,6.48,6.48,5.885,6.08,6.08,542117,0.0,1.0
2024-08-01,6.85,6.95,6.364,6.55,6.55,680936,0.0,1.0
2024-07-31,6.8,6.985,6.725,6.88,6.88,240088,0.0,1.0
2024-07-30,6.75,6.79,6.68,6.73,6.73,178823,0.0,1.0
2024-07-29,6.87,6.9,6.67,6.75,6.75,194630,0.0,1.0
2024-07-26,6.75,6.96,6.74,6.86,6.86,611812,0.0,1.0
2024-07-25,6.59,6.76,6.5,6.645,6.645,176343,0.0,1.0
2024-07-24,6.68,6.79,6.495,6.57,6.57,395045,0.0,1.0
2024-07-23,6.7,6.83,6.67,6.73,6.73,193731,0.0,1.0
2024-07-22,6.57,6.775,6.48,6.75,6.75,285805,0.0,1.0
2024-07-19,6.73,6.74,6.51,6.53,6.53,352005,0.0,1.0
2024-07-18,6.9,6.97,6.63,6.705,6.705,274523,0.0,1.0
2024-07-17,6.79,6.965,6.79,6.9,6.9,426865,0.0,1.0
2024-07-16,6.59,6.86,6.55,6.86,6.86,284195,0.0,1.0
2024-07-15,6.56,6.66,6.46,6.52,6.52,460143,0.0,1.0
2024-07-12,6.54,6.7,6.41,6.49,6.49,441874,0.0,1.0
2024-07-11,6.13,6.52,6.13,6.49,6.49,714014,0.0,1.0
2024-07-10,6.0,6.17,6.0,6.09,6.09,458040,0.0,1.0
2024-07-09,5.94,5.995,5.875,5.98,5.98,366424,0.0,1.0
2024-07-08,5.8,5.985,5.8,5.95,5.95,261527,0.0,1.0
2024-07-05,5.77,5.846,5.625,5.79,5.79,583908,0.0,1.0
2024-07-03,5.79,5.875,5.77,5.8,5.8,192746,0.0,1.0
2024-07-02,5.97,5.97,5.76,5.76,5.76,420252,0.0,1.0
2024-07-01,6.21,6.25,5.945,5.96,5.96,571260,0.0,1.0
2024-06-28,6.12,6.27,6.04,6.26,6.26,637041,0.0,1.0
2024-06-27,6.17,6.34,6.05,6.11,6.11,528889,0.0,1.0
2024-06-26,5.95,6.12,5.88,6.1,6.1,467141,0.0,1.0
2024-06-25,5.9,6.16,5.87,5.98,5.98,495285,0.0,1.0
2024-06-24,5.84,5.935,5.66,5.92,5.92,559701,0.0,1.0
2024-06-21,5.96,5.96,5.73,5.84,5.84,472556,0.0,1.0
2024-06-20,6.0,6.11,5.79,5.92,5.92,500190,0.0,1.0
2024-06-18,6.01,6.2,5.905,6.02,6.02,696866,0.0,1.0
2024-06-17,6.14,6.25,5.885,6.0,6.0,1041747,0.0,1.0
2024-06-14,6.15,6.305,6.005,6.16,6.16,696233,0.0,1.0
2024-06-13,6.31,6.58,6.1343,6.22,6.22,731980,0.0,1.0
2024-06-12,6.51,7.13,6.23,6.42,6.42,1833188,0.0,1.0
2024-06-11,7.87,7.87,7.63,7.75,7.75,713775,0.0,1.0
2024-06-10,7.77,7.995,7.73,7.9,7.9,336412,0.0,1.0
2024-06-07,7.89,8.035,7.67,7.81,7.81,377265,0.0,1.0
2024-06-06,8.0,8.0,7.845,7.91,7.91,287306,0.0,1.0
2024-06-05,7.96,8.0694,7.96,8.0,8.0,228496,0.0,1.0
2024-06-04,8.14,8.14,7.9,7.94,7.94,303051,0.0,1.0
2024-06-03,8.24,8.325,8.07,8.16,8.16,284282,0.0,1.0
2024-05-31,7.91,8.21,7.91,8.16,8.16,412448,0.0,1.0
2024-05-30,7.91,7.99,7.87,7.93,7.93,395705,0.0,1.0
2024-05-29,7.87,7.935,7.79,7.86,7.86,305377,0.0,1.0
2024-05-28,7.92,8.04,7.865,7.94,7.94,212615,0.0,1.0
2024-05-24,7.67,7.905,7.67,7.84,7.84,137520,0.0,1.0
2024-05-23,7.73,7.7799,7.62,7.65,7.65,167763,0.0,1.0
2024-05-22,7.74,7.82,7.71,7.73,7.73,217290,0.0,1.0
