,VVC_Open,VVC_High,VVC_Low,VVC_Close,VVC_Adj Close,VVC_Volume,VVC_Dividend Amount,VVC_Split Coefficient
2019-02-26,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-20,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-15,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-14,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-13,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-12,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-11,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-08,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-07,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-06,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-05,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-04,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-02-01,72.38,72.38,72.38,72.38,72.38,0,0.0,1.0
2019-01-31,72.38,72.4,72.35,72.38,72.38,13231320,0.0,1.0
2019-01-30,72.03,72.385,72.03,72.37,72.37,2016625,0.0,1.0
2019-01-29,71.94,72.15,71.92,72.15,72.15,499277,0.0,1.0
2019-01-28,72.05,72.09,71.9,71.94,71.94,676234,0.0,1.0
2019-01-25,72.14,72.18,72.0,72.01,72.01,626379,0.0,1.0
2019-01-24,72.08,72.18,72.0,72.14,72.14,850641,0.0,1.0
2019-01-23,72.01,72.12,72.01,72.07,72.07,785249,0.0,1.0
2019-01-22,72.15,72.31,71.9,72.08,72.08,1289964,0.0,1.0
2019-01-18,72.25,72.34,71.89,72.13,72.13,1507160,0.0,1.0
2019-01-17,72.09,72.31,72.09,72.29,72.29,1378748,0.0,1.0
2019-01-16,72.05,72.2,72.03,72.19,72.19,990295,0.0,1.0
2019-01-15,71.98,72.1,71.97,72.1,72.1,709114,0.0,1.0
2019-01-14,71.88,72.0,71.85,72.0,72.0,1313819,0.0,1.0
2019-01-11,71.77,71.93,71.77,71.91,71.91,865311,0.0,1.0
2019-01-10,71.78,71.83,71.76,71.82,71.82,1033730,0.0,1.0
2019-01-09,71.8,71.8311,71.75,71.81,71.81,798393,0.0,1.0
2019-01-08,71.8,71.89,71.78,71.78,71.78,727003,0.0,1.0
2019-01-07,71.9,71.92,71.73,71.81,71.81,641397,0.0,1.0
2019-01-04,71.82,71.98,71.82,71.97,71.97,822813,0.0,1.0
2019-01-03,71.88,71.96,71.84,71.91,71.91,1032096,0.0,1.0
2019-01-02,71.81,71.94,71.61,71.92,71.92,936604,0.0,1.0
2018-12-31,71.82,71.99,71.71,71.98,71.98,747899,0.0,1.0
2018-12-28,71.84,71.86,71.6,71.85,71.85,824619,0.0,1.0
2018-12-27,71.6,71.85,71.49,71.84,71.84,1257918,0.0,1.0
2018-12-26,71.4,71.81,71.4,71.56,71.56,1466946,0.0,1.0
2018-12-24,71.66,71.78,71.3,71.6,71.6,883415,0.0,1.0
2018-12-21,71.49,72.18,71.49,71.65,71.65,972303,0.0,1.0
2018-12-20,71.76,71.87,71.5,71.77,71.77,1153027,0.0,1.0
2018-12-19,71.7,71.87,71.68,71.79,71.79,914201,0.0,1.0
2018-12-18,71.74,71.795,71.58,71.74,71.74,926523,0.0,1.0
2018-12-17,71.74,71.76,71.62,71.66,71.66,997025,0.0,1.0
2018-12-14,71.71,71.79,71.68,71.68,71.68,605634,0.0,1.0
2018-12-13,71.75,71.84,71.68,71.68,71.68,660855,0.0,1.0
2018-12-12,71.85,71.85,71.61,71.75,71.75,586348,0.0,1.0
2018-12-11,71.8,71.895,71.75,71.8,71.8,676813,0.0,1.0
2018-12-10,71.84,71.86,71.73,71.84,71.84,660634,0.0,1.0
2018-12-07,71.85,71.865,71.75,71.84,71.84,816372,0.0,1.0
2018-12-06,71.71,71.9,71.71,71.88,71.88,976382,0.0,1.0
2018-12-04,71.94,71.94,71.8,71.91,71.91,665162,0.0,1.0
2018-12-03,71.8,71.95,71.71,71.95,71.95,857909,0.0,1.0
2018-11-30,71.6,71.83,71.6,71.81,71.81,621426,0.0,1.0
2018-11-29,71.51,71.67,71.5,71.67,71.67,818506,0.0,1.0
2018-11-28,71.75,71.8,71.45,71.48,71.48,754415,0.0,1.0
2018-11-27,71.78,71.84,71.7,71.7,71.7,677998,0.0,1.0
2018-11-26,71.75,71.85,71.72,71.78,71.78,1192907,0.0,1.0
2018-11-23,71.65,71.75,71.61,71.61,71.61,225815,0.0,1.0
2018-11-21,71.63,71.8,71.6,71.74,71.74,425291,0.0,1.0
2018-11-20,71.6,71.85,71.55,71.64,71.64,1198663,0.0,1.0
2018-11-19,71.8,71.8,71.59,71.6,71.6,1269428,0.0,1.0
2018-11-16,71.45,71.96,71.44,71.9,71.9,1381987,0.0,1.0
2018-11-15,71.32,71.595,71.29,71.48,71.48,702492,0.0,1.0
2018-11-14,71.4,71.66,71.23,71.3,71.3,980862,0.48,1.0
2018-11-13,71.66,71.81,71.6,71.81,71.3297993870159,829215,0.0,1.0
2018-11-12,71.68,71.78,71.6,71.73,71.2503343549735,750852,0.0,1.0
2018-11-09,71.72,71.88,71.65,71.66,71.1808024519365,742972,0.0,1.0
2018-11-08,71.77,71.85,71.65,71.78,71.3,1416524,0.0,1.0
2018-11-07,71.64,71.79,71.64,71.75,71.2702006129841,575987,0.0,1.0
2018-11-06,71.68,71.72,71.58,71.63,71.1510030649206,384818,0.0,1.0
2018-11-05,71.5,71.74,71.5,71.66,71.1808024519365,528453,0.0,1.0
2018-11-02,71.7,71.71,71.41,71.5,71.0218723878518,1005186,0.0,1.0
2018-11-01,71.58,71.73,71.54,71.63,71.1510030649206,803509,0.0,1.0
2018-10-31,71.65,71.67,71.52,71.53,71.0516717748676,1263847,0.0,1.0
2018-10-30,71.64,71.67,71.6,71.67,71.1907355809418,1123000,0.0,1.0
2018-10-29,71.6,71.69,71.55,71.58,71.1013374198941,838092,0.0,1.0
2018-10-26,71.55,71.72,71.51,71.59,71.1112705488994,898526,0.0,1.0
2018-10-25,71.55,71.62,71.46,71.61,71.13113680691,868481,0.0,1.0
2018-10-24,71.58,71.66,71.47,71.47,70.9920730008359,988204,0.0,1.0
2018-10-23,71.54,71.63,71.45,71.54,71.0616049038729,650415,0.0,1.0
2018-10-22,71.6,71.64,71.51,71.53,71.0516717748676,597988,0.0,1.0
2018-10-19,71.6,71.74,71.56,71.58,71.1013374198941,476331,0.0,1.0
